ID,dataset,question,answer,full_data
0,bf,"This is a BF (Brainf*ck) computer program. What is the output?

>[-]>[-]<>++++++++[<+++++++++++++>-]<.---.++++.++++++++++.+.<

Respond only with the exact output of the program enclosed in triple angle brackets, like this: <<<output>>>.",heist,"{
    ""question"": ""This is a BF (Brainf*ck) computer program. What is the output?\n\n>[-]>[-]<>++++++++[<+++++++++++++>-]<.---.++++.++++++++++.+.<\n\nRespond only with the exact output of the program."",
    ""answer"": ""heist"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 0,
        ""bfit_code"": ""\nint main() {\n    print(\""heist\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>++++++++[<+++++++++++++>-]<.---.++++.++++++++++.+.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
1,bf,"This is a BF (Brainf*ck) computer program. What is the output?

>[-]>[-]<>++++++++++[<++++++++++>-]<+.-.+++++.---.>+++[<++++++>-]<+.<

Respond only with the exact output of the program enclosed in triple angle brackets, like this: <<<output>>>.",edify,"{
    ""question"": ""This is a BF (Brainf*ck) computer program. What is the output?\n\n>[-]>[-]<>++++++++++[<++++++++++>-]<+.-.+++++.---.>+++[<++++++>-]<+.<\n\nRespond only with the exact output of the program."",
    ""answer"": ""edify"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 1,
        ""bfit_code"": ""\nint main() {\n    print(\""edify\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>++++++++++[<++++++++++>-]<+.-.+++++.---.>+++[<++++++>-]<+.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
2,bf,"Consider the following BF (Brainf*ck) code. What would it output?

>[-]>[-]<>+++++++++[<+++++++++++>-]<.>+++[<++++++>-]<.---.++++.>++++[<---->-]<-.<

Provide only the exact output of the code.",curve,"{
    ""question"": ""Consider the following BF (Brainf*ck) code. What would it output?\n\n>[-]>[-]<>+++++++++[<+++++++++++>-]<.>+++[<++++++>-]<.---.++++.>++++[<---->-]<-.<\n\nProvide only the exact output of the code."",
    ""answer"": ""curve"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 2,
        ""bfit_code"": ""\nint main() {\n    print(\""curve\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>+++++++++[<+++++++++++>-]<.>+++[<++++++>-]<.---.++++.>++++[<---->-]<-.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
3,bf,"Consider the following BF (Brainf*ck) code. What would it output?

>[-]>[-]<>++++++++[<+++++++++++++>-]<.---.+++++++++.-----------.++.<

Provide only the exact output of the code.",hence,"{
    ""question"": ""Consider the following BF (Brainf*ck) code. What would it output?\n\n>[-]>[-]<>++++++++[<+++++++++++++>-]<.---.+++++++++.-----------.++.<\n\nProvide only the exact output of the code."",
    ""answer"": ""hence"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 3,
        ""bfit_code"": ""\nint main() {\n    print(\""hence\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>++++++++[<+++++++++++++>-]<.---.+++++++++.-----------.++.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
4,bf,"This is a BF (Brainf*ck) computer program. What is the output?

>[-]>[-]<>++++++++[<++++++++++++++>-]<++.-------------.+++++++++.-------------.+++++++++++.<

Respond only with the exact output of the program enclosed in triple angle brackets, like this: <<<output>>>.",renal,"{
    ""question"": ""This is a BF (Brainf*ck) computer program. What is the output?\n\n>[-]>[-]<>++++++++[<++++++++++++++>-]<++.-------------.+++++++++.-------------.+++++++++++.<\n\nRespond only with the exact output of the program."",
    ""answer"": ""renal"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 4,
        ""bfit_code"": ""\nint main() {\n    print(\""renal\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>++++++++[<++++++++++++++>-]<++.-------------.+++++++++.-------------.+++++++++++.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
5,bf,"This is a BF (Brainf*ck) computer program. What is the output?

>[-]>[-]<>+++++++[<+++++++++++++++>-]<.+++++.++.+++++.-.<

Respond only with the exact output of the program enclosed in triple angle brackets, like this: <<<output>>>.",input,"{
    ""question"": ""This is a BF (Brainf*ck) computer program. What is the output?\n\n>[-]>[-]<>+++++++[<+++++++++++++++>-]<.+++++.++.+++++.-.<\n\nRespond only with the exact output of the program."",
    ""answer"": ""input"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 5,
        ""bfit_code"": ""\nint main() {\n    print(\""input\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>+++++++[<+++++++++++++++>-]<.+++++.++.+++++.-.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
6,bf,"Consider the following BF (Brainf*ck) code. What would it output?

>[-]>[-]<>+++++++++[<+++++++++++>-]<.+++++.-------.>+++[<++++++>-]<.------.<

Provide only the exact output of the code.",chasm,"{
    ""question"": ""Consider the following BF (Brainf*ck) code. What would it output?\n\n>[-]>[-]<>+++++++++[<+++++++++++>-]<.+++++.-------.>+++[<++++++>-]<.------.<\n\nProvide only the exact output of the code."",
    ""answer"": ""chasm"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 6,
        ""bfit_code"": ""\nint main() {\n    print(\""chasm\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>+++++++++[<+++++++++++>-]<.+++++.-------.>+++[<++++++>-]<.------.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
7,bf,"Consider the following BF (Brainf*ck) code. What would it output?

>[-]>[-]<>+++++++[<++++++++++++++>-]<.+++.++.++++++++++++++.-------.<

Provide only the exact output of the code.",begun,"{
    ""question"": ""Consider the following BF (Brainf*ck) code. What would it output?\n\n>[-]>[-]<>+++++++[<++++++++++++++>-]<.+++.++.++++++++++++++.-------.<\n\nProvide only the exact output of the code."",
    ""answer"": ""begun"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 7,
        ""bfit_code"": ""\nint main() {\n    print(\""begun\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>+++++++[<++++++++++++++>-]<.+++.++.++++++++++++++.-------.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
8,bf,"This is a BF (Brainf*ck) computer program. What is the output?

>[-]>[-]<>++++++++++[<+++++++++++>-]<.+.+++.++.------------.<

Respond only with the exact output of the program enclosed in triple angle brackets, like this: <<<output>>>.",north,"{
    ""question"": ""This is a BF (Brainf*ck) computer program. What is the output?\n\n>[-]>[-]<>++++++++++[<+++++++++++>-]<.+.+++.++.------------.<\n\nRespond only with the exact output of the program."",
    ""answer"": ""north"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 8,
        ""bfit_code"": ""\nint main() {\n    print(\""north\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>++++++++++[<+++++++++++>-]<.+.+++.++.------------.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
9,bf,"Consider the following BF (Brainf*ck) code. What would it output?

>[-]>[-]<>+++++++++[<+++++++++++++>-]<--.------.----.+++++++++.-------.<

Provide only the exact output of the code.",smirk,"{
    ""question"": ""Consider the following BF (Brainf*ck) code. What would it output?\n\n>[-]>[-]<>+++++++++[<+++++++++++++>-]<--.------.----.+++++++++.-------.<\n\nProvide only the exact output of the code."",
    ""answer"": ""smirk"",
    ""metadata"": {
        ""source_dataset"": ""bf"",
        ""source_index"": 9,
        ""bfit_code"": ""\nint main() {\n    print(\""smirk\"");\n}\n"",
        ""bf_program"": "">[-]>[-]<>+++++++++[<+++++++++++++>-]<--.------.----.+++++++++.-------.<"",
        ""difficulty"": {
            ""difficulty"": 1
        }
    }
}"
