ID,dataset,question,answer,full_data
0,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
...G..
...GBB
..AAHI
x...HI
FCCDDI
F..EEE
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\n...G..\n...GBB\n..AAHI\nx...HI\nFCCDDI\nF..EEE\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 0,
        ""board_config"": ""oooHoooooHBBooAAIJxoooIJGDDEEJGooFFF"",
        ""min_moves"": 8,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
1,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
.F.IBB
.F.I.J
.GAA.J
.GCCCJ
.GHDDD
..H.EE
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\n.F.IBB\n.F.I.J\n.GAA.J\n.GCCCJ\n.GHDDD\n..H.EE\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 1,
        ""board_config"": ""oFoIBBoFoIoJoGAAoJoGCCCJoGHDDDooHoEE"",
        ""min_moves"": 14,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
2,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
BBH.CC
G.H.JK
G.AAJK
DD.IxL
EE.I.L
FFF..x
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\nBBH.CC\nG.H.JK\nG.AAJK\nDD.IxL\nEE.I.L\nFFF..x\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 2,
        ""board_config"": ""BBJoCCIoJoLMIoAALMDDoKxNFFoKoNGGGoox"",
        ""min_moves"": 39,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
3,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
..HBBL
..HI.L
AAHIKL
GCCCK.
GDDJ..
EE.JFF
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\n..HBBL\n..HI.L\nAAHIKL\nGCCCK.\nGDDJ..\nEE.JFF\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 3,
        ""board_config"": ""ooHBBLooHIoLAAHIKLGCCCKoGDDJooEEoJFF"",
        ""min_moves"": 45,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
4,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
BBGI.K
EFGIxK
EFAAJL
CCH.JL
..HDD.
......
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\nBBGI.K\nEFGIxK\nEFAAJL\nCCH.JL\n..HDD.\n......\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 4,
        ""board_config"": ""BBHJoLFGHJxLFGAAKMDDIoKMooIEEooooooo"",
        ""min_moves"": 25,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
5,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
..FGBB
..FGCC
AAFGHI
....HI
.....x
.DDEE.
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\n..FGBB\n..FGCC\nAAFGHI\n....HI\n.....x\n.DDEE.\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 5,
        ""board_config"": ""ooGHBBooGHCCAAGHIJooooIJoooooxoEEFFo"",
        ""min_moves"": 9,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
6,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
BBH.K.
.GH.KL
.GAAKL
CCI..x
F.IJDD
FEEJ.x
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\nBBH.K.\n.GH.KL\n.GAAKL\nCCI..x\nF.IJDD\nFEEJ.x\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 6,
        ""board_config"": ""BBJoMooIJoMNoIAAMNCCKooxHoKLEEHFFLox"",
        ""min_moves"": 31,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
7,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
E..x..
EBBG..
AAFG..
..FCCC
....H.
xDDDH.
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\nE..x..\nEBBG..\nAAFG..\n..FCCC\n....H.\nxDDDH.\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 7,
        ""board_config"": ""GooxooGCCIooAAHIooooHDDDooooJoxFFFJo"",
        ""min_moves"": 17,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
8,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
.HBBCC
.H..K.
.HAAKL
DDI.KL
G.IJEE
GFFJ.x
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\n.HBBCC\n.H..K.\n.HAAKL\nDDI.KL\nG.IJEE\nGFFJ.x\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 8,
        ""board_config"": ""oIBBCCoIooLooIAALMDDJoLMHoJKEEHFFKox"",
        ""min_moves"": 33,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
9,rush_hour,"Move the red car (AA) to the exit on the right.
Specify moves in the format: '<<<F+1 K+1 M-1 C+3 H+2 ...>>>'
where the letter is the vehicle and +/- number is spaces to move right/left or down/up.
Walls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.
A car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.

Board:
.F.HBB
.FxH.J
AAG..J
E.GCCJ
E.GI..
EDDI..
",,"{
    ""question"": ""Move the red car (AA) to the exit on the right.\nSpecify moves in the format: 'F+1 K+1 M-1 C+3 H+2 ...'\nwhere the letter is the vehicle and +/- number is spaces to move right/left or down/up.\nWalls are marked with an 'x'. Cars cannot move through walls, and walls cannot be moved.\nA car oriented vertically can only move up and down, a car oriented horizontally can only move left and right.\n\nBoard:\n.F.HBB\n.FxH.J\nAAG..J\nE.GCCJ\nE.GI..\nEDDI..\n"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rush_hour"",
        ""source_index"": 9,
        ""board_config"": ""oGoIBBoGxIoKAAHooKFoHDDKFoHJooFEEJoo"",
        ""min_moves"": 28,
        ""difficulty"": {
            ""min_moves"": [
                1,
                50
            ]
        }
    }
}"
