ID,dataset,question,answer,full_data
0,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[1,0,0,0,0,0,0,0,1,0],
 [0,0,0,1,0,1,0,0,0,0],
 [0,0,0,0,1,0,0,0,0,0],
 [0,0,0,0,0,0,0,1,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,1,0,0,0,0],
 [0,0,1,0,0,1,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,1,0,0,0,0,0,0,0,1]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[1,0,0,0,0,0,0,0,1,0],\n [0,0,0,1,0,1,0,0,0,0],\n [0,0,0,0,1,0,0,0,0,0],\n [0,0,0,0,0,0,0,1,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,1,0,0,0,0],\n [0,0,1,0,0,1,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,1],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,1,0,0,0,0,0,0,0,1]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 0,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
1,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,1,0,0,0,0,0],
 [0,1,0,0,0,0,1,0,1,0],
 [0,0,0,0,0,0,0,0,1,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,1,1,0],
 [0,0,1,0,0,0,0,0,0,0],
 [0,0,1,0,0,0,0,0,1,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,1,0,0,0,0,0],\n [0,1,0,0,0,0,1,0,1,0],\n [0,0,0,0,0,0,0,0,1,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,1,1,0],\n [0,0,1,0,0,0,0,0,0,0],\n [0,0,1,0,0,0,0,0,1,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 1,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
2,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,1,0,1,0,0,1],
 [0,0,0,0,0,0,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,1,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,1],
 [0,0,0,0,0,1,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,1,0,0,1,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,1,0,1,0,0,1],\n [0,0,0,0,0,0,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,1,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,1],\n [0,0,0,0,0,1,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,1,0,0,1,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 2,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
3,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,1,0,0,0,0,0,0,1,0],
 [0,0,0,0,0,1,0,0,0,0],
 [0,0,0,0,1,1,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,1],
 [0,0,0,0,1,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,1,1,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,1,0,0,0,0,0,0,1,0],\n [0,0,0,0,0,1,0,0,0,0],\n [0,0,0,0,1,1,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,1],\n [0,0,0,0,1,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,1,1,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 3,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
4,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,0,0,0,1,0,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,1,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,1,0,0,0,0],
 [0,0,0,0,0,0,1,0,0,0],
 [0,1,1,0,1,0,0,0,0,0],
 [0,0,0,0,0,0,1,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,1,0,1,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,0,0,0,1,0,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,1,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,1,0,0,0,0],\n [0,0,0,0,0,0,1,0,0,0],\n [0,1,1,0,1,0,0,0,0,0],\n [0,0,0,0,0,0,1,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,1,0,1,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 4,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
5,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,1,0,0,0,1,0,0,0,0],
 [0,0,0,0,0,0,0,1,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,1,0,0,0,0,1,0,0,0],
 [0,0,1,0,0,0,0,0,1,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,1,0,0,1,0,0,0,1,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,1,0,0,0,1,0,0,0,0],\n [0,0,0,0,0,0,0,1,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,1,0,0,0,0,1,0,0,0],\n [0,0,1,0,0,0,0,0,1,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,1,0,0,1,0,0,0,1,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 5,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
6,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,0,0,0,0,0,0,0,0,0],
 [0,1,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,1,0,0],
 [1,0,0,0,1,0,0,1,0,1],
 [0,0,0,0,0,0,1,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,1,0,0,1,1,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,0,0,0,0,0,0,0,0,0],\n [0,1,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,1,0,0],\n [1,0,0,0,1,0,0,1,0,1],\n [0,0,0,0,0,0,1,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,1,0,0,1,1,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 6,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
7,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,1,0,0,1,0,0,0,0,0],
 [0,0,0,0,0,1,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,1,1,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,1,0,0,0,0,0,0,0],
 [1,0,0,0,0,1,0,0,0,1],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,1,0,0,1,0,0,0,0,0],\n [0,0,0,0,0,1,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,1,1,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,1,0,0,0,0,0,0,0],\n [1,0,0,0,0,1,0,0,0,1],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 7,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
8,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,0,1,1,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,1,0,1,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,1,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,1],
 [1,0,1,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,1,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,1],[1,1,0,0,0,0,0,0,0,1],[0,1,1,1,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,0,1,1,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,1,0,1,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,1,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,1],\n [1,0,1,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,1,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,1],[1,1,0,0,0,0,0,0,0,1],[0,1,1,1,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 8,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
9,game_of_life,"What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])

[[0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,1,1,0,0,0,0],
 [1,0,1,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,1,0,1,0],
 [0,0,0,0,0,0,0,0,0,0],
 [0,0,0,0,0,1,0,0,0,1],
 [0,0,1,0,0,0,0,0,0,0],
 [0,0,0,0,0,0,0,0,0,0],
 [1,0,0,0,0,0,0,0,0,0]].
Output grid in JSON format enclosed in triple angle brackets, like this <<<grid in JSON format>>>.","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]","{
    ""question"": ""What will this Game of Life board look like after 1 steps of simulation? Assume a Moore neighborhood and wrapping topology. Reply as array of arrays representing rows in the grid from top to bottom in JSON format. (An empty 3x3 grid would look like this: [[0,0,0],[0,0,0],[0,0,0]])\n\n[[0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,1,1,0,0,0,0],\n [1,0,1,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,1,0,1,0],\n [0,0,0,0,0,0,0,0,0,0],\n [0,0,0,0,0,1,0,0,0,1],\n [0,0,1,0,0,0,0,0,0,0],\n [0,0,0,0,0,0,0,0,0,0],\n [1,0,0,0,0,0,0,0,0,0]]."",
    ""answer"": ""[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life"",
        ""source_index"": 9,
        ""grid_size_x"": 10,
        ""grid_size_y"": 10,
        ""filled_cells"": 10,
        ""simulation_steps"": 1,
        ""difficulty"": {
            ""grid_size_x"": 10,
            ""grid_size_y"": 10,
            ""filled_cells_weights"": 0.1,
            ""simulation_steps"": 1
        }
    }
}"
