ID,dataset,question,answer,full_data
0,intermediate_integration,"Find the indefinite integral: ∫ (3*x + 5)**3 dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",27*x**4/4 + 45*x**3 + 225*x**2/2 + 125*x + C,"{
    ""question"": ""Find the indefinite integral: ∫ (3*x + 5)**3 dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""27*x**4/4 + 45*x**3 + 225*x**2/2 + 125*x + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 0,
        ""integrand"": ""(3*x + 5)**3"",
        ""problem_type"": ""linear"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""27*x**4/4 + 45*x**3 + 225*x**2/2 + 125*x"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
1,intermediate_integration,"Evaluate the indefinite integral: ∫ 3*x**2*sin(3*x) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.","3*Integral(x**2*sin(3*x), x) + C","{
    ""question"": ""Evaluate the indefinite integral: ∫ 3*x**2*sin(3*x) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""3*Integral(x**2*sin(3*x), x) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 1,
        ""integrand"": ""3*x**2*sin(3*x)"",
        ""problem_type"": ""polynomial_exp_trig"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""3*Integral(x**2*sin(3*x), x)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
2,intermediate_integration,"Find the indefinite integral: ∫ -2*x*exp(x) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",(2 - 2*x)*exp(x) + C,"{
    ""question"": ""Find the indefinite integral: ∫ -2*x*exp(x) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""(2 - 2*x)*exp(x) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 2,
        ""integrand"": ""-2*x*exp(x)"",
        ""problem_type"": ""polynomial_exp_trig"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""(2 - 2*x)*exp(x)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
3,intermediate_integration,"Calculate the antiderivative: ∫ -2*x**3*sin(x) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.","-2*Integral(x**3*sin(x), x) + C","{
    ""question"": ""Calculate the antiderivative: ∫ -2*x**3*sin(x) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""-2*Integral(x**3*sin(x), x) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 3,
        ""integrand"": ""-2*x**3*sin(x)"",
        ""problem_type"": ""polynomial_exp_trig"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""-2*Integral(x**3*sin(x), x)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
4,intermediate_integration,"Find the indefinite integral: ∫ asin(x) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",x*asin(x) + sqrt(1 - x**2) + C,"{
    ""question"": ""Find the indefinite integral: ∫ asin(x) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""x*asin(x) + sqrt(1 - x**2) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 4,
        ""integrand"": ""asin(x)"",
        ""problem_type"": ""log_inverse_trig"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""x*asin(x) + sqrt(1 - x**2)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
5,intermediate_integration,"Calculate the antiderivative: ∫ 24*exp(8 - 8*x) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",-3*exp(8 - 8*x) + C,"{
    ""question"": ""Calculate the antiderivative: ∫ 24*exp(8 - 8*x) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""-3*exp(8 - 8*x) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 5,
        ""integrand"": ""24*exp(8 - 8*x)"",
        ""problem_type"": ""exponential"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""-3*exp(8 - 8*x)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
6,intermediate_integration,"Evaluate the indefinite integral: ∫ 6*exp(6*x - 6) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",exp(6*x - 6) + C,"{
    ""question"": ""Evaluate the indefinite integral: ∫ 6*exp(6*x - 6) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""exp(6*x - 6) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 6,
        ""integrand"": ""6*exp(6*x - 6)"",
        ""problem_type"": ""exponential"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""exp(6*x - 6)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
7,intermediate_integration,"Evaluate the indefinite integral: ∫ 12*sqrt(4*x + 7) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",2*(4*x + 7)**(3/2) + C,"{
    ""question"": ""Evaluate the indefinite integral: ∫ 12*sqrt(4*x + 7) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""2*(4*x + 7)**(3/2) + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 7,
        ""integrand"": ""12*sqrt(4*x + 7)"",
        ""problem_type"": ""radical"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""2*(4*x + 7)**(3/2)"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
8,intermediate_integration,"Find the indefinite integral: ∫ -12*sin(4*x - 6)**3*cos(4*x - 6) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",-3*sin(4*x - 6)**4/4 + C,"{
    ""question"": ""Find the indefinite integral: ∫ -12*sin(4*x - 6)**3*cos(4*x - 6) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""-3*sin(4*x - 6)**4/4 + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 8,
        ""integrand"": ""-12*sin(4*x - 6)**3*cos(4*x - 6)"",
        ""problem_type"": ""trigonometric"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""-3*sin(4*x - 6)**4/4"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
9,intermediate_integration,"Find the indefinite integral: ∫ 20*sin(10*x + 9)**3*cos(10*x + 9) dx
When performing calculations, please follow these guidelines:
Use same variable symbols as given in the question
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.
3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).

Output final answer with the format <<<answer>>>.",sin(10*x + 9)**4/2 + C,"{
    ""question"": ""Find the indefinite integral: ∫ 20*sin(10*x + 9)**3*cos(10*x + 9) dx\nWhen performing calculations, please follow these guidelines:\nUse same variable symbols as given in the question\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n3. Use `exp(x)` or `E**(x)` for the exponential function (i.e. use capital E for Euler's number).\n"",
    ""answer"": ""sin(10*x + 9)**4/2 + C"",
    ""metadata"": {
        ""source_dataset"": ""intermediate_integration"",
        ""source_index"": 9,
        ""integrand"": ""20*sin(10*x + 9)**3*cos(10*x + 9)"",
        ""problem_type"": ""trigonometric"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""sin(10*x + 9)**4/2"",
        ""difficulty"": {
            ""problem_type_weights"": [
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125,
                0.125
            ]
        }
    }
}"
