ID,dataset,question,answer,full_data
0,rubiks_cube,"You are given a 3x3x3 Rubik's cube. It looks like this:

          Y  Y  Y                   
          Y  Y  Y                   
          B  R  W                   
 G  G  W  R  G  O  G  B  B  R  R  R 
 R  R  W  R  G  O  G  O  O  Y  B  B 
 Y  B  W  R  W  O  G  G  W  O  O  O 
          G  O  Y                   
          W  W  W                   
          B  B  B                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You are given a 3x3x3 Rubik's cube. It looks like this:\n\n          Y  Y  Y                   \n          Y  Y  Y                   \n          B  R  W                   \n G  G  W  R  G  O  G  B  B  R  R  R \n R  R  W  R  G  O  G  O  O  Y  B  B \n Y  B  W  R  W  O  G  G  W  O  O  O \n          G  O  Y                   \n          W  W  W                   \n          B  B  B                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 0,
        ""cube_size"": 3,
        ""scramble_steps"": 4,
        ""scramble_moves"": ""R D U F"",
        ""example_correct_answer"": ""L D L' D' L D' B D R D R' B' D' R U' R' F' U U F B U B' U R' U U R U U L U' L' B' U U B F U' F' L' U U L U' L' U L U F U' F' U' L' U L U F U' F' U L' U L U F U' F' U L U' L' U' B' U B U R' U R U B U' B' L U' L' U' B' U B R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
1,rubiks_cube,"You see a size 3 Rubik's cube. It is arranged this:

          Y  Y  Y                   
          Y  Y  Y                   
          Y  Y  B                   
 R  R  R  G  G  O  W  O  O  B  B  B 
 R  R  R  G  G  O  W  O  O  B  B  B 
 G  G  R  G  G  Y  O  B  B  R  R  W 
          W  W  G                   
          O  W  W                   
          O  W  W                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You see a size 3 Rubik's cube. It is arranged this:\n\n          Y  Y  Y                   \n          Y  Y  Y                   \n          Y  Y  B                   \n R  R  R  G  G  O  W  O  O  B  B  B \n R  R  R  G  G  O  W  O  O  B  B  B \n G  G  R  G  G  Y  O  B  B  R  R  W \n          W  W  G                   \n          O  W  W                   \n          O  W  W                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 1,
        ""cube_size"": 3,
        ""scramble_steps"": 5,
        ""scramble_moves"": ""F D' F F' F'"",
        ""example_correct_answer"": ""R' D' R D' R' D D R D' F D R U' R' F U F' U' B' U B F U U F' U R U' R' U' F' U F U L' U L U F U' F' U' U' F' U F U R U' R' U' U' B' U B U L U' L' U' R U R' U R U U R' U U B U' F' U B' U' F U U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
2,rubiks_cube,"You are given a 3x3x3 Rubik's cube. It looks like this:

          Y  G  G                   
          G  Y  Y                   
          G  Y  Y                   
 B  R  R  W  R  R  G  G  W  O  O  O 
 B  R  R  W  G  W  O  O  O  Y  B  O 
 Y  Y  Y  R  G  R  W  W  W  O  B  G 
          B  W  B                   
          B  W  B                   
          O  R  B                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You are given a 3x3x3 Rubik's cube. It looks like this:\n\n          Y  G  G                   \n          G  Y  Y                   \n          G  Y  Y                   \n B  R  R  W  R  R  G  G  W  O  O  O \n B  R  R  W  G  W  O  O  O  Y  B  O \n Y  Y  Y  R  G  R  W  W  W  O  B  G \n          B  W  B                   \n          B  W  B                   \n          O  R  B                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 2,
        ""cube_size"": 3,
        ""scramble_steps"": 8,
        ""scramble_moves"": ""B R U' L' D' L L' D"",
        ""example_correct_answer"": ""R' B' L U' F' U F U' L U U L' U B U' B' U' R' U R U F' U F U R U' R' U' R' U R U B U' B' U' F R U R' U' R U R' U' F' U U R U R' U R U U R' U' R U R' U R U U R' U' R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U' R' D' R D R' D' R D U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
3,rubiks_cube,"You are given a 3x3x3 Rubik's cube. It looks like this:

          B  O  O                   
          Y  Y  Y                   
          G  O  O                   
 W  B  Y  R  B  B  Y  G  Y  G  G  O 
 W  R  Y  R  G  G  W  O  W  B  B  O 
 B  B  O  W  R  Y  R  G  G  W  O  W 
          G  W  B                   
          R  W  R                   
          R  Y  R                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You are given a 3x3x3 Rubik's cube. It looks like this:\n\n          B  O  O                   \n          Y  Y  Y                   \n          G  O  O                   \n W  B  Y  R  B  B  Y  G  Y  G  G  O \n W  R  Y  R  G  G  W  O  W  B  B  O \n B  B  O  W  R  Y  R  G  G  W  O  W \n          G  W  B                   \n          R  W  R                   \n          R  Y  R                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 3,
        ""cube_size"": 3,
        ""scramble_steps"": 8,
        ""scramble_moves"": ""R' R' U' B F' F' F D"",
        ""example_correct_answer"": ""B' F D F' D' U R R B' U B F' U U F L U' L' B' U U B U' U' L' U L U F U' F' U' U' F' U F U R U' R' U L U' L' U' B' U B U R' U R U B U' B' B' U B U L U' L' F R U R' U' F' U U F R U R' U' R U R' U' F' U U R U R' U R U U R' L U' R' U L' U' R U L U' R' U L' U' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
4,rubiks_cube,"You see a size 3 Rubik's cube. It is arranged this:

          O  Y  O                   
          W  Y  B                   
          O  O  O                   
 B  R  B  Y  Y  Y  G  O  G  W  B  W 
 B  R  Y  G  G  R  G  O  G  W  B  W 
 B  B  B  Y  O  Y  G  O  G  W  R  W 
          R  G  R                   
          R  W  W                   
          R  Y  R                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You see a size 3 Rubik's cube. It is arranged this:\n\n          O  Y  O                   \n          W  Y  B                   \n          O  O  O                   \n B  R  B  Y  Y  Y  G  O  G  W  B  W \n B  R  Y  G  G  R  G  O  G  W  B  W \n B  B  B  Y  O  Y  G  O  G  W  R  W \n          R  G  R                   \n          R  W  W                   \n          R  Y  R                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 4,
        ""cube_size"": 3,
        ""scramble_steps"": 8,
        ""scramble_moves"": ""L D L R' F' D' B B'"",
        ""example_correct_answer"": ""D L' D' L' D R D' U' B' U B F U U F' U' U' B' U B U L U' L' F R U R' U' F' U' U' R U R' U R U U R' U' F U' B' U F' U' B R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
5,rubiks_cube,"You see a size 3 Rubik's cube. It is arranged this:

          O  Y  O                   
          O  Y  O                   
          B  W  W                   
 G  G  O  W  G  G  R  B  B  Y  R  Y 
 Y  R  Y  O  G  G  R  O  W  B  B  B 
 Y  R  O  W  G  G  R  O  W  B  B  B 
          G  Y  Y                   
          W  W  W                   
          R  R  R                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You see a size 3 Rubik's cube. It is arranged this:\n\n          O  Y  O                   \n          O  Y  O                   \n          B  W  W                   \n G  G  O  W  G  G  R  B  B  Y  R  Y \n Y  R  Y  O  G  G  R  O  W  B  B  B \n Y  R  O  W  G  G  R  O  W  B  B  B \n          G  Y  Y                   \n          W  W  W                   \n          R  R  R                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 5,
        ""cube_size"": 3,
        ""scramble_steps"": 4,
        ""scramble_moves"": ""B F' U F'"",
        ""example_correct_answer"": ""B' F F U R U' R' B U' B' U R U' R' U' F' U F U' R' U R U B U' B' F R U R' U' F' R U R' U R U U R' U R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
6,rubiks_cube,"You see a size 3 Rubik's cube. It is arranged this:

          G  G  G                   
          G  Y  Y                   
          W  W  B                   
 R  R  O  G  G  W  R  B  O  Y  Y  Y 
 W  R  O  G  G  W  R  O  Y  R  B  B 
 W  R  B  O  O  W  R  O  Y  R  B  B 
          Y  Y  G                   
          B  W  W                   
          O  O  B                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You see a size 3 Rubik's cube. It is arranged this:\n\n          G  G  G                   \n          G  Y  Y                   \n          W  W  B                   \n R  R  O  G  G  W  R  B  O  Y  Y  Y \n W  R  O  G  G  W  R  O  Y  R  B  B \n W  R  B  O  O  W  R  O  Y  R  B  B \n          Y  Y  G                   \n          B  W  W                   \n          O  O  B                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 6,
        ""cube_size"": 3,
        ""scramble_steps"": 9,
        ""scramble_moves"": ""U L' F' D B B' D' F' B'"",
        ""example_correct_answer"": ""B D D R' D D F F U' L' U L U B U' B' U' R' U R U' B' U B U L U' L' U' B' U B U L U' L' U B' U B U L U' L' U U F R U R' U' R U R' U' F' U' R U R' U R U U R' U' F U' B' U F' U' B U F U' B' U F' U' B R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
7,rubiks_cube,"You are given a 3x3x3 Rubik's cube. It looks like this:

          R  Y  R                   
          B  Y  B                   
          O  O  O                   
 G  R  B  Y  Y  Y  G  O  B  W  B  W 
 G  R  Y  G  G  O  W  O  B  W  B  W 
 G  R  B  Y  Y  Y  G  O  B  W  R  W 
          R  R  R                   
          G  W  G                   
          O  W  O                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You are given a 3x3x3 Rubik's cube. It looks like this:\n\n          R  Y  R                   \n          B  Y  B                   \n          O  O  O                   \n G  R  B  Y  Y  Y  G  O  B  W  B  W \n G  R  Y  G  G  O  W  O  B  W  B  W \n G  R  B  Y  Y  Y  G  O  B  W  R  W \n          R  R  R                   \n          G  W  G                   \n          O  W  O                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 7,
        ""cube_size"": 3,
        ""scramble_steps"": 6,
        ""scramble_moves"": ""D' L R' F F' F'"",
        ""example_correct_answer"": ""D' R D' R' D L' F D L U L' U' R' U R U U L U' L' B' U U B U' L' U L U F U' F' U' R U' R' U' F' U F U B U' B' U' R' U R L U' L' U' B' U B F R U R' U' F' U U F R U R' U' R U R' U' F' U U R U R' U R U U R' U' R U R' U R U U R' U U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
8,rubiks_cube,"You are given a 3x3x3 Rubik's cube. It looks like this:

          Y  R  R                   
          R  Y  W                   
          G  R  R                   
 B  W  R  W  G  B  W  O  Y  B  Y  O 
 O  R  Y  O  G  B  W  O  W  G  B  G 
 O  Y  Y  O  Y  B  W  B  R  Y  B  G 
          G  G  O                   
          B  W  R                   
          W  O  G                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You are given a 3x3x3 Rubik's cube. It looks like this:\n\n          Y  R  R                   \n          R  Y  W                   \n          G  R  R                   \n B  W  R  W  G  B  W  O  Y  B  Y  O \n O  R  Y  O  G  B  W  O  W  G  B  G \n O  Y  Y  O  Y  B  W  B  R  Y  B  G \n          G  G  O                   \n          B  W  R                   \n          W  O  G                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 8,
        ""cube_size"": 3,
        ""scramble_steps"": 10,
        ""scramble_moves"": ""B R' F R' D' L L B' L B'"",
        ""example_correct_answer"": ""D D F D D L' D' B D U U F F U U R R U' F' U F U R' U U R F U' F' L' U U L U' L' U L U F U' F' U L' U L U F U' F' U' U' F' U F U R U' R' L U' L' U' B' U B U R U R' U R U U R' U' B U' F' U B' U' F U B U' F' U B' U' F U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
9,rubiks_cube,"You are given a 3x3x3 Rubik's cube. It looks like this:

          B  Y  B                   
          B  Y  B                   
          Y  Y  G                   
 O  O  G  O  O  R  W  R  R  Y  G  Y 
 G  R  R  G  G  W  O  O  O  G  B  W 
 G  B  B  R  R  G  R  R  W  O  B  W 
          W  W  Y                   
          W  W  Y                   
          O  Y  B                   
 

Please provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'.
Enclose the solution within triple angle brackets, i.e. <<<the solution>>>.",,"{
    ""question"": ""You are given a 3x3x3 Rubik's cube. It looks like this:\n\n          B  Y  B                   \n          B  Y  B                   \n          Y  Y  G                   \n O  O  G  O  O  R  W  R  R  Y  G  Y \n G  R  R  G  G  W  O  O  O  G  B  W \n G  B  B  R  R  G  R  R  W  O  B  W \n          W  W  Y                   \n          W  W  Y                   \n          O  Y  B                   \n \n\nPlease provide a solution to solve this cube using Singmaster notation. Do not combine any steps, for instance, do not write 'U2', and instead write 'U U'."",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""rubiks_cube"",
        ""source_index"": 9,
        ""cube_size"": 3,
        ""scramble_steps"": 9,
        ""scramble_moves"": ""D R' B' B' U R U R' R'"",
        ""example_correct_answer"": ""L D L' D' F D F' D' D' L' F' D U R U' R' U B' U U B U L' U U L F U' F' U' L' U L U B U' B' U' R' U R R U' R' U' F' U F U' B U' B' U' R' U R U B' U B U L U' L' U' F R U R' U' R U R' U' F' U R U R' U R U U R' U' R U R' U R U U R' U' R U' L' U R' U' L U F U' B' U F' U' B R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U'"",
        ""difficulty"": {
            ""cube_size"": 3,
            ""scramble_steps"": [
                3,
                10
            ]
        }
    }
}"
