ID,dataset,question,answer,full_data
0,prime_factorization,Find the prime factorization of 81. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),3 × 3 × 3 × 3,"{
    ""question"": ""Find the prime factorization of 81. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""3 × 3 × 3 × 3"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 0,
        ""number"": 81,
        ""factors"": [
            3,
            3,
            3,
            3
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
1,prime_factorization,Find the prime factorization of 586. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),2 × 293,"{
    ""question"": ""Find the prime factorization of 586. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""2 × 293"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 1,
        ""number"": 586,
        ""factors"": [
            2,
            293
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
2,prime_factorization,Find the prime factorization of 543. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),3 × 181,"{
    ""question"": ""Find the prime factorization of 543. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""3 × 181"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 2,
        ""number"": 543,
        ""factors"": [
            3,
            181
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
3,prime_factorization,Find the prime factorization of 563. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),563,"{
    ""question"": ""Find the prime factorization of 563. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""563"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 3,
        ""number"": 563,
        ""factors"": [
            563
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
4,prime_factorization,Find the prime factorization of 338. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),2 × 13 × 13,"{
    ""question"": ""Find the prime factorization of 338. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""2 × 13 × 13"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 4,
        ""number"": 338,
        ""factors"": [
            2,
            13,
            13
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
5,prime_factorization,Find the prime factorization of 700. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),2 × 2 × 5 × 5 × 7,"{
    ""question"": ""Find the prime factorization of 700. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""2 × 2 × 5 × 5 × 7"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 5,
        ""number"": 700,
        ""factors"": [
            2,
            2,
            5,
            5,
            7
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
6,prime_factorization,Find the prime factorization of 656. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),2 × 2 × 2 × 2 × 41,"{
    ""question"": ""Find the prime factorization of 656. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""2 × 2 × 2 × 2 × 41"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 6,
        ""number"": 656,
        ""factors"": [
            2,
            2,
            2,
            2,
            41
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
7,prime_factorization,Find the prime factorization of 216. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),2 × 2 × 2 × 3 × 3 × 3,"{
    ""question"": ""Find the prime factorization of 216. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""2 × 2 × 2 × 3 × 3 × 3"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 7,
        ""number"": 216,
        ""factors"": [
            2,
            2,
            2,
            3,
            3,
            3
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
8,prime_factorization,Find the prime factorization of 471. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),3 × 157,"{
    ""question"": ""Find the prime factorization of 471. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""3 × 157"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 8,
        ""number"": 471,
        ""factors"": [
            3,
            157
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
9,prime_factorization,Find the prime factorization of 392. Write the factors separated by × and enclose the result within triple angle brackets (Example: for 12 the answer would be: <<<2 × 2 × 3>>>),2 × 2 × 2 × 7 × 7,"{
    ""question"": ""Find the prime factorization of 392. Write the factors separated by × (Example: for 12 the answer would be: 2 × 2 × 3)"",
    ""answer"": ""2 × 2 × 2 × 7 × 7"",
    ""metadata"": {
        ""source_dataset"": ""prime_factorization"",
        ""source_index"": 9,
        ""number"": 392,
        ""factors"": [
            2,
            2,
            2,
            7,
            7
        ],
        ""difficulty"": {
            ""value"": [
                2,
                1000
            ]
        }
    }
}"
