ID,dataset,question,answer,full_data
0,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""maniacs"", ""caimans"", ""manasic"", ""yabber"", ""babery"", ""reconvention"", ""conventioner""]
","[[""babery"", ""yabber""], [""caimans"", ""manasic"", ""maniacs""], [""conventioner"", ""reconvention""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""maniacs\"", \""caimans\"", \""manasic\"", \""yabber\"", \""babery\"", \""reconvention\"", \""conventioner\""]\n"",
    ""answer"": ""[[\""babery\"", \""yabber\""], [\""caimans\"", \""manasic\"", \""maniacs\""], [\""conventioner\"", \""reconvention\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 0,
        ""words"": [
            ""maniacs"",
            ""caimans"",
            ""manasic"",
            ""yabber"",
            ""babery"",
            ""reconvention"",
            ""conventioner""
        ],
        ""solution"": [
            [
                ""babery"",
                ""yabber""
            ],
            [
                ""caimans"",
                ""manasic"",
                ""maniacs""
            ],
            [
                ""conventioner"",
                ""reconvention""
            ]
        ],
        ""anagram_groups"": 3,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
1,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""prosely"", ""leprosy"", ""copras"", ""carpos"", ""siren"", ""reins"", ""rinse"", ""resin"", ""subarration"", ""saburration""]
","[[""carpos"", ""copras""], [""leprosy"", ""prosely""], [""reins"", ""resin"", ""rinse"", ""siren""], [""saburration"", ""subarration""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""prosely\"", \""leprosy\"", \""copras\"", \""carpos\"", \""siren\"", \""reins\"", \""rinse\"", \""resin\"", \""subarration\"", \""saburration\""]\n"",
    ""answer"": ""[[\""carpos\"", \""copras\""], [\""leprosy\"", \""prosely\""], [\""reins\"", \""resin\"", \""rinse\"", \""siren\""], [\""saburration\"", \""subarration\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 1,
        ""words"": [
            ""prosely"",
            ""leprosy"",
            ""copras"",
            ""carpos"",
            ""siren"",
            ""reins"",
            ""rinse"",
            ""resin"",
            ""subarration"",
            ""saburration""
        ],
        ""solution"": [
            [
                ""carpos"",
                ""copras""
            ],
            [
                ""leprosy"",
                ""prosely""
            ],
            [
                ""reins"",
                ""resin"",
                ""rinse"",
                ""siren""
            ],
            [
                ""saburration"",
                ""subarration""
            ]
        ],
        ""anagram_groups"": 4,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
2,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""labiodental"", ""dentolabial"", ""intaglios"", ""ligations"", ""isolating"", ""incorporated"", ""adrenotropic"", ""samiti"", ""timias"", ""ostracodan"", ""cardosanto"", ""unadept"", ""untaped"", ""aeneid"", ""diaene"", ""aedine"", ""trumperiness"", ""surprisement"", ""od"", ""do"", ""desmic"", ""medics""]
","[[""adrenotropic"", ""incorporated""], [""aedine"", ""aeneid"", ""diaene""], [""cardosanto"", ""ostracodan""], [""dentolabial"", ""labiodental""], [""desmic"", ""medics""], [""do"", ""od""], [""intaglios"", ""isolating"", ""ligations""], [""samiti"", ""timias""], [""surprisement"", ""trumperiness""], [""unadept"", ""untaped""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""labiodental\"", \""dentolabial\"", \""intaglios\"", \""ligations\"", \""isolating\"", \""incorporated\"", \""adrenotropic\"", \""samiti\"", \""timias\"", \""ostracodan\"", \""cardosanto\"", \""unadept\"", \""untaped\"", \""aeneid\"", \""diaene\"", \""aedine\"", \""trumperiness\"", \""surprisement\"", \""od\"", \""do\"", \""desmic\"", \""medics\""]\n"",
    ""answer"": ""[[\""adrenotropic\"", \""incorporated\""], [\""aedine\"", \""aeneid\"", \""diaene\""], [\""cardosanto\"", \""ostracodan\""], [\""dentolabial\"", \""labiodental\""], [\""desmic\"", \""medics\""], [\""do\"", \""od\""], [\""intaglios\"", \""isolating\"", \""ligations\""], [\""samiti\"", \""timias\""], [\""surprisement\"", \""trumperiness\""], [\""unadept\"", \""untaped\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 2,
        ""words"": [
            ""labiodental"",
            ""dentolabial"",
            ""intaglios"",
            ""ligations"",
            ""isolating"",
            ""incorporated"",
            ""adrenotropic"",
            ""samiti"",
            ""timias"",
            ""ostracodan"",
            ""cardosanto"",
            ""unadept"",
            ""untaped"",
            ""aeneid"",
            ""diaene"",
            ""aedine"",
            ""trumperiness"",
            ""surprisement"",
            ""od"",
            ""do"",
            ""desmic"",
            ""medics""
        ],
        ""solution"": [
            [
                ""adrenotropic"",
                ""incorporated""
            ],
            [
                ""aedine"",
                ""aeneid"",
                ""diaene""
            ],
            [
                ""cardosanto"",
                ""ostracodan""
            ],
            [
                ""dentolabial"",
                ""labiodental""
            ],
            [
                ""desmic"",
                ""medics""
            ],
            [
                ""do"",
                ""od""
            ],
            [
                ""intaglios"",
                ""isolating"",
                ""ligations""
            ],
            [
                ""samiti"",
                ""timias""
            ],
            [
                ""surprisement"",
                ""trumperiness""
            ],
            [
                ""unadept"",
                ""untaped""
            ]
        ],
        ""anagram_groups"": 10,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
3,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""prepared"", ""dapperer"", ""upstare"", ""pasteur"", ""atiptoe"", ""atopite"", ""parlatory"", ""portrayal"", ""debriding"", ""rebidding"", ""sombreness"", ""somberness"", ""zabian"", ""banzai"", ""secondi"", ""codeins"", ""nofile"", ""enfoil"", ""chalmer"", ""charmel""]
","[[""atiptoe"", ""atopite""], [""banzai"", ""zabian""], [""chalmer"", ""charmel""], [""codeins"", ""secondi""], [""dapperer"", ""prepared""], [""debriding"", ""rebidding""], [""enfoil"", ""nofile""], [""parlatory"", ""portrayal""], [""pasteur"", ""upstare""], [""somberness"", ""sombreness""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""prepared\"", \""dapperer\"", \""upstare\"", \""pasteur\"", \""atiptoe\"", \""atopite\"", \""parlatory\"", \""portrayal\"", \""debriding\"", \""rebidding\"", \""sombreness\"", \""somberness\"", \""zabian\"", \""banzai\"", \""secondi\"", \""codeins\"", \""nofile\"", \""enfoil\"", \""chalmer\"", \""charmel\""]\n"",
    ""answer"": ""[[\""atiptoe\"", \""atopite\""], [\""banzai\"", \""zabian\""], [\""chalmer\"", \""charmel\""], [\""codeins\"", \""secondi\""], [\""dapperer\"", \""prepared\""], [\""debriding\"", \""rebidding\""], [\""enfoil\"", \""nofile\""], [\""parlatory\"", \""portrayal\""], [\""pasteur\"", \""upstare\""], [\""somberness\"", \""sombreness\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 3,
        ""words"": [
            ""prepared"",
            ""dapperer"",
            ""upstare"",
            ""pasteur"",
            ""atiptoe"",
            ""atopite"",
            ""parlatory"",
            ""portrayal"",
            ""debriding"",
            ""rebidding"",
            ""sombreness"",
            ""somberness"",
            ""zabian"",
            ""banzai"",
            ""secondi"",
            ""codeins"",
            ""nofile"",
            ""enfoil"",
            ""chalmer"",
            ""charmel""
        ],
        ""solution"": [
            [
                ""atiptoe"",
                ""atopite""
            ],
            [
                ""banzai"",
                ""zabian""
            ],
            [
                ""chalmer"",
                ""charmel""
            ],
            [
                ""codeins"",
                ""secondi""
            ],
            [
                ""dapperer"",
                ""prepared""
            ],
            [
                ""debriding"",
                ""rebidding""
            ],
            [
                ""enfoil"",
                ""nofile""
            ],
            [
                ""parlatory"",
                ""portrayal""
            ],
            [
                ""pasteur"",
                ""upstare""
            ],
            [
                ""somberness"",
                ""sombreness""
            ]
        ],
        ""anagram_groups"": 10,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
4,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""almanac"", ""mancala"", ""scaupers"", ""acupress"", ""spermalist"", ""slipstream"", ""psalmister"", ""wheeled"", ""wheedle"", ""unplied"", ""unpiled"", ""praepostor"", ""pterospora"", ""coat"", ""taco""]
","[[""acupress"", ""scaupers""], [""almanac"", ""mancala""], [""coat"", ""taco""], [""praepostor"", ""pterospora""], [""psalmister"", ""slipstream"", ""spermalist""], [""unpiled"", ""unplied""], [""wheedle"", ""wheeled""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""almanac\"", \""mancala\"", \""scaupers\"", \""acupress\"", \""spermalist\"", \""slipstream\"", \""psalmister\"", \""wheeled\"", \""wheedle\"", \""unplied\"", \""unpiled\"", \""praepostor\"", \""pterospora\"", \""coat\"", \""taco\""]\n"",
    ""answer"": ""[[\""acupress\"", \""scaupers\""], [\""almanac\"", \""mancala\""], [\""coat\"", \""taco\""], [\""praepostor\"", \""pterospora\""], [\""psalmister\"", \""slipstream\"", \""spermalist\""], [\""unpiled\"", \""unplied\""], [\""wheedle\"", \""wheeled\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 4,
        ""words"": [
            ""almanac"",
            ""mancala"",
            ""scaupers"",
            ""acupress"",
            ""spermalist"",
            ""slipstream"",
            ""psalmister"",
            ""wheeled"",
            ""wheedle"",
            ""unplied"",
            ""unpiled"",
            ""praepostor"",
            ""pterospora"",
            ""coat"",
            ""taco""
        ],
        ""solution"": [
            [
                ""acupress"",
                ""scaupers""
            ],
            [
                ""almanac"",
                ""mancala""
            ],
            [
                ""coat"",
                ""taco""
            ],
            [
                ""praepostor"",
                ""pterospora""
            ],
            [
                ""psalmister"",
                ""slipstream"",
                ""spermalist""
            ],
            [
                ""unpiled"",
                ""unplied""
            ],
            [
                ""wheedle"",
                ""wheeled""
            ]
        ],
        ""anagram_groups"": 7,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
5,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""placode"", ""pedocal"", ""mastomenia"", ""seminomata"", ""taise"", ""saite""]
","[[""mastomenia"", ""seminomata""], [""pedocal"", ""placode""], [""saite"", ""taise""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""placode\"", \""pedocal\"", \""mastomenia\"", \""seminomata\"", \""taise\"", \""saite\""]\n"",
    ""answer"": ""[[\""mastomenia\"", \""seminomata\""], [\""pedocal\"", \""placode\""], [\""saite\"", \""taise\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 5,
        ""words"": [
            ""placode"",
            ""pedocal"",
            ""mastomenia"",
            ""seminomata"",
            ""taise"",
            ""saite""
        ],
        ""solution"": [
            [
                ""mastomenia"",
                ""seminomata""
            ],
            [
                ""pedocal"",
                ""placode""
            ],
            [
                ""saite"",
                ""taise""
            ]
        ],
        ""anagram_groups"": 3,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
6,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""encrusted"", ""undersect"", ""uncrested"", ""pretaste"", ""tapester"", ""prestate"", ""peartest"", ""topological"", ""optological"", ""chapote"", ""apothec"", ""amelcorn"", ""cornmeal"", ""ted"", ""det"", ""umlauts"", ""mutuals"", ""extirpates"", ""sexpartite""]
","[[""amelcorn"", ""cornmeal""], [""apothec"", ""chapote""], [""det"", ""ted""], [""encrusted"", ""uncrested"", ""undersect""], [""extirpates"", ""sexpartite""], [""mutuals"", ""umlauts""], [""optological"", ""topological""], [""peartest"", ""prestate"", ""pretaste"", ""tapester""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""encrusted\"", \""undersect\"", \""uncrested\"", \""pretaste\"", \""tapester\"", \""prestate\"", \""peartest\"", \""topological\"", \""optological\"", \""chapote\"", \""apothec\"", \""amelcorn\"", \""cornmeal\"", \""ted\"", \""det\"", \""umlauts\"", \""mutuals\"", \""extirpates\"", \""sexpartite\""]\n"",
    ""answer"": ""[[\""amelcorn\"", \""cornmeal\""], [\""apothec\"", \""chapote\""], [\""det\"", \""ted\""], [\""encrusted\"", \""uncrested\"", \""undersect\""], [\""extirpates\"", \""sexpartite\""], [\""mutuals\"", \""umlauts\""], [\""optological\"", \""topological\""], [\""peartest\"", \""prestate\"", \""pretaste\"", \""tapester\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 6,
        ""words"": [
            ""encrusted"",
            ""undersect"",
            ""uncrested"",
            ""pretaste"",
            ""tapester"",
            ""prestate"",
            ""peartest"",
            ""topological"",
            ""optological"",
            ""chapote"",
            ""apothec"",
            ""amelcorn"",
            ""cornmeal"",
            ""ted"",
            ""det"",
            ""umlauts"",
            ""mutuals"",
            ""extirpates"",
            ""sexpartite""
        ],
        ""solution"": [
            [
                ""amelcorn"",
                ""cornmeal""
            ],
            [
                ""apothec"",
                ""chapote""
            ],
            [
                ""det"",
                ""ted""
            ],
            [
                ""encrusted"",
                ""uncrested"",
                ""undersect""
            ],
            [
                ""extirpates"",
                ""sexpartite""
            ],
            [
                ""mutuals"",
                ""umlauts""
            ],
            [
                ""optological"",
                ""topological""
            ],
            [
                ""peartest"",
                ""prestate"",
                ""pretaste"",
                ""tapester""
            ]
        ],
        ""anagram_groups"": 8,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
7,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""chetty"", ""tetchy"", ""disponer"", ""prisoned"", ""rhamnoside"", ""admonisher"", ""harmonised"", ""borrower"", ""reborrow"", ""campsite"", ""campiest""]
","[[""admonisher"", ""harmonised"", ""rhamnoside""], [""borrower"", ""reborrow""], [""campiest"", ""campsite""], [""chetty"", ""tetchy""], [""disponer"", ""prisoned""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""chetty\"", \""tetchy\"", \""disponer\"", \""prisoned\"", \""rhamnoside\"", \""admonisher\"", \""harmonised\"", \""borrower\"", \""reborrow\"", \""campsite\"", \""campiest\""]\n"",
    ""answer"": ""[[\""admonisher\"", \""harmonised\"", \""rhamnoside\""], [\""borrower\"", \""reborrow\""], [\""campiest\"", \""campsite\""], [\""chetty\"", \""tetchy\""], [\""disponer\"", \""prisoned\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 7,
        ""words"": [
            ""chetty"",
            ""tetchy"",
            ""disponer"",
            ""prisoned"",
            ""rhamnoside"",
            ""admonisher"",
            ""harmonised"",
            ""borrower"",
            ""reborrow"",
            ""campsite"",
            ""campiest""
        ],
        ""solution"": [
            [
                ""admonisher"",
                ""harmonised"",
                ""rhamnoside""
            ],
            [
                ""borrower"",
                ""reborrow""
            ],
            [
                ""campiest"",
                ""campsite""
            ],
            [
                ""chetty"",
                ""tetchy""
            ],
            [
                ""disponer"",
                ""prisoned""
            ]
        ],
        ""anagram_groups"": 5,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
8,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""ingresses"", ""singeress"", ""tumbles"", ""stumble"", ""groper"", ""porger"", ""aesculin"", ""lunacies"", ""centrodorsal"", ""doroscentral"", ""dorsocentral"", ""cloturing"", ""courtling"", ""pastimer"", ""primates"", ""ligroines"", ""religions"", ""shames"", ""mashes""]
","[[""aesculin"", ""lunacies""], [""centrodorsal"", ""doroscentral"", ""dorsocentral""], [""cloturing"", ""courtling""], [""groper"", ""porger""], [""ingresses"", ""singeress""], [""ligroines"", ""religions""], [""mashes"", ""shames""], [""pastimer"", ""primates""], [""stumble"", ""tumbles""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""ingresses\"", \""singeress\"", \""tumbles\"", \""stumble\"", \""groper\"", \""porger\"", \""aesculin\"", \""lunacies\"", \""centrodorsal\"", \""doroscentral\"", \""dorsocentral\"", \""cloturing\"", \""courtling\"", \""pastimer\"", \""primates\"", \""ligroines\"", \""religions\"", \""shames\"", \""mashes\""]\n"",
    ""answer"": ""[[\""aesculin\"", \""lunacies\""], [\""centrodorsal\"", \""doroscentral\"", \""dorsocentral\""], [\""cloturing\"", \""courtling\""], [\""groper\"", \""porger\""], [\""ingresses\"", \""singeress\""], [\""ligroines\"", \""religions\""], [\""mashes\"", \""shames\""], [\""pastimer\"", \""primates\""], [\""stumble\"", \""tumbles\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 8,
        ""words"": [
            ""ingresses"",
            ""singeress"",
            ""tumbles"",
            ""stumble"",
            ""groper"",
            ""porger"",
            ""aesculin"",
            ""lunacies"",
            ""centrodorsal"",
            ""doroscentral"",
            ""dorsocentral"",
            ""cloturing"",
            ""courtling"",
            ""pastimer"",
            ""primates"",
            ""ligroines"",
            ""religions"",
            ""shames"",
            ""mashes""
        ],
        ""solution"": [
            [
                ""aesculin"",
                ""lunacies""
            ],
            [
                ""centrodorsal"",
                ""doroscentral"",
                ""dorsocentral""
            ],
            [
                ""cloturing"",
                ""courtling""
            ],
            [
                ""groper"",
                ""porger""
            ],
            [
                ""ingresses"",
                ""singeress""
            ],
            [
                ""ligroines"",
                ""religions""
            ],
            [
                ""mashes"",
                ""shames""
            ],
            [
                ""pastimer"",
                ""primates""
            ],
            [
                ""stumble"",
                ""tumbles""
            ]
        ],
        ""anagram_groups"": 9,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
9,group_anagrams,"An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.

Your job is to group the anagrams together. You can return the answer in any order.

The output is a list of lists of strings enclosed in triple angle brackets, where each outer list contains a group of anagrams, e.g. <<<[[""eat"", ""tea""], [""tan"", ""nat""]]>>>.

Group the following list of words into anagrams:
[""dittanies"", ""daintiest"", ""carols"", ""claros"", ""bunged"", ""bedung"", ""unshaded"", ""undashed"", ""veeps"", ""vepse"", ""providers"", ""disprover"", ""infarcted"", ""infracted"", ""tumbester"", ""umbrettes""]
","[[""bedung"", ""bunged""], [""carols"", ""claros""], [""daintiest"", ""dittanies""], [""disprover"", ""providers""], [""infarcted"", ""infracted""], [""tumbester"", ""umbrettes""], [""undashed"", ""unshaded""], [""veeps"", ""vepse""]]","{
    ""question"": ""An anagram is a word formed by rearranging the letters of a different word, using all the original letters exactly once.\n\nYour job is to group the anagrams together. You can return the answer in any order.\n\nThe output is a list of lists of strings, where each outer list contains a group of anagrams, e.g. [[\""eat\"", \""tea\""], [\""tan\"", \""nat\""]].\n\nGroup the following list of words into anagrams:\n[\""dittanies\"", \""daintiest\"", \""carols\"", \""claros\"", \""bunged\"", \""bedung\"", \""unshaded\"", \""undashed\"", \""veeps\"", \""vepse\"", \""providers\"", \""disprover\"", \""infarcted\"", \""infracted\"", \""tumbester\"", \""umbrettes\""]\n"",
    ""answer"": ""[[\""bedung\"", \""bunged\""], [\""carols\"", \""claros\""], [\""daintiest\"", \""dittanies\""], [\""disprover\"", \""providers\""], [\""infarcted\"", \""infracted\""], [\""tumbester\"", \""umbrettes\""], [\""undashed\"", \""unshaded\""], [\""veeps\"", \""vepse\""]]"",
    ""metadata"": {
        ""source_dataset"": ""group_anagrams"",
        ""source_index"": 9,
        ""words"": [
            ""dittanies"",
            ""daintiest"",
            ""carols"",
            ""claros"",
            ""bunged"",
            ""bedung"",
            ""unshaded"",
            ""undashed"",
            ""veeps"",
            ""vepse"",
            ""providers"",
            ""disprover"",
            ""infarcted"",
            ""infracted"",
            ""tumbester"",
            ""umbrettes""
        ],
        ""solution"": [
            [
                ""bedung"",
                ""bunged""
            ],
            [
                ""carols"",
                ""claros""
            ],
            [
                ""daintiest"",
                ""dittanies""
            ],
            [
                ""disprover"",
                ""providers""
            ],
            [
                ""infarcted"",
                ""infracted""
            ],
            [
                ""tumbester"",
                ""umbrettes""
            ],
            [
                ""undashed"",
                ""unshaded""
            ],
            [
                ""veeps"",
                ""vepse""
            ]
        ],
        ""anagram_groups"": 8,
        ""difficulty"": {
            ""anagram_groups"": [
                2,
                10
            ],
            ""words_per_group"": [
                2,
                5
            ]
        }
    }
}"
