ID,dataset,question,answer,full_data
0,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 lions, 1 dog, 12 starfishs, 1 giraffe?

Output final answer with the format <<<answer>>>.",100,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 8 lions, 1 dog, 12 starfishs, 1 giraffe?\n"",
    ""answer"": ""100"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 0,
        ""animals"": {
            ""lion"": 8,
            ""dog"": 1,
            ""starfish"": 12,
            ""giraffe"": 1
        },
        ""num_animals"": 4,
        ""total_legs"": 100,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
1,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 elephants, 11 deers, 15 fireflys, 10 lobsters, 9 crabs?

Output final answer with the format <<<answer>>>.",336,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 3 elephants, 11 deers, 15 fireflys, 10 lobsters, 9 crabs?\n"",
    ""answer"": ""336"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 1,
        ""animals"": {
            ""elephant"": 3,
            ""deer"": 11,
            ""firefly"": 15,
            ""lobster"": 10,
            ""crab"": 9
        },
        ""num_animals"": 5,
        ""total_legs"": 336,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
2,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 sea slugs, 2 elephants, 10 woodlouses, 9 bees, 14 beetles, 3 leechs, 2 lions, 5 dogs?

Output final answer with the format <<<answer>>>.",314,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 6 sea slugs, 2 elephants, 10 woodlouses, 9 bees, 14 beetles, 3 leechs, 2 lions, 5 dogs?\n"",
    ""answer"": ""314"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 2,
        ""animals"": {
            ""sea slug"": 6,
            ""elephant"": 2,
            ""woodlouse"": 10,
            ""bee"": 9,
            ""beetle"": 14,
            ""leech"": 3,
            ""lion"": 2,
            ""dog"": 5
        },
        ""num_animals"": 8,
        ""total_legs"": 314,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
3,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 ducks, 9 ants, 13 dogs, 14 sheeps, 15 crickets, 13 tigers, 5 crabs, 11 sea slugs?

Output final answer with the format <<<answer>>>.",378,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 12 ducks, 9 ants, 13 dogs, 14 sheeps, 15 crickets, 13 tigers, 5 crabs, 11 sea slugs?\n"",
    ""answer"": ""378"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 3,
        ""animals"": {
            ""duck"": 12,
            ""ant"": 9,
            ""dog"": 13,
            ""sheep"": 14,
            ""cricket"": 15,
            ""tiger"": 13,
            ""crab"": 5,
            ""sea slug"": 11
        },
        ""num_animals"": 8,
        ""total_legs"": 378,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
4,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 flatworms, 11 sea slugs, 7 sheeps, 6 chickens, 9 snakes, 5 cows, 9 humans, 2 ducks?

Output final answer with the format <<<answer>>>.",82,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 12 flatworms, 11 sea slugs, 7 sheeps, 6 chickens, 9 snakes, 5 cows, 9 humans, 2 ducks?\n"",
    ""answer"": ""82"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 4,
        ""animals"": {
            ""flatworm"": 12,
            ""sea slug"": 11,
            ""sheep"": 7,
            ""chicken"": 6,
            ""snake"": 9,
            ""cow"": 5,
            ""human"": 9,
            ""duck"": 2
        },
        ""num_animals"": 8,
        ""total_legs"": 82,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
5,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 scorpions, 13 jellyfishs, 2 beetles, 11 cockroachs?

Output final answer with the format <<<answer>>>.",150,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 9 scorpions, 13 jellyfishs, 2 beetles, 11 cockroachs?\n"",
    ""answer"": ""150"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 5,
        ""animals"": {
            ""scorpion"": 9,
            ""jellyfish"": 13,
            ""beetle"": 2,
            ""cockroach"": 11
        },
        ""num_animals"": 4,
        ""total_legs"": 150,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
6,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 crickets, 10 birds, 6 leechs, 6 beetles, 5 praying mantiss, 12 crabs, 6 sea slugs, 10 starfishs, 12 ants?

Output final answer with the format <<<answer>>>.",346,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 3 crickets, 10 birds, 6 leechs, 6 beetles, 5 praying mantiss, 12 crabs, 6 sea slugs, 10 starfishs, 12 ants?\n"",
    ""answer"": ""346"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 6,
        ""animals"": {
            ""cricket"": 3,
            ""bird"": 10,
            ""leech"": 6,
            ""beetle"": 6,
            ""praying mantis"": 5,
            ""crab"": 12,
            ""sea slug"": 6,
            ""starfish"": 10,
            ""ant"": 12
        },
        ""num_animals"": 9,
        ""total_legs"": 346,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
7,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 tigers, 10 bees, 1 sea slug, 11 horses, 13 elephants, 5 wasps?

Output final answer with the format <<<answer>>>.",234,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 12 tigers, 10 bees, 1 sea slug, 11 horses, 13 elephants, 5 wasps?\n"",
    ""answer"": ""234"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 7,
        ""animals"": {
            ""tiger"": 12,
            ""bee"": 10,
            ""sea slug"": 1,
            ""horse"": 11,
            ""elephant"": 13,
            ""wasp"": 5
        },
        ""num_animals"": 6,
        ""total_legs"": 234,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
8,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 crabs, 14 jellyfishs, 1 giraffe, 9 sheeps, 15 lions, 12 ducks, 3 bees, 1 cow, 11 spiders, 4 beetles?

Output final answer with the format <<<answer>>>.",338,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 8 crabs, 14 jellyfishs, 1 giraffe, 9 sheeps, 15 lions, 12 ducks, 3 bees, 1 cow, 11 spiders, 4 beetles?\n"",
    ""answer"": ""338"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 8,
        ""animals"": {
            ""crab"": 8,
            ""jellyfish"": 14,
            ""giraffe"": 1,
            ""sheep"": 9,
            ""lion"": 15,
            ""duck"": 12,
            ""bee"": 3,
            ""cow"": 1,
            ""spider"": 11,
            ""beetle"": 4
        },
        ""num_animals"": 10,
        ""total_legs"": 338,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
9,leg_counting,"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 ants, 10 elephants, 1 cat, 13 bees, 4 sheeps, 11 deers, 14 horses, 1 cricket, 8 beetles?

Output final answer with the format <<<answer>>>.",370,"{
    ""question"": ""Your task is to count how many legs there are in total when given a list of animals.\n\nNow, how many legs are there in total if you have 13 ants, 10 elephants, 1 cat, 13 bees, 4 sheeps, 11 deers, 14 horses, 1 cricket, 8 beetles?\n"",
    ""answer"": ""370"",
    ""metadata"": {
        ""source_dataset"": ""leg_counting"",
        ""source_index"": 9,
        ""animals"": {
            ""ant"": 13,
            ""elephant"": 10,
            ""cat"": 1,
            ""bee"": 13,
            ""sheep"": 4,
            ""deer"": 11,
            ""horse"": 14,
            ""cricket"": 1,
            ""beetle"": 8
        },
        ""num_animals"": 9,
        ""total_legs"": 370,
        ""difficulty"": {
            ""num_animals"": [
                3,
                10
            ],
            ""num_instances"": [
                1,
                15
            ]
        }
    }
}"
