ID,dataset,question,answer,full_data
0,color_cube_rotation,"A cube has:
- a cyan top side
- a green right side
- a purple front side
- a orange left side
- a magenta back side
- a gold bottom side

The cube is rotated so that the side which was before at the bottom is now at the top.

After that the cube is turned to make the right face the top.

What is now the color of the back side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",purple,"{
    ""question"": ""A cube has:\n- a cyan top side\n- a green right side\n- a purple front side\n- a orange left side\n- a magenta back side\n- a gold bottom side\n\nThe cube is rotated so that the side which was before at the bottom is now at the top.\n\nAfter that the cube is turned to make the right face the top.\n\nWhat is now the color of the back side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""purple"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 0,
        ""initial_state"": {
            ""top"": ""cyan"",
            ""right"": ""green"",
            ""front"": ""purple"",
            ""left"": ""orange"",
            ""back"": ""magenta"",
            ""bottom"": ""gold""
        },
        ""rotations"": [
            ""bottom"",
            ""right""
        ],
        ""target_side"": ""back"",
        ""num_rotations"": 2,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
1,color_cube_rotation,"A cube has:
- a red top side
- a green right side
- a silver front side
- a magenta left side
- a purple back side
- a gold bottom side

The cube is rotated so that the side which was before at the left is now at the top.

Next, the right side is rotated to become the top face.

What is now the color of the front side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",silver,"{
    ""question"": ""A cube has:\n- a red top side\n- a green right side\n- a silver front side\n- a magenta left side\n- a purple back side\n- a gold bottom side\n\nThe cube is rotated so that the side which was before at the left is now at the top.\n\nNext, the right side is rotated to become the top face.\n\nWhat is now the color of the front side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""silver"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 1,
        ""initial_state"": {
            ""top"": ""red"",
            ""right"": ""green"",
            ""front"": ""silver"",
            ""left"": ""magenta"",
            ""back"": ""purple"",
            ""bottom"": ""gold""
        },
        ""rotations"": [
            ""left"",
            ""right""
        ],
        ""target_side"": ""front"",
        ""num_rotations"": 2,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
2,color_cube_rotation,"A cube has:
- a indigo top side
- a gold right side
- a white front side
- a brown left side
- a violet back side
- a pink bottom side

The cube is rotated so that the side which was before at the bottom is now at the top.

Then the cube is rotated to bring the right side to the top.

What is now the color of the right side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",indigo,"{
    ""question"": ""A cube has:\n- a indigo top side\n- a gold right side\n- a white front side\n- a brown left side\n- a violet back side\n- a pink bottom side\n\nThe cube is rotated so that the side which was before at the bottom is now at the top.\n\nThen the cube is rotated to bring the right side to the top.\n\nWhat is now the color of the right side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""indigo"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 2,
        ""initial_state"": {
            ""top"": ""indigo"",
            ""right"": ""gold"",
            ""front"": ""white"",
            ""left"": ""brown"",
            ""back"": ""violet"",
            ""bottom"": ""pink""
        },
        ""rotations"": [
            ""bottom"",
            ""right""
        ],
        ""target_side"": ""right"",
        ""num_rotations"": 2,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
3,color_cube_rotation,"A cube has:
- a indigo top side
- a green right side
- a yellow front side
- a violet left side
- a brown back side
- a red bottom side

The cube is rotated so that the side which was before at the bottom is now at the top.

Then the cube is rotated to bring the right side to the top.

Then the cube is rotated to bring the left side to the top.

What is now the color of the top side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",red,"{
    ""question"": ""A cube has:\n- a indigo top side\n- a green right side\n- a yellow front side\n- a violet left side\n- a brown back side\n- a red bottom side\n\nThe cube is rotated so that the side which was before at the bottom is now at the top.\n\nThen the cube is rotated to bring the right side to the top.\n\nThen the cube is rotated to bring the left side to the top.\n\nWhat is now the color of the top side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""red"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 3,
        ""initial_state"": {
            ""top"": ""indigo"",
            ""right"": ""green"",
            ""front"": ""yellow"",
            ""left"": ""violet"",
            ""back"": ""brown"",
            ""bottom"": ""red""
        },
        ""rotations"": [
            ""bottom"",
            ""right"",
            ""left""
        ],
        ""target_side"": ""top"",
        ""num_rotations"": 3,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
4,color_cube_rotation,"A cube has:
- a gray top side
- a purple right side
- a magenta front side
- a orange left side
- a yellow back side
- a pink bottom side

The cube is rotated so that the side which was before at the right is now at the top.

Next, the bottom side is rotated to become the top face.

Now the cube is rotated to place its back side at the top.

What is now the color of the left side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",gray,"{
    ""question"": ""A cube has:\n- a gray top side\n- a purple right side\n- a magenta front side\n- a orange left side\n- a yellow back side\n- a pink bottom side\n\nThe cube is rotated so that the side which was before at the right is now at the top.\n\nNext, the bottom side is rotated to become the top face.\n\nNow the cube is rotated to place its back side at the top.\n\nWhat is now the color of the left side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""gray"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 4,
        ""initial_state"": {
            ""top"": ""gray"",
            ""right"": ""purple"",
            ""front"": ""magenta"",
            ""left"": ""orange"",
            ""back"": ""yellow"",
            ""bottom"": ""pink""
        },
        ""rotations"": [
            ""right"",
            ""bottom"",
            ""back""
        ],
        ""target_side"": ""left"",
        ""num_rotations"": 3,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
5,color_cube_rotation,"A cube has:
- a pink top side
- a green right side
- a violet front side
- a purple left side
- a silver back side
- a white bottom side

The cube is rotated so that the side which was before at the back is now at the top.

Then the cube is rotated to bring the back side to the top.

What is now the color of the right side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",green,"{
    ""question"": ""A cube has:\n- a pink top side\n- a green right side\n- a violet front side\n- a purple left side\n- a silver back side\n- a white bottom side\n\nThe cube is rotated so that the side which was before at the back is now at the top.\n\nThen the cube is rotated to bring the back side to the top.\n\nWhat is now the color of the right side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""green"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 5,
        ""initial_state"": {
            ""top"": ""pink"",
            ""right"": ""green"",
            ""front"": ""violet"",
            ""left"": ""purple"",
            ""back"": ""silver"",
            ""bottom"": ""white""
        },
        ""rotations"": [
            ""back"",
            ""back""
        ],
        ""target_side"": ""right"",
        ""num_rotations"": 2,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
6,color_cube_rotation,"A cube has:
- a indigo top side
- a yellow right side
- a brown front side
- a blue left side
- a cyan back side
- a white bottom side

The cube is rotated so that the side which was before at the left is now at the top.

Next, the bottom side is rotated to become the top face.

After that the cube is turned to make the left face the top.

What is now the color of the left side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",blue,"{
    ""question"": ""A cube has:\n- a indigo top side\n- a yellow right side\n- a brown front side\n- a blue left side\n- a cyan back side\n- a white bottom side\n\nThe cube is rotated so that the side which was before at the left is now at the top.\n\nNext, the bottom side is rotated to become the top face.\n\nAfter that the cube is turned to make the left face the top.\n\nWhat is now the color of the left side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""blue"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 6,
        ""initial_state"": {
            ""top"": ""indigo"",
            ""right"": ""yellow"",
            ""front"": ""brown"",
            ""left"": ""blue"",
            ""back"": ""cyan"",
            ""bottom"": ""white""
        },
        ""rotations"": [
            ""left"",
            ""bottom"",
            ""left""
        ],
        ""target_side"": ""left"",
        ""num_rotations"": 3,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
7,color_cube_rotation,"A cube has:
- a gray top side
- a cyan right side
- a pink front side
- a brown left side
- a green back side
- a blue bottom side

The cube is rotated so that the side which was before at the right is now at the top.

Now the cube is rotated to place its right side at the top.

What is now the color of the left side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",cyan,"{
    ""question"": ""A cube has:\n- a gray top side\n- a cyan right side\n- a pink front side\n- a brown left side\n- a green back side\n- a blue bottom side\n\nThe cube is rotated so that the side which was before at the right is now at the top.\n\nNow the cube is rotated to place its right side at the top.\n\nWhat is now the color of the left side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""cyan"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 7,
        ""initial_state"": {
            ""top"": ""gray"",
            ""right"": ""cyan"",
            ""front"": ""pink"",
            ""left"": ""brown"",
            ""back"": ""green"",
            ""bottom"": ""blue""
        },
        ""rotations"": [
            ""right"",
            ""right""
        ],
        ""target_side"": ""left"",
        ""num_rotations"": 2,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
8,color_cube_rotation,"A cube has:
- a green top side
- a cyan right side
- a purple front side
- a gold left side
- a violet back side
- a pink bottom side

The cube is rotated so that the side which was before at the front is now at the top.

What is now the color of the back side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",green,"{
    ""question"": ""A cube has:\n- a green top side\n- a cyan right side\n- a purple front side\n- a gold left side\n- a violet back side\n- a pink bottom side\n\nThe cube is rotated so that the side which was before at the front is now at the top.\n\nWhat is now the color of the back side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""green"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 8,
        ""initial_state"": {
            ""top"": ""green"",
            ""right"": ""cyan"",
            ""front"": ""purple"",
            ""left"": ""gold"",
            ""back"": ""violet"",
            ""bottom"": ""pink""
        },
        ""rotations"": [
            ""front""
        ],
        ""target_side"": ""back"",
        ""num_rotations"": 1,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
9,color_cube_rotation,"A cube has:
- a green top side
- a violet right side
- a magenta front side
- a red left side
- a pink back side
- a indigo bottom side

The cube is rotated so that the side which was before at the front is now at the top.

Now the cube is rotated to place its front side at the top.

What is now the color of the bottom side of the cube?
Provide only the color as your final answer.
Output final answer with the format <<<answer>>>.",green,"{
    ""question"": ""A cube has:\n- a green top side\n- a violet right side\n- a magenta front side\n- a red left side\n- a pink back side\n- a indigo bottom side\n\nThe cube is rotated so that the side which was before at the front is now at the top.\n\nNow the cube is rotated to place its front side at the top.\n\nWhat is now the color of the bottom side of the cube?\nProvide only the color as your final answer."",
    ""answer"": ""green"",
    ""metadata"": {
        ""source_dataset"": ""color_cube_rotation"",
        ""source_index"": 9,
        ""initial_state"": {
            ""top"": ""green"",
            ""right"": ""violet"",
            ""front"": ""magenta"",
            ""left"": ""red"",
            ""back"": ""pink"",
            ""bottom"": ""indigo""
        },
        ""rotations"": [
            ""front"",
            ""front""
        ],
        ""target_side"": ""bottom"",
        ""num_rotations"": 2,
        ""difficulty"": {
            ""rotations"": [
                1,
                3
            ]
        }
    }
}"
