ID,dataset,question,answer,full_data
0,aiw,"Linda has 3 brothers and she also has 6 sisters. How many sisters does Linda's brother have?
Output final answer with the format <<<answer>>>",7,"{
    ""question"": ""Linda has 3 brothers and she also has 6 sisters. How many sisters does Linda's brother have?"",
    ""answer"": ""7"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 0,
        ""task_type"": ""siblings"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
1,aiw,"Alice has 3 male friends and she also has 4 female friends. They all are friends with each other and have no other friends aside. How many female friends does Michael, a male friend of Alice, have?
Output final answer with the format <<<answer>>>",5,"{
    ""question"": ""Alice has 3 male friends and she also has 4 female friends. They all are friends with each other and have no other friends aside. How many female friends does Michael, a male friend of Alice, have?"",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 1,
        ""task_type"": ""friends"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
2,aiw,"Margaret has 2 male friends and she also has 1 female friends. They all are friends with each other and have no other friends aside. How many female friends does James, a male friend of Margaret, have?
Output final answer with the format <<<answer>>>",2,"{
    ""question"": ""Margaret has 2 male friends and she also has 1 female friends. They all are friends with each other and have no other friends aside. How many female friends does James, a male friend of Margaret, have?"",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 2,
        ""task_type"": ""friends"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
3,aiw,"Jennifer has 2 male friends and she also has 3 female friends. They all are friends with each other and have no other friends aside. How many female friends does David, a male friend of Jennifer, have?
Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Jennifer has 2 male friends and she also has 3 female friends. They all are friends with each other and have no other friends aside. How many female friends does David, a male friend of Jennifer, have?"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 3,
        ""task_type"": ""friends"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
4,aiw,"Mary has 1 brothers and she also has 1 sisters. How many sisters does Mary's brother have?
Output final answer with the format <<<answer>>>",2,"{
    ""question"": ""Mary has 1 brothers and she also has 1 sisters. How many sisters does Mary's brother have?"",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 4,
        ""task_type"": ""siblings"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
5,aiw,"Patricia has 6 male colleagues and she also has 6 female colleagues. These are all colleagues that Patricia has. All these mentioned persons around Patricia are colleagues of each other. Charles has 6 male colleagues and 5 female colleagues in total. All these mentioned persons around Charles are colleagues of each other. The people in the circle around Charles do not have other colleagues aside - with the only exception of Matilda. She is colleague of Charles and she is also colleague of Patricia, being part of Patricia's circle. How many female colleagues does Matilda have?
Output final answer with the format <<<answer>>>",7,"{
    ""question"": ""Patricia has 6 male colleagues and she also has 6 female colleagues. These are all colleagues that Patricia has. All these mentioned persons around Patricia are colleagues of each other. Charles has 6 male colleagues and 5 female colleagues in total. All these mentioned persons around Charles are colleagues of each other. The people in the circle around Charles do not have other colleagues aside - with the only exception of Matilda. She is colleague of Charles and she is also colleague of Patricia, being part of Patricia's circle. How many female colleagues does Matilda have?"",
    ""answer"": ""7"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 5,
        ""task_type"": ""colleagues"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
6,aiw,"Susan has 1 male friends and she also has 3 female friends. They all are friends with each other and have no other friends aside. How many female friends does John, a male friend of Susan, have?
Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Susan has 1 male friends and she also has 3 female friends. They all are friends with each other and have no other friends aside. How many female friends does John, a male friend of Susan, have?"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 6,
        ""task_type"": ""friends"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
7,aiw,"Susan has 2 sisters and she also has 2 brothers. How many sisters does James's brother have?
Output final answer with the format <<<answer>>>",3,"{
    ""question"": ""Susan has 2 sisters and she also has 2 brothers. How many sisters does James's brother have?"",
    ""answer"": ""3"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 7,
        ""task_type"": ""siblings"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
8,aiw,"Sarah has 2 male friends and she also has 3 female friends. They all are friends with each other and have no other friends aside. How many female friends does James, a male friend of Sarah, have?
Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Sarah has 2 male friends and she also has 3 female friends. They all are friends with each other and have no other friends aside. How many female friends does James, a male friend of Sarah, have?"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 8,
        ""task_type"": ""friends"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
9,aiw,"Linda has 4 male friends and she also has 5 female friends. They all are friends with each other and have no other friends aside. How many female friends does Robert, a male friend of Linda, have?
Output final answer with the format <<<answer>>>",6,"{
    ""question"": ""Linda has 4 male friends and she also has 5 female friends. They all are friends with each other and have no other friends aside. How many female friends does Robert, a male friend of Linda, have?"",
    ""answer"": ""6"",
    ""metadata"": {
        ""source_dataset"": ""aiw"",
        ""source_index"": 9,
        ""task_type"": ""friends"",
        ""difficulty"": {
            ""task_type_weight"": [
                0.3333333333333333,
                0.3333333333333333,
                0.3333333333333333
            ],
            ""num_entities"": 6
        }
    }
}"
