ID,dataset,question,answer,full_data
0,decimal_chain_sum,"State the final answer to the following arithmetic problem: 28.13 + 48.1631 =
Output final answer with the format <<<answer>>>.",76.2931,"{
    ""question"": ""State the final answer to the following arithmetic problem: 28.13 + 48.1631 ="",
    ""answer"": ""76.2931"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 0,
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""expression"": ""28.13 + 48.1631"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
1,decimal_chain_sum,"State the final answer to the following arithmetic problem: 90.48 - 39.523 - 45.6066 - 71.9490 + 93.608 + 78.1 =
Output final answer with the format <<<answer>>>.",105.1094,"{
    ""question"": ""State the final answer to the following arithmetic problem: 90.48 - 39.523 - 45.6066 - 71.9490 + 93.608 + 78.1 ="",
    ""answer"": ""105.1094"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 1,
        ""num_terms"": 6,
        ""num_digits"": 2,
        ""expression"": ""90.48 - 39.523 - 45.6066 - 71.9490 + 93.608 + 78.1"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
2,decimal_chain_sum,"State the final answer to the following arithmetic problem: 699.698 + 128.9 + 963.3536 + 334.198 + 130.380 - 498.6 =
Output final answer with the format <<<answer>>>.",1757.9296,"{
    ""question"": ""State the final answer to the following arithmetic problem: 699.698 + 128.9 + 963.3536 + 334.198 + 130.380 - 498.6 ="",
    ""answer"": ""1757.9296"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 2,
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""expression"": ""699.698 + 128.9 + 963.3536 + 334.198 + 130.380 - 498.6"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
3,decimal_chain_sum,"State the final answer to the following arithmetic problem: 868.924 + 234.2584 - 865.473 - 448.1 + 985.626 - 257.111 =
Output final answer with the format <<<answer>>>.",518.1244,"{
    ""question"": ""State the final answer to the following arithmetic problem: 868.924 + 234.2584 - 865.473 - 448.1 + 985.626 - 257.111 ="",
    ""answer"": ""518.1244"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 3,
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""expression"": ""868.924 + 234.2584 - 865.473 - 448.1 + 985.626 - 257.111"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
4,decimal_chain_sum,"State the final answer to the following arithmetic problem: 0.56 + 4.81 - 1.374 - 0.9892 =
Output final answer with the format <<<answer>>>.",3.0068,"{
    ""question"": ""State the final answer to the following arithmetic problem: 0.56 + 4.81 - 1.374 - 0.9892 ="",
    ""answer"": ""3.0068"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 4,
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""expression"": ""0.56 + 4.81 - 1.374 - 0.9892"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
5,decimal_chain_sum,"State the final answer to the following arithmetic problem: 9.3 - 8.1811 - 0.193 - 5.7768 - 7.2231 + 8.9907 =
Output final answer with the format <<<answer>>>.",-3.0833,"{
    ""question"": ""State the final answer to the following arithmetic problem: 9.3 - 8.1811 - 0.193 - 5.7768 - 7.2231 + 8.9907 ="",
    ""answer"": ""-3.0833"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 5,
        ""num_terms"": 6,
        ""num_digits"": 1,
        ""expression"": ""9.3 - 8.1811 - 0.193 - 5.7768 - 7.2231 + 8.9907"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
6,decimal_chain_sum,"State the final answer to the following arithmetic problem: 2664.6 - 2085.89 + 7003.844 + 8591.415 - 7142.584 =
Output final answer with the format <<<answer>>>.",9031.385,"{
    ""question"": ""State the final answer to the following arithmetic problem: 2664.6 - 2085.89 + 7003.844 + 8591.415 - 7142.584 ="",
    ""answer"": ""9031.385"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 6,
        ""num_terms"": 5,
        ""num_digits"": 4,
        ""expression"": ""2664.6 - 2085.89 + 7003.844 + 8591.415 - 7142.584"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
7,decimal_chain_sum,"State the final answer to the following arithmetic problem: 494.92 + 126.5172 + 299.6 =
Output final answer with the format <<<answer>>>.",921.0372,"{
    ""question"": ""State the final answer to the following arithmetic problem: 494.92 + 126.5172 + 299.6 ="",
    ""answer"": ""921.0372"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 7,
        ""num_terms"": 3,
        ""num_digits"": 3,
        ""expression"": ""494.92 + 126.5172 + 299.6"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
8,decimal_chain_sum,"State the final answer to the following arithmetic problem: 3.756 - 4.4309 + 3.8 - 2.16 - 5.3 =
Output final answer with the format <<<answer>>>.",-4.3349,"{
    ""question"": ""State the final answer to the following arithmetic problem: 3.756 - 4.4309 + 3.8 - 2.16 - 5.3 ="",
    ""answer"": ""-4.3349"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 8,
        ""num_terms"": 5,
        ""num_digits"": 1,
        ""expression"": ""3.756 - 4.4309 + 3.8 - 2.16 - 5.3"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
9,decimal_chain_sum,"State the final answer to the following arithmetic problem: 336.777 + 270.959 - 494.1300 + 691.8 - 806.29 =
Output final answer with the format <<<answer>>>.",-0.8840,"{
    ""question"": ""State the final answer to the following arithmetic problem: 336.777 + 270.959 - 494.1300 + 691.8 - 806.29 ="",
    ""answer"": ""-0.8840"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 9,
        ""num_terms"": 5,
        ""num_digits"": 3,
        ""expression"": ""336.777 + 270.959 - 494.1300 + 691.8 - 806.29"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
10,decimal_chain_sum,"State the final answer to the following arithmetic problem: 4.23 + 3.96 =
Output final answer with the format <<<answer>>>.",8.19,"{
    ""question"": ""State the final answer to the following arithmetic problem: 4.23 + 3.96 ="",
    ""answer"": ""8.19"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 10,
        ""num_terms"": 2,
        ""num_digits"": 1,
        ""expression"": ""4.23 + 3.96"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
11,decimal_chain_sum,"State the final answer to the following arithmetic problem: 812.57 - 880.2577 =
Output final answer with the format <<<answer>>>.",-67.6877,"{
    ""question"": ""State the final answer to the following arithmetic problem: 812.57 - 880.2577 ="",
    ""answer"": ""-67.6877"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 11,
        ""num_terms"": 2,
        ""num_digits"": 3,
        ""expression"": ""812.57 - 880.2577"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
12,decimal_chain_sum,"State the final answer to the following arithmetic problem: 2.75 - 6.5 - 3.7 + 4.7 - 0.98 =
Output final answer with the format <<<answer>>>.",-3.73,"{
    ""question"": ""State the final answer to the following arithmetic problem: 2.75 - 6.5 - 3.7 + 4.7 - 0.98 ="",
    ""answer"": ""-3.73"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 12,
        ""num_terms"": 5,
        ""num_digits"": 1,
        ""expression"": ""2.75 - 6.5 - 3.7 + 4.7 - 0.98"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
13,decimal_chain_sum,"State the final answer to the following arithmetic problem: 8995.111 - 5221.2 + 2341.5 + 5967.2928 =
Output final answer with the format <<<answer>>>.",12082.7038,"{
    ""question"": ""State the final answer to the following arithmetic problem: 8995.111 - 5221.2 + 2341.5 + 5967.2928 ="",
    ""answer"": ""12082.7038"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 13,
        ""num_terms"": 4,
        ""num_digits"": 4,
        ""expression"": ""8995.111 - 5221.2 + 2341.5 + 5967.2928"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
14,decimal_chain_sum,"State the final answer to the following arithmetic problem: 1654.13 - 4744.2 =
Output final answer with the format <<<answer>>>.",-3090.07,"{
    ""question"": ""State the final answer to the following arithmetic problem: 1654.13 - 4744.2 ="",
    ""answer"": ""-3090.07"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 14,
        ""num_terms"": 2,
        ""num_digits"": 4,
        ""expression"": ""1654.13 - 4744.2"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
15,decimal_chain_sum,"State the final answer to the following arithmetic problem: 6.730 + 8.141 + 7.7857 - 9.1387 =
Output final answer with the format <<<answer>>>.",13.5180,"{
    ""question"": ""State the final answer to the following arithmetic problem: 6.730 + 8.141 + 7.7857 - 9.1387 ="",
    ""answer"": ""13.5180"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 15,
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""expression"": ""6.730 + 8.141 + 7.7857 - 9.1387"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
16,decimal_chain_sum,"State the final answer to the following arithmetic problem: 235.93 + 670.4611 - 828.37 + 647.75 + 409.9 + 912.9332 =
Output final answer with the format <<<answer>>>.",2048.6043,"{
    ""question"": ""State the final answer to the following arithmetic problem: 235.93 + 670.4611 - 828.37 + 647.75 + 409.9 + 912.9332 ="",
    ""answer"": ""2048.6043"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 16,
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""expression"": ""235.93 + 670.4611 - 828.37 + 647.75 + 409.9 + 912.9332"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
17,decimal_chain_sum,"State the final answer to the following arithmetic problem: 523.796 - 213.1 =
Output final answer with the format <<<answer>>>.",310.696,"{
    ""question"": ""State the final answer to the following arithmetic problem: 523.796 - 213.1 ="",
    ""answer"": ""310.696"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 17,
        ""num_terms"": 2,
        ""num_digits"": 3,
        ""expression"": ""523.796 - 213.1"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
18,decimal_chain_sum,"State the final answer to the following arithmetic problem: 472.256 - 752.6 + 348.945 + 809.22 + 584.6 =
Output final answer with the format <<<answer>>>.",1462.421,"{
    ""question"": ""State the final answer to the following arithmetic problem: 472.256 - 752.6 + 348.945 + 809.22 + 584.6 ="",
    ""answer"": ""1462.421"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 18,
        ""num_terms"": 5,
        ""num_digits"": 3,
        ""expression"": ""472.256 - 752.6 + 348.945 + 809.22 + 584.6"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
19,decimal_chain_sum,"State the final answer to the following arithmetic problem: 41.849 - 39.9980 - 80.9577 =
Output final answer with the format <<<answer>>>.",-79.1067,"{
    ""question"": ""State the final answer to the following arithmetic problem: 41.849 - 39.9980 - 80.9577 ="",
    ""answer"": ""-79.1067"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 19,
        ""num_terms"": 3,
        ""num_digits"": 2,
        ""expression"": ""41.849 - 39.9980 - 80.9577"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
20,decimal_chain_sum,"State the final answer to the following arithmetic problem: 8.3 + 7.54 - 5.66 - 6.1018 =
Output final answer with the format <<<answer>>>.",4.0782,"{
    ""question"": ""State the final answer to the following arithmetic problem: 8.3 + 7.54 - 5.66 - 6.1018 ="",
    ""answer"": ""4.0782"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 20,
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""expression"": ""8.3 + 7.54 - 5.66 - 6.1018"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
21,decimal_chain_sum,"State the final answer to the following arithmetic problem: 68.1 + 74.3 + 71.16 + 76.468 + 56.39 - 68.551 =
Output final answer with the format <<<answer>>>.",277.867,"{
    ""question"": ""State the final answer to the following arithmetic problem: 68.1 + 74.3 + 71.16 + 76.468 + 56.39 - 68.551 ="",
    ""answer"": ""277.867"",
    ""metadata"": {
        ""source_dataset"": ""decimal_chain_sum"",
        ""source_index"": 21,
        ""num_terms"": 6,
        ""num_digits"": 2,
        ""expression"": ""68.1 + 74.3 + 71.16 + 76.468 + 56.39 - 68.551"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ],
            ""decimal_places"": [
                1,
                4
            ]
        }
    }
}"
