ID,dataset,question,answer,full_data
0,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 1 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",False,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 1 1 0 0 0 0 0 0]\n [0 0 0 1 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 1 0 0 0 0 0]\n [0 0 0 0 1 1 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 1 1 1 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 0,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""toad"",
                ""position"": [
                    2,
                    3
                ]
            },
            {
                ""name"": ""blinker"",
                ""position"": [
                    8,
                    7
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": true,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
1,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0 0]
 [0 0 0 1 0 1 0 0 0 0 0 0]
 [0 0 0 0 1 0 1 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0 0 1 1 0 0]
 [0 1 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 1 0]
 [0 0 1 1 0 0 0 0 1 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",False,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 1 0 0 0 0 0 0]\n [0 0 0 1 0 1 0 0 0 0 0 0]\n [0 0 0 0 1 0 1 0 0 0 0 0]\n [0 0 0 0 1 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 1 1 0 0 0 0 1 1 0 0]\n [0 1 0 0 0 0 0 1 0 0 0 0]\n [0 0 0 0 1 0 0 0 0 0 1 0]\n [0 0 1 1 0 0 0 0 1 1 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 1,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""toad"",
                ""position"": [
                    7,
                    7
                ]
            },
            {
                ""name"": ""clock"",
                ""position"": [
                    1,
                    3
                ]
            },
            {
                ""name"": ""toad"",
                ""position"": [
                    7,
                    1
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": true,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
2,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 1 0 0 0 0]
 [0 0 1 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",True,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 1 0 0 0 0 0 1 0 0 0 0]\n [0 0 1 0 0 0 0 0 1 0 0 0]\n [0 0 0 1 0 0 0 0 0 1 0 0]\n [0 0 0 0 0 0 0 0 0 0 1 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 1 0 0 0 0 0 0 0]\n [0 0 0 1 0 0 0 0 0 0 0 0]\n [0 0 1 0 0 0 0 0 0 1 0 0]\n [0 0 0 0 0 0 0 0 1 0 0 0]\n [0 0 0 0 0 0 0 0 0 1 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 2,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    1,
                    7
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    6,
                    2
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    8,
                    7
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    1,
                    1
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": false,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
3,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",True,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 1 0 0 0 0 0 0 0 0]\n [0 0 0 0 1 0 0 0 0 0 0 0]\n [0 0 0 0 0 1 0 0 0 0 0 0]\n [0 0 0 0 0 0 1 0 0 0 0 0]\n [0 0 0 0 0 0 0 1 0 0 0 0]\n [0 0 0 0 0 0 0 0 1 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 3,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    2,
                    3
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": false,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
4,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 1 0 0 0 0 0]
 [0 0 0 1 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",True,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 1 0 0 0 0 0 0]\n [0 0 0 0 0 0 1 0 0 0 0 0]\n [0 0 0 0 0 0 0 1 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 1 0 0 0 0 0 0 0 0 0 0]\n [0 0 1 0 0 0 1 0 0 0 0 0]\n [0 0 0 1 0 0 0 1 0 0 0 0]\n [0 0 0 0 0 0 0 0 1 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 4,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    1,
                    5
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    7,
                    6
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    6,
                    1
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": false,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
5,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 1 0 0 0 0 0]
 [0 0 0 0 1 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",False,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 1 1 0 0 0 0 0]\n [0 0 0 0 1 0 1 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 1 0 1 0 0 0 0 0 0 0]\n [0 1 0 0 0 0 0 0 0 0 0 0]\n [0 1 1 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 5,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""tripole"",
                ""position"": [
                    5,
                    1
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": true,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
6,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 1 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 1 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 1 0 0 0 0 0]
 [0 0 1 0 0 0 0 1 0 0 0 0]
 [0 1 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",True,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 1 0 0 0 0]\n [0 0 0 0 1 0 0 0 1 0 0 0]\n [0 0 0 1 0 0 0 0 0 1 0 0]\n [0 0 0 0 1 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 1 0 0 0 0 1 0 0 0 0 0]\n [0 0 1 0 0 0 0 1 0 0 0 0]\n [0 1 0 0 0 0 1 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 6,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    2,
                    2
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    8,
                    6
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    1,
                    7
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    8,
                    1
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": false,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
7,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 1 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0]
 [0 1 0 1 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 1 1 0 0]
 [0 0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 1 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",False,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 1 1 1 0 0]\n [0 0 0 1 0 0 0 0 0 0 0 0]\n [0 1 0 1 0 0 0 0 0 0 0 0]\n [0 0 1 0 1 0 0 0 0 0 0 0]\n [0 0 1 0 0 0 0 0 1 1 0 0]\n [0 0 0 0 0 0 0 1 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 1 0]\n [0 0 0 0 0 0 0 0 1 1 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 7,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""clock"",
                ""position"": [
                    4,
                    1
                ]
            },
            {
                ""name"": ""toad"",
                ""position"": [
                    7,
                    7
                ]
            },
            {
                ""name"": ""blinker"",
                ""position"": [
                    2,
                    7
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": true,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
8,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 1 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 0 1 0 0 0 0 1 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",True,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 1 0 0 0 0 0 0 0 0 1 0]\n [0 0 1 0 0 0 0 0 0 1 0 0]\n [0 0 0 1 0 0 0 0 1 0 0 0]\n [0 0 0 0 1 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 8,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    5,
                    1
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    5,
                    8
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": false,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
9,game_of_life_halting,"This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.
Will this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.

Initial board:
[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 1 0 0 0 0 0 0 1 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]
Output final answer with the format <<<answer>>>, i.e. <<<True>>> or <<<False>>>.",True,"{
    ""question"": ""This is a 'Game of Life' grid. We consider a game halted if there are no cells alive.\nWill this game halt at or before 20 steps? Assume a Moore neighborhood and wrapping topology. If it will halt, reply 'True'. If it won't halt, reply 'False'.\n\nInitial board:\n[[0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 1 0]\n [0 0 0 0 0 0 0 0 0 1 0 0]\n [0 0 0 1 0 0 0 0 0 0 1 0]\n [0 0 0 0 1 0 0 0 0 0 0 0]\n [0 0 0 1 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 1 0 0 0]\n [0 0 0 0 0 0 0 0 0 1 0 0]\n [0 0 0 0 0 0 0 0 0 0 1 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]\n [0 0 0 0 0 0 0 0 0 0 0 0]]"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""game_of_life_halting"",
        ""source_index"": 9,
        ""grid_size_x"": 12,
        ""grid_size_y"": 12,
        ""placed_patterns"": [
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    4,
                    3
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    2,
                    8
                ]
            },
            {
                ""name"": ""non-oscillator"",
                ""position"": [
                    7,
                    8
                ]
            }
        ],
        ""simulation_steps"": 20,
        ""should_oscillate"": false,
        ""difficulty"": {
            ""grid_size_x"": 12,
            ""grid_size_y"": 12,
            ""difficulty"": 1,
            ""num_oscillators"": 5,
            ""max_simulation_steps"": 20
        }
    }
}"
