ID,dataset,question,answer,full_data
0,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 01000111101110

Output final answer with the format <<<answer>>>",-1,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 01000111101110\n"",
    ""answer"": ""-1"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 0,
        ""string"": ""01000111101110"",
        ""solution"": -1,
        ""solvable"": false,
        ""n"": 12,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
1,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 0110110111110100010010000101

Output final answer with the format <<<answer>>>",5,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 0110110111110100010010000101\n"",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 1,
        ""string"": ""0110110111110100010010000101"",
        ""solution"": 5,
        ""solvable"": true,
        ""n"": 28,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
2,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 00000010100010111110111011

Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 00000010100010111110111011\n"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 2,
        ""string"": ""00000010100010111110111011"",
        ""solution"": 4,
        ""solvable"": true,
        ""n"": 26,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
3,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 101000001110001011001011111

Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 101000001110001011001011111\n"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 3,
        ""string"": ""101000001110001011001011111"",
        ""solution"": 4,
        ""solvable"": true,
        ""n"": 27,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
4,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 00100010101001110111

Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 00100010101001110111\n"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 4,
        ""string"": ""00100010101001110111"",
        ""solution"": 4,
        ""solvable"": true,
        ""n"": 20,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
5,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 10101010101111011010010100000

Output final answer with the format <<<answer>>>",9,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 10101010101111011010010100000\n"",
    ""answer"": ""9"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 5,
        ""string"": ""10101010101111011010010100000"",
        ""solution"": 9,
        ""solvable"": true,
        ""n"": 29,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
6,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 001101001110100110010101011100

Output final answer with the format <<<answer>>>",6,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 001101001110100110010101011100\n"",
    ""answer"": ""6"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 6,
        ""string"": ""001101001110100110010101011100"",
        ""solution"": 6,
        ""solvable"": true,
        ""n"": 30,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
7,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 0001011110001011

Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 0001011110001011\n"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 7,
        ""string"": ""0001011110001011"",
        ""solution"": 4,
        ""solvable"": true,
        ""n"": 16,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
8,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 001100001010010011111110

Output final answer with the format <<<answer>>>",5,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 001100001010010011111110\n"",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 8,
        ""string"": ""001100001010010011111110"",
        ""solution"": 5,
        ""solvable"": true,
        ""n"": 24,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
9,binary_alternation,"Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.

The string is called alternating if no two adjacent characters are equal. For example, the strings ""010"" and ""1010"" are alternating, while the string ""0100"" is not.

Any two characters may be swapped, even if they are not adjacent.

Now, determine the minimum number of swaps to make the following binary string alternating: 1000111111100000101001

Output final answer with the format <<<answer>>>",4,"{
    ""question"": ""Given a binary string, return the minimum number of character swaps to make it alternating, or -1 if it is impossible.\n\nThe string is called alternating if no two adjacent characters are equal. For example, the strings \""010\"" and \""1010\"" are alternating, while the string \""0100\"" is not.\n\nAny two characters may be swapped, even if they are not adjacent.\n\nNow, determine the minimum number of swaps to make the following binary string alternating: 1000111111100000101001\n"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""binary_alternation"",
        ""source_index"": 9,
        ""string"": ""1000111111100000101001"",
        ""solution"": 4,
        ""solvable"": true,
        ""n"": 22,
        ""difficulty"": {
            ""n"": [
                10,
                30
            ]
        }
    }
}"
