ID,dataset,question,answer,full_data
0,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
ybb ytm

Output final answer with the format <<<answer>>>.",False,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nybb ytm\n"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 0,
        ""words"": [
            ""ybb"",
            ""ytm""
        ],
        ""solution"": false,
        ""solvable"": false,
        ""string_length"": 3,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
1,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
uhee hwgv

Output final answer with the format <<<answer>>>.",False,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nuhee hwgv\n"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 1,
        ""words"": [
            ""uhee"",
            ""hwgv""
        ],
        ""solution"": false,
        ""solvable"": false,
        ""string_length"": 4,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
2,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
ddnxwpepu ttrhjfifm

Output final answer with the format <<<answer>>>.",True,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nddnxwpepu ttrhjfifm\n"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 2,
        ""words"": [
            ""ddnxwpepu"",
            ""ttrhjfifm""
        ],
        ""solution"": true,
        ""solvable"": true,
        ""string_length"": 10,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
3,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
ygwuvzhcz zicgwymly

Output final answer with the format <<<answer>>>.",True,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nygwuvzhcz zicgwymly\n"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 3,
        ""words"": [
            ""ygwuvzhcz"",
            ""zicgwymly""
        ],
        ""solution"": true,
        ""solvable"": true,
        ""string_length"": 10,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
4,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
dcxeju symfpn

Output final answer with the format <<<answer>>>.",True,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\ndcxeju symfpn\n"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 4,
        ""words"": [
            ""dcxeju"",
            ""symfpn""
        ],
        ""solution"": true,
        ""solvable"": true,
        ""string_length"": 7,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
5,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
kkh zgu

Output final answer with the format <<<answer>>>.",False,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nkkh zgu\n"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 5,
        ""words"": [
            ""kkh"",
            ""zgu""
        ],
        ""solution"": false,
        ""solvable"": false,
        ""string_length"": 3,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
6,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
lxbfojf erudsfd

Output final answer with the format <<<answer>>>.",True,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nlxbfojf erudsfd\n"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 6,
        ""words"": [
            ""lxbfojf"",
            ""erudsfd""
        ],
        ""solution"": true,
        ""solvable"": true,
        ""string_length"": 8,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
7,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
dqld xqgx

Output final answer with the format <<<answer>>>.",True,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\ndqld xqgx\n"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 7,
        ""words"": [
            ""dqld"",
            ""xqgx""
        ],
        ""solution"": true,
        ""solvable"": true,
        ""string_length"": 5,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
8,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
ueqkkrzud idoffvcwk

Output final answer with the format <<<answer>>>.",False,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\nueqkkrzud idoffvcwk\n"",
    ""answer"": ""False"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 8,
        ""words"": [
            ""ueqkkrzud"",
            ""idoffvcwk""
        ],
        ""solution"": false,
        ""solvable"": false,
        ""string_length"": 9,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
9,isomorphic_strings,"Two strings are isomorphic if the characters in one string can be replaced to get the second string.

All occurrences of a character must be replaced with another character while preserving the order of characters.

No two characters may map to the same character, but a character may map to itself.

Return True if the following two strings are isomorphic, or False otherwise:
jtwuldk rzwqltd

Output final answer with the format <<<answer>>>.",True,"{
    ""question"": ""Two strings are isomorphic if the characters in one string can be replaced to get the second string.\n\nAll occurrences of a character must be replaced with another character while preserving the order of characters.\n\nNo two characters may map to the same character, but a character may map to itself.\n\nReturn True if the following two strings are isomorphic, or False otherwise:\njtwuldk rzwqltd\n"",
    ""answer"": ""True"",
    ""metadata"": {
        ""source_dataset"": ""isomorphic_strings"",
        ""source_index"": 9,
        ""words"": [
            ""jtwuldk"",
            ""rzwqltd""
        ],
        ""solution"": true,
        ""solvable"": true,
        ""string_length"": 8,
        ""difficulty"": {
            ""string_length"": [
                2,
                10
            ]
        }
    }
}"
