ID,dataset,question,answer,full_data
0,chain_sum,"State the final answer to the following arithmetic problem: 28 + 48 =
Output final answer with the format <<<answer>>>",76,"{
    ""question"": ""State the final answer to the following arithmetic problem: 28 + 48 ="",
    ""answer"": ""76"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 0,
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""expression"": ""28 + 48"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
1,chain_sum,"State the final answer to the following arithmetic problem: 90 + 39 - 45 - 71 - 93 - 78 =
Output final answer with the format <<<answer>>>",-158,"{
    ""question"": ""State the final answer to the following arithmetic problem: 90 + 39 - 45 - 71 - 93 - 78 ="",
    ""answer"": ""-158"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 1,
        ""num_terms"": 6,
        ""num_digits"": 2,
        ""expression"": ""90 + 39 - 45 - 71 - 93 - 78"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
2,chain_sum,"State the final answer to the following arithmetic problem: 699 - 128 + 963 - 334 - 130 - 498 =
Output final answer with the format <<<answer>>>",572,"{
    ""question"": ""State the final answer to the following arithmetic problem: 699 - 128 + 963 - 334 - 130 - 498 ="",
    ""answer"": ""572"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 2,
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""expression"": ""699 - 128 + 963 - 334 - 130 - 498"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
3,chain_sum,"State the final answer to the following arithmetic problem: 868 - 234 - 865 - 448 + 985 - 257 =
Output final answer with the format <<<answer>>>",49,"{
    ""question"": ""State the final answer to the following arithmetic problem: 868 - 234 - 865 - 448 + 985 - 257 ="",
    ""answer"": ""49"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 3,
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""expression"": ""868 - 234 - 865 - 448 + 985 - 257"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
4,chain_sum,"State the final answer to the following arithmetic problem: 0 + 4 + 1 - 0 =
Output final answer with the format <<<answer>>>",5,"{
    ""question"": ""State the final answer to the following arithmetic problem: 0 + 4 + 1 - 0 ="",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 4,
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""expression"": ""0 + 4 + 1 - 0"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
5,chain_sum,"State the final answer to the following arithmetic problem: 9 + 8 - 0 - 5 - 7 - 8 =
Output final answer with the format <<<answer>>>",-3,"{
    ""question"": ""State the final answer to the following arithmetic problem: 9 + 8 - 0 - 5 - 7 - 8 ="",
    ""answer"": ""-3"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 5,
        ""num_terms"": 6,
        ""num_digits"": 1,
        ""expression"": ""9 + 8 - 0 - 5 - 7 - 8"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
6,chain_sum,"State the final answer to the following arithmetic problem: 2664 + 2085 + 7003 - 8591 - 7142 =
Output final answer with the format <<<answer>>>",-3981,"{
    ""question"": ""State the final answer to the following arithmetic problem: 2664 + 2085 + 7003 - 8591 - 7142 ="",
    ""answer"": ""-3981"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 6,
        ""num_terms"": 5,
        ""num_digits"": 4,
        ""expression"": ""2664 + 2085 + 7003 - 8591 - 7142"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
7,chain_sum,"State the final answer to the following arithmetic problem: 494 + 126 - 299 =
Output final answer with the format <<<answer>>>",321,"{
    ""question"": ""State the final answer to the following arithmetic problem: 494 + 126 - 299 ="",
    ""answer"": ""321"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 7,
        ""num_terms"": 3,
        ""num_digits"": 3,
        ""expression"": ""494 + 126 - 299"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
8,chain_sum,"State the final answer to the following arithmetic problem: 3 - 4 - 3 + 2 + 5 =
Output final answer with the format <<<answer>>>",3,"{
    ""question"": ""State the final answer to the following arithmetic problem: 3 - 4 - 3 + 2 + 5 ="",
    ""answer"": ""3"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 8,
        ""num_terms"": 5,
        ""num_digits"": 1,
        ""expression"": ""3 - 4 - 3 + 2 + 5"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
9,chain_sum,"State the final answer to the following arithmetic problem: 336 - 270 - 494 - 691 + 806 =
Output final answer with the format <<<answer>>>",-313,"{
    ""question"": ""State the final answer to the following arithmetic problem: 336 - 270 - 494 - 691 + 806 ="",
    ""answer"": ""-313"",
    ""metadata"": {
        ""source_dataset"": ""chain_sum"",
        ""source_index"": 9,
        ""num_terms"": 5,
        ""num_digits"": 3,
        ""expression"": ""336 - 270 - 494 - 691 + 806"",
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
