ID,dataset,question,answer,full_data
0,maze,"Navigate from 'i' (start) to 'C' (goal):

```
999999999
9Cr9rrrr9
9rrrr9r99
9rr9rirr9
9rrrrr9r9
9rrrrrr99
9r99rr999
9rrr9r9r9
999999999
```
Legend: '9' = Wall, 'r' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",6,"{
    ""question"": ""Navigate from 'i' (start) to 'C' (goal):\n\n```\n999999999\n9Cr9rrrr9\n9rrrr9r99\n9rr9rirr9\n9rrrrr9r9\n9rrrrrr99\n9r99rr999\n9rrr9r9r9\n999999999\n```\nLegend: '9' = Wall, 'r' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""6"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 0,
        ""grid_size"": 9,
        ""grid"": [
            ""999999999"",
            ""9Cr9rrrr9"",
            ""9rrrr9r99"",
            ""9rr9rirr9"",
            ""9rrrrr9r9"",
            ""9rrrrrr99"",
            ""9r99rr999"",
            ""9rrr9r9r9"",
            ""999999999""
        ],
        ""shortest_path_length"": 6,
        ""start"": ""i"",
        ""goal"": ""C"",
        ""wall"": ""9"",
        ""path"": ""r"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
1,maze,"Navigate from '=' (start) to 't' (goal):

```
,,,,,,,,,,
,llllllll,
,ll,,llll,
,llllllll,
,ll,llll,,
,l,llll,,,
,tlllll,l,
,lll,,=ll,
,,lll,lll,
,,,,,,,,,,
```
Legend: ',' = Wall, 'l' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",6,"{
    ""question"": ""Navigate from '=' (start) to 't' (goal):\n\n```\n,,,,,,,,,,\n,llllllll,\n,ll,,llll,\n,llllllll,\n,ll,llll,,\n,l,llll,,,\n,tlllll,l,\n,lll,,=ll,\n,,lll,lll,\n,,,,,,,,,,\n```\nLegend: ',' = Wall, 'l' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""6"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 1,
        ""grid_size"": 10,
        ""grid"": [
            "",,,,,,,,,,"",
            "",llllllll,"",
            "",ll,,llll,"",
            "",llllllll,"",
            "",ll,llll,,"",
            "",l,llll,,,"",
            "",tlllll,l,"",
            "",lll,,=ll,"",
            "",,lll,lll,"",
            "",,,,,,,,,,""
        ],
        ""shortest_path_length"": 6,
        ""start"": ""="",
        ""goal"": ""t"",
        ""wall"": "","",
        ""path"": ""l"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
2,maze,"Navigate from '-' (start) to '3' (goal):

```
&&&&&&&&&&
&J3JJJ&&J&
&&JJ&J&&J&
&&&JJJ&-&&
&&&&&JJJJ&
&JJJJJ&J&&
&&JJ&&JJ&&
&JJJ&JJJ&&
&&J&JJJ&&&
&&&&&&&&&&
```
Legend: '&' = Wall, 'J' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",9,"{
    ""question"": ""Navigate from '-' (start) to '3' (goal):\n\n```\n&&&&&&&&&&\n&J3JJJ&&J&\n&&JJ&J&&J&\n&&&JJJ&-&&\n&&&&&JJJJ&\n&JJJJJ&J&&\n&&JJ&&JJ&&\n&JJJ&JJJ&&\n&&J&JJJ&&&\n&&&&&&&&&&\n```\nLegend: '&' = Wall, 'J' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""9"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 2,
        ""grid_size"": 10,
        ""grid"": [
            ""&&&&&&&&&&"",
            ""&J3JJJ&&J&"",
            ""&&JJ&J&&J&"",
            ""&&&JJJ&-&&"",
            ""&&&&&JJJJ&"",
            ""&JJJJJ&J&&"",
            ""&&JJ&&JJ&&"",
            ""&JJJ&JJJ&&"",
            ""&&J&JJJ&&&"",
            ""&&&&&&&&&&""
        ],
        ""shortest_path_length"": 9,
        ""start"": ""-"",
        ""goal"": ""3"",
        ""wall"": ""&"",
        ""path"": ""J"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
3,maze,"Navigate from 'g' (start) to 'H' (goal):

```
))))))
)gGGG)
)GGG))
)G)GH)
)G))G)
))))))
```
Legend: ')' = Wall, 'G' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",5,"{
    ""question"": ""Navigate from 'g' (start) to 'H' (goal):\n\n```\n))))))\n)gGGG)\n)GGG))\n)G)GH)\n)G))G)\n))))))\n```\nLegend: ')' = Wall, 'G' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 3,
        ""grid_size"": 6,
        ""grid"": [
            ""))))))"",
            "")gGGG)"",
            "")GGG))"",
            "")G)GH)"",
            "")G))G)"",
            ""))))))""
        ],
        ""shortest_path_length"": 5,
        ""start"": ""g"",
        ""goal"": ""H"",
        ""wall"": "")"",
        ""path"": ""G"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
4,maze,"Navigate from '2' (start) to 'A' (goal):

```
GGGGGG
G77G7G
G777AG
GG7GGG
G7727G
GGGGGG
```
Legend: 'G' = Wall, '7' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",5,"{
    ""question"": ""Navigate from '2' (start) to 'A' (goal):\n\n```\nGGGGGG\nG77G7G\nG777AG\nGG7GGG\nG7727G\nGGGGGG\n```\nLegend: 'G' = Wall, '7' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 4,
        ""grid_size"": 6,
        ""grid"": [
            ""GGGGGG"",
            ""G77G7G"",
            ""G777AG"",
            ""GG7GGG"",
            ""G7727G"",
            ""GGGGGG""
        ],
        ""shortest_path_length"": 5,
        ""start"": ""2"",
        ""goal"": ""A"",
        ""wall"": ""G"",
        ""path"": ""7"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
5,maze,"Navigate from 'b' (start) to '<' (goal):

```
^^^^^^^^^^
^^^::::::^
^:::^:^^^^
^::::^^::^
^::::b::^^
^:::::^^^^
^:^::^::^^
^::::::::^
^<:::^:::^
^^^^^^^^^^
```
Legend: '^' = Wall, ':' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",8,"{
    ""question"": ""Navigate from 'b' (start) to '<' (goal):\n\n```\n^^^^^^^^^^\n^^^::::::^\n^:::^:^^^^\n^::::^^::^\n^::::b::^^\n^:::::^^^^\n^:^::^::^^\n^::::::::^\n^<:::^:::^\n^^^^^^^^^^\n```\nLegend: '^' = Wall, ':' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""8"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 5,
        ""grid_size"": 10,
        ""grid"": [
            ""^^^^^^^^^^"",
            ""^^^::::::^"",
            ""^:::^:^^^^"",
            ""^::::^^::^"",
            ""^::::b::^^"",
            ""^:::::^^^^"",
            ""^:^::^::^^"",
            ""^::::::::^"",
            ""^<:::^:::^"",
            ""^^^^^^^^^^""
        ],
        ""shortest_path_length"": 8,
        ""start"": ""b"",
        ""goal"": ""<"",
        ""wall"": ""^"",
        ""path"": "":"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
6,maze,"Navigate from 'S' (start) to '}' (goal):

```
>>>>>>>>>
>RRRRS>>>
>>>RRRRR>
>RRRRR>R>
>RRRRRR}>
>RR>R>>R>
>RR>>>>>>
>>RRRR>R>
>>>>>>>>>
```
Legend: '>' = Wall, 'R' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",5,"{
    ""question"": ""Navigate from 'S' (start) to '}' (goal):\n\n```\n>>>>>>>>>\n>RRRRS>>>\n>>>RRRRR>\n>RRRRR>R>\n>RRRRRR}>\n>RR>R>>R>\n>RR>>>>>>\n>>RRRR>R>\n>>>>>>>>>\n```\nLegend: '>' = Wall, 'R' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 6,
        ""grid_size"": 9,
        ""grid"": [
            "">>>>>>>>>"",
            "">RRRRS>>>"",
            "">>>RRRRR>"",
            "">RRRRR>R>"",
            "">RRRRRR}>"",
            "">RR>R>>R>"",
            "">RR>>>>>>"",
            "">>RRRR>R>"",
            "">>>>>>>>>""
        ],
        ""shortest_path_length"": 5,
        ""start"": ""S"",
        ""goal"": ""}"",
        ""wall"": "">"",
        ""path"": ""R"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
7,maze,"Navigate from 'N' (start) to '3' (goal):

```
qqqqqqqqq
qqNxxxxxq
qxxqxxxqq
qxxqx3xqq
qqxxqxxxq
qxxxxxxxq
qqqxxxxxq
qxxqqxxxq
qqqqqqqqq
```
Legend: 'q' = Wall, 'x' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",5,"{
    ""question"": ""Navigate from 'N' (start) to '3' (goal):\n\n```\nqqqqqqqqq\nqqNxxxxxq\nqxxqxxxqq\nqxxqx3xqq\nqqxxqxxxq\nqxxxxxxxq\nqqqxxxxxq\nqxxqqxxxq\nqqqqqqqqq\n```\nLegend: 'q' = Wall, 'x' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 7,
        ""grid_size"": 9,
        ""grid"": [
            ""qqqqqqqqq"",
            ""qqNxxxxxq"",
            ""qxxqxxxqq"",
            ""qxxqx3xqq"",
            ""qqxxqxxxq"",
            ""qxxxxxxxq"",
            ""qqqxxxxxq"",
            ""qxxqqxxxq"",
            ""qqqqqqqqq""
        ],
        ""shortest_path_length"": 5,
        ""start"": ""N"",
        ""goal"": ""3"",
        ""wall"": ""q"",
        ""path"": ""x"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
8,maze,"Navigate from '&' (start) to '4' (goal):

```
WWWWWWWWW
W--W--WWW
W-W----WW
W--4---WW
W-------W
W-W--WWWW
W-WW--W-W
WW-----&W
WWWWWWWWW
```
Legend: 'W' = Wall, '-' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",8,"{
    ""question"": ""Navigate from '&' (start) to '4' (goal):\n\n```\nWWWWWWWWW\nW--W--WWW\nW-W----WW\nW--4---WW\nW-------W\nW-W--WWWW\nW-WW--W-W\nWW-----&W\nWWWWWWWWW\n```\nLegend: 'W' = Wall, '-' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""8"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 8,
        ""grid_size"": 9,
        ""grid"": [
            ""WWWWWWWWW"",
            ""W--W--WWW"",
            ""W-W----WW"",
            ""W--4---WW"",
            ""W-------W"",
            ""W-W--WWWW"",
            ""W-WW--W-W"",
            ""WW-----&W"",
            ""WWWWWWWWW""
        ],
        ""shortest_path_length"": 8,
        ""start"": ""&"",
        ""goal"": ""4"",
        ""wall"": ""W"",
        ""path"": ""-"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
9,maze,"Navigate from 't' (start) to 'l' (goal):

```
MMMMMMMM
MGGtGMlM
MMGMGGGM
MMGGGGMM
MGMMGMMM
MGGGMGMM
MGGGGGMM
MMMMMMMM
```
Legend: 'M' = Wall, 'G' = Passage

What is the minimum number of steps to reach the goal?
Give only the number of steps as your final answer, and enclose it within triple angle brackets, like <<<10>>>.",5,"{
    ""question"": ""Navigate from 't' (start) to 'l' (goal):\n\n```\nMMMMMMMM\nMGGtGMlM\nMMGMGGGM\nMMGGGGMM\nMGMMGMMM\nMGGGMGMM\nMGGGGGMM\nMMMMMMMM\n```\nLegend: 'M' = Wall, 'G' = Passage\n\nWhat is the minimum number of steps to reach the goal?\nGive only the number of steps as your final answer, no other text or formatting."",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""maze"",
        ""source_index"": 9,
        ""grid_size"": 8,
        ""grid"": [
            ""MMMMMMMM"",
            ""MGGtGMlM"",
            ""MMGMGGGM"",
            ""MMGGGGMM"",
            ""MGMMGMMM"",
            ""MGGGMGMM"",
            ""MGGGGGMM"",
            ""MMMMMMMM""
        ],
        ""shortest_path_length"": 5,
        ""start"": ""t"",
        ""goal"": ""l"",
        ""wall"": ""M"",
        ""path"": ""G"",
        ""difficulty"": {
            ""dist"": [
                5,
                10
            ],
            ""grid_size"": [
                5,
                10
            ]
        }
    }
}"
