ID,dataset,question,answer,full_data
0,advanced_geometry,"Given triangle ABC with coordinates A=(-4, -6), B=(-1, -3), and C=(5, -10), find the coordinates of its orthocenter. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>","(-1.308, -3.692)","{
    ""question"": ""Given triangle ABC with coordinates A=(-4, -6), B=(-1, -3), and C=(5, -10), find the coordinates of its orthocenter. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""(-1.308, -3.692)"",
    ""metadata"": {
        ""A"": [
            ""-4"",
            ""-6""
        ],
        ""B"": [
            ""-1"",
            ""-3""
        ],
        ""C"": [
            ""5"",
            ""-10""
        ],
        ""ortho"": [
            ""-17/13"",
            ""-48/13""
        ],
        ""orthocenter_exact"": [
            ""-17/13"",
            ""-48/13""
        ],
        ""orthocenter_approx"": [
            -1.3076923076923077,
            -3.6923076923076925
        ],
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 0,
        ""task_type"": ""orthocenter"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
1,advanced_geometry,"In triangle ABC with coordinates A=(-5, 10), B=(-3, -2), and C=(5, 10), find the measure (in degrees) of angle ABC. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",43.15°,"{
    ""question"": ""In triangle ABC with coordinates A=(-5, 10), B=(-3, -2), and C=(5, 10), find the measure (in degrees) of angle ABC. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""43.15°"",
    ""metadata"": {
        ""A"": [
            ""-5"",
            ""10""
        ],
        ""B"": [
            ""-3"",
            ""-2""
        ],
        ""C"": [
            ""5"",
            ""10""
        ],
        ""angle_ABC_degrees"": 43.1523897340054,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 1,
        ""task_type"": ""angle_measure"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
2,advanced_geometry,"Given a triangle with vertices A=(1, 8), B=(-10, -3), and C=(-10, 2), determine the angle at B in degrees. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",45.00°,"{
    ""question"": ""Given a triangle with vertices A=(1, 8), B=(-10, -3), and C=(-10, 2), determine the angle at B in degrees. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""45.00°"",
    ""metadata"": {
        ""A"": [
            ""1"",
            ""8""
        ],
        ""B"": [
            ""-10"",
            ""-3""
        ],
        ""C"": [
            ""-10"",
            ""2""
        ],
        ""angle_ABC_degrees"": 45.0,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 2,
        ""task_type"": ""angle_measure"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
3,advanced_geometry,"Given a triangle with vertices A=(-2, 8), B=(-9, 6), and C=(-2, 10), determine the angle at B in degrees. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",13.80°,"{
    ""question"": ""Given a triangle with vertices A=(-2, 8), B=(-9, 6), and C=(-2, 10), determine the angle at B in degrees. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""13.80°"",
    ""metadata"": {
        ""A"": [
            ""-2"",
            ""8""
        ],
        ""B"": [
            ""-9"",
            ""6""
        ],
        ""C"": [
            ""-2"",
            ""10""
        ],
        ""angle_ABC_degrees"": 13.799485396019367,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 3,
        ""task_type"": ""angle_measure"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
4,advanced_geometry,"Consider triangle ABC with coordinates A=(-9, -10), B=(-1, -8), and C=(-10, 6). Compute the radius of its incircle. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",3.177,"{
    ""question"": ""Consider triangle ABC with coordinates A=(-9, -10), B=(-1, -8), and C=(-10, 6). Compute the radius of its incircle. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""3.177"",
    ""metadata"": {
        ""A"": [
            ""-9"",
            ""-10""
        ],
        ""B"": [
            ""-1"",
            ""-8""
        ],
        ""C"": [
            ""-10"",
            ""6""
        ],
        ""incircle_radius_exact"": ""sqrt(-sqrt(17) + sqrt(257)/2 + sqrt(277)/2)*sqrt(-sqrt(257)/2 + sqrt(17) + sqrt(277)/2)*sqrt(-sqrt(277)/2 + sqrt(17) + sqrt(257)/2)/sqrt(sqrt(17) + sqrt(257)/2 + sqrt(277)/2)"",
        ""incircle_radius_approx"": 3.1768725422617807,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 4,
        ""task_type"": ""incircle_radius"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
5,advanced_geometry,"Given a triangle with vertices A=(9, -8), B=(9, 10), and C=(6, -9), determine the angle at B in degrees. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",8.97°,"{
    ""question"": ""Given a triangle with vertices A=(9, -8), B=(9, 10), and C=(6, -9), determine the angle at B in degrees. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""8.97°"",
    ""metadata"": {
        ""A"": [
            ""9"",
            ""-8""
        ],
        ""B"": [
            ""9"",
            ""10""
        ],
        ""C"": [
            ""6"",
            ""-9""
        ],
        ""angle_ABC_degrees"": 8.972626614896393,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 5,
        ""task_type"": ""angle_measure"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
6,advanced_geometry,"Given a triangle with vertices A=(3, 3), B=(-7, -8), and C=(1, 4), determine the angle at B in degrees. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",8.58°,"{
    ""question"": ""Given a triangle with vertices A=(3, 3), B=(-7, -8), and C=(1, 4), determine the angle at B in degrees. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""8.58°"",
    ""metadata"": {
        ""A"": [
            ""3"",
            ""3""
        ],
        ""B"": [
            ""-7"",
            ""-8""
        ],
        ""C"": [
            ""1"",
            ""4""
        ],
        ""angle_ABC_degrees"": 8.583621480113948,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 6,
        ""task_type"": ""angle_measure"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
7,advanced_geometry,"Given triangle ABC with coordinates A=(-2, 2), B=(-10, -4), and C=(-3, 2), find the coordinates of its orthocenter. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>","(-10.000, 11.333)","{
    ""question"": ""Given triangle ABC with coordinates A=(-2, 2), B=(-10, -4), and C=(-3, 2), find the coordinates of its orthocenter. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""(-10.000, 11.333)"",
    ""metadata"": {
        ""A"": [
            ""-2"",
            ""2""
        ],
        ""B"": [
            ""-10"",
            ""-4""
        ],
        ""C"": [
            ""-3"",
            ""2""
        ],
        ""ortho"": [
            ""-10"",
            ""34/3""
        ],
        ""orthocenter_exact"": [
            ""-10"",
            ""34/3""
        ],
        ""orthocenter_approx"": [
            -10.0,
            11.333333333333334
        ],
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 7,
        ""task_type"": ""orthocenter"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
8,advanced_geometry,"Consider triangle ABC with coordinates A=(8, 6), B=(-9, -3), and C=(-1, 10). Compute the radius of its incircle. For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",3.360,"{
    ""question"": ""Consider triangle ABC with coordinates A=(8, 6), B=(-9, -3), and C=(-1, 10). Compute the radius of its incircle. For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""3.360"",
    ""metadata"": {
        ""A"": [
            ""8"",
            ""6""
        ],
        ""B"": [
            ""-9"",
            ""-3""
        ],
        ""C"": [
            ""-1"",
            ""10""
        ],
        ""incircle_radius_exact"": ""sqrt(-sqrt(233)/2 + sqrt(97)/2 + sqrt(370)/2)*sqrt(-sqrt(370)/2 + sqrt(97)/2 + sqrt(233)/2)*sqrt(-sqrt(97)/2 + sqrt(233)/2 + sqrt(370)/2)/sqrt(sqrt(97)/2 + sqrt(233)/2 + sqrt(370)/2)"",
        ""incircle_radius_approx"": 3.359746852392616,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 8,
        ""task_type"": ""incircle_radius"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
9,advanced_geometry,"Find the incircle radius of triangle ABC whose vertices are A=(0, -3), B=(-5, 2), and C=(8, -1). For all geometry problems:
1. Give coordinates in the form (x, y)
2. Round decimal answers to 3 decimal places
3. Use the degree symbol ° for angles
4. Return only the angle, coordinates, or radius as your answer.

Output final answer with the format <<<answer>>>",1.745,"{
    ""question"": ""Find the incircle radius of triangle ABC whose vertices are A=(0, -3), B=(-5, 2), and C=(8, -1). For all geometry problems:\n1. Give coordinates in the form (x, y)\n2. Round decimal answers to 3 decimal places\n3. Use the degree symbol ° for angles\n4. Return only the angle, coordinates, or radius as your answer.\n"",
    ""answer"": ""1.745"",
    ""metadata"": {
        ""A"": [
            ""0"",
            ""-3""
        ],
        ""B"": [
            ""-5"",
            ""2""
        ],
        ""C"": [
            ""8"",
            ""-1""
        ],
        ""incircle_radius_exact"": ""sqrt(-sqrt(17) + 5*sqrt(2)/2 + sqrt(178)/2)*sqrt(-sqrt(178)/2 + 5*sqrt(2)/2 + sqrt(17))*sqrt(-5*sqrt(2)/2 + sqrt(17) + sqrt(178)/2)/sqrt(5*sqrt(2)/2 + sqrt(17) + sqrt(178)/2)"",
        ""incircle_radius_approx"": 1.7446561018678328,
        ""source_dataset"": ""advanced_geometry"",
        ""source_index"": 9,
        ""task_type"": ""incircle_radius"",
        ""difficulty"": {
            ""min_coord"": -10,
            ""max_coord"": 10
        }
    }
}"
