ID,dataset,question,answer,full_data
0,countdown,"Find a way to make 138 using all of these numbers: 11, 26, 43, 58.
Each number can only be used once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",26 + 58 + 11 + 43,"{
    ""question"": ""Find a way to make 138 using all of these numbers: 11, 26, 43, 58.\nEach number can only be used once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""26 + 58 + 11 + 43"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 0,
        ""numbers"": [
            11,
            26,
            43,
            58
        ],
        ""target"": 138,
        ""expression"": ""26 + 58 + 11 + 43""
    }
}"
1,countdown,"Using all the numbers 16, 36, 41, 8, 53, 1, create an expression that equals 558.
You can only use each number once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",16*41 - 1 - 8 - 53 - 36,"{
    ""question"": ""Using all the numbers 16, 36, 41, 8, 53, 1, create an expression that equals 558.\nYou can only use each number once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""16*41 - 1 - 8 - 53 - 36"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 1,
        ""numbers"": [
            16,
            36,
            41,
            8,
            53,
            1
        ],
        ""target"": 558,
        ""expression"": ""16*41 - 1 - 8 - 53 - 36""
    }
}"
2,countdown,"Find a way to make 987 using all of these numbers: 52, 26, 15, 23, 75, 37.
Each number can only be used once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",15*75 - 37 - 26 - 23 - 52,"{
    ""question"": ""Find a way to make 987 using all of these numbers: 52, 26, 15, 23, 75, 37.\nEach number can only be used once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""15*75 - 37 - 26 - 23 - 52"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 2,
        ""numbers"": [
            52,
            26,
            15,
            23,
            75,
            37
        ],
        ""target"": 987,
        ""expression"": ""15*75 - 37 - 26 - 23 - 52""
    }
}"
3,countdown,"Calculate 281 using all of these numbers: 75, 23, 29, 32, 93, 75.
Each number may be used at most once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",75 + 93 + 29 + 32 + 75 - 23,"{
    ""question"": ""Calculate 281 using all of these numbers: 75, 23, 29, 32, 93, 75.\nEach number may be used at most once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""75 + 93 + 29 + 32 + 75 - 23"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 3,
        ""numbers"": [
            75,
            23,
            29,
            32,
            93,
            75
        ],
        ""target"": 281,
        ""expression"": ""75 + 93 + 29 + 32 + 75 - 23""
    }
}"
4,countdown,"Using all the numbers 10, 78, 4, 86, 92, create an expression that equals 340.
You can only use each number once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",86*4 + 10 - 92 + 78,"{
    ""question"": ""Using all the numbers 10, 78, 4, 86, 92, create an expression that equals 340.\nYou can only use each number once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""86*4 + 10 - 92 + 78"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 4,
        ""numbers"": [
            10,
            78,
            4,
            86,
            92
        ],
        ""target"": 340,
        ""expression"": ""86*4 + 10 - 92 + 78""
    }
}"
5,countdown,"Using all the numbers 19, 19, 57, 7, 12, 95, create an expression that equals 285.
You can only use each number once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",95*57/19 + 19 - 7 - 12,"{
    ""question"": ""Using all the numbers 19, 19, 57, 7, 12, 95, create an expression that equals 285.\nYou can only use each number once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""95*57/19 + 19 - 7 - 12"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 5,
        ""numbers"": [
            19,
            19,
            57,
            7,
            12,
            95
        ],
        ""target"": 285,
        ""expression"": ""95*57/19 + 19 - 7 - 12""
    }
}"
6,countdown,"Using all the numbers 68, 84, 80, 35, 3, 34, create an expression that equals 765.
You can only use each number once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",3*(80 + 84 + 68) + 35 + 34,"{
    ""question"": ""Using all the numbers 68, 84, 80, 35, 3, 34, create an expression that equals 765.\nYou can only use each number once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""3*(80 + 84 + 68) + 35 + 34"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 6,
        ""numbers"": [
            68,
            84,
            80,
            35,
            3,
            34
        ],
        ""target"": 765,
        ""expression"": ""3*(80 + 84 + 68) + 35 + 34""
    }
}"
7,countdown,"Calculate 116 using all of these numbers: 89, 94, 31, 90.
Each number may be used at most once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",31 + 89 - 94 + 90,"{
    ""question"": ""Calculate 116 using all of these numbers: 89, 94, 31, 90.\nEach number may be used at most once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""31 + 89 - 94 + 90"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 7,
        ""numbers"": [
            89,
            94,
            31,
            90
        ],
        ""target"": 116,
        ""expression"": ""31 + 89 - 94 + 90""
    }
}"
8,countdown,"Find a way to make 192 using all of these numbers: 8, 65, 28, 24, 31.
Each number can only be used once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",24*65/8 - 31 + 28,"{
    ""question"": ""Find a way to make 192 using all of these numbers: 8, 65, 28, 24, 31.\nEach number can only be used once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""24*65/8 - 31 + 28"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 8,
        ""numbers"": [
            8,
            65,
            28,
            24,
            31
        ],
        ""target"": 192,
        ""expression"": ""24*65/8 - 31 + 28""
    }
}"
9,countdown,"Calculate 209 using all of these numbers: 86, 53, 12, 85, 3.
Each number may be used at most once.

Final answer format instructions:
1. Provide your solution as a arithmetic expression (no '=' sign).
2. Do not include the target number in the expression.
3. Use '*' for multiplication.
4. Use '/' for division.
5. Do not include any other text or formatting.

Output final answer with the format <<<answer>>>.",86 - 12 + 53 - 3 + 85,"{
    ""question"": ""Calculate 209 using all of these numbers: 86, 53, 12, 85, 3.\nEach number may be used at most once.\n\nFinal answer format instructions:\n1. Provide your solution as a arithmetic expression (no '=' sign).\n2. Do not include the target number in the expression.\n3. Use '*' for multiplication.\n4. Use '/' for division.\n5. Do not include any other text or formatting.\n"",
    ""answer"": ""86 - 12 + 53 - 3 + 85"",
    ""metadata"": {
        ""source_dataset"": ""countdown"",
        ""source_index"": 9,
        ""numbers"": [
            86,
            53,
            12,
            85,
            3
        ],
        ""target"": 209,
        ""expression"": ""86 - 12 + 53 - 3 + 85""
    }
}"
