ID,dataset,question,answer,full_data
0,fraction_simplification,"Simplify the fraction $2240/26572$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$80/949$,"{
    ""question"": ""Simplify the fraction $2240/26572$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$80/949$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 0,
        ""numerator"": 2240,
        ""denominator"": 26572,
        ""simplified_numerator"": 80,
        ""simplified_denominator"": 949,
        ""reduction_factor"": 28,
        ""style"": ""latex_inline"",
        ""factor"": 28,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
1,fraction_simplification,"Simplify the fraction $13932/47385$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$172/585$,"{
    ""question"": ""Simplify the fraction $13932/47385$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$172/585$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 1,
        ""numerator"": 13932,
        ""denominator"": 47385,
        ""simplified_numerator"": 172,
        ""simplified_denominator"": 585,
        ""reduction_factor"": 81,
        ""style"": ""latex_inline"",
        ""factor"": 81,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
2,fraction_simplification,"Simplify the fraction 13725/20325 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",183/271,"{
    ""question"": ""Simplify the fraction 13725/20325 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""183/271"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 2,
        ""numerator"": 13725,
        ""denominator"": 20325,
        ""simplified_numerator"": 183,
        ""simplified_denominator"": 271,
        ""reduction_factor"": 75,
        ""style"": ""plain"",
        ""factor"": 75,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
3,fraction_simplification,"Simplify the fraction $16684/27257$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$172/281$,"{
    ""question"": ""Simplify the fraction $16684/27257$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$172/281$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 3,
        ""numerator"": 16684,
        ""denominator"": 27257,
        ""simplified_numerator"": 172,
        ""simplified_denominator"": 281,
        ""reduction_factor"": 97,
        ""style"": ""latex_inline"",
        ""factor"": 97,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
4,fraction_simplification,"Simplify the fraction $\frac{180}{1011}$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$\frac{60}{337}$,"{
    ""question"": ""Simplify the fraction $\\frac{180}{1011}$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$\\frac{60}{337}$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 4,
        ""numerator"": 180,
        ""denominator"": 1011,
        ""simplified_numerator"": 60,
        ""simplified_denominator"": 337,
        ""reduction_factor"": 3,
        ""style"": ""latex_frac"",
        ""factor"": 3,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
5,fraction_simplification,"Simplify the fraction 7476/8388 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",623/699,"{
    ""question"": ""Simplify the fraction 7476/8388 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""623/699"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 5,
        ""numerator"": 7476,
        ""denominator"": 8388,
        ""simplified_numerator"": 623,
        ""simplified_denominator"": 699,
        ""reduction_factor"": 12,
        ""style"": ""plain"",
        ""factor"": 12,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
6,fraction_simplification,"Simplify the fraction 23760/36025 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",432/655,"{
    ""question"": ""Simplify the fraction 23760/36025 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""432/655"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 6,
        ""numerator"": 23760,
        ""denominator"": 36025,
        ""simplified_numerator"": 432,
        ""simplified_denominator"": 655,
        ""reduction_factor"": 55,
        ""style"": ""plain"",
        ""factor"": 55,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
7,fraction_simplification,"Simplify the fraction 10750/13300 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",215/266,"{
    ""question"": ""Simplify the fraction 10750/13300 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""215/266"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 7,
        ""numerator"": 10750,
        ""denominator"": 13300,
        ""simplified_numerator"": 215,
        ""simplified_denominator"": 266,
        ""reduction_factor"": 50,
        ""style"": ""plain"",
        ""factor"": 50,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
8,fraction_simplification,"Simplify the fraction 15980/20196 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",235/297,"{
    ""question"": ""Simplify the fraction 15980/20196 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""235/297"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 8,
        ""numerator"": 15980,
        ""denominator"": 20196,
        ""simplified_numerator"": 235,
        ""simplified_denominator"": 297,
        ""reduction_factor"": 68,
        ""style"": ""plain"",
        ""factor"": 68,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
9,fraction_simplification,"Simplify the fraction $10230/11730$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$341/391$,"{
    ""question"": ""Simplify the fraction $10230/11730$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$341/391$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 9,
        ""numerator"": 10230,
        ""denominator"": 11730,
        ""simplified_numerator"": 341,
        ""simplified_denominator"": 391,
        ""reduction_factor"": 30,
        ""style"": ""latex_inline"",
        ""factor"": 30,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
10,fraction_simplification,"Simplify the fraction $\frac{92}{524}$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$\frac{23}{131}$,"{
    ""question"": ""Simplify the fraction $\\frac{92}{524}$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$\\frac{23}{131}$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 10,
        ""numerator"": 92,
        ""denominator"": 524,
        ""simplified_numerator"": 23,
        ""simplified_denominator"": 131,
        ""reduction_factor"": 4,
        ""style"": ""latex_frac"",
        ""factor"": 4,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
11,fraction_simplification,"Simplify the fraction $3600/26370$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$40/293$,"{
    ""question"": ""Simplify the fraction $3600/26370$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$40/293$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 11,
        ""numerator"": 3600,
        ""denominator"": 26370,
        ""simplified_numerator"": 40,
        ""simplified_denominator"": 293,
        ""reduction_factor"": 90,
        ""style"": ""latex_inline"",
        ""factor"": 90,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
12,fraction_simplification,"Simplify the fraction 29330/37310 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",419/533,"{
    ""question"": ""Simplify the fraction 29330/37310 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""419/533"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 12,
        ""numerator"": 29330,
        ""denominator"": 37310,
        ""simplified_numerator"": 419,
        ""simplified_denominator"": 533,
        ""reduction_factor"": 70,
        ""style"": ""plain"",
        ""factor"": 70,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
13,fraction_simplification,"Simplify the fraction $\frac{17577}{26964}$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$\frac{279}{428}$,"{
    ""question"": ""Simplify the fraction $\\frac{17577}{26964}$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$\\frac{279}{428}$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 13,
        ""numerator"": 17577,
        ""denominator"": 26964,
        ""simplified_numerator"": 279,
        ""simplified_denominator"": 428,
        ""reduction_factor"": 63,
        ""style"": ""latex_frac"",
        ""factor"": 63,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
14,fraction_simplification,"Simplify the fraction 4108/47320 to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",79/910,"{
    ""question"": ""Simplify the fraction 4108/47320 to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""79/910"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 14,
        ""numerator"": 4108,
        ""denominator"": 47320,
        ""simplified_numerator"": 79,
        ""simplified_denominator"": 910,
        ""reduction_factor"": 52,
        ""style"": ""plain"",
        ""factor"": 52,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
15,fraction_simplification,"Simplify the fraction $\dfrac{3640}{20216}$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$\dfrac{65}{361}$,"{
    ""question"": ""Simplify the fraction $\\dfrac{3640}{20216}$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$\\dfrac{65}{361}$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 15,
        ""numerator"": 3640,
        ""denominator"": 20216,
        ""simplified_numerator"": 65,
        ""simplified_denominator"": 361,
        ""reduction_factor"": 56,
        ""style"": ""latex_dfrac"",
        ""factor"": 56,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
16,fraction_simplification,"Simplify the fraction $\frac{2754}{4777}$ to its lowest terms. Give only the simplified fraction as your final answer.
Output final answer with the format <<<answer>>>.",$\frac{162}{281}$,"{
    ""question"": ""Simplify the fraction $\\frac{2754}{4777}$ to its lowest terms. Give only the simplified fraction as your final answer."",
    ""answer"": ""$\\frac{162}{281}$"",
    ""metadata"": {
        ""source_dataset"": ""fraction_simplification"",
        ""source_index"": 16,
        ""numerator"": 2754,
        ""denominator"": 4777,
        ""simplified_numerator"": 162,
        ""simplified_denominator"": 281,
        ""reduction_factor"": 17,
        ""style"": ""latex_frac"",
        ""factor"": 17,
        ""difficulty"": {
            ""value"": [
                1,
                1000
            ],
            ""factor"": [
                1,
                100
            ]
        }
    }
}"
