ID,dataset,question,answer,full_data
0,figlet_font,"What word does this say?

._____       .______       .______       .______       .___      ._______
:_ ___\      :      \      : __   \      :      \      : __|     : .____/
|   |___     |   .   |     |  \____|     |       |     | : |     | : _/\ 
|   /  |     |   :   |     |   :  \      |   |   |     |   |     |   /  \
|. __  |     |___|   |     |   |___\     |___|   |     |   |     |_.: __/
 :/ |. |         |___|     |___|             |___|     |___|        :/   
 :   :/                                                                  
     :                                                                   
                                                                         
._______ 
:_.  ___\
|  : |/\ 
|    /  \
|. _____/
 :/      
 :       
         
         

Output final answer with the format <<<answer>>>.",GARNIEC,"{
    ""question"": ""What word does this say?\n\n._____       .______       .______       .______       .___      ._______\n:_ ___\\      :      \\      : __   \\      :      \\      : __|     : .____/\n|   |___     |   .   |     |  \\____|     |       |     | : |     | : _/\\ \n|   /  |     |   :   |     |   :  \\      |   |   |     |   |     |   /  \\\n|. __  |     |___|   |     |   |___\\     |___|   |     |   |     |_.: __/\n :/ |. |         |___|     |___|             |___|     |___|        :/   \n :   :/                                                                  \n     :                                                                   \n                                                                         \n._______ \n:_.  ___\\\n|  : |/\\ \n|    /  \\\n|. _____/\n :/      \n :       \n         \n         \n"",
    ""answer"": ""GARNIEC"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 0,
        ""font"": ""stronger_than_all"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
1,figlet_font,"What word does this say?

######    ######  ######    #####   ##        #####   
#######  #######  #######  #######  ##       #######  
##   ##  ###  ##  ### ###  ### ###  ##       ###  ##  
##  ##   ##   ##  ##  ##   ##   ##  ##        ###     
####     ## ####  ## ##    ##   ##  ##   ##     ###   
##  #    ##   ##  ##  ##   ### ###  #######  ##  ###  
##        ##  ##  ##   ##   #####   ######    #####   
                                                      

Output final answer with the format <<<answer>>>.",PAROLS,"{
    ""question"": ""What word does this say?\n\n######    ######  ######    #####   ##        #####   \n#######  #######  #######  #######  ##       #######  \n##   ##  ###  ##  ### ###  ### ###  ##       ###  ##  \n##  ##   ##   ##  ##  ##   ##   ##  ##        ###     \n####     ## ####  ## ##    ##   ##  ##   ##     ###   \n##  #    ##   ##  ##  ##   ### ###  #######  ##  ###  \n##        ##  ##  ##   ##   #####   ######    #####   \n                                                      \n"",
    ""answer"": ""PAROLS"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 1,
        ""font"": ""zig_zag_"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
2,figlet_font,"What word does this say?

                                                             
                                                             
##   ##    ####   ##  ##    ####   ##  ##  ##   ##   ######  
### ###     ##    ### ##     ##    ##  ##  ### ###  ##       
#######     ##    ######     ##    ##  ##  #######   #####   
## # ##     ##    ## ###     ##    ##  ##  ## # ##       ##  
##   ##    ####   ##  ##    ####    ####   ##   ##  ######   
                                                             

Output final answer with the format <<<answer>>>.",MINIUMS,"{
    ""question"": ""What word does this say?\n\n                                                             \n                                                             \n##   ##    ####   ##  ##    ####   ##  ##  ##   ##   ######  \n### ###     ##    ### ##     ##    ##  ##  ### ###  ##       \n#######     ##    ######     ##    ##  ##  #######   #####   \n## # ##     ##    ## ###     ##    ##  ##  ## # ##       ##  \n##   ##    ####   ##  ##    ####    ####   ##   ##  ######   \n                                                             \n"",
    ""answer"": ""MINIUMS"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 2,
        ""font"": ""rok_____"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
3,figlet_font,"What word does this say?

                                                                             
 #  #          ###           #####         #####         ###           ####  
 ## #           #              #             #            #            #     
 # ##           #              #             #            #            ###   
 #  #           #              #             #            #            #     
 #  #           #              #             #            #            #     
 #  #          ###             #             #           ###           ####  
                                                                             
                                                                             
       
 ###   
 #  #  
 #  #  
 ###   
 #  #  
 #  #  
       
       

Output final answer with the format <<<answer>>>.",NITTIER,"{
    ""question"": ""What word does this say?\n\n                                                                             \n #  #          ###           #####         #####         ###           ####  \n ## #           #              #             #            #            #     \n # ##           #              #             #            #            ###   \n #  #           #              #             #            #            #     \n #  #           #              #             #            #            #     \n #  #          ###             #             #           ###           ####  \n                                                                             \n                                                                             \n       \n ###   \n #  #  \n #  #  \n ###   \n #  #  \n #  #  \n       \n       \n"",
    ""answer"": ""NITTIER"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 3,
        ""font"": ""6x9"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
4,figlet_font,"What word does this say?

 ██▀███     ▓█████      ▄████    ▓█████    ▄▄▄█████▓
▓██ ▒ ██▒   ▓█   ▀     ██▒ ▀█▒   ▓█   ▀    ▓  ██▒ ▓▒
▓██ ░▄█ ▒   ▒███      ▒██░▄▄▄░   ▒███      ▒ ▓██░ ▒░
▒██▀▀█▄     ▒▓█  ▄    ░▓█  ██▓   ▒▓█  ▄    ░ ▓██▓ ░ 
░██▓ ▒██▒   ░▒████▒   ░▒▓███▀▒   ░▒████▒     ▒██▒ ░ 
░ ▒▓ ░▒▓░   ░░ ▒░ ░    ░▒   ▒    ░░ ▒░ ░     ▒ ░░   
  ░▒ ░ ▒░    ░ ░  ░     ░   ░     ░ ░  ░       ░    
  ░░   ░       ░      ░ ░   ░       ░        ░      
   ░           ░  ░         ░       ░  ░            
                                                    

Output final answer with the format <<<answer>>>.",REGET,"{
    ""question"": ""What word does this say?\n\n ██▀███     ▓█████      ▄████    ▓█████    ▄▄▄█████▓\n▓██ ▒ ██▒   ▓█   ▀     ██▒ ▀█▒   ▓█   ▀    ▓  ██▒ ▓▒\n▓██ ░▄█ ▒   ▒███      ▒██░▄▄▄░   ▒███      ▒ ▓██░ ▒░\n▒██▀▀█▄     ▒▓█  ▄    ░▓█  ██▓   ▒▓█  ▄    ░ ▓██▓ ░ \n░██▓ ▒██▒   ░▒████▒   ░▒▓███▀▒   ░▒████▒     ▒██▒ ░ \n░ ▒▓ ░▒▓░   ░░ ▒░ ░    ░▒   ▒    ░░ ▒░ ░     ▒ ░░   \n  ░▒ ░ ▒░    ░ ░  ░     ░   ░     ░ ░  ░       ░    \n  ░░   ░       ░      ░ ░   ░       ░        ░      \n   ░           ░  ░         ░       ░  ░            \n                                                    \n"",
    ""answer"": ""REGET"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 4,
        ""font"": ""bloody"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
5,figlet_font,"What word does this say?

  _ \        \       |   |     ___|    |   |   __ __| 
 |   |      _ \      |   |    |        |   |      |   
 __ <      ___ \     |   |    |   |    ___ |      |   
_| \_\   _/    _\   \___/    \____|   _|  _|     _|   
                                                      

Output final answer with the format <<<answer>>>.",RAUGHT,"{
    ""question"": ""What word does this say?\n\n  _ \\        \\       |   |     ___|    |   |   __ __| \n |   |      _ \\      |   |    |        |   |      |   \n __ <      ___ \\     |   |    |   |    ___ |      |   \n_| \\_\\   _/    _\\   \\___/    \\____|   _|  _|     _|   \n                                                      \n"",
    ""answer"": ""RAUGHT"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 5,
        ""font"": ""shadow"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
6,figlet_font,"Please read the following figlet font:

___     __                   ___     __     ___ 
 |     /  \    |\ |    |    |__     /__`     |  
 |     \__/    | \|    |    |___    .__/     |  
                                                

Output final answer with the format <<<answer>>>.",TONIEST,"{
    ""question"": ""Please read the following figlet font:\n\n___     __                   ___     __     ___ \n |     /  \\    |\\ |    |    |__     /__`     |  \n |     \\__/    | \\|    |    |___    .__/     |  \n                                                \n"",
    ""answer"": ""TONIEST"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 6,
        ""font"": ""js_stick_letters"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
7,figlet_font,"Please read the following figlet font:

      ___                    ___                          
     /\  \                  /\  \                   ___   
    /::\  \                /::\  \                 /\  \  
   /:/\:\  \              /:/\:\  \                \:\  \ 
  /:/  \:\  \            /::\~\:\  \               /::\__\
 /:/__/ \:\__\          /:/\:\ \:\__\           __/:/\/__/
 \:\  \  \/__/          \/_|::\/:/  /          /\/:/  /   
  \:\  \                   |:|::/  /           \::/__/    
   \:\  \                  |:|\/__/             \:\__\    
    \:\__\                 |:|  |                \/__/    
     \/__/                  \|__|                         
      ___                    ___                    ___     
     /\__\                  /\  \                  /\  \    
    /::|  |                /::\  \                /::\  \   
   /:|:|  |               /:/\:\  \              /:/\:\  \  
  /:/|:|  |__            /::\~\:\  \            /:/  \:\__\ 
 /:/ |:| /\__\          /:/\:\ \:\__\          /:/__/ \:|__|
 \/__|:|/:/  /          \:\~\:\ \/__/          \:\  \ /:/  /
     |:/:/  /            \:\ \:\__\             \:\  /:/  / 
     |::/  /              \:\ \/__/              \:\/:/  /  
     /:/  /                \:\__\                 \::/__/   
     \/__/                  \/__/                  ~~       

Output final answer with the format <<<answer>>>.",CRINED,"{
    ""question"": ""Please read the following figlet font:\n\n      ___                    ___                          \n     /\\  \\                  /\\  \\                   ___   \n    /::\\  \\                /::\\  \\                 /\\  \\  \n   /:/\\:\\  \\              /:/\\:\\  \\                \\:\\  \\ \n  /:/  \\:\\  \\            /::\\~\\:\\  \\               /::\\__\\\n /:/__/ \\:\\__\\          /:/\\:\\ \\:\\__\\           __/:/\\/__/\n \\:\\  \\  \\/__/          \\/_|::\\/:/  /          /\\/:/  /   \n  \\:\\  \\                   |:|::/  /           \\::/__/    \n   \\:\\  \\                  |:|\\/__/             \\:\\__\\    \n    \\:\\__\\                 |:|  |                \\/__/    \n     \\/__/                  \\|__|                         \n      ___                    ___                    ___     \n     /\\__\\                  /\\  \\                  /\\  \\    \n    /::|  |                /::\\  \\                /::\\  \\   \n   /:|:|  |               /:/\\:\\  \\              /:/\\:\\  \\  \n  /:/|:|  |__            /::\\~\\:\\  \\            /:/  \\:\\__\\ \n /:/ |:| /\\__\\          /:/\\:\\ \\:\\__\\          /:/__/ \\:|__|\n \\/__|:|/:/  /          \\:\\~\\:\\ \\/__/          \\:\\  \\ /:/  /\n     |:/:/  /            \\:\\ \\:\\__\\             \\:\\  /:/  / \n     |::/  /              \\:\\ \\/__/              \\:\\/:/  /  \n     /:/  /                \\:\\__\\                 \\::/__/   \n     \\/__/                  \\/__/                  ~~       \n"",
    ""answer"": ""CRINED"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 7,
        ""font"": ""isometric1"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
8,figlet_font,"What word does this say?

                                        
                                        
#   #  ##   ##  #   ####   ##     ##### 
#   ##  #   #   #   #      # #    # # # 
#   # # #    # #    ####   # #      #   
#   # # #    # #    #  #   ##       #   
#   #  ##     ##    #      # #      #   
#   ##  #     #     ####   #  #    ###  
                                        
                                        

Output final answer with the format <<<answer>>>.",INVERT,"{
    ""question"": ""What word does this say?\n\n                                        \n                                        \n#   #  ##   ##  #   ####   ##     ##### \n#   ##  #   #   #   #      # #    # # # \n#   # # #    # #    ####   # #      #   \n#   # # #    # #    #  #   ##       #   \n#   #  ##     ##    #      # #      #   \n#   ##  #     #     ####   #  #    ###  \n                                        \n                                        \n"",
    ""answer"": ""INVERT"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 8,
        ""font"": ""chartr"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
9,figlet_font,"What word does this say?

                                                           
#######   ####        ####    ######     #####      ####   
 ##    #   ## #      #  ####   ##  ##    ##  #     ##      
 ####      ##        ### ##    #   ##    ##  ##     ####   
 ## #      ##        ##  ##    #####     ######        ##  
 ##        ##    #   ##  ##    ## ##     ##  ##   ##   ##  
###       #######    #####    ###  ###  ###  ###    #### # 
                                                           

Output final answer with the format <<<answer>>>.",FLORAS,"{
    ""question"": ""What word does this say?\n\n                                                           \n#######   ####        ####    ######     #####      ####   \n ##    #   ## #      #  ####   ##  ##    ##  #     ##      \n ####      ##        ### ##    #   ##    ##  ##     ####   \n ## #      ##        ##  ##    #####     ######        ##  \n ##        ##    #   ##  ##    ## ##     ##  ##   ##   ##  \n###       #######    #####    ###  ###  ###  ###    #### # \n                                                           \n"",
    ""answer"": ""FLORAS"",
    ""metadata"": {
        ""source_dataset"": ""figlet_font"",
        ""source_index"": 9,
        ""font"": ""war_of_w"",
        ""space_letters"": true,
        ""difficulty"": {
            ""word_len"": [
                3,
                7
            ]
        }
    }
}"
