ID,dataset,question,answer,full_data
0,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
2 3 _ _
_ _ _ _
_ _ _ 1
_ _ 4 3
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","2 3 1 4
4 1 3 2
3 4 2 1
1 2 4 3","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n2 3 _ _\n_ _ _ _\n_ _ _ 1\n_ _ 4 3\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""2 3 1 4\n4 1 3 2\n3 4 2 1\n1 2 4 3"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 0,
        ""puzzle"": [
            [
                2,
                3,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                1
            ],
            [
                0,
                0,
                4,
                3
            ]
        ],
        ""solution"": [
            [
                2,
                3,
                1,
                4
            ],
            [
                4,
                1,
                3,
                2
            ],
            [
                3,
                4,
                2,
                1
            ],
            [
                1,
                2,
                4,
                3
            ]
        ],
        ""num_empty"": 11,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
1,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ _ _ _
_ _ _ 4
2 _ _ _
1 _ _ 3
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","4 1 3 2
3 2 1 4
2 3 4 1
1 4 2 3","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ _ _ _\n_ _ _ 4\n2 _ _ _\n1 _ _ 3\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""4 1 3 2\n3 2 1 4\n2 3 4 1\n1 4 2 3"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 1,
        ""puzzle"": [
            [
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                4
            ],
            [
                2,
                0,
                0,
                0
            ],
            [
                1,
                0,
                0,
                3
            ]
        ],
        ""solution"": [
            [
                4,
                1,
                3,
                2
            ],
            [
                3,
                2,
                1,
                4
            ],
            [
                2,
                3,
                4,
                1
            ],
            [
                1,
                4,
                2,
                3
            ]
        ],
        ""num_empty"": 12,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
2,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ _ 4 _
4 3 2 _
1 2 _ _
_ _ _ _
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","2 1 4 3
4 3 2 1
1 2 3 4
3 4 1 2","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ _ 4 _\n4 3 2 _\n1 2 _ _\n_ _ _ _\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""2 1 4 3\n4 3 2 1\n1 2 3 4\n3 4 1 2"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 2,
        ""puzzle"": [
            [
                0,
                0,
                4,
                0
            ],
            [
                4,
                3,
                2,
                0
            ],
            [
                1,
                2,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": [
            [
                2,
                1,
                4,
                3
            ],
            [
                4,
                3,
                2,
                1
            ],
            [
                1,
                2,
                3,
                4
            ],
            [
                3,
                4,
                1,
                2
            ]
        ],
        ""num_empty"": 10,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
3,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ 2 _ _
1 _ _ _
2 _ 1 3
_ _ _ 2
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","4 2 3 1
1 3 2 4
2 4 1 3
3 1 4 2","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ 2 _ _\n1 _ _ _\n2 _ 1 3\n_ _ _ 2\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""4 2 3 1\n1 3 2 4\n2 4 1 3\n3 1 4 2"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 3,
        ""puzzle"": [
            [
                0,
                2,
                0,
                0
            ],
            [
                1,
                0,
                0,
                0
            ],
            [
                2,
                0,
                1,
                3
            ],
            [
                0,
                0,
                0,
                2
            ]
        ],
        ""solution"": [
            [
                4,
                2,
                3,
                1
            ],
            [
                1,
                3,
                2,
                4
            ],
            [
                2,
                4,
                1,
                3
            ],
            [
                3,
                1,
                4,
                2
            ]
        ],
        ""num_empty"": 10,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
4,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ _ _ 1
_ 3 _ _
_ _ _ 4
_ 2 _ _
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","2 4 3 1
1 3 4 2
3 1 2 4
4 2 1 3","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ _ _ 1\n_ 3 _ _\n_ _ _ 4\n_ 2 _ _\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""2 4 3 1\n1 3 4 2\n3 1 2 4\n4 2 1 3"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 4,
        ""puzzle"": [
            [
                0,
                0,
                0,
                1
            ],
            [
                0,
                3,
                0,
                0
            ],
            [
                0,
                0,
                0,
                4
            ],
            [
                0,
                2,
                0,
                0
            ]
        ],
        ""solution"": [
            [
                2,
                4,
                3,
                1
            ],
            [
                1,
                3,
                4,
                2
            ],
            [
                3,
                1,
                2,
                4
            ],
            [
                4,
                2,
                1,
                3
            ]
        ],
        ""num_empty"": 12,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
5,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ _ _ _
3 _ 2 _
_ _ _ _
2 1 _ 4
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","1 2 4 3
3 4 2 1
4 3 1 2
2 1 3 4","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ _ _ _\n3 _ 2 _\n_ _ _ _\n2 1 _ 4\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""1 2 4 3\n3 4 2 1\n4 3 1 2\n2 1 3 4"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 5,
        ""puzzle"": [
            [
                0,
                0,
                0,
                0
            ],
            [
                3,
                0,
                2,
                0
            ],
            [
                0,
                0,
                0,
                0
            ],
            [
                2,
                1,
                0,
                4
            ]
        ],
        ""solution"": [
            [
                1,
                2,
                4,
                3
            ],
            [
                3,
                4,
                2,
                1
            ],
            [
                4,
                3,
                1,
                2
            ],
            [
                2,
                1,
                3,
                4
            ]
        ],
        ""num_empty"": 11,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
6,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ _ _ 1
_ _ 4 2
_ 2 _ _
4 _ _ 3
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","2 4 3 1
1 3 4 2
3 2 1 4
4 1 2 3","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ _ _ 1\n_ _ 4 2\n_ 2 _ _\n4 _ _ 3\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""2 4 3 1\n1 3 4 2\n3 2 1 4\n4 1 2 3"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 6,
        ""puzzle"": [
            [
                0,
                0,
                0,
                1
            ],
            [
                0,
                0,
                4,
                2
            ],
            [
                0,
                2,
                0,
                0
            ],
            [
                4,
                0,
                0,
                3
            ]
        ],
        ""solution"": [
            [
                2,
                4,
                3,
                1
            ],
            [
                1,
                3,
                4,
                2
            ],
            [
                3,
                2,
                1,
                4
            ],
            [
                4,
                1,
                2,
                3
            ]
        ],
        ""num_empty"": 10,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
7,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
2 1 _ _
3 4 _ _
_ _ 1 _
1 _ _ 3
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","2 1 3 4
3 4 2 1
4 3 1 2
1 2 4 3","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n2 1 _ _\n3 4 _ _\n_ _ 1 _\n1 _ _ 3\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""2 1 3 4\n3 4 2 1\n4 3 1 2\n1 2 4 3"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 7,
        ""puzzle"": [
            [
                2,
                1,
                0,
                0
            ],
            [
                3,
                4,
                0,
                0
            ],
            [
                0,
                0,
                1,
                0
            ],
            [
                1,
                0,
                0,
                3
            ]
        ],
        ""solution"": [
            [
                2,
                1,
                3,
                4
            ],
            [
                3,
                4,
                2,
                1
            ],
            [
                4,
                3,
                1,
                2
            ],
            [
                1,
                2,
                4,
                3
            ]
        ],
        ""num_empty"": 9,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
8,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ 2 _ _
_ 3 _ _
_ _ _ 4
2 _ 1 _
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","4 2 3 1
1 3 4 2
3 1 2 4
2 4 1 3","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ 2 _ _\n_ 3 _ _\n_ _ _ 4\n2 _ 1 _\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""4 2 3 1\n1 3 4 2\n3 1 2 4\n2 4 1 3"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 8,
        ""puzzle"": [
            [
                0,
                2,
                0,
                0
            ],
            [
                0,
                3,
                0,
                0
            ],
            [
                0,
                0,
                0,
                4
            ],
            [
                2,
                0,
                1,
                0
            ]
        ],
        ""solution"": [
            [
                4,
                2,
                3,
                1
            ],
            [
                1,
                3,
                4,
                2
            ],
            [
                3,
                1,
                2,
                4
            ],
            [
                2,
                4,
                1,
                3
            ]
        ],
        ""num_empty"": 11,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
9,mini_sudoku,"In 4x4 Mini Sudoku:
- Each row must contain each number from 1-4 exactly once
- Each column must contain each number 1-4 exactly once
- Each 2x2 subgrid must contain each number 1-4 exactly once
Solve this 4x4 Mini Sudoku puzzle:
_ _ _ 4
_ _ 3 _
4 2 _ _
_ 3 _ _
Format your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.
Enclose your response within triple angle brackets, like <<<1 2 3 4
2 3 4 1
3 4 1 2
4 1 2 3>>>.","3 1 2 4
2 4 3 1
4 2 1 3
1 3 4 2","{
    ""question"": ""In 4x4 Mini Sudoku:\n- Each row must contain each number from 1-4 exactly once\n- Each column must contain each number 1-4 exactly once\n- Each 2x2 subgrid must contain each number 1-4 exactly once\nSolve this 4x4 Mini Sudoku puzzle:\n_ _ _ 4\n_ _ 3 _\n4 2 _ _\n_ 3 _ _\nFormat your response as the puzzle above, with spaces separating each number within a row, and newlines separating rows.\n"",
    ""answer"": ""3 1 2 4\n2 4 3 1\n4 2 1 3\n1 3 4 2"",
    ""metadata"": {
        ""source_dataset"": ""mini_sudoku"",
        ""source_index"": 9,
        ""puzzle"": [
            [
                0,
                0,
                0,
                4
            ],
            [
                0,
                0,
                3,
                0
            ],
            [
                4,
                2,
                0,
                0
            ],
            [
                0,
                3,
                0,
                0
            ]
        ],
        ""solution"": [
            [
                3,
                1,
                2,
                4
            ],
            [
                2,
                4,
                3,
                1
            ],
            [
                4,
                2,
                1,
                3
            ],
            [
                1,
                3,
                4,
                2
            ]
        ],
        ""num_empty"": 11,
        ""difficulty"": {
            ""empty"": [
                8,
                12
            ]
        }
    }
}"
