ID,dataset,question,answer,full_data
0,syllogism,"Consider these statements:
1. All parents are writers
2. Some writers are doctors

Does it logically follow that:
Some parents are doctors?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All parents are writers\n2. Some writers are doctors\n\nDoes it logically follow that:\nSome parents are doctors?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All parents are writers"",
        ""premise2"": ""Some writers are doctors"",
        ""conclusion"": ""Some parents are doctors"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
1,syllogism,"Consider these statements:
1. All scientists are programmers
2. All programmers are chefs

Does it logically follow that:
Some scientists are chefs?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All scientists are programmers\n2. All programmers are chefs\n\nDoes it logically follow that:\nSome scientists are chefs?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All scientists are programmers"",
        ""premise2"": ""All programmers are chefs"",
        ""conclusion"": ""Some scientists are chefs"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
2,syllogism,"Consider these statements:
1. All tigers are birds
2. Some birds are not humans

Does it logically follow that:
Some tigers are not humans?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All tigers are birds\n2. Some birds are not humans\n\nDoes it logically follow that:\nSome tigers are not humans?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All tigers are birds"",
        ""premise2"": ""Some birds are not humans"",
        ""conclusion"": ""Some tigers are not humans"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
3,syllogism,"Consider these statements:
1. All dolphins are cats
2. Some cats are teachers

Does it logically follow that:
Some dolphins are teachers?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All dolphins are cats\n2. Some cats are teachers\n\nDoes it logically follow that:\nSome dolphins are teachers?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All dolphins are cats"",
        ""premise2"": ""Some cats are teachers"",
        ""conclusion"": ""Some dolphins are teachers"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
4,syllogism,"Consider these statements:
1. All cats are adults
2. Some adults are not humans

Does it logically follow that:
Some cats are not humans?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All cats are adults\n2. Some adults are not humans\n\nDoes it logically follow that:\nSome cats are not humans?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All cats are adults"",
        ""premise2"": ""Some adults are not humans"",
        ""conclusion"": ""Some cats are not humans"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
5,syllogism,"Consider these statements:
1. All grandparents are lions
2. No lions are children

Does it logically follow that:
Some grandparents are not children?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All grandparents are lions\n2. No lions are children\n\nDoes it logically follow that:\nSome grandparents are not children?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All grandparents are lions"",
        ""premise2"": ""No lions are children"",
        ""conclusion"": ""Some grandparents are not children"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
6,syllogism,"Consider these statements:
1. Some butterflies are bees
2. Some bees are philosophers

Does it logically follow that:
Some bees are butterflies?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. Some butterflies are bees\n2. Some bees are philosophers\n\nDoes it logically follow that:\nSome bees are butterflies?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""source_dataset"": ""syllogism"",
        ""source_index"": 6,
        ""premise1"": ""Some butterflies are bees"",
        ""premise2"": ""Some bees are philosophers"",
        ""selected_premise"": 1,
        ""conclusion"": ""Some bees are butterflies"",
        ""is_valid"": true,
        ""type"": ""inversion""
    }
}"
7,syllogism,"Consider these statements:
1. No writers are lawyers
2. Some lawyers are not reptiles

Does it logically follow that:
No reptiles are lawyers?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",No,"{
    ""question"": ""Consider these statements:\n1. No writers are lawyers\n2. Some lawyers are not reptiles\n\nDoes it logically follow that:\nNo reptiles are lawyers?\n(Answer Yes or No)"",
    ""answer"": ""No"",
    ""metadata"": {
        ""source_dataset"": ""syllogism"",
        ""source_index"": 7,
        ""premise1"": ""No writers are lawyers"",
        ""premise2"": ""Some lawyers are not reptiles"",
        ""selected_premise"": 2,
        ""conclusion"": ""No reptiles are lawyers"",
        ""is_valid"": false,
        ""type"": ""inversion""
    }
}"
8,syllogism,"Consider these statements:
1. No spiders are tigers
2. No tigers are children

Does it logically follow that:
Some children are tigers?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",No,"{
    ""question"": ""Consider these statements:\n1. No spiders are tigers\n2. No tigers are children\n\nDoes it logically follow that:\nSome children are tigers?\n(Answer Yes or No)"",
    ""answer"": ""No"",
    ""metadata"": {
        ""source_dataset"": ""syllogism"",
        ""source_index"": 8,
        ""premise1"": ""No spiders are tigers"",
        ""premise2"": ""No tigers are children"",
        ""selected_premise"": 2,
        ""conclusion"": ""Some children are tigers"",
        ""is_valid"": false,
        ""type"": ""inversion""
    }
}"
9,syllogism,"Consider these statements:
1. All reptiles are cats
2. Some cats are not programmers

Does it logically follow that:
Some reptiles are not programmers?
(Answer Yes or No)

Enclose final answer within triple angle brackets, i.e. <<<Yes>>> or <<<No>>>.",Yes,"{
    ""question"": ""Consider these statements:\n1. All reptiles are cats\n2. Some cats are not programmers\n\nDoes it logically follow that:\nSome reptiles are not programmers?\n(Answer Yes or No)"",
    ""answer"": ""Yes"",
    ""metadata"": {
        ""premise1"": ""All reptiles are cats"",
        ""premise2"": ""Some cats are not programmers"",
        ""conclusion"": ""Some reptiles are not programmers"",
        ""is_valid"": true,
        ""type"": ""syllogism""
    }
}"
