ID,dataset,question,answer,full_data
0,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: discovery, believe, infinite, entirely
","infinite, entirely, discovery, believe","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: discovery, believe, infinite, entirely\n"",
    ""answer"": ""infinite, entirely, discovery, believe"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 0,
        ""original_words"": [
            ""discovery"",
            ""believe"",
            ""infinite"",
            ""entirely""
        ],
        ""sorted_words"": [
            ""infinite"",
            ""entirely"",
            ""discovery"",
            ""believe""
        ],
        ""transformed_words"": [
            ""discovery"",
            ""believe"",
            ""infinite"",
            ""entirely""
        ],
        ""direction"": ""descending"",
        ""num_words"": 4,
        ""word_length"": 9,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
1,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: email, got, suffice, widespread, well
","email, got, suffice, well, widespread","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: email, got, suffice, widespread, well\n"",
    ""answer"": ""email, got, suffice, well, widespread"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 1,
        ""original_words"": [
            ""email"",
            ""got"",
            ""suffice"",
            ""widespread"",
            ""well""
        ],
        ""sorted_words"": [
            ""email"",
            ""got"",
            ""suffice"",
            ""well"",
            ""widespread""
        ],
        ""transformed_words"": [
            ""email"",
            ""got"",
            ""suffice"",
            ""widespread"",
            ""well""
        ],
        ""direction"": ""ascending"",
        ""num_words"": 5,
        ""word_length"": 10,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
2,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: Donations, editor, Electro, phonograph, now, PLEASE, regard, instrument
","regard, phonograph, now, instrument, editor, PLEASE, Electro, Donations","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: Donations, editor, Electro, phonograph, now, PLEASE, regard, instrument\n"",
    ""answer"": ""regard, phonograph, now, instrument, editor, PLEASE, Electro, Donations"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 2,
        ""original_words"": [
            ""Donations"",
            ""editor"",
            ""Electro"",
            ""phonograph"",
            ""now"",
            ""PLEASE"",
            ""regard"",
            ""instrument""
        ],
        ""sorted_words"": [
            ""regard"",
            ""phonograph"",
            ""now"",
            ""instrument"",
            ""editor"",
            ""PLEASE"",
            ""Electro"",
            ""Donations""
        ],
        ""transformed_words"": [
            ""Donations"",
            ""editor"",
            ""Electro"",
            ""phonograph"",
            ""now"",
            ""PLEASE"",
            ""regard"",
            ""instrument""
        ],
        ""direction"": ""descending"",
        ""num_words"": 8,
        ""word_length"": 10,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
3,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: article, may, broke, heat, reproducing, fairer, OWNER, wealthy
","wealthy, reproducing, may, heat, fairer, broke, article, OWNER","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: article, may, broke, heat, reproducing, fairer, OWNER, wealthy\n"",
    ""answer"": ""wealthy, reproducing, may, heat, fairer, broke, article, OWNER"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 3,
        ""original_words"": [
            ""article"",
            ""may"",
            ""broke"",
            ""heat"",
            ""reproducing"",
            ""fairer"",
            ""OWNER"",
            ""wealthy""
        ],
        ""sorted_words"": [
            ""wealthy"",
            ""reproducing"",
            ""may"",
            ""heat"",
            ""fairer"",
            ""broke"",
            ""article"",
            ""OWNER""
        ],
        ""transformed_words"": [
            ""article"",
            ""may"",
            ""broke"",
            ""heat"",
            ""reproducing"",
            ""fairer"",
            ""OWNER"",
            ""wealthy""
        ],
        ""direction"": ""descending"",
        ""num_words"": 8,
        ""word_length"": 11,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
4,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: Nearly, Certainly, heads, Singularly, 100, transferred, completed, expenses
","transferred, heads, expenses, completed, Singularly, Nearly, Certainly, 100","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: Nearly, Certainly, heads, Singularly, 100, transferred, completed, expenses\n"",
    ""answer"": ""transferred, heads, expenses, completed, Singularly, Nearly, Certainly, 100"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 4,
        ""original_words"": [
            ""Nearly"",
            ""Certainly"",
            ""heads"",
            ""Singularly"",
            ""100"",
            ""transferred"",
            ""completed"",
            ""expenses""
        ],
        ""sorted_words"": [
            ""transferred"",
            ""heads"",
            ""expenses"",
            ""completed"",
            ""Singularly"",
            ""Nearly"",
            ""Certainly"",
            ""100""
        ],
        ""transformed_words"": [
            ""Nearly"",
            ""Certainly"",
            ""heads"",
            ""Singularly"",
            ""100"",
            ""transferred"",
            ""completed"",
            ""expenses""
        ],
        ""direction"": ""descending"",
        ""num_words"": 8,
        ""word_length"": 11,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
5,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: use, France, old, revolution
","France, old, revolution, use","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: use, France, old, revolution\n"",
    ""answer"": ""France, old, revolution, use"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 5,
        ""original_words"": [
            ""use"",
            ""France"",
            ""old"",
            ""revolution""
        ],
        ""sorted_words"": [
            ""France"",
            ""old"",
            ""revolution"",
            ""use""
        ],
        ""transformed_words"": [
            ""use"",
            ""France"",
            ""old"",
            ""revolution""
        ],
        ""direction"": ""ascending"",
        ""num_words"": 4,
        ""word_length"": 10,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
6,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: repast, abed, Paris, obsolete, sorts, originated, INDIRECT, codes, meritorious
","sorts, repast, originated, obsolete, meritorious, codes, abed, Paris, INDIRECT","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in descending order (using ASCII/Unicode ordering) and return them as a comma-separated list: repast, abed, Paris, obsolete, sorts, originated, INDIRECT, codes, meritorious\n"",
    ""answer"": ""sorts, repast, originated, obsolete, meritorious, codes, abed, Paris, INDIRECT"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 6,
        ""original_words"": [
            ""repast"",
            ""abed"",
            ""Paris"",
            ""obsolete"",
            ""sorts"",
            ""originated"",
            ""INDIRECT"",
            ""codes"",
            ""meritorious""
        ],
        ""sorted_words"": [
            ""sorts"",
            ""repast"",
            ""originated"",
            ""obsolete"",
            ""meritorious"",
            ""codes"",
            ""abed"",
            ""Paris"",
            ""INDIRECT""
        ],
        ""transformed_words"": [
            ""repast"",
            ""abed"",
            ""Paris"",
            ""obsolete"",
            ""sorts"",
            ""originated"",
            ""INDIRECT"",
            ""codes"",
            ""meritorious""
        ],
        ""direction"": ""descending"",
        ""num_words"": 9,
        ""word_length"": 11,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
7,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: firm, perfectly, DONATIONS, critical, donation, portion
","DONATIONS, critical, donation, firm, perfectly, portion","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: firm, perfectly, DONATIONS, critical, donation, portion\n"",
    ""answer"": ""DONATIONS, critical, donation, firm, perfectly, portion"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 7,
        ""original_words"": [
            ""firm"",
            ""perfectly"",
            ""DONATIONS"",
            ""critical"",
            ""donation"",
            ""portion""
        ],
        ""sorted_words"": [
            ""DONATIONS"",
            ""critical"",
            ""donation"",
            ""firm"",
            ""perfectly"",
            ""portion""
        ],
        ""transformed_words"": [
            ""firm"",
            ""perfectly"",
            ""DONATIONS"",
            ""critical"",
            ""donation"",
            ""portion""
        ],
        ""direction"": ""ascending"",
        ""num_words"": 6,
        ""word_length"": 9,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
8,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: was, Every, exclusion, happier, desired, approach, mission, got, run, EVEN
","EVEN, Every, approach, desired, exclusion, got, happier, mission, run, was","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: was, Every, exclusion, happier, desired, approach, mission, got, run, EVEN\n"",
    ""answer"": ""EVEN, Every, approach, desired, exclusion, got, happier, mission, run, was"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 8,
        ""original_words"": [
            ""was"",
            ""Every"",
            ""exclusion"",
            ""happier"",
            ""desired"",
            ""approach"",
            ""mission"",
            ""got"",
            ""run"",
            ""EVEN""
        ],
        ""sorted_words"": [
            ""EVEN"",
            ""Every"",
            ""approach"",
            ""desired"",
            ""exclusion"",
            ""got"",
            ""happier"",
            ""mission"",
            ""run"",
            ""was""
        ],
        ""transformed_words"": [
            ""was"",
            ""Every"",
            ""exclusion"",
            ""happier"",
            ""desired"",
            ""approach"",
            ""mission"",
            ""got"",
            ""run"",
            ""EVEN""
        ],
        ""direction"": ""ascending"",
        ""num_words"": 10,
        ""word_length"": 9,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
9,word_sorting,"Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.

Your output should be a comma-separated list of words, enclosed within triple angle brackets, e.g. <<<word_1, word_2, word_3>>>.

Now, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: lovely, either, cholera, perform, hats, gone, passed, 84116, exporting
","84116, cholera, either, exporting, gone, hats, lovely, passed, perform","{
    ""question"": ""Your task is to sort words in ascending or descending order using ASCII/Unicode ordering.\n\nYour output should be a comma-separated list of words, e.g. word_1, word_2, word_3\n\nNow, sort these words in ascending order (using ASCII/Unicode ordering) and return them as a comma-separated list: lovely, either, cholera, perform, hats, gone, passed, 84116, exporting\n"",
    ""answer"": ""84116, cholera, either, exporting, gone, hats, lovely, passed, perform"",
    ""metadata"": {
        ""source_dataset"": ""word_sorting"",
        ""source_index"": 9,
        ""original_words"": [
            ""lovely"",
            ""either"",
            ""cholera"",
            ""perform"",
            ""hats"",
            ""gone"",
            ""passed"",
            ""84116"",
            ""exporting""
        ],
        ""sorted_words"": [
            ""84116"",
            ""cholera"",
            ""either"",
            ""exporting"",
            ""gone"",
            ""hats"",
            ""lovely"",
            ""passed"",
            ""perform""
        ],
        ""transformed_words"": [
            ""lovely"",
            ""either"",
            ""cholera"",
            ""perform"",
            ""hats"",
            ""gone"",
            ""passed"",
            ""84116"",
            ""exporting""
        ],
        ""direction"": ""ascending"",
        ""num_words"": 9,
        ""word_length"": 9,
        ""difficulty"": {
            ""num_words"": [
                3,
                10
            ],
            ""word_length"": [
                3,
                12
            ]
        }
    }
}"
