ID,dataset,question,answer,full_data
0,cryptarithm,"Solve this cryptarithm:

   FTW
+  ITJ
------
  TGGJ

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","F=4,G=2,I=8,J=5,T=1,W=0","{
    ""question"": ""Solve this cryptarithm:\n\n   FTW\n+  ITJ\n------\n  TGGJ\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""F=4,G=2,I=8,J=5,T=1,W=0"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 0,
        ""letters"": [
            ""I"",
            ""J"",
            ""G"",
            ""W"",
            ""F"",
            ""T""
        ],
        ""word_values"": [
            410,
            815
        ],
        ""sum_number"": 1225,
        ""words_letters"": [
            ""FTW"",
            ""ITJ""
        ],
        ""result_letters"": ""TGGJ"",
        ""digit_to_letter"": {
            ""8"": ""I"",
            ""5"": ""J"",
            ""2"": ""G"",
            ""0"": ""W"",
            ""4"": ""F"",
            ""1"": ""T""
        },
        ""letter_to_digit"": {
            ""I"": 8,
            ""J"": 5,
            ""G"": 2,
            ""W"": 0,
            ""F"": 4,
            ""T"": 1
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
1,cryptarithm,"Solve this cryptarithm:

  DBRDM
+   MHT
-------
  DBHRM

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","B=6,D=4,H=9,M=5,R=3,T=0","{
    ""question"": ""Solve this cryptarithm:\n\n  DBRDM\n+   MHT\n-------\n  DBHRM\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""B=6,D=4,H=9,M=5,R=3,T=0"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 1,
        ""letters"": [
            ""T"",
            ""M"",
            ""D"",
            ""R"",
            ""B"",
            ""H""
        ],
        ""word_values"": [
            46345,
            590
        ],
        ""sum_number"": 46935,
        ""words_letters"": [
            ""DBRDM"",
            ""MHT""
        ],
        ""result_letters"": ""DBHRM"",
        ""digit_to_letter"": {
            ""0"": ""T"",
            ""5"": ""M"",
            ""4"": ""D"",
            ""3"": ""R"",
            ""6"": ""B"",
            ""9"": ""H""
        },
        ""letter_to_digit"": {
            ""T"": 0,
            ""M"": 5,
            ""D"": 4,
            ""R"": 3,
            ""B"": 6,
            ""H"": 9
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
2,cryptarithm,"Solve this cryptarithm:

  NZFJH
    KFM
+   KRZ
-------
  NKMFN

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","F=9,H=0,J=2,K=4,M=8,N=1,R=7,Z=3","{
    ""question"": ""Solve this cryptarithm:\n\n  NZFJH\n    KFM\n+   KRZ\n-------\n  NKMFN\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""F=9,H=0,J=2,K=4,M=8,N=1,R=7,Z=3"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 2,
        ""letters"": [
            ""F"",
            ""M"",
            ""K"",
            ""H"",
            ""R"",
            ""J"",
            ""Z"",
            ""N""
        ],
        ""word_values"": [
            13920,
            498,
            473
        ],
        ""sum_number"": 14891,
        ""words_letters"": [
            ""NZFJH"",
            ""KFM"",
            ""KRZ""
        ],
        ""result_letters"": ""NKMFN"",
        ""digit_to_letter"": {
            ""9"": ""F"",
            ""8"": ""M"",
            ""4"": ""K"",
            ""0"": ""H"",
            ""7"": ""R"",
            ""2"": ""J"",
            ""3"": ""Z"",
            ""1"": ""N""
        },
        ""letter_to_digit"": {
            ""F"": 9,
            ""M"": 8,
            ""K"": 4,
            ""H"": 0,
            ""R"": 7,
            ""J"": 2,
            ""Z"": 3,
            ""N"": 1
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
3,cryptarithm,"Solve this cryptarithm:

    GRI
  CBOGO
+  IERM
-------
  CEREB

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","B=0,C=3,E=6,G=9,I=5,M=4,O=1,R=8","{
    ""question"": ""Solve this cryptarithm:\n\n    GRI\n  CBOGO\n+  IERM\n-------\n  CEREB\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""B=0,C=3,E=6,G=9,I=5,M=4,O=1,R=8"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 3,
        ""letters"": [
            ""E"",
            ""O"",
            ""M"",
            ""G"",
            ""B"",
            ""I"",
            ""C"",
            ""R""
        ],
        ""word_values"": [
            985,
            30191,
            5684
        ],
        ""sum_number"": 36860,
        ""words_letters"": [
            ""GRI"",
            ""CBOGO"",
            ""IERM""
        ],
        ""result_letters"": ""CEREB"",
        ""digit_to_letter"": {
            ""6"": ""E"",
            ""1"": ""O"",
            ""4"": ""M"",
            ""9"": ""G"",
            ""0"": ""B"",
            ""5"": ""I"",
            ""3"": ""C"",
            ""8"": ""R""
        },
        ""letter_to_digit"": {
            ""E"": 6,
            ""O"": 1,
            ""M"": 4,
            ""G"": 9,
            ""B"": 0,
            ""I"": 5,
            ""C"": 3,
            ""R"": 8
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
4,cryptarithm,"Solve this cryptarithm:

   JJF
   KQA
+ KAAF
------
  UKQU

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","A=0,F=6,J=9,K=1,Q=8,U=2","{
    ""question"": ""Solve this cryptarithm:\n\n   JJF\n   KQA\n+ KAAF\n------\n  UKQU\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""A=0,F=6,J=9,K=1,Q=8,U=2"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 4,
        ""letters"": [
            ""A"",
            ""U"",
            ""F"",
            ""J"",
            ""K"",
            ""Q""
        ],
        ""word_values"": [
            996,
            180,
            1006
        ],
        ""sum_number"": 2182,
        ""words_letters"": [
            ""JJF"",
            ""KQA"",
            ""KAAF""
        ],
        ""result_letters"": ""UKQU"",
        ""digit_to_letter"": {
            ""0"": ""A"",
            ""2"": ""U"",
            ""6"": ""F"",
            ""9"": ""J"",
            ""1"": ""K"",
            ""8"": ""Q""
        },
        ""letter_to_digit"": {
            ""A"": 0,
            ""U"": 2,
            ""F"": 6,
            ""J"": 9,
            ""K"": 1,
            ""Q"": 8
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
5,cryptarithm,"Solve this cryptarithm:

   ZUDHH
+  QQHAI
--------
  DQAXHZ

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","A=0,D=1,H=5,I=4,Q=7,U=3,X=6,Z=9","{
    ""question"": ""Solve this cryptarithm:\n\n   ZUDHH\n+  QQHAI\n--------\n  DQAXHZ\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""A=0,D=1,H=5,I=4,Q=7,U=3,X=6,Z=9"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 5,
        ""letters"": [
            ""H"",
            ""D"",
            ""Q"",
            ""Z"",
            ""I"",
            ""U"",
            ""X"",
            ""A""
        ],
        ""word_values"": [
            93155,
            77504
        ],
        ""sum_number"": 170659,
        ""words_letters"": [
            ""ZUDHH"",
            ""QQHAI""
        ],
        ""result_letters"": ""DQAXHZ"",
        ""digit_to_letter"": {
            ""5"": ""H"",
            ""1"": ""D"",
            ""7"": ""Q"",
            ""9"": ""Z"",
            ""4"": ""I"",
            ""3"": ""U"",
            ""6"": ""X"",
            ""0"": ""A""
        },
        ""letter_to_digit"": {
            ""H"": 5,
            ""D"": 1,
            ""Q"": 7,
            ""Z"": 9,
            ""I"": 4,
            ""U"": 3,
            ""X"": 6,
            ""A"": 0
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
6,cryptarithm,"Solve this cryptarithm:

   OBFY
  YFBOL
+   FUL
-------
  ZBEOX

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","B=0,E=9,F=8,L=4,O=2,U=1,X=3,Y=5,Z=6","{
    ""question"": ""Solve this cryptarithm:\n\n   OBFY\n  YFBOL\n+   FUL\n-------\n  ZBEOX\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""B=0,E=9,F=8,L=4,O=2,U=1,X=3,Y=5,Z=6"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 6,
        ""letters"": [
            ""Z"",
            ""X"",
            ""E"",
            ""O"",
            ""U"",
            ""L"",
            ""B"",
            ""Y"",
            ""F""
        ],
        ""word_values"": [
            2085,
            58024,
            814
        ],
        ""sum_number"": 60923,
        ""words_letters"": [
            ""OBFY"",
            ""YFBOL"",
            ""FUL""
        ],
        ""result_letters"": ""ZBEOX"",
        ""digit_to_letter"": {
            ""6"": ""Z"",
            ""3"": ""X"",
            ""9"": ""E"",
            ""2"": ""O"",
            ""1"": ""U"",
            ""4"": ""L"",
            ""0"": ""B"",
            ""5"": ""Y"",
            ""8"": ""F""
        },
        ""letter_to_digit"": {
            ""Z"": 6,
            ""X"": 3,
            ""E"": 9,
            ""O"": 2,
            ""U"": 1,
            ""L"": 4,
            ""B"": 0,
            ""Y"": 5,
            ""F"": 8
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
7,cryptarithm,"Solve this cryptarithm:

  HSRS
+ SHTQ
------
  QKHT

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","H=1,K=6,Q=5,R=2,S=4,T=9","{
    ""question"": ""Solve this cryptarithm:\n\n  HSRS\n+ SHTQ\n------\n  QKHT\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""H=1,K=6,Q=5,R=2,S=4,T=9"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 7,
        ""letters"": [
            ""K"",
            ""T"",
            ""S"",
            ""H"",
            ""Q"",
            ""R""
        ],
        ""word_values"": [
            1424,
            4195
        ],
        ""sum_number"": 5619,
        ""words_letters"": [
            ""HSRS"",
            ""SHTQ""
        ],
        ""result_letters"": ""QKHT"",
        ""digit_to_letter"": {
            ""6"": ""K"",
            ""9"": ""T"",
            ""4"": ""S"",
            ""1"": ""H"",
            ""5"": ""Q"",
            ""2"": ""R""
        },
        ""letter_to_digit"": {
            ""K"": 6,
            ""T"": 9,
            ""S"": 4,
            ""H"": 1,
            ""Q"": 5,
            ""R"": 2
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
8,cryptarithm,"Solve this cryptarithm:

  AVLHE
  AWELR
+   WRE
-------
  RJJAR

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","A=4,E=0,H=5,J=9,L=1,R=8,V=2,W=7","{
    ""question"": ""Solve this cryptarithm:\n\n  AVLHE\n  AWELR\n+   WRE\n-------\n  RJJAR\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""A=4,E=0,H=5,J=9,L=1,R=8,V=2,W=7"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 8,
        ""letters"": [
            ""R"",
            ""H"",
            ""E"",
            ""J"",
            ""W"",
            ""V"",
            ""L"",
            ""A""
        ],
        ""word_values"": [
            42150,
            47018,
            780
        ],
        ""sum_number"": 89948,
        ""words_letters"": [
            ""AVLHE"",
            ""AWELR"",
            ""WRE""
        ],
        ""result_letters"": ""RJJAR"",
        ""digit_to_letter"": {
            ""8"": ""R"",
            ""5"": ""H"",
            ""0"": ""E"",
            ""9"": ""J"",
            ""7"": ""W"",
            ""2"": ""V"",
            ""1"": ""L"",
            ""4"": ""A""
        },
        ""letter_to_digit"": {
            ""R"": 8,
            ""H"": 5,
            ""E"": 0,
            ""J"": 9,
            ""W"": 7,
            ""V"": 2,
            ""L"": 1,
            ""A"": 4
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
9,cryptarithm,"Solve this cryptarithm:

  CMZW
   HJZ
+  WUH
------
  WWZA

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: <<<A=1,B=2,C=3>>>
","A=5,C=7,H=6,J=9,M=3,U=0,W=8,Z=1","{
    ""question"": ""Solve this cryptarithm:\n\n  CMZW\n   HJZ\n+  WUH\n------\n  WWZA\n\nEach letter stands for a unique digit (0-9). No leading letter can be zero.\nProvide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: \""A=1,B=2,C=3\"" (without quotes)\n"",
    ""answer"": ""A=5,C=7,H=6,J=9,M=3,U=0,W=8,Z=1"",
    ""metadata"": {
        ""source_dataset"": ""cryptarithm"",
        ""source_index"": 9,
        ""letters"": [
            ""Z"",
            ""C"",
            ""W"",
            ""U"",
            ""A"",
            ""M"",
            ""J"",
            ""H""
        ],
        ""word_values"": [
            7318,
            691,
            806
        ],
        ""sum_number"": 8815,
        ""words_letters"": [
            ""CMZW"",
            ""HJZ"",
            ""WUH""
        ],
        ""result_letters"": ""WWZA"",
        ""digit_to_letter"": {
            ""1"": ""Z"",
            ""7"": ""C"",
            ""8"": ""W"",
            ""0"": ""U"",
            ""5"": ""A"",
            ""3"": ""M"",
            ""9"": ""J"",
            ""6"": ""H""
        },
        ""letter_to_digit"": {
            ""Z"": 1,
            ""C"": 7,
            ""W"": 8,
            ""U"": 0,
            ""A"": 5,
            ""M"": 3,
            ""J"": 9,
            ""H"": 6
        },
        ""difficulty"": {
            ""words"": [
                2,
                3
            ]
        }
    }
}"
