ID,dataset,question,answer,full_data
0,largest_island,"You are given the following 5 x 6 binary matrix grid:
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 1
0 0 0 0 1 1
0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",3,"{
    ""question"": ""You are given the following 5 x 6 binary matrix grid:\n0 0 0 0 0 0\n0 0 0 0 0 0\n0 0 0 0 0 1\n0 0 0 0 1 1\n0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""3"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 0,
        ""grid"": [
            [
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                1
            ],
            [
                0,
                0,
                0,
                0,
                1,
                1
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 3,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
1,largest_island,"You are given the following 9 x 6 binary matrix grid:
1 1 1 1 0 0
0 1 1 1 0 0
0 0 1 1 1 0
0 0 1 1 1 0
0 1 1 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",16,"{
    ""question"": ""You are given the following 9 x 6 binary matrix grid:\n1 1 1 1 0 0\n0 1 1 1 0 0\n0 0 1 1 1 0\n0 0 1 1 1 0\n0 1 1 1 0 0\n0 0 0 0 0 0\n0 0 0 0 0 0\n0 0 0 0 0 0\n0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""16"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 1,
        ""grid"": [
            [
                1,
                1,
                1,
                1,
                0,
                0
            ],
            [
                0,
                1,
                1,
                1,
                0,
                0
            ],
            [
                0,
                0,
                1,
                1,
                1,
                0
            ],
            [
                0,
                0,
                1,
                1,
                1,
                0
            ],
            [
                0,
                1,
                1,
                1,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 16,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
2,largest_island,"You are given the following 9 x 7 binary matrix grid:
0 1 1 1 1 1 1
0 1 1 1 1 1 0
0 1 1 1 1 0 0
0 0 1 0 0 0 0
0 0 1 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 1 0 0
0 0 0 0 1 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",17,"{
    ""question"": ""You are given the following 9 x 7 binary matrix grid:\n0 1 1 1 1 1 1\n0 1 1 1 1 1 0\n0 1 1 1 1 0 0\n0 0 1 0 0 0 0\n0 0 1 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 1 0 0\n0 0 0 0 1 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""17"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 2,
        ""grid"": [
            [
                0,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                0,
                1,
                1,
                1,
                1,
                1,
                0
            ],
            [
                0,
                1,
                1,
                1,
                1,
                0,
                0
            ],
            [
                0,
                0,
                1,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                1,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                1,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                1,
                0,
                0
            ]
        ],
        ""solution"": 17,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
3,largest_island,"You are given the following 9 x 7 binary matrix grid:
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 1
0 0 0 0 0 0 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",2,"{
    ""question"": ""You are given the following 9 x 7 binary matrix grid:\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 1\n0 0 0 0 0 0 1\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 3,
        ""grid"": [
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                1
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                1
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 2,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
4,largest_island,"You are given the following 7 x 5 binary matrix grid:
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",0,"{
    ""question"": ""You are given the following 7 x 5 binary matrix grid:\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""0"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 4,
        ""grid"": [
            [
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 0,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
5,largest_island,"You are given the following 10 x 9 binary matrix grid:
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",0,"{
    ""question"": ""You are given the following 10 x 9 binary matrix grid:\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""0"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 5,
        ""grid"": [
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 0,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
6,largest_island,"You are given the following 10 x 8 binary matrix grid:
0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0
1 1 0 0 0 0 0 0
0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
1 1 0 0 0 0 1 1
0 0 0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",5,"{
    ""question"": ""You are given the following 10 x 8 binary matrix grid:\n0 0 0 0 0 0 0 0\n1 1 0 0 0 0 0 0\n1 1 0 0 0 0 0 0\n0 1 0 0 0 0 0 0\n0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0\n0 0 0 0 0 0 0 0\n1 1 0 0 0 0 1 1\n0 0 0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 6,
        ""grid"": [
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                0,
                0,
                0,
                0,
                1,
                1
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 5,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
7,largest_island,"You are given the following 6 x 7 binary matrix grid:
0 1 0 0 0 0 0
0 1 0 0 0 0 0
0 1 0 0 0 0 0
0 0 1 0 0 0 0
0 0 1 1 1 1 1
0 0 0 0 0 0 1

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",7,"{
    ""question"": ""You are given the following 6 x 7 binary matrix grid:\n0 1 0 0 0 0 0\n0 1 0 0 0 0 0\n0 1 0 0 0 0 0\n0 0 1 0 0 0 0\n0 0 1 1 1 1 1\n0 0 0 0 0 0 1\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""7"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 7,
        ""grid"": [
            [
                0,
                1,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                1,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                1,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                1,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                1,
                1,
                1,
                1,
                1
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                1
            ]
        ],
        ""solution"": 7,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
8,largest_island,"You are given the following 8 x 9 binary matrix grid:
1 1 1 1 0 0 0 0 0
1 1 0 0 0 0 0 0 0
1 1 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0
1 1 1 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",17,"{
    ""question"": ""You are given the following 8 x 9 binary matrix grid:\n1 1 1 1 0 0 0 0 0\n1 1 0 0 0 0 0 0 0\n1 1 1 0 0 0 0 0 0\n0 0 1 0 0 0 0 0 0\n0 0 1 0 0 0 0 0 0\n1 1 1 0 0 0 0 0 0\n1 0 0 0 0 0 0 0 0\n1 1 0 0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""17"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 8,
        ""grid"": [
            [
                1,
                1,
                1,
                1,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                1,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                0,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                1,
                1,
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 17,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
9,largest_island,"You are given the following 8 x 7 binary matrix grid:
0 0 1 1 0 0 0
0 0 1 1 0 0 0
0 1 1 1 0 0 0
0 1 1 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0

An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).
You may assume all four edges of the grid are surrounded by water.

The area of an island is the number of cells with a value 1 in the island.

Return the maximum area of an island in grid. If there is no island, return 0.

Output final answer with the format <<<answer>>>.",9,"{
    ""question"": ""You are given the following 8 x 7 binary matrix grid:\n0 0 1 1 0 0 0\n0 0 1 1 0 0 0\n0 1 1 1 0 0 0\n0 1 1 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n0 0 0 0 0 0 0\n\nAn island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical).\nYou may assume all four edges of the grid are surrounded by water.\n\nThe area of an island is the number of cells with a value 1 in the island.\n\nReturn the maximum area of an island in grid. If there is no island, return 0.\n"",
    ""answer"": ""9"",
    ""metadata"": {
        ""source_dataset"": ""largest_island"",
        ""source_index"": 9,
        ""grid"": [
            [
                0,
                0,
                1,
                1,
                0,
                0,
                0
            ],
            [
                0,
                0,
                1,
                1,
                0,
                0,
                0
            ],
            [
                0,
                1,
                1,
                1,
                0,
                0,
                0
            ],
            [
                0,
                1,
                1,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                0
            ]
        ],
        ""solution"": 9,
        ""difficulty"": {
            ""rows"": [
                5,
                10
            ],
            ""cols"": [
                5,
                10
            ],
            ""num_islands"": [
                0,
                5
            ],
            ""island_size"": [
                0,
                10
            ]
        }
    }
}"
