ID,dataset,question,answer,full_data
0,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 720 degrees clockwise:
3 2 4
3 7 0
0 1 5
","3 2 4
3 7 0
0 1 5","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 720 degrees clockwise:\n3 2 4\n3 7 0\n0 1 5\n"",
    ""answer"": ""3 2 4\n3 7 0\n0 1 5"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 0,
        ""matrix"": [
            [
                3,
                2,
                4
            ],
            [
                3,
                7,
                0
            ],
            [
                0,
                1,
                5
            ]
        ],
        ""num_rotations"": 8,
        ""solution"": [
            [
                3,
                2,
                4
            ],
            [
                3,
                7,
                0
            ],
            [
                0,
                1,
                5
            ]
        ],
        ""n"": 3,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
1,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 360 degrees clockwise:
3 4 7 8
8 2 9 8
5 8 7 7
4 1 4 6
","3 4 7 8
8 2 9 8
5 8 7 7
4 1 4 6","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 360 degrees clockwise:\n3 4 7 8\n8 2 9 8\n5 8 7 7\n4 1 4 6\n"",
    ""answer"": ""3 4 7 8\n8 2 9 8\n5 8 7 7\n4 1 4 6"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 1,
        ""matrix"": [
            [
                3,
                4,
                7,
                8
            ],
            [
                8,
                2,
                9,
                8
            ],
            [
                5,
                8,
                7,
                7
            ],
            [
                4,
                1,
                4,
                6
            ]
        ],
        ""num_rotations"": 4,
        ""solution"": [
            [
                3,
                4,
                7,
                8
            ],
            [
                8,
                2,
                9,
                8
            ],
            [
                5,
                8,
                7,
                7
            ],
            [
                4,
                1,
                4,
                6
            ]
        ],
        ""n"": 4,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
2,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 450 degrees clockwise:
5 9 0 3 0 6 5 1 6 4
5 1 9 8 2 1 4 5 9 0
2 8 1 0 5 4 8 0 6 2
9 4 4 6 5 3 3 7 8 2
9 2 9 6 8 6 3 3 1 9
1 7 4 6 1 9 4 3 2 6
5 7 1 8 7 6 7 5 2 7
4 2 3 2 4 4 1 4 8 1
9 8 4 6 3 6 4 8 5 9
7 1 1 0 5 6 5 2 2 6
","7 9 4 5 1 9 9 2 5 5
1 8 2 7 7 2 4 8 1 9
1 4 3 1 4 9 4 1 9 0
0 6 2 8 6 6 6 0 8 3
5 3 4 7 1 8 5 5 2 0
6 6 4 6 9 6 3 4 1 6
5 4 1 7 4 3 3 8 4 5
2 8 4 5 3 3 7 0 5 1
2 5 8 2 2 1 8 6 9 6
6 9 1 7 6 9 2 2 0 4","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 450 degrees clockwise:\n5 9 0 3 0 6 5 1 6 4\n5 1 9 8 2 1 4 5 9 0\n2 8 1 0 5 4 8 0 6 2\n9 4 4 6 5 3 3 7 8 2\n9 2 9 6 8 6 3 3 1 9\n1 7 4 6 1 9 4 3 2 6\n5 7 1 8 7 6 7 5 2 7\n4 2 3 2 4 4 1 4 8 1\n9 8 4 6 3 6 4 8 5 9\n7 1 1 0 5 6 5 2 2 6\n"",
    ""answer"": ""7 9 4 5 1 9 9 2 5 5\n1 8 2 7 7 2 4 8 1 9\n1 4 3 1 4 9 4 1 9 0\n0 6 2 8 6 6 6 0 8 3\n5 3 4 7 1 8 5 5 2 0\n6 6 4 6 9 6 3 4 1 6\n5 4 1 7 4 3 3 8 4 5\n2 8 4 5 3 3 7 0 5 1\n2 5 8 2 2 1 8 6 9 6\n6 9 1 7 6 9 2 2 0 4"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 2,
        ""matrix"": [
            [
                5,
                9,
                0,
                3,
                0,
                6,
                5,
                1,
                6,
                4
            ],
            [
                5,
                1,
                9,
                8,
                2,
                1,
                4,
                5,
                9,
                0
            ],
            [
                2,
                8,
                1,
                0,
                5,
                4,
                8,
                0,
                6,
                2
            ],
            [
                9,
                4,
                4,
                6,
                5,
                3,
                3,
                7,
                8,
                2
            ],
            [
                9,
                2,
                9,
                6,
                8,
                6,
                3,
                3,
                1,
                9
            ],
            [
                1,
                7,
                4,
                6,
                1,
                9,
                4,
                3,
                2,
                6
            ],
            [
                5,
                7,
                1,
                8,
                7,
                6,
                7,
                5,
                2,
                7
            ],
            [
                4,
                2,
                3,
                2,
                4,
                4,
                1,
                4,
                8,
                1
            ],
            [
                9,
                8,
                4,
                6,
                3,
                6,
                4,
                8,
                5,
                9
            ],
            [
                7,
                1,
                1,
                0,
                5,
                6,
                5,
                2,
                2,
                6
            ]
        ],
        ""num_rotations"": 5,
        ""solution"": [
            [
                7,
                9,
                4,
                5,
                1,
                9,
                9,
                2,
                5,
                5
            ],
            [
                1,
                8,
                2,
                7,
                7,
                2,
                4,
                8,
                1,
                9
            ],
            [
                1,
                4,
                3,
                1,
                4,
                9,
                4,
                1,
                9,
                0
            ],
            [
                0,
                6,
                2,
                8,
                6,
                6,
                6,
                0,
                8,
                3
            ],
            [
                5,
                3,
                4,
                7,
                1,
                8,
                5,
                5,
                2,
                0
            ],
            [
                6,
                6,
                4,
                6,
                9,
                6,
                3,
                4,
                1,
                6
            ],
            [
                5,
                4,
                1,
                7,
                4,
                3,
                3,
                8,
                4,
                5
            ],
            [
                2,
                8,
                4,
                5,
                3,
                3,
                7,
                0,
                5,
                1
            ],
            [
                2,
                5,
                8,
                2,
                2,
                1,
                8,
                6,
                9,
                6
            ],
            [
                6,
                9,
                1,
                7,
                6,
                9,
                2,
                2,
                0,
                4
            ]
        ],
        ""n"": 10,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
3,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 180 degrees clockwise:
5 2 5 2 4 6 4 9 0 8
4 5 9 1 5 0 8 0 1 7
5 0 5 7 0 0 3 5 1 2
5 2 9 1 7 5 1 4 2 9
1 2 8 7 7 5 6 9 6 0
4 9 7 8 8 0 1 5 8 7
1 1 6 6 3 7 6 0 4 9
3 3 9 2 0 1 1 1 2 0
2 7 9 9 0 7 8 2 8 4
8 7 6 0 6 8 9 4 8 8
","8 8 4 9 8 6 0 6 7 8
4 8 2 8 7 0 9 9 7 2
0 2 1 1 1 0 2 9 3 3
9 4 0 6 7 3 6 6 1 1
7 8 5 1 0 8 8 7 9 4
0 6 9 6 5 7 7 8 2 1
9 2 4 1 5 7 1 9 2 5
2 1 5 3 0 0 7 5 0 5
7 1 0 8 0 5 1 9 5 4
8 0 9 4 6 4 2 5 2 5","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 180 degrees clockwise:\n5 2 5 2 4 6 4 9 0 8\n4 5 9 1 5 0 8 0 1 7\n5 0 5 7 0 0 3 5 1 2\n5 2 9 1 7 5 1 4 2 9\n1 2 8 7 7 5 6 9 6 0\n4 9 7 8 8 0 1 5 8 7\n1 1 6 6 3 7 6 0 4 9\n3 3 9 2 0 1 1 1 2 0\n2 7 9 9 0 7 8 2 8 4\n8 7 6 0 6 8 9 4 8 8\n"",
    ""answer"": ""8 8 4 9 8 6 0 6 7 8\n4 8 2 8 7 0 9 9 7 2\n0 2 1 1 1 0 2 9 3 3\n9 4 0 6 7 3 6 6 1 1\n7 8 5 1 0 8 8 7 9 4\n0 6 9 6 5 7 7 8 2 1\n9 2 4 1 5 7 1 9 2 5\n2 1 5 3 0 0 7 5 0 5\n7 1 0 8 0 5 1 9 5 4\n8 0 9 4 6 4 2 5 2 5"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 3,
        ""matrix"": [
            [
                5,
                2,
                5,
                2,
                4,
                6,
                4,
                9,
                0,
                8
            ],
            [
                4,
                5,
                9,
                1,
                5,
                0,
                8,
                0,
                1,
                7
            ],
            [
                5,
                0,
                5,
                7,
                0,
                0,
                3,
                5,
                1,
                2
            ],
            [
                5,
                2,
                9,
                1,
                7,
                5,
                1,
                4,
                2,
                9
            ],
            [
                1,
                2,
                8,
                7,
                7,
                5,
                6,
                9,
                6,
                0
            ],
            [
                4,
                9,
                7,
                8,
                8,
                0,
                1,
                5,
                8,
                7
            ],
            [
                1,
                1,
                6,
                6,
                3,
                7,
                6,
                0,
                4,
                9
            ],
            [
                3,
                3,
                9,
                2,
                0,
                1,
                1,
                1,
                2,
                0
            ],
            [
                2,
                7,
                9,
                9,
                0,
                7,
                8,
                2,
                8,
                4
            ],
            [
                8,
                7,
                6,
                0,
                6,
                8,
                9,
                4,
                8,
                8
            ]
        ],
        ""num_rotations"": 2,
        ""solution"": [
            [
                8,
                8,
                4,
                9,
                8,
                6,
                0,
                6,
                7,
                8
            ],
            [
                4,
                8,
                2,
                8,
                7,
                0,
                9,
                9,
                7,
                2
            ],
            [
                0,
                2,
                1,
                1,
                1,
                0,
                2,
                9,
                3,
                3
            ],
            [
                9,
                4,
                0,
                6,
                7,
                3,
                6,
                6,
                1,
                1
            ],
            [
                7,
                8,
                5,
                1,
                0,
                8,
                8,
                7,
                9,
                4
            ],
            [
                0,
                6,
                9,
                6,
                5,
                7,
                7,
                8,
                2,
                1
            ],
            [
                9,
                2,
                4,
                1,
                5,
                7,
                1,
                9,
                2,
                5
            ],
            [
                2,
                1,
                5,
                3,
                0,
                0,
                7,
                5,
                0,
                5
            ],
            [
                7,
                1,
                0,
                8,
                0,
                5,
                1,
                9,
                5,
                4
            ],
            [
                8,
                0,
                9,
                4,
                6,
                4,
                2,
                5,
                2,
                5
            ]
        ],
        ""n"": 10,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
4,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 270 degrees clockwise:
0 0 4 1 0 8 2
3 4 6 5 8 4 8
1 9 6 7 6 5 6
3 6 2 1 8 7 3
8 4 2 7 9 5 8
2 0 9 6 7 2 3
6 5 3 7 4 9 0
","2 8 6 3 8 3 0
8 4 5 7 5 2 9
0 8 6 8 9 7 4
1 5 7 1 7 6 7
4 6 6 2 2 9 3
0 4 9 6 4 0 5
0 3 1 3 8 2 6","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 270 degrees clockwise:\n0 0 4 1 0 8 2\n3 4 6 5 8 4 8\n1 9 6 7 6 5 6\n3 6 2 1 8 7 3\n8 4 2 7 9 5 8\n2 0 9 6 7 2 3\n6 5 3 7 4 9 0\n"",
    ""answer"": ""2 8 6 3 8 3 0\n8 4 5 7 5 2 9\n0 8 6 8 9 7 4\n1 5 7 1 7 6 7\n4 6 6 2 2 9 3\n0 4 9 6 4 0 5\n0 3 1 3 8 2 6"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 4,
        ""matrix"": [
            [
                0,
                0,
                4,
                1,
                0,
                8,
                2
            ],
            [
                3,
                4,
                6,
                5,
                8,
                4,
                8
            ],
            [
                1,
                9,
                6,
                7,
                6,
                5,
                6
            ],
            [
                3,
                6,
                2,
                1,
                8,
                7,
                3
            ],
            [
                8,
                4,
                2,
                7,
                9,
                5,
                8
            ],
            [
                2,
                0,
                9,
                6,
                7,
                2,
                3
            ],
            [
                6,
                5,
                3,
                7,
                4,
                9,
                0
            ]
        ],
        ""num_rotations"": 3,
        ""solution"": [
            [
                2,
                8,
                6,
                3,
                8,
                3,
                0
            ],
            [
                8,
                4,
                5,
                7,
                5,
                2,
                9
            ],
            [
                0,
                8,
                6,
                8,
                9,
                7,
                4
            ],
            [
                1,
                5,
                7,
                1,
                7,
                6,
                7
            ],
            [
                4,
                6,
                6,
                2,
                2,
                9,
                3
            ],
            [
                0,
                4,
                9,
                6,
                4,
                0,
                5
            ],
            [
                0,
                3,
                1,
                3,
                8,
                2,
                6
            ]
        ],
        ""n"": 7,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
5,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 360 degrees clockwise:
9 8 0
5 7 8
1 7 9
","9 8 0
5 7 8
1 7 9","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 360 degrees clockwise:\n9 8 0\n5 7 8\n1 7 9\n"",
    ""answer"": ""9 8 0\n5 7 8\n1 7 9"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 5,
        ""matrix"": [
            [
                9,
                8,
                0
            ],
            [
                5,
                7,
                8
            ],
            [
                1,
                7,
                9
            ]
        ],
        ""num_rotations"": 4,
        ""solution"": [
            [
                9,
                8,
                0
            ],
            [
                5,
                7,
                8
            ],
            [
                1,
                7,
                9
            ]
        ],
        ""n"": 3,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
6,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 0 degrees clockwise:
6 1 1 5 7 5 0 9
2 9 5 5 4 5 9 4
7 9 6 3 9 1 8 7
2 6 8 3 0 6 5 8
9 8 0 2 7 1 4 1
2 7 1 1 6 4 2 5
7 6 7 4 4 2 6 4
2 5 1 3 8 9 3 4
","6 1 1 5 7 5 0 9
2 9 5 5 4 5 9 4
7 9 6 3 9 1 8 7
2 6 8 3 0 6 5 8
9 8 0 2 7 1 4 1
2 7 1 1 6 4 2 5
7 6 7 4 4 2 6 4
2 5 1 3 8 9 3 4","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 0 degrees clockwise:\n6 1 1 5 7 5 0 9\n2 9 5 5 4 5 9 4\n7 9 6 3 9 1 8 7\n2 6 8 3 0 6 5 8\n9 8 0 2 7 1 4 1\n2 7 1 1 6 4 2 5\n7 6 7 4 4 2 6 4\n2 5 1 3 8 9 3 4\n"",
    ""answer"": ""6 1 1 5 7 5 0 9\n2 9 5 5 4 5 9 4\n7 9 6 3 9 1 8 7\n2 6 8 3 0 6 5 8\n9 8 0 2 7 1 4 1\n2 7 1 1 6 4 2 5\n7 6 7 4 4 2 6 4\n2 5 1 3 8 9 3 4"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 6,
        ""matrix"": [
            [
                6,
                1,
                1,
                5,
                7,
                5,
                0,
                9
            ],
            [
                2,
                9,
                5,
                5,
                4,
                5,
                9,
                4
            ],
            [
                7,
                9,
                6,
                3,
                9,
                1,
                8,
                7
            ],
            [
                2,
                6,
                8,
                3,
                0,
                6,
                5,
                8
            ],
            [
                9,
                8,
                0,
                2,
                7,
                1,
                4,
                1
            ],
            [
                2,
                7,
                1,
                1,
                6,
                4,
                2,
                5
            ],
            [
                7,
                6,
                7,
                4,
                4,
                2,
                6,
                4
            ],
            [
                2,
                5,
                1,
                3,
                8,
                9,
                3,
                4
            ]
        ],
        ""num_rotations"": 0,
        ""solution"": [
            [
                6,
                1,
                1,
                5,
                7,
                5,
                0,
                9
            ],
            [
                2,
                9,
                5,
                5,
                4,
                5,
                9,
                4
            ],
            [
                7,
                9,
                6,
                3,
                9,
                1,
                8,
                7
            ],
            [
                2,
                6,
                8,
                3,
                0,
                6,
                5,
                8
            ],
            [
                9,
                8,
                0,
                2,
                7,
                1,
                4,
                1
            ],
            [
                2,
                7,
                1,
                1,
                6,
                4,
                2,
                5
            ],
            [
                7,
                6,
                7,
                4,
                4,
                2,
                6,
                4
            ],
            [
                2,
                5,
                1,
                3,
                8,
                9,
                3,
                4
            ]
        ],
        ""n"": 8,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
7,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 360 degrees clockwise:
4 6 0 3 3
6 9 0 4 5
2 0 4 1 5
0 1 6 5 6
1 6 8 9 4
","4 6 0 3 3
6 9 0 4 5
2 0 4 1 5
0 1 6 5 6
1 6 8 9 4","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 360 degrees clockwise:\n4 6 0 3 3\n6 9 0 4 5\n2 0 4 1 5\n0 1 6 5 6\n1 6 8 9 4\n"",
    ""answer"": ""4 6 0 3 3\n6 9 0 4 5\n2 0 4 1 5\n0 1 6 5 6\n1 6 8 9 4"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 7,
        ""matrix"": [
            [
                4,
                6,
                0,
                3,
                3
            ],
            [
                6,
                9,
                0,
                4,
                5
            ],
            [
                2,
                0,
                4,
                1,
                5
            ],
            [
                0,
                1,
                6,
                5,
                6
            ],
            [
                1,
                6,
                8,
                9,
                4
            ]
        ],
        ""num_rotations"": 4,
        ""solution"": [
            [
                4,
                6,
                0,
                3,
                3
            ],
            [
                6,
                9,
                0,
                4,
                5
            ],
            [
                2,
                0,
                4,
                1,
                5
            ],
            [
                0,
                1,
                6,
                5,
                6
            ],
            [
                1,
                6,
                8,
                9,
                4
            ]
        ],
        ""n"": 5,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
8,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 810 degrees clockwise:
9 8 0 3 4 3 2 5 4
7 0 8 2 0 3 9 7 0
2 9 5 1 4 5 2 8 8
1 6 0 5 5 3 2 4 2
8 4 4 7 2 9 3 7 6
8 1 2 9 3 9 9 0 1
7 9 4 1 3 3 7 7 1
7 5 9 7 4 8 9 3 1
0 2 9 6 2 7 1 6 3
","0 7 7 8 8 1 2 7 9
2 5 9 1 4 6 9 0 8
9 9 4 2 4 0 5 8 0
6 7 1 9 7 5 1 2 3
2 4 3 3 2 5 4 0 4
7 8 3 9 9 3 5 3 3
1 9 7 9 3 2 2 9 2
6 3 7 0 7 4 8 7 5
3 1 1 1 6 2 8 0 4","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 810 degrees clockwise:\n9 8 0 3 4 3 2 5 4\n7 0 8 2 0 3 9 7 0\n2 9 5 1 4 5 2 8 8\n1 6 0 5 5 3 2 4 2\n8 4 4 7 2 9 3 7 6\n8 1 2 9 3 9 9 0 1\n7 9 4 1 3 3 7 7 1\n7 5 9 7 4 8 9 3 1\n0 2 9 6 2 7 1 6 3\n"",
    ""answer"": ""0 7 7 8 8 1 2 7 9\n2 5 9 1 4 6 9 0 8\n9 9 4 2 4 0 5 8 0\n6 7 1 9 7 5 1 2 3\n2 4 3 3 2 5 4 0 4\n7 8 3 9 9 3 5 3 3\n1 9 7 9 3 2 2 9 2\n6 3 7 0 7 4 8 7 5\n3 1 1 1 6 2 8 0 4"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 8,
        ""matrix"": [
            [
                9,
                8,
                0,
                3,
                4,
                3,
                2,
                5,
                4
            ],
            [
                7,
                0,
                8,
                2,
                0,
                3,
                9,
                7,
                0
            ],
            [
                2,
                9,
                5,
                1,
                4,
                5,
                2,
                8,
                8
            ],
            [
                1,
                6,
                0,
                5,
                5,
                3,
                2,
                4,
                2
            ],
            [
                8,
                4,
                4,
                7,
                2,
                9,
                3,
                7,
                6
            ],
            [
                8,
                1,
                2,
                9,
                3,
                9,
                9,
                0,
                1
            ],
            [
                7,
                9,
                4,
                1,
                3,
                3,
                7,
                7,
                1
            ],
            [
                7,
                5,
                9,
                7,
                4,
                8,
                9,
                3,
                1
            ],
            [
                0,
                2,
                9,
                6,
                2,
                7,
                1,
                6,
                3
            ]
        ],
        ""num_rotations"": 9,
        ""solution"": [
            [
                0,
                7,
                7,
                8,
                8,
                1,
                2,
                7,
                9
            ],
            [
                2,
                5,
                9,
                1,
                4,
                6,
                9,
                0,
                8
            ],
            [
                9,
                9,
                4,
                2,
                4,
                0,
                5,
                8,
                0
            ],
            [
                6,
                7,
                1,
                9,
                7,
                5,
                1,
                2,
                3
            ],
            [
                2,
                4,
                3,
                3,
                2,
                5,
                4,
                0,
                4
            ],
            [
                7,
                8,
                3,
                9,
                9,
                3,
                5,
                3,
                3
            ],
            [
                1,
                9,
                7,
                9,
                3,
                2,
                2,
                9,
                2
            ],
            [
                6,
                3,
                7,
                0,
                7,
                4,
                8,
                7,
                5
            ],
            [
                3,
                1,
                1,
                1,
                6,
                2,
                8,
                0,
                4
            ]
        ],
        ""n"": 9,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
9,rotate_matrix,"Given a square matrix, your job is to rotate it clockwise.

Your output should be a matrix in the same format as the input, enclosed within triple angle brackets, like <<<the output matrix>>>.

Rotate the matrix below by 540 degrees clockwise:
5 3 2 6 9 4 8 4
6 9 0 3 0 7 2 2
5 2 4 9 9 0 1 9
0 6 4 3 1 5 7 2
8 0 1 1 2 2 0 4
5 3 9 0 9 9 2 6
0 4 6 2 1 1 6 0
7 6 3 0 1 2 1 7
","7 1 2 1 0 3 6 7
0 6 1 1 2 6 4 0
6 2 9 9 0 9 3 5
4 0 2 2 1 1 0 8
2 7 5 1 3 4 6 0
9 1 0 9 9 4 2 5
2 2 7 0 3 0 9 6
4 8 4 9 6 2 3 5","{
    ""question"": ""Given a square matrix, your job is to rotate it clockwise.\n\nYour output should be a matrix in the same format as the input.\n\nRotate the matrix below by 540 degrees clockwise:\n5 3 2 6 9 4 8 4\n6 9 0 3 0 7 2 2\n5 2 4 9 9 0 1 9\n0 6 4 3 1 5 7 2\n8 0 1 1 2 2 0 4\n5 3 9 0 9 9 2 6\n0 4 6 2 1 1 6 0\n7 6 3 0 1 2 1 7\n"",
    ""answer"": ""7 1 2 1 0 3 6 7\n0 6 1 1 2 6 4 0\n6 2 9 9 0 9 3 5\n4 0 2 2 1 1 0 8\n2 7 5 1 3 4 6 0\n9 1 0 9 9 4 2 5\n2 2 7 0 3 0 9 6\n4 8 4 9 6 2 3 5"",
    ""metadata"": {
        ""source_dataset"": ""rotate_matrix"",
        ""source_index"": 9,
        ""matrix"": [
            [
                5,
                3,
                2,
                6,
                9,
                4,
                8,
                4
            ],
            [
                6,
                9,
                0,
                3,
                0,
                7,
                2,
                2
            ],
            [
                5,
                2,
                4,
                9,
                9,
                0,
                1,
                9
            ],
            [
                0,
                6,
                4,
                3,
                1,
                5,
                7,
                2
            ],
            [
                8,
                0,
                1,
                1,
                2,
                2,
                0,
                4
            ],
            [
                5,
                3,
                9,
                0,
                9,
                9,
                2,
                6
            ],
            [
                0,
                4,
                6,
                2,
                1,
                1,
                6,
                0
            ],
            [
                7,
                6,
                3,
                0,
                1,
                2,
                1,
                7
            ]
        ],
        ""num_rotations"": 6,
        ""solution"": [
            [
                7,
                1,
                2,
                1,
                0,
                3,
                6,
                7
            ],
            [
                0,
                6,
                1,
                1,
                2,
                6,
                4,
                0
            ],
            [
                6,
                2,
                9,
                9,
                0,
                9,
                3,
                5
            ],
            [
                4,
                0,
                2,
                2,
                1,
                1,
                0,
                8
            ],
            [
                2,
                7,
                5,
                1,
                3,
                4,
                6,
                0
            ],
            [
                9,
                1,
                0,
                9,
                9,
                4,
                2,
                5
            ],
            [
                2,
                2,
                7,
                0,
                3,
                0,
                9,
                6
            ],
            [
                4,
                8,
                4,
                9,
                6,
                2,
                3,
                5
            ]
        ],
        ""n"": 8,
        ""difficulty"": {
            ""n"": [
                2,
                10
            ],
            ""num_rotations"": [
                0,
                10
            ]
        }
    }
}"
