ID,dataset,question,answer,full_data
0,power_function,"Your task is to compute an exponentiation of a number.

Compute -845.1564^-3. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",-1.6564897251356076e-09,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute -845.1564^-3. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""-1.6564897251356076e-09"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 0,
        ""base"": -845.1564,
        ""exponent"": -3,
        ""solution"": -1.6564897251356076e-09,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
1,power_function,"Your task is to compute an exponentiation of a number.

Compute 140.6568^3. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",2782801.3055552826,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute 140.6568^3. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""2782801.3055552826"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 1,
        ""base"": 140.6568,
        ""exponent"": 3,
        ""solution"": 2782801.3055552826,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
2,power_function,"Your task is to compute an exponentiation of a number.

Compute 57.8708^0. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",1.0,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute 57.8708^0. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""1.0"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 2,
        ""base"": 57.8708,
        ""exponent"": 0,
        ""solution"": 1.0,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
3,power_function,"Your task is to compute an exponentiation of a number.

Compute 97.3892^2. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",9484.65627664,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute 97.3892^2. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""9484.65627664"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 3,
        ""base"": 97.3892,
        ""exponent"": 2,
        ""solution"": 9484.65627664,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
4,power_function,"Your task is to compute an exponentiation of a number.

Compute -342.599^0. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",1.0,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute -342.599^0. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""1.0"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 4,
        ""base"": -342.599,
        ""exponent"": 0,
        ""solution"": 1.0,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
5,power_function,"Your task is to compute an exponentiation of a number.

Compute 364.0091^1. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",364.0091,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute 364.0091^1. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""364.0091"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 5,
        ""base"": 364.0091,
        ""exponent"": 1,
        ""solution"": 364.0091,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
6,power_function,"Your task is to compute an exponentiation of a number.

Compute 278.9474^6. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",471122566161361.0,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute 278.9474^6. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""471122566161361.0"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 6,
        ""base"": 278.9474,
        ""exponent"": 6,
        ""solution"": 471122566161361.0,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
7,power_function,"Your task is to compute an exponentiation of a number.

Compute -580.2975^-6. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",2.6187606263479106e-17,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute -580.2975^-6. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""2.6187606263479106e-17"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 7,
        ""base"": -580.2975,
        ""exponent"": -6,
        ""solution"": 2.6187606263479106e-17,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
8,power_function,"Your task is to compute an exponentiation of a number.

Compute -82.7866^-8. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",4.532310200519218e-16,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute -82.7866^-8. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""4.532310200519218e-16"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 8,
        ""base"": -82.7866,
        ""exponent"": -8,
        ""solution"": 4.532310200519218e-16,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
9,power_function,"Your task is to compute an exponentiation of a number.

Compute -237.9586^3. Return your final answer correct to 3 significant figures.
Provide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).

Output final answer with the format <<<answer>>>.",-13474238.03889648,"{
    ""question"": ""Your task is to compute an exponentiation of a number.\n\nCompute -237.9586^3. Return your final answer correct to 3 significant figures.\nProvide your answer in scientific notation using 'e' notation (e.g., 1.23e+4).\n"",
    ""answer"": ""-13474238.03889648"",
    ""metadata"": {
        ""source_dataset"": ""power_function"",
        ""source_index"": 9,
        ""base"": -237.9586,
        ""exponent"": 3,
        ""solution"": -13474238.03889648,
        ""difficulty"": {
            ""exponent"": [
                0,
                8
            ]
        }
    }
}"
