ID,dataset,question,answer,full_data
0,knights_knaves,"A very special island is inhabited only by saints and sinners. Saints always tell the truth, and sinners always lie. You meet 2 inhabitants: Scarlett, and Victoria. Scarlett noted, ""Victoria is a sinner if and only if Scarlett is a saint"". ""Victoria is a saint or Scarlett is a sinner,"" Victoria mentioned. So who is a saint and who is a sinner? (Enclose your answer in triple angle brackets like: <<<Scarlett is a saint/sinner, and Victoria is a saint/sinner>>>)","Scarlett is a saint, and Victoria is a sinner.","{
    ""question"": ""A very special island is inhabited only by saints and sinners. Saints always tell the truth, and sinners always lie. You meet 2 inhabitants: Scarlett, and Victoria. Scarlett noted, \""Victoria is a sinner if and only if Scarlett is a saint\"". \""Victoria is a saint or Scarlett is a sinner,\"" Victoria mentioned. So who is a saint and who is a sinner? (Format your answer like: \""Scarlett is a saint/sinner, and Victoria is a saint/sinner\"")"",
    ""answer"": ""Scarlett is a saint, and Victoria is a sinner."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 0,
        ""statements"": [
            [
                ""<=>"",
                [
                    ""lying"",
                    1
                ],
                [
                    ""telling-truth"",
                    0
                ]
            ],
            [
                ""or"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""lying"",
                    0
                ]
            ]
        ],
        ""solution"": [
            true,
            false
        ],
        ""names"": [
            ""Scarlett"",
            ""Victoria""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""saint"",
            ""knave"": ""sinner"",
            ""a_knight"": ""a saint"",
            ""a_knave"": ""a sinner"",
            ""Knight"": ""Saint"",
            ""Knave"": ""Sinner""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
1,knights_knaves,"A very special island is inhabited only by saints and sinners. Saints always tell the truth, and sinners always lie. You meet 2 inhabitants: Elizabeth, and Ethan. ""Ethan is a sinner,"" Elizabeth declared. Ethan expressed that if Ethan is a saint then Elizabeth is a sinner. So who is a saint and who is a sinner? (Enclose your answer in triple angle brackets like: <<<Elizabeth is a saint/sinner, and Ethan is a saint/sinner>>>)","Elizabeth is a sinner, and Ethan is a saint.","{
    ""question"": ""A very special island is inhabited only by saints and sinners. Saints always tell the truth, and sinners always lie. You meet 2 inhabitants: Elizabeth, and Ethan. \""Ethan is a sinner,\"" Elizabeth declared. Ethan expressed that if Ethan is a saint then Elizabeth is a sinner. So who is a saint and who is a sinner? (Format your answer like: \""Elizabeth is a saint/sinner, and Ethan is a saint/sinner\"")"",
    ""answer"": ""Elizabeth is a sinner, and Ethan is a saint."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 1,
        ""statements"": [
            [
                ""lying"",
                1
            ],
            [
                ""->"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""lying"",
                    0
                ]
            ]
        ],
        ""solution"": [
            false,
            true
        ],
        ""names"": [
            ""Elizabeth"",
            ""Ethan""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""saint"",
            ""knave"": ""sinner"",
            ""a_knight"": ""a saint"",
            ""a_knave"": ""a sinner"",
            ""Knight"": ""Saint"",
            ""Knave"": ""Sinner""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
2,knights_knaves,"A very special island is inhabited only by pioneers and laggards. Pioneers always tell the truth, and laggards always lie. You meet 2 inhabitants: Chloe, and David. Chloe expressed that if David is a pioneer then David is a laggard. In a statement by David: ""Chloe is a pioneer and David is a pioneer"". So who is a pioneer and who is a laggard? (Enclose your answer in triple angle brackets like: <<<Chloe is a pioneer/laggard, and David is a pioneer/laggard>>>)","Chloe is a pioneer, and David is a laggard.","{
    ""question"": ""A very special island is inhabited only by pioneers and laggards. Pioneers always tell the truth, and laggards always lie. You meet 2 inhabitants: Chloe, and David. Chloe expressed that if David is a pioneer then David is a laggard. In a statement by David: \""Chloe is a pioneer and David is a pioneer\"". So who is a pioneer and who is a laggard? (Format your answer like: \""Chloe is a pioneer/laggard, and David is a pioneer/laggard\"")"",
    ""answer"": ""Chloe is a pioneer, and David is a laggard."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 2,
        ""statements"": [
            [
                ""->"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""lying"",
                    1
                ]
            ],
            [
                ""and"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""telling-truth"",
                    1
                ]
            ]
        ],
        ""solution"": [
            true,
            false
        ],
        ""names"": [
            ""Chloe"",
            ""David""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""pioneer"",
            ""knave"": ""laggard"",
            ""a_knight"": ""a pioneer"",
            ""a_knave"": ""a laggard"",
            ""Knight"": ""Pioneer"",
            ""Knave"": ""Laggard""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
3,knights_knaves,"A very special island is inhabited only by knights and knaves. Knights always tell the truth, and knaves always lie. You meet 2 inhabitants: Daniel, and Lily. ""Daniel is a knight,"" Daniel mentioned. Lily was heard saying, ""if Lily is a knight then Daniel is a knight"". So who is a knight and who is a knave? (Enclose your answer in triple angle brackets like: <<<Daniel is a knight/knave, and Lily is a knight/knave>>>)","Daniel is a knight, and Lily is a knight.","{
    ""question"": ""A very special island is inhabited only by knights and knaves. Knights always tell the truth, and knaves always lie. You meet 2 inhabitants: Daniel, and Lily. \""Daniel is a knight,\"" Daniel mentioned. Lily was heard saying, \""if Lily is a knight then Daniel is a knight\"". So who is a knight and who is a knave? (Format your answer like: \""Daniel is a knight/knave, and Lily is a knight/knave\"")"",
    ""answer"": ""Daniel is a knight, and Lily is a knight."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 3,
        ""statements"": [
            [
                ""telling-truth"",
                0
            ],
            [
                ""->"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""telling-truth"",
                    0
                ]
            ]
        ],
        ""solution"": [
            true,
            true
        ],
        ""names"": [
            ""Daniel"",
            ""Lily""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""knight"",
            ""knave"": ""knave"",
            ""a_knight"": ""a knight"",
            ""a_knave"": ""a knave"",
            ""Knight"": ""Knight"",
            ""Knave"": ""Knave""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
4,knights_knaves,"A very special island is inhabited only by saints and sinners. Saints always tell the truth, and sinners always lie. You meet 2 inhabitants: Ella, and Elizabeth. Ella commented, ""Elizabeth is a sinner if and only if Elizabeth is a saint"". ""Elizabeth is a saint and Ella is a saint"" - Elizabeth. So who is a saint and who is a sinner? (Enclose your answer in triple angle brackets like: <<<Ella is a saint/sinner, and Elizabeth is a saint/sinner>>>)","Ella is a sinner, and Elizabeth is a sinner.","{
    ""question"": ""A very special island is inhabited only by saints and sinners. Saints always tell the truth, and sinners always lie. You meet 2 inhabitants: Ella, and Elizabeth. Ella commented, \""Elizabeth is a sinner if and only if Elizabeth is a saint\"". \""Elizabeth is a saint and Ella is a saint\"" - Elizabeth. So who is a saint and who is a sinner? (Format your answer like: \""Ella is a saint/sinner, and Elizabeth is a saint/sinner\"")"",
    ""answer"": ""Ella is a sinner, and Elizabeth is a sinner."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 4,
        ""statements"": [
            [
                ""<=>"",
                [
                    ""lying"",
                    1
                ],
                [
                    ""telling-truth"",
                    1
                ]
            ],
            [
                ""and"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""telling-truth"",
                    0
                ]
            ]
        ],
        ""solution"": [
            false,
            false
        ],
        ""names"": [
            ""Ella"",
            ""Elizabeth""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""saint"",
            ""knave"": ""sinner"",
            ""a_knight"": ""a saint"",
            ""a_knave"": ""a sinner"",
            ""Knight"": ""Saint"",
            ""Knave"": ""Sinner""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
5,knights_knaves,"A very special island is inhabited only by heros and villains. Heros always tell the truth, and villains always lie. You meet 2 inhabitants: Henry, and Ethan. According to Henry, ""Henry is a hero if and only if Ethan is a hero"". ""Henry is a villain,"" Ethan claimed. So who is a hero and who is a villain? (Enclose your answer in triple angle brackets like: <<<Henry is a hero/villain, and Ethan is a hero/villain>>>)","Henry is a villain, and Ethan is a hero.","{
    ""question"": ""A very special island is inhabited only by heros and villains. Heros always tell the truth, and villains always lie. You meet 2 inhabitants: Henry, and Ethan. According to Henry, \""Henry is a hero if and only if Ethan is a hero\"". \""Henry is a villain,\"" Ethan claimed. So who is a hero and who is a villain? (Format your answer like: \""Henry is a hero/villain, and Ethan is a hero/villain\"")"",
    ""answer"": ""Henry is a villain, and Ethan is a hero."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 5,
        ""statements"": [
            [
                ""<=>"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""telling-truth"",
                    1
                ]
            ],
            [
                ""not"",
                [
                    ""telling-truth"",
                    0
                ]
            ]
        ],
        ""solution"": [
            false,
            true
        ],
        ""names"": [
            ""Henry"",
            ""Ethan""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""hero"",
            ""knave"": ""villain"",
            ""a_knight"": ""a hero"",
            ""a_knave"": ""a villain"",
            ""Knight"": ""Hero"",
            ""Knave"": ""Villain""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
6,knights_knaves,"A very special island is inhabited only by angels and devils. Angels always tell the truth, and devils always lie. You meet 2 inhabitants: James, and Liam. ""Liam is an angel or Liam is a devil"" - James. Liam remarked, ""James is an angel or James is a devil"". So who is an angel and who is a devil? (Enclose your answer in triple angle brackets like: <<<James is a angel/devil, and Liam is a angel/devil>>>)","James is an angel, and Liam is an angel.","{
    ""question"": ""A very special island is inhabited only by angels and devils. Angels always tell the truth, and devils always lie. You meet 2 inhabitants: James, and Liam. \""Liam is an angel or Liam is a devil\"" - James. Liam remarked, \""James is an angel or James is a devil\"". So who is an angel and who is a devil? (Format your answer like: \""James is a angel/devil, and Liam is a angel/devil\"")"",
    ""answer"": ""James is an angel, and Liam is an angel."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 6,
        ""statements"": [
            [
                ""or"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""lying"",
                    1
                ]
            ],
            [
                ""or"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""lying"",
                    0
                ]
            ]
        ],
        ""solution"": [
            true,
            true
        ],
        ""names"": [
            ""James"",
            ""Liam""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""angel"",
            ""knave"": ""devil"",
            ""a_knight"": ""an angel"",
            ""a_knave"": ""a devil"",
            ""Knight"": ""Angel"",
            ""Knave"": ""Devil""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
7,knights_knaves,"A very special island is inhabited only by heros and villains. Heros always tell the truth, and villains always lie. You meet 2 inhabitants: Isabella, and Jack. ""Isabella is a hero and Jack is a hero,"" Isabella mentioned. As Jack put it, ""Isabella is a hero if and only if Isabella is a villain"". So who is a hero and who is a villain? (Enclose your answer in triple angle brackets like: <<<Isabella is a hero/villain, and Jack is a hero/villain>>>)","Isabella is a villain, and Jack is a villain.","{
    ""question"": ""A very special island is inhabited only by heros and villains. Heros always tell the truth, and villains always lie. You meet 2 inhabitants: Isabella, and Jack. \""Isabella is a hero and Jack is a hero,\"" Isabella mentioned. As Jack put it, \""Isabella is a hero if and only if Isabella is a villain\"". So who is a hero and who is a villain? (Format your answer like: \""Isabella is a hero/villain, and Jack is a hero/villain\"")"",
    ""answer"": ""Isabella is a villain, and Jack is a villain."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 7,
        ""statements"": [
            [
                ""and"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""telling-truth"",
                    1
                ]
            ],
            [
                ""<=>"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""lying"",
                    0
                ]
            ]
        ],
        ""solution"": [
            false,
            false
        ],
        ""names"": [
            ""Isabella"",
            ""Jack""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""hero"",
            ""knave"": ""villain"",
            ""a_knight"": ""a hero"",
            ""a_knave"": ""a villain"",
            ""Knight"": ""Hero"",
            ""Knave"": ""Villain""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
8,knights_knaves,"A very special island is inhabited only by angels and devils. Angels always tell the truth, and devils always lie. You meet 2 inhabitants: Victoria, and Grace. According to Victoria, ""Victoria is an angel or Grace is an angel"". Grace noted, ""Grace is an angel if and only if Victoria is a devil"". So who is an angel and who is a devil? (Enclose your answer in triple angle brackets like: <<<Victoria is a angel/devil, and Grace is a angel/devil>>>)","Victoria is a devil, and Grace is a devil.","{
    ""question"": ""A very special island is inhabited only by angels and devils. Angels always tell the truth, and devils always lie. You meet 2 inhabitants: Victoria, and Grace. According to Victoria, \""Victoria is an angel or Grace is an angel\"". Grace noted, \""Grace is an angel if and only if Victoria is a devil\"". So who is an angel and who is a devil? (Format your answer like: \""Victoria is a angel/devil, and Grace is a angel/devil\"")"",
    ""answer"": ""Victoria is a devil, and Grace is a devil."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 8,
        ""statements"": [
            [
                ""or"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""telling-truth"",
                    1
                ]
            ],
            [
                ""<=>"",
                [
                    ""telling-truth"",
                    1
                ],
                [
                    ""lying"",
                    0
                ]
            ]
        ],
        ""solution"": [
            false,
            false
        ],
        ""names"": [
            ""Victoria"",
            ""Grace""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""angel"",
            ""knave"": ""devil"",
            ""a_knight"": ""an angel"",
            ""a_knave"": ""a devil"",
            ""Knight"": ""Angel"",
            ""Knave"": ""Devil""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
9,knights_knaves,"A very special island is inhabited only by altruists and egoists. Altruists always tell the truth, and egoists always lie. You meet 2 inhabitants: Benjamin, and Mason. Benjamin was heard saying, ""Benjamin is an altruist or Mason is an egoist"". As Mason put it, ""Benjamin is an egoist if and only if Benjamin is an altruist"". So who is an altruist and who is an egoist? (Enclose your answer in triple angle brackets like: <<<Benjamin is a altruist/egoist, and Mason is a altruist/egoist>>>)","Benjamin is an altruist, and Mason is an egoist.","{
    ""question"": ""A very special island is inhabited only by altruists and egoists. Altruists always tell the truth, and egoists always lie. You meet 2 inhabitants: Benjamin, and Mason. Benjamin was heard saying, \""Benjamin is an altruist or Mason is an egoist\"". As Mason put it, \""Benjamin is an egoist if and only if Benjamin is an altruist\"". So who is an altruist and who is an egoist? (Format your answer like: \""Benjamin is a altruist/egoist, and Mason is a altruist/egoist\"")"",
    ""answer"": ""Benjamin is an altruist, and Mason is an egoist."",
    ""metadata"": {
        ""source_dataset"": ""knights_knaves"",
        ""source_index"": 9,
        ""statements"": [
            [
                ""or"",
                [
                    ""telling-truth"",
                    0
                ],
                [
                    ""lying"",
                    1
                ]
            ],
            [
                ""<=>"",
                [
                    ""lying"",
                    0
                ],
                [
                    ""telling-truth"",
                    0
                ]
            ]
        ],
        ""solution"": [
            true,
            false
        ],
        ""names"": [
            ""Benjamin"",
            ""Mason""
        ],
        ""knight_knave_terms"": {
            ""knight"": ""altruist"",
            ""knave"": ""egoist"",
            ""a_knight"": ""an altruist"",
            ""a_knave"": ""an egoist"",
            ""Knight"": ""Altruist"",
            ""Knave"": ""Egoist""
        },
        ""difficulty"": {
            ""n_people"": 2,
            ""depth_constraint"": 2,
            ""width_constraint"": 2
        }
    }
}"
