ID,dataset,question,answer,full_data
0,simple_equations,"Find the value of c in the equation: 64*c + 39 = 359
Output final answer with the format <<<answer>>>.",5,"{
    ""question"": ""Find the value of c in the equation: 64*c + 39 = 359"",
    ""answer"": ""5"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 0,
        ""equation"": ""64*c + 39 = 359"",
        ""variable"": ""c"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
1,simple_equations,"Determine the value of s that satisfies: 81 - 62*s = -4197
Output final answer with the format <<<answer>>>.",69,"{
    ""question"": ""Determine the value of s that satisfies: 81 - 62*s = -4197"",
    ""answer"": ""69"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 1,
        ""equation"": ""81 - 62*s = -4197"",
        ""variable"": ""s"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
2,simple_equations,"Solve for q: 1500*q + 120 = 82620
Output final answer with the format <<<answer>>>.",55,"{
    ""question"": ""Solve for q: 1500*q + 120 = 82620"",
    ""answer"": ""55"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 2,
        ""equation"": ""1500*q + 120 = 82620"",
        ""variable"": ""q"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
3,simple_equations,"Find the value of r in the equation: 1920*r + 9312 = 149472
Output final answer with the format <<<answer>>>.",73,"{
    ""question"": ""Find the value of r in the equation: 1920*r + 9312 = 149472"",
    ""answer"": ""73"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 3,
        ""equation"": ""1920*r + 9312 = 149472"",
        ""variable"": ""r"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
4,simple_equations,"Find the value of k in the equation: k - 37 = -14
Output final answer with the format <<<answer>>>.",23,"{
    ""question"": ""Find the value of k in the equation: k - 37 = -14"",
    ""answer"": ""23"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 4,
        ""equation"": ""k - 37 = -14"",
        ""variable"": ""k"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
5,simple_equations,"Solve for v: 6480*v - 182 = 570058
Output final answer with the format <<<answer>>>.",88,"{
    ""question"": ""Solve for v: 6480*v - 182 = 570058"",
    ""answer"": ""88"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 5,
        ""equation"": ""6480*v - 182 = 570058"",
        ""variable"": ""v"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
6,simple_equations,"Determine the value of u that satisfies: 9*u + 4 = 58
Output final answer with the format <<<answer>>>.",6,"{
    ""question"": ""Determine the value of u that satisfies: 9*u + 4 = 58"",
    ""answer"": ""6"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 6,
        ""equation"": ""9*u + 4 = 58"",
        ""variable"": ""u"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
7,simple_equations,"Determine the value of g that satisfies: 51*g + 21 = 1704
Output final answer with the format <<<answer>>>.",33,"{
    ""question"": ""Determine the value of g that satisfies: 51*g + 21 = 1704"",
    ""answer"": ""33"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 7,
        ""equation"": ""51*g + 21 = 1704"",
        ""variable"": ""g"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
8,simple_equations,"Determine the value of o that satisfies: 63 - 17*o = -5
Output final answer with the format <<<answer>>>.",4,"{
    ""question"": ""Determine the value of o that satisfies: 63 - 17*o = -5"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 8,
        ""equation"": ""63 - 17*o = -5"",
        ""variable"": ""o"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
9,simple_equations,"Determine the value of m that satisfies: 89*m + 52 = 8418
Output final answer with the format <<<answer>>>.",94,"{
    ""question"": ""Determine the value of m that satisfies: 89*m + 52 = 8418"",
    ""answer"": ""94"",
    ""metadata"": {
        ""source_dataset"": ""simple_equations"",
        ""source_index"": 9,
        ""equation"": ""89*m + 52 = 8418"",
        ""variable"": ""m"",
        ""difficulty"": {
            ""min_terms"": 2,
            ""max_terms"": 4,
            ""min_value"": 1,
            ""max_value"": 100,
            ""operators_weights"": [
                0.4,
                0.4,
                0.2
            ]
        }
    }
}"
