ID,dataset,question,answer,full_data
0,simple_integration,"Evaluate the indefinite integral: ∫ -20*x**3 - 2*x dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",-5*x**4 - x**2 + C,"{
    ""question"": ""Evaluate the indefinite integral: ∫ -20*x**3 - 2*x dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""-5*x**4 - x**2 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 0,
        ""integrand"": ""-20*x**3 - 2*x"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""-5*x**4 - x**2"",
        ""num_terms"": 2,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
1,simple_integration,"Evaluate the indefinite integral: ∫ 9*x**8 - 32*x**7/5 - 35*x**6 dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",x**9 - 4*x**8/5 - 5*x**7 + C,"{
    ""question"": ""Evaluate the indefinite integral: ∫ 9*x**8 - 32*x**7/5 - 35*x**6 dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""x**9 - 4*x**8/5 - 5*x**7 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 1,
        ""integrand"": ""9*x**8 - 32*x**7/5 - 35*x**6"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""x**9 - 4*x**8/5 - 5*x**7"",
        ""num_terms"": 3,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
2,simple_integration,"Find the indefinite integral: ∫ 90*x**8 - 7*x**6 + 30*x**5 - 35*x**4 dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",10*x**9 - x**7 + 5*x**6 - 7*x**5 + C,"{
    ""question"": ""Find the indefinite integral: ∫ 90*x**8 - 7*x**6 + 30*x**5 - 35*x**4 dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""10*x**9 - x**7 + 5*x**6 - 7*x**5 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 2,
        ""integrand"": ""90*x**8 - 7*x**6 + 30*x**5 - 35*x**4"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""10*x**9 - x**7 + 5*x**6 - 7*x**5"",
        ""num_terms"": 4,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
3,simple_integration,"Calculate the antiderivative: ∫ -35*x**6/4 + 48*x**5 - 45*x**4 + 6 dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",-5*x**7/4 + 8*x**6 - 9*x**5 + 6*x + C,"{
    ""question"": ""Calculate the antiderivative: ∫ -35*x**6/4 + 48*x**5 - 45*x**4 + 6 dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""-5*x**7/4 + 8*x**6 - 9*x**5 + 6*x + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 3,
        ""integrand"": ""-35*x**6/4 + 48*x**5 - 45*x**4 + 6"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""-5*x**7/4 + 8*x**6 - 9*x**5 + 6*x"",
        ""num_terms"": 4,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
4,simple_integration,"Find the indefinite integral: ∫ 9*x**8/2 - 14*x**5/3 - 20*x**4 + 10*x dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",x**9/2 - 7*x**6/9 - 4*x**5 + 5*x**2 + C,"{
    ""question"": ""Find the indefinite integral: ∫ 9*x**8/2 - 14*x**5/3 - 20*x**4 + 10*x dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""x**9/2 - 7*x**6/9 - 4*x**5 + 5*x**2 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 4,
        ""integrand"": ""9*x**8/2 - 14*x**5/3 - 20*x**4 + 10*x"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""x**9/2 - 7*x**6/9 - 4*x**5 + 5*x**2"",
        ""num_terms"": 4,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
5,simple_integration,"Find the indefinite integral: ∫ 7*x**7 - 2*x dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",7*x**8/8 - x**2 + C,"{
    ""question"": ""Find the indefinite integral: ∫ 7*x**7 - 2*x dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""7*x**8/8 - x**2 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 5,
        ""integrand"": ""7*x**7 - 2*x"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""7*x**8/8 - x**2"",
        ""num_terms"": 2,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
6,simple_integration,"Find the indefinite integral: ∫ -5*X**9 + 63*X**8/4 - 12*X**5 - 15*X**2 dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",-X**10/2 + 7*X**9/4 - 2*X**6 - 5*X**3 + C,"{
    ""question"": ""Find the indefinite integral: ∫ -5*X**9 + 63*X**8/4 - 12*X**5 - 15*X**2 dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""-X**10/2 + 7*X**9/4 - 2*X**6 - 5*X**3 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 6,
        ""integrand"": ""-5*X**9 + 63*X**8/4 - 12*X**5 - 15*X**2"",
        ""variable"": ""X"",
        ""expected_answer_expression"": ""-X**10/2 + 7*X**9/4 - 2*X**6 - 5*X**3"",
        ""num_terms"": 5,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
7,simple_integration,"Find the indefinite integral: ∫ 30*X**5 - 8*X**3 - 10*X dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",5*X**6 - 2*X**4 - 5*X**2 + C,"{
    ""question"": ""Find the indefinite integral: ∫ 30*X**5 - 8*X**3 - 10*X dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""5*X**6 - 2*X**4 - 5*X**2 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 7,
        ""integrand"": ""30*X**5 - 8*X**3 - 10*X"",
        ""variable"": ""X"",
        ""expected_answer_expression"": ""5*X**6 - 2*X**4 - 5*X**2"",
        ""num_terms"": 3,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
8,simple_integration,"Evaluate the indefinite integral: ∫ -70*x**9 + 30*x**5 + 20*x**3 + 4/3 dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",-7*x**10 + 5*x**6 + 5*x**4 + 4*x/3 + C,"{
    ""question"": ""Evaluate the indefinite integral: ∫ -70*x**9 + 30*x**5 + 20*x**3 + 4/3 dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""-7*x**10 + 5*x**6 + 5*x**4 + 4*x/3 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 8,
        ""integrand"": ""-70*x**9 + 30*x**5 + 20*x**3 + 4/3"",
        ""variable"": ""x"",
        ""expected_answer_expression"": ""-7*x**10 + 5*x**6 + 5*x**4 + 4*x/3"",
        ""num_terms"": 5,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
9,simple_integration,"Calculate the antiderivative: ∫ 25*X**9/2 - 21*X**6 + 24*X**2 - 35/4 dx
When performing calculations, please follow these guidelines:
1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.
2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.

Enclose final answer within triple angle brackets, i.e. <<<the result of calculation>>>",5*X**10/4 - 3*X**7 + 8*X**3 - 35*X/4 + C,"{
    ""question"": ""Calculate the antiderivative: ∫ 25*X**9/2 - 21*X**6 + 24*X**2 - 35/4 dx\nWhen performing calculations, please follow these guidelines:\n1. Use ** instead of ^ to represent exponents. For example, write 7*X**2 instead of 7*X^2.\n2. Always include the * symbol for all multiplication operations in your reasoning steps. For example, write `-3*X**3*sin(X) - 9*X**2*cos(X) + 18*X*sin(X) + 18*cos(X) + C` instead of `-3x3sin(x) - 9x2cos(x) + 18xsin(x) + 18cos(x) + C`.\n"",
    ""answer"": ""5*X**10/4 - 3*X**7 + 8*X**3 - 35*X/4 + C"",
    ""metadata"": {
        ""source_dataset"": ""simple_integration"",
        ""source_index"": 9,
        ""integrand"": ""25*X**9/2 - 21*X**6 + 24*X**2 - 35/4"",
        ""variable"": ""X"",
        ""expected_answer_expression"": ""5*X**10/4 - 3*X**7 + 8*X**3 - 35*X/4"",
        ""num_terms"": 5,
        ""difficulty"": {
            ""terms"": [
                2,
                5
            ]
        }
    }
}"
