ID,dataset,question,answer,full_data
0,number_filtering,"Remove all numbers smaller than -25 in this list: ['85.3', '-39.4', '-1', '-79.9529']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['85.3', '-1']","{
    ""question"": ""Remove all numbers smaller than -25 in this list: ['85.3', '-39.4', '-1', '-79.9529']\nReturn the new list in the same format."",
    ""answer"": ""['85.3', '-1']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 0,
        ""original_numbers"": [
            ""85.3"",
            ""-39.4"",
            ""-1"",
            ""-79.9529""
        ],
        ""filter_value"": ""-25"",
        ""operation"": ""remove_smaller"",
        ""result"": [
            ""85.3"",
            ""-1""
        ],
        ""numbers"": 4,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
1,number_filtering,"Remove all numbers smaller than 92.4641 in this list: ['26.45', '-4.2066', '81.8', '95.8461', '88.70']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.",['95.8461'],"{
    ""question"": ""Remove all numbers smaller than 92.4641 in this list: ['26.45', '-4.2066', '81.8', '95.8461', '88.70']\nReturn the new list in the same format."",
    ""answer"": ""['95.8461']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 1,
        ""original_numbers"": [
            ""26.45"",
            ""-4.2066"",
            ""81.8"",
            ""95.8461"",
            ""88.70""
        ],
        ""filter_value"": ""92.4641"",
        ""operation"": ""remove_smaller"",
        ""result"": [
            ""95.8461""
        ],
        ""numbers"": 5,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
2,number_filtering,"Remove all numbers larger than 40 in this list: ['17.1', '79.729', '-27', '-15.19', '-31.7732', '2.3', '-80.70', '22.1']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['17.1', '-27', '-15.19', '-31.7732', '2.3', '-80.70', '22.1']","{
    ""question"": ""Remove all numbers larger than 40 in this list: ['17.1', '79.729', '-27', '-15.19', '-31.7732', '2.3', '-80.70', '22.1']\nReturn the new list in the same format."",
    ""answer"": ""['17.1', '-27', '-15.19', '-31.7732', '2.3', '-80.70', '22.1']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 2,
        ""original_numbers"": [
            ""17.1"",
            ""79.729"",
            ""-27"",
            ""-15.19"",
            ""-31.7732"",
            ""2.3"",
            ""-80.70"",
            ""22.1""
        ],
        ""filter_value"": ""40"",
        ""operation"": ""remove_larger"",
        ""result"": [
            ""17.1"",
            ""-27"",
            ""-15.19"",
            ""-31.7732"",
            ""2.3"",
            ""-80.70"",
            ""22.1""
        ],
        ""numbers"": 8,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
3,number_filtering,"Keep all numbers smaller than -25.866 in this list: ['50.11', '73.01', '-13.65', '13.3480', '50.98', '30.5795', '86', '-27.1419']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.",['-27.1419'],"{
    ""question"": ""Keep all numbers smaller than -25.866 in this list: ['50.11', '73.01', '-13.65', '13.3480', '50.98', '30.5795', '86', '-27.1419']\nReturn the new list in the same format."",
    ""answer"": ""['-27.1419']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 3,
        ""original_numbers"": [
            ""50.11"",
            ""73.01"",
            ""-13.65"",
            ""13.3480"",
            ""50.98"",
            ""30.5795"",
            ""86"",
            ""-27.1419""
        ],
        ""filter_value"": ""-25.866"",
        ""operation"": ""keep_smaller"",
        ""result"": [
            ""-27.1419""
        ],
        ""numbers"": 8,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
4,number_filtering,"Keep all numbers smaller than 88.53 in this list: ['-88', '91.85', '75', '0.5', '-50.471', '-27.10', '8.5550', '-18.430']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['-88', '75', '0.5', '-50.471', '-27.10', '8.5550', '-18.430']","{
    ""question"": ""Keep all numbers smaller than 88.53 in this list: ['-88', '91.85', '75', '0.5', '-50.471', '-27.10', '8.5550', '-18.430']\nReturn the new list in the same format."",
    ""answer"": ""['-88', '75', '0.5', '-50.471', '-27.10', '8.5550', '-18.430']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 4,
        ""original_numbers"": [
            ""-88"",
            ""91.85"",
            ""75"",
            ""0.5"",
            ""-50.471"",
            ""-27.10"",
            ""8.5550"",
            ""-18.430""
        ],
        ""filter_value"": ""88.53"",
        ""operation"": ""keep_smaller"",
        ""result"": [
            ""-88"",
            ""75"",
            ""0.5"",
            ""-50.471"",
            ""-27.10"",
            ""8.5550"",
            ""-18.430""
        ],
        ""numbers"": 8,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
5,number_filtering,"Remove all numbers smaller than 20.86 in this list: ['87.0627', '-92.91', '-12', '96.502']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['87.0627', '96.502']","{
    ""question"": ""Remove all numbers smaller than 20.86 in this list: ['87.0627', '-92.91', '-12', '96.502']\nReturn the new list in the same format."",
    ""answer"": ""['87.0627', '96.502']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 5,
        ""original_numbers"": [
            ""87.0627"",
            ""-92.91"",
            ""-12"",
            ""96.502""
        ],
        ""filter_value"": ""20.86"",
        ""operation"": ""remove_smaller"",
        ""result"": [
            ""87.0627"",
            ""96.502""
        ],
        ""numbers"": 4,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
6,number_filtering,"Remove all numbers larger than -71.160 in this list: ['-14', '-86.754', '-25.0137', '33.0071', '-31.09', '42.0210', '45.319', '98.0809', '-19.8521']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.",['-86.754'],"{
    ""question"": ""Remove all numbers larger than -71.160 in this list: ['-14', '-86.754', '-25.0137', '33.0071', '-31.09', '42.0210', '45.319', '98.0809', '-19.8521']\nReturn the new list in the same format."",
    ""answer"": ""['-86.754']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 6,
        ""original_numbers"": [
            ""-14"",
            ""-86.754"",
            ""-25.0137"",
            ""33.0071"",
            ""-31.09"",
            ""42.0210"",
            ""45.319"",
            ""98.0809"",
            ""-19.8521""
        ],
        ""filter_value"": ""-71.160"",
        ""operation"": ""remove_larger"",
        ""result"": [
            ""-86.754""
        ],
        ""numbers"": 9,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
7,number_filtering,"Keep all numbers smaller than -16 in this list: ['-48', '-60.988', '46', '29.16', '35.3', '92']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['-48', '-60.988']","{
    ""question"": ""Keep all numbers smaller than -16 in this list: ['-48', '-60.988', '46', '29.16', '35.3', '92']\nReturn the new list in the same format."",
    ""answer"": ""['-48', '-60.988']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 7,
        ""original_numbers"": [
            ""-48"",
            ""-60.988"",
            ""46"",
            ""29.16"",
            ""35.3"",
            ""92""
        ],
        ""filter_value"": ""-16"",
        ""operation"": ""keep_smaller"",
        ""result"": [
            ""-48"",
            ""-60.988""
        ],
        ""numbers"": 6,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
8,number_filtering,"Keep all numbers smaller than -63.1164 in this list: ['15.8975', '-93.63', '32.9', '-74.33', '-44.576', '63.7749', '79.2', '-88.1', '23.916', '70']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['-93.63', '-74.33', '-88.1']","{
    ""question"": ""Keep all numbers smaller than -63.1164 in this list: ['15.8975', '-93.63', '32.9', '-74.33', '-44.576', '63.7749', '79.2', '-88.1', '23.916', '70']\nReturn the new list in the same format."",
    ""answer"": ""['-93.63', '-74.33', '-88.1']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 8,
        ""original_numbers"": [
            ""15.8975"",
            ""-93.63"",
            ""32.9"",
            ""-74.33"",
            ""-44.576"",
            ""63.7749"",
            ""79.2"",
            ""-88.1"",
            ""23.916"",
            ""70""
        ],
        ""filter_value"": ""-63.1164"",
        ""operation"": ""keep_smaller"",
        ""result"": [
            ""-93.63"",
            ""-74.33"",
            ""-88.1""
        ],
        ""numbers"": 10,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
9,number_filtering,"Keep all numbers larger than -65.3634 in this list: ['-33.6', '80.401', '15.59', '10.612', '70.3927', '-98.1', '32', '-12.1', '97.33']
Return the new list in the same format enclosed within triple angle brackets, like <<<the new list>>>.","['-33.6', '80.401', '15.59', '10.612', '70.3927', '32', '-12.1', '97.33']","{
    ""question"": ""Keep all numbers larger than -65.3634 in this list: ['-33.6', '80.401', '15.59', '10.612', '70.3927', '-98.1', '32', '-12.1', '97.33']\nReturn the new list in the same format."",
    ""answer"": ""['-33.6', '80.401', '15.59', '10.612', '70.3927', '32', '-12.1', '97.33']"",
    ""metadata"": {
        ""source_dataset"": ""number_filtering"",
        ""source_index"": 9,
        ""original_numbers"": [
            ""-33.6"",
            ""80.401"",
            ""15.59"",
            ""10.612"",
            ""70.3927"",
            ""-98.1"",
            ""32"",
            ""-12.1"",
            ""97.33""
        ],
        ""filter_value"": ""-65.3634"",
        ""operation"": ""keep_larger"",
        ""result"": [
            ""-33.6"",
            ""80.401"",
            ""15.59"",
            ""10.612"",
            ""70.3927"",
            ""32"",
            ""-12.1"",
            ""97.33""
        ],
        ""numbers"": 9,
        ""difficulty"": {
            ""numbers"": [
                3,
                10
            ],
            ""decimals"": [
                0,
                4
            ],
            ""value"": [
                -100.0,
                100.0
            ]
        }
    }
}"
