ID,dataset,question,answer,full_data
0,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: carol, bob, arnold, alice
 - Everyone has a different favorite cigar: blue master, pall mall, prince, dunhill
 - They all have a different favorite flower: carnations, lilies, daffodils, iris
 - Each person has a favorite color: blue, purple, brown, white

1. Bob and the person who loves brown are next to each other.
2. The Prince smoker is Arnold.
3. The person who loves white is the Dunhill smoker.
4. Arnold is the person who loves a bouquet of daffodils.
5. The person who smokes Blue Master is in the fourth house.
6. The person who loves the boquet of iris is in the fourth house.
7. The person who loves a carnations arrangement is the Dunhill smoker.
8. The person who loves a bouquet of daffodils is directly left of Alice.
9. The person partial to Pall Mall is the person who loves blue.
10. The person who loves white is Carol.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",carol,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: carol, bob, arnold, alice\n - Everyone has a different favorite cigar: blue master, pall mall, prince, dunhill\n - They all have a different favorite flower: carnations, lilies, daffodils, iris\n - Each person has a favorite color: blue, purple, brown, white\n\n1. Bob and the person who loves brown are next to each other.\n2. The Prince smoker is Arnold.\n3. The person who loves white is the Dunhill smoker.\n4. Arnold is the person who loves a bouquet of daffodils.\n5. The person who smokes Blue Master is in the fourth house.\n6. The person who loves the boquet of iris is in the fourth house.\n7. The person who loves a carnations arrangement is the Dunhill smoker.\n8. The person who loves a bouquet of daffodils is directly left of Alice.\n9. The person partial to Pall Mall is the person who loves blue.\n10. The person who loves white is Carol.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""carol"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 0,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
1,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: bob, carol, alice, arnold
 - Each person has a favorite color: white, purple, blue, brown
 - Everyone has a different favorite cigar: prince, pall mall, blue master, dunhill
 - Everyone has something different for lunch: pizza, stir fry, grilled cheese, soup

1. The person who loves white is in the first house.
2. The Prince smoker is the person who loves eating grilled cheese.
3. The person who loves stir fry is directly left of the person who loves brown.
4. Alice is the person who loves stir fry.
5. The person who loves eating grilled cheese and the person who smokes Blue Master are next to each other.
6. The Dunhill smoker is the person who loves the soup.
7. Bob is the person who loves brown.
8. The person who loves blue is the person who loves the soup.
9. Arnold is the person who smokes Blue Master.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",alice,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: bob, carol, alice, arnold\n - Each person has a favorite color: white, purple, blue, brown\n - Everyone has a different favorite cigar: prince, pall mall, blue master, dunhill\n - Everyone has something different for lunch: pizza, stir fry, grilled cheese, soup\n\n1. The person who loves white is in the first house.\n2. The Prince smoker is the person who loves eating grilled cheese.\n3. The person who loves stir fry is directly left of the person who loves brown.\n4. Alice is the person who loves stir fry.\n5. The person who loves eating grilled cheese and the person who smokes Blue Master are next to each other.\n6. The Dunhill smoker is the person who loves the soup.\n7. Bob is the person who loves brown.\n8. The person who loves blue is the person who loves the soup.\n9. Arnold is the person who smokes Blue Master.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""alice"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 1,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
2,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: alice, arnold, bob, carol
 - The people keep different animals: bird, dog, cat, fish
 - Everyone has a different favorite cigar: dunhill, prince, blue master, pall mall
 - Everyone has a favorite smoothie: dragonfruit, desert, butterscotch, darkness

1. The Desert smoothie lover is the bird keeper.
2. The bird keeper is Arnold.
3. The Dunhill smoker is the Dragonfruit smoothie lover.
4. The Dragonfruit smoothie lover is in the first house.
5. Bob is the Prince smoker.
6. The Dragonfruit smoothie lover is directly left of the Butterscotch smoothie drinker.
7. The Desert smoothie lover and Carol are next to each other.
8. The cat lover is the person partial to Pall Mall.
9. The Butterscotch smoothie drinker and the Desert smoothie lover are next to each other.
10. Alice and the dog owner are next to each other.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",alice,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: alice, arnold, bob, carol\n - The people keep different animals: bird, dog, cat, fish\n - Everyone has a different favorite cigar: dunhill, prince, blue master, pall mall\n - Everyone has a favorite smoothie: dragonfruit, desert, butterscotch, darkness\n\n1. The Desert smoothie lover is the bird keeper.\n2. The bird keeper is Arnold.\n3. The Dunhill smoker is the Dragonfruit smoothie lover.\n4. The Dragonfruit smoothie lover is in the first house.\n5. Bob is the Prince smoker.\n6. The Dragonfruit smoothie lover is directly left of the Butterscotch smoothie drinker.\n7. The Desert smoothie lover and Carol are next to each other.\n8. The cat lover is the person partial to Pall Mall.\n9. The Butterscotch smoothie drinker and the Desert smoothie lover are next to each other.\n10. Alice and the dog owner are next to each other.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""alice"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 2,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
3,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: arnold, carol, alice, bob
 - Each person has a favorite color: brown, purple, white, blue
 - Each person has a favorite drink: boba tea, milk, water, coffee
 - Everyone has a different favorite cigar: blue master, dunhill, pall mall, prince

1. Bob is the person who loves white.
2. The person who loves brown is the person who smokes Blue Master.
3. The person who loves purple and Arnold are next to each other.
4. The coffee drinker is in the third house.
5. The person who loves purple is the person who likes milk.
6. The one who only drinks water and the Prince smoker are next to each other.
7. The Prince smoker is the person who loves white.
8. The one who only drinks water is the person who loves blue.
9. The person who loves blue is the person partial to Pall Mall.
10. Alice is the person who loves brown.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",carol,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: arnold, carol, alice, bob\n - Each person has a favorite color: brown, purple, white, blue\n - Each person has a favorite drink: boba tea, milk, water, coffee\n - Everyone has a different favorite cigar: blue master, dunhill, pall mall, prince\n\n1. Bob is the person who loves white.\n2. The person who loves brown is the person who smokes Blue Master.\n3. The person who loves purple and Arnold are next to each other.\n4. The coffee drinker is in the third house.\n5. The person who loves purple is the person who likes milk.\n6. The one who only drinks water and the Prince smoker are next to each other.\n7. The Prince smoker is the person who loves white.\n8. The one who only drinks water is the person who loves blue.\n9. The person who loves blue is the person partial to Pall Mall.\n10. Alice is the person who loves brown.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""carol"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 3,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
4,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: arnold, bob, alice, carol
 - The people are of nationalities: chinese, dane, brit, german
 - Each person has a favorite drink: boba tea, coffee, milk, water
 - Everyone has a favorite smoothie: butterscotch, desert, dragonfruit, darkness

1. Alice is directly left of Carol.
2. The boba tea drinker is the Butterscotch smoothie drinker.
3. The boba tea drinker is the German.
4. The Darkness smoothie drinker is the Dane.
5. Alice is the British person.
6. The person who likes milk is the Dragonfruit smoothie lover.
7. The Darkness smoothie drinker is in the second house.
8. Bob is the Butterscotch smoothie drinker.
9. The one who only drinks water is directly left of the Desert smoothie lover.
10. Carol is the Darkness smoothie drinker.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",alice,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: arnold, bob, alice, carol\n - The people are of nationalities: chinese, dane, brit, german\n - Each person has a favorite drink: boba tea, coffee, milk, water\n - Everyone has a favorite smoothie: butterscotch, desert, dragonfruit, darkness\n\n1. Alice is directly left of Carol.\n2. The boba tea drinker is the Butterscotch smoothie drinker.\n3. The boba tea drinker is the German.\n4. The Darkness smoothie drinker is the Dane.\n5. Alice is the British person.\n6. The person who likes milk is the Dragonfruit smoothie lover.\n7. The Darkness smoothie drinker is in the second house.\n8. Bob is the Butterscotch smoothie drinker.\n9. The one who only drinks water is directly left of the Desert smoothie lover.\n10. Carol is the Darkness smoothie drinker.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""alice"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 4,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
5,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: alice, carol, bob, arnold
 - Everyone has a different favorite cigar: blue master, prince, dunhill, pall mall
 - Each mother is accompanied by their child: alice, timothy, billy, bella
 - They all have a different favorite flower: lilies, carnations, daffodils, iris

1. The person's child is named Alice is in the second house.
2. The person who is the mother of Billy and the Prince smoker are next to each other.
3. The person who is the mother of Timothy and the Dunhill smoker are next to each other.
4. The person who loves a bouquet of daffodils is the person who is the mother of Billy.
5. Bob is directly left of the person who loves the boquet of iris.
6. Carol is directly left of Arnold.
7. The person who loves the boquet of iris is the person who smokes Blue Master.
8. Arnold is the person's child is named Bella.
9. Alice and the person who loves the boquet of lilies are next to each other.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",alice,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: alice, carol, bob, arnold\n - Everyone has a different favorite cigar: blue master, prince, dunhill, pall mall\n - Each mother is accompanied by their child: alice, timothy, billy, bella\n - They all have a different favorite flower: lilies, carnations, daffodils, iris\n\n1. The person's child is named Alice is in the second house.\n2. The person who is the mother of Billy and the Prince smoker are next to each other.\n3. The person who is the mother of Timothy and the Dunhill smoker are next to each other.\n4. The person who loves a bouquet of daffodils is the person who is the mother of Billy.\n5. Bob is directly left of the person who loves the boquet of iris.\n6. Carol is directly left of Arnold.\n7. The person who loves the boquet of iris is the person who smokes Blue Master.\n8. Arnold is the person's child is named Bella.\n9. Alice and the person who loves the boquet of lilies are next to each other.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""alice"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 5,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
6,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: arnold, carol, bob, alice
 - People use different phone models: huawei p50, samsung galaxy s21, oneplus 9, google pixel 6
 - Everyone has a different favorite cigar: pall mall, dunhill, prince, blue master
 - Each mother is accompanied by their child: billy, timothy, bella, alice

1. Alice is the person who uses a Google Pixel 6.
2. The Prince smoker is the person who uses a Huawei P50.
3. The person who smokes Blue Master is Bob.
4. Bob and the person's child is named Alice are next to each other.
5. Carol is the person's child is named Alice.
6. The person who smokes Blue Master is the person who uses a Samsung Galaxy S21.
7. The person who is the mother of Billy is Bob.
8. Carol is directly left of the Prince smoker.
9. The person who is the mother of Timothy and the person who smokes Blue Master are next to each other.
10. The person partial to Pall Mall is the person's child is named Alice.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",alice,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: arnold, carol, bob, alice\n - People use different phone models: huawei p50, samsung galaxy s21, oneplus 9, google pixel 6\n - Everyone has a different favorite cigar: pall mall, dunhill, prince, blue master\n - Each mother is accompanied by their child: billy, timothy, bella, alice\n\n1. Alice is the person who uses a Google Pixel 6.\n2. The Prince smoker is the person who uses a Huawei P50.\n3. The person who smokes Blue Master is Bob.\n4. Bob and the person's child is named Alice are next to each other.\n5. Carol is the person's child is named Alice.\n6. The person who smokes Blue Master is the person who uses a Samsung Galaxy S21.\n7. The person who is the mother of Billy is Bob.\n8. Carol is directly left of the Prince smoker.\n9. The person who is the mother of Timothy and the person who smokes Blue Master are next to each other.\n10. The person partial to Pall Mall is the person's child is named Alice.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""alice"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 6,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
7,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: bob, carol, alice, arnold
 - Each mother is accompanied by their child: timothy, billy, alice, bella
 - People use different phone models: oneplus 9, google pixel 6, samsung galaxy s21, huawei p50
 - The people keep different animals: dog, bird, fish, cat

1. The cat lover is Carol.
2. Alice is the fish enthusiast.
3. Bob is in the fourth house.
4. Arnold is the dog owner.
5. The person who uses a Google Pixel 6 is Alice.
6. The person who uses a Huawei P50 is directly left of the person who uses a OnePlus 9.
7. The cat lover is the person who is the mother of Timothy.
8. Alice is directly left of the dog owner.
9. The person who uses a Samsung Galaxy S21 is the person who is the mother of Billy.
10. Arnold is the person's child is named Bella.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",alice,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: bob, carol, alice, arnold\n - Each mother is accompanied by their child: timothy, billy, alice, bella\n - People use different phone models: oneplus 9, google pixel 6, samsung galaxy s21, huawei p50\n - The people keep different animals: dog, bird, fish, cat\n\n1. The cat lover is Carol.\n2. Alice is the fish enthusiast.\n3. Bob is in the fourth house.\n4. Arnold is the dog owner.\n5. The person who uses a Google Pixel 6 is Alice.\n6. The person who uses a Huawei P50 is directly left of the person who uses a OnePlus 9.\n7. The cat lover is the person who is the mother of Timothy.\n8. Alice is directly left of the dog owner.\n9. The person who uses a Samsung Galaxy S21 is the person who is the mother of Billy.\n10. Arnold is the person's child is named Bella.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""alice"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 7,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
8,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: arnold, alice, bob, carol
 - Everyone has a favorite smoothie: darkness, butterscotch, dragonfruit, desert
 - Everyone has something different for lunch: stir fry, grilled cheese, pizza, soup
 - Each person has a favorite drink: boba tea, water, coffee, milk

1. The person who loves stir fry is Arnold.
2. The person who loves stir fry is the person who likes milk.
3. Alice is in the second house.
4. Bob and the Dragonfruit smoothie lover are next to each other.
5. The person who is a pizza lover is the one who only drinks water.
6. The Butterscotch smoothie drinker is in the third house.
7. Arnold is in the third house.
8. The person who loves eating grilled cheese is directly left of the boba tea drinker.
9. The Desert smoothie lover is in the first house.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",bob,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: arnold, alice, bob, carol\n - Everyone has a favorite smoothie: darkness, butterscotch, dragonfruit, desert\n - Everyone has something different for lunch: stir fry, grilled cheese, pizza, soup\n - Each person has a favorite drink: boba tea, water, coffee, milk\n\n1. The person who loves stir fry is Arnold.\n2. The person who loves stir fry is the person who likes milk.\n3. Alice is in the second house.\n4. Bob and the Dragonfruit smoothie lover are next to each other.\n5. The person who is a pizza lover is the one who only drinks water.\n6. The Butterscotch smoothie drinker is in the third house.\n7. Arnold is in the third house.\n8. The person who loves eating grilled cheese is directly left of the boba tea drinker.\n9. The Desert smoothie lover is in the first house.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""bob"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 8,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
9,zebra_puzzles,"This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:
 - Each person has a unique name: bob, alice, arnold, carol
 - Each person has a favorite color: purple, white, brown, blue
 - Everyone has a favorite smoothie: dragonfruit, darkness, desert, butterscotch
 - Each mother is accompanied by their child: bella, billy, timothy, alice

1. The person's child is named Bella is the person who loves blue.
2. The person's child is named Alice is Alice.
3. The person who is the mother of Billy is Arnold.
4. The person who is the mother of Billy is the Dragonfruit smoothie lover.
5. The person who loves brown is in the second house.
6. Bob is the person who loves purple.
7. The Butterscotch smoothie drinker is directly left of the person who is the mother of Timothy.
8. The person who loves purple is directly left of the Desert smoothie lover.

What is Name of the person who lives in House 1?? Provide the name of the person enclosed within triple angle brackets as your final answer, like <<<the name of the person>>>.",arnold,"{
    ""question"": ""This is a logic puzzle. There are 4 houses (numbered 1 on the left, 4 on the right), from the perspective of someone standing across the street from them. Each has a different person in them. They have different characteristics:\n - Each person has a unique name: bob, alice, arnold, carol\n - Each person has a favorite color: purple, white, brown, blue\n - Everyone has a favorite smoothie: dragonfruit, darkness, desert, butterscotch\n - Each mother is accompanied by their child: bella, billy, timothy, alice\n\n1. The person's child is named Bella is the person who loves blue.\n2. The person's child is named Alice is Alice.\n3. The person who is the mother of Billy is Arnold.\n4. The person who is the mother of Billy is the Dragonfruit smoothie lover.\n5. The person who loves brown is in the second house.\n6. Bob is the person who loves purple.\n7. The Butterscotch smoothie drinker is directly left of the person who is the mother of Timothy.\n8. The person who loves purple is directly left of the Desert smoothie lover.\n\nWhat is Name of the person who lives in House 1?? Provide only the name of the person as your final answer."",
    ""answer"": ""arnold"",
    ""metadata"": {
        ""source_dataset"": ""zebra_puzzles"",
        ""source_index"": 9,
        ""difficulty"": {
            ""num_people"": 4,
            ""num_characteristics"": 4
        }
    }
}"
