ID,dataset,question,answer,full_data
0,spell_backward,"Spell this word backward (example: sun -> nus): colpus
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",suploc,"{
    ""question"": ""Spell this word backward (example: sun -> nus): colpus"",
    ""answer"": ""suploc"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 0,
        ""word"": ""colpus"",
        ""word_len"": 6,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
1,spell_backward,"Spell this word backward (example: sun -> nus): unreactive
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",evitcaernu,"{
    ""question"": ""Spell this word backward (example: sun -> nus): unreactive"",
    ""answer"": ""evitcaernu"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 1,
        ""word"": ""unreactive"",
        ""word_len"": 10,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
2,spell_backward,"Spell this word backward (example: sun -> nus): Pavoncella
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",allecnovaP,"{
    ""question"": ""Spell this word backward (example: sun -> nus): Pavoncella"",
    ""answer"": ""allecnovaP"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 2,
        ""word"": ""Pavoncella"",
        ""word_len"": 10,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
3,spell_backward,"Spell this word backward (example: sun -> nus): shellburst
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",tsrubllehs,"{
    ""question"": ""Spell this word backward (example: sun -> nus): shellburst"",
    ""answer"": ""tsrubllehs"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 3,
        ""word"": ""shellburst"",
        ""word_len"": 10,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
4,spell_backward,"Spell this word backward (example: sun -> nus): unrotted
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",dettornu,"{
    ""question"": ""Spell this word backward (example: sun -> nus): unrotted"",
    ""answer"": ""dettornu"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 4,
        ""word"": ""unrotted"",
        ""word_len"": 8,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
5,spell_backward,"Spell this word backward (example: sun -> nus): hutlet
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",teltuh,"{
    ""question"": ""Spell this word backward (example: sun -> nus): hutlet"",
    ""answer"": ""teltuh"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 5,
        ""word"": ""hutlet"",
        ""word_len"": 6,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
6,spell_backward,"Spell this word backward (example: sun -> nus): raucously
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",ylsuocuar,"{
    ""question"": ""Spell this word backward (example: sun -> nus): raucously"",
    ""answer"": ""ylsuocuar"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 6,
        ""word"": ""raucously"",
        ""word_len"": 9,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
7,spell_backward,"Spell this word backward (example: sun -> nus): themsel
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",lesmeht,"{
    ""question"": ""Spell this word backward (example: sun -> nus): themsel"",
    ""answer"": ""lesmeht"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 7,
        ""word"": ""themsel"",
        ""word_len"": 7,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
8,spell_backward,"Spell this word backward (example: sun -> nus): worktable
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",elbatkrow,"{
    ""question"": ""Spell this word backward (example: sun -> nus): worktable"",
    ""answer"": ""elbatkrow"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 8,
        ""word"": ""worktable"",
        ""word_len"": 9,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
9,spell_backward,"Spell this word backward (example: sun -> nus): Hampshire
Enclose final answer within triple angle brackets, i.e. <<<the answer>>>",erihspmaH,"{
    ""question"": ""Spell this word backward (example: sun -> nus): Hampshire"",
    ""answer"": ""erihspmaH"",
    ""metadata"": {
        ""source_dataset"": ""spell_backward"",
        ""source_index"": 9,
        ""word"": ""Hampshire"",
        ""word_len"": 9,
        ""difficulty"": {
            ""word_len"": [
                3,
                10
            ]
        }
    }
}"
