ID,dataset,question,answer,full_data
0,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 0 0 1
0 1 0 1
1 1 0 1
1 1 1 0

Output final answer with the format <<<answer>>>","1 0 0 1
0 1 0 1
1 1 0 1
2 2 1 0","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 0 0 1\n0 1 0 1\n1 1 0 1\n1 1 1 0\n"",
    ""answer"": ""1 0 0 1\n0 1 0 1\n1 1 0 1\n2 2 1 0"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 0,
        ""matrix"": [
            [
                1,
                0,
                0,
                1
            ],
            [
                0,
                1,
                0,
                1
            ],
            [
                1,
                1,
                0,
                1
            ],
            [
                1,
                1,
                1,
                0
            ]
        ],
        ""solution"": [
            [
                1,
                0,
                0,
                1
            ],
            [
                0,
                1,
                0,
                1
            ],
            [
                1,
                1,
                0,
                1
            ],
            [
                2,
                2,
                1,
                0
            ]
        ],
        ""n"": 4,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
1,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 1 1 1
1 1 0 1 1
1 1 1 0 1
1 1 1 1 1
1 1 0 1 1

Output final answer with the format <<<answer>>>","3 2 1 2 3
2 1 0 1 2
3 2 1 0 1
3 2 1 1 2
2 1 0 1 2","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 1 1 1\n1 1 0 1 1\n1 1 1 0 1\n1 1 1 1 1\n1 1 0 1 1\n"",
    ""answer"": ""3 2 1 2 3\n2 1 0 1 2\n3 2 1 0 1\n3 2 1 1 2\n2 1 0 1 2"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 1,
        ""matrix"": [
            [
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1
            ]
        ],
        ""solution"": [
            [
                3,
                2,
                1,
                2,
                3
            ],
            [
                2,
                1,
                0,
                1,
                2
            ],
            [
                3,
                2,
                1,
                0,
                1
            ],
            [
                3,
                2,
                1,
                1,
                2
            ],
            [
                2,
                1,
                0,
                1,
                2
            ]
        ],
        ""n"": 5,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
2,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
0 1 1 0 1 0 1 1
1 1 1 1 1 1 0 1
0 0 1 1 1 1 1 1
1 0 1 1 1 1 1 0
1 1 1 0 0 0 0 1

Output final answer with the format <<<answer>>>","3 4 3 2 1 2 3 4
2 3 2 1 0 1 2 3
1 2 2 1 0 1 2 3
0 1 1 0 1 0 1 2
1 1 2 1 2 1 0 1
0 0 1 2 2 2 1 1
1 0 1 1 1 1 1 0
2 1 1 0 0 0 0 1","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 1 1 1 1 1 1\n1 1 1 1 0 1 1 1\n1 1 1 1 0 1 1 1\n0 1 1 0 1 0 1 1\n1 1 1 1 1 1 0 1\n0 0 1 1 1 1 1 1\n1 0 1 1 1 1 1 0\n1 1 1 0 0 0 0 1\n"",
    ""answer"": ""3 4 3 2 1 2 3 4\n2 3 2 1 0 1 2 3\n1 2 2 1 0 1 2 3\n0 1 1 0 1 0 1 2\n1 1 2 1 2 1 0 1\n0 0 1 2 2 2 1 1\n1 0 1 1 1 1 1 0\n2 1 1 0 0 0 0 1"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 2,
        ""matrix"": [
            [
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                0,
                1,
                1,
                0,
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                0,
                0,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                0,
                1,
                1,
                1,
                1,
                1,
                0
            ],
            [
                1,
                1,
                1,
                0,
                0,
                0,
                0,
                1
            ]
        ],
        ""solution"": [
            [
                3,
                4,
                3,
                2,
                1,
                2,
                3,
                4
            ],
            [
                2,
                3,
                2,
                1,
                0,
                1,
                2,
                3
            ],
            [
                1,
                2,
                2,
                1,
                0,
                1,
                2,
                3
            ],
            [
                0,
                1,
                1,
                0,
                1,
                0,
                1,
                2
            ],
            [
                1,
                1,
                2,
                1,
                2,
                1,
                0,
                1
            ],
            [
                0,
                0,
                1,
                2,
                2,
                2,
                1,
                1
            ],
            [
                1,
                0,
                1,
                1,
                1,
                1,
                1,
                0
            ],
            [
                2,
                1,
                1,
                0,
                0,
                0,
                0,
                1
            ]
        ],
        ""n"": 8,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
3,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 1 1 0 1 1 0
1 0 1 1 1 1 1 1
1 1 0 1 0 1 1 1
0 1 1 1 1 1 1 0
1 0 1 0 1 1 1 1
0 1 1 1 1 1 0 1
1 1 1 1 0 1 1 0
1 1 0 1 0 0 1 0

Output final answer with the format <<<answer>>>","2 1 2 1 0 1 1 0
1 0 1 2 1 2 2 1
1 1 0 1 0 1 2 1
0 1 1 1 1 2 1 0
1 0 1 0 1 2 1 1
0 1 2 1 1 1 0 1
1 2 1 1 0 1 1 0
2 1 0 1 0 0 1 0","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 1 1 0 1 1 0\n1 0 1 1 1 1 1 1\n1 1 0 1 0 1 1 1\n0 1 1 1 1 1 1 0\n1 0 1 0 1 1 1 1\n0 1 1 1 1 1 0 1\n1 1 1 1 0 1 1 0\n1 1 0 1 0 0 1 0\n"",
    ""answer"": ""2 1 2 1 0 1 1 0\n1 0 1 2 1 2 2 1\n1 1 0 1 0 1 2 1\n0 1 1 1 1 2 1 0\n1 0 1 0 1 2 1 1\n0 1 2 1 1 1 0 1\n1 2 1 1 0 1 1 0\n2 1 0 1 0 0 1 0"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 3,
        ""matrix"": [
            [
                1,
                1,
                1,
                1,
                0,
                1,
                1,
                0
            ],
            [
                1,
                0,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                0,
                1,
                1,
                1
            ],
            [
                0,
                1,
                1,
                1,
                1,
                1,
                1,
                0
            ],
            [
                1,
                0,
                1,
                0,
                1,
                1,
                1,
                1
            ],
            [
                0,
                1,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1,
                1,
                0
            ],
            [
                1,
                1,
                0,
                1,
                0,
                0,
                1,
                0
            ]
        ],
        ""solution"": [
            [
                2,
                1,
                2,
                1,
                0,
                1,
                1,
                0
            ],
            [
                1,
                0,
                1,
                2,
                1,
                2,
                2,
                1
            ],
            [
                1,
                1,
                0,
                1,
                0,
                1,
                2,
                1
            ],
            [
                0,
                1,
                1,
                1,
                1,
                2,
                1,
                0
            ],
            [
                1,
                0,
                1,
                0,
                1,
                2,
                1,
                1
            ],
            [
                0,
                1,
                2,
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                2,
                1,
                1,
                0,
                1,
                1,
                0
            ],
            [
                2,
                1,
                0,
                1,
                0,
                0,
                1,
                0
            ]
        ],
        ""n"": 8,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
4,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 0 1 1 1 1 0 1
0 1 1 1 1 1 1 1
1 1 0 1 1 0 0 0
1 1 1 0 1 1 1 1
1 1 1 1 1 1 1 1
0 0 1 1 0 1 0 1
1 1 0 1 1 1 0 1
1 0 1 1 1 1 1 1

Output final answer with the format <<<answer>>>","1 0 1 2 2 1 0 1
0 1 1 2 2 1 1 1
1 1 0 1 1 0 0 0
2 2 1 0 1 1 1 1
1 1 2 1 1 2 1 2
0 0 1 1 0 1 0 1
1 1 0 1 1 1 0 1
1 0 1 2 2 2 1 2","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 0 1 1 1 1 0 1\n0 1 1 1 1 1 1 1\n1 1 0 1 1 0 0 0\n1 1 1 0 1 1 1 1\n1 1 1 1 1 1 1 1\n0 0 1 1 0 1 0 1\n1 1 0 1 1 1 0 1\n1 0 1 1 1 1 1 1\n"",
    ""answer"": ""1 0 1 2 2 1 0 1\n0 1 1 2 2 1 1 1\n1 1 0 1 1 0 0 0\n2 2 1 0 1 1 1 1\n1 1 2 1 1 2 1 2\n0 0 1 1 0 1 0 1\n1 1 0 1 1 1 0 1\n1 0 1 2 2 2 1 2"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 4,
        ""matrix"": [
            [
                1,
                0,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                0,
                1,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                0,
                0,
                0
            ],
            [
                1,
                1,
                1,
                0,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                0,
                0,
                1,
                1,
                0,
                1,
                0,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                0,
                1,
                1,
                1,
                1,
                1,
                1
            ]
        ],
        ""solution"": [
            [
                1,
                0,
                1,
                2,
                2,
                1,
                0,
                1
            ],
            [
                0,
                1,
                1,
                2,
                2,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                0,
                0,
                0
            ],
            [
                2,
                2,
                1,
                0,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                2,
                1,
                1,
                2,
                1,
                2
            ],
            [
                0,
                0,
                1,
                1,
                0,
                1,
                0,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                0,
                1,
                2,
                2,
                2,
                1,
                2
            ]
        ],
        ""n"": 8,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
5,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 1 0
1 1 1 1
1 0 1 1
1 1 0 1

Output final answer with the format <<<answer>>>","3 2 1 0
2 1 2 1
1 0 1 2
2 1 0 1","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 1 0\n1 1 1 1\n1 0 1 1\n1 1 0 1\n"",
    ""answer"": ""3 2 1 0\n2 1 2 1\n1 0 1 2\n2 1 0 1"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 5,
        ""matrix"": [
            [
                1,
                1,
                1,
                0
            ],
            [
                1,
                1,
                1,
                1
            ],
            [
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1
            ]
        ],
        ""solution"": [
            [
                3,
                2,
                1,
                0
            ],
            [
                2,
                1,
                2,
                1
            ],
            [
                1,
                0,
                1,
                2
            ],
            [
                2,
                1,
                0,
                1
            ]
        ],
        ""n"": 4,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
6,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 0 1 1 0 0 1 1
1 1 1 1 1 1 1 0 1
0 0 1 1 1 1 0 1 1
1 1 1 0 0 1 0 1 1
1 1 0 0 1 1 0 1 1
1 1 0 1 1 1 1 0 1
0 1 1 1 0 1 0 0 1
1 1 1 1 1 1 1 1 1
1 1 1 0 1 1 1 0 0

Output final answer with the format <<<answer>>>","2 1 0 1 1 0 0 1 2
1 1 1 2 2 1 1 0 1
0 0 1 1 1 1 0 1 2
1 1 1 0 0 1 0 1 2
2 1 0 0 1 1 0 1 2
1 1 0 1 1 2 1 0 1
0 1 1 1 0 1 0 0 1
1 2 2 1 1 2 1 1 1
2 2 1 0 1 2 1 0 0","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 0 1 1 0 0 1 1\n1 1 1 1 1 1 1 0 1\n0 0 1 1 1 1 0 1 1\n1 1 1 0 0 1 0 1 1\n1 1 0 0 1 1 0 1 1\n1 1 0 1 1 1 1 0 1\n0 1 1 1 0 1 0 0 1\n1 1 1 1 1 1 1 1 1\n1 1 1 0 1 1 1 0 0\n"",
    ""answer"": ""2 1 0 1 1 0 0 1 2\n1 1 1 2 2 1 1 0 1\n0 0 1 1 1 1 0 1 2\n1 1 1 0 0 1 0 1 2\n2 1 0 0 1 1 0 1 2\n1 1 0 1 1 2 1 0 1\n0 1 1 1 0 1 0 0 1\n1 2 2 1 1 2 1 1 1\n2 2 1 0 1 2 1 0 0"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 6,
        ""matrix"": [
            [
                1,
                1,
                0,
                1,
                1,
                0,
                0,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                0,
                0,
                1,
                1,
                1,
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                1,
                0,
                0,
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                0,
                0,
                1,
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                0,
                1,
                1,
                1,
                0,
                1,
                0,
                0,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                0,
                1,
                1,
                1,
                0,
                0
            ]
        ],
        ""solution"": [
            [
                2,
                1,
                0,
                1,
                1,
                0,
                0,
                1,
                2
            ],
            [
                1,
                1,
                1,
                2,
                2,
                1,
                1,
                0,
                1
            ],
            [
                0,
                0,
                1,
                1,
                1,
                1,
                0,
                1,
                2
            ],
            [
                1,
                1,
                1,
                0,
                0,
                1,
                0,
                1,
                2
            ],
            [
                2,
                1,
                0,
                0,
                1,
                1,
                0,
                1,
                2
            ],
            [
                1,
                1,
                0,
                1,
                1,
                2,
                1,
                0,
                1
            ],
            [
                0,
                1,
                1,
                1,
                0,
                1,
                0,
                0,
                1
            ],
            [
                1,
                2,
                2,
                1,
                1,
                2,
                1,
                1,
                1
            ],
            [
                2,
                2,
                1,
                0,
                1,
                2,
                1,
                0,
                0
            ]
        ],
        ""n"": 9,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
7,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 1 1 1 1
1 0 1 0 1 0
1 1 0 1 1 0
1 1 1 0 1 1
1 1 1 1 0 1
0 1 1 1 1 1

Output final answer with the format <<<answer>>>","2 1 2 1 2 1
1 0 1 0 1 0
2 1 0 1 1 0
2 2 1 0 1 1
1 2 2 1 0 1
0 1 2 2 1 2","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 1 1 1 1\n1 0 1 0 1 0\n1 1 0 1 1 0\n1 1 1 0 1 1\n1 1 1 1 0 1\n0 1 1 1 1 1\n"",
    ""answer"": ""2 1 2 1 2 1\n1 0 1 0 1 0\n2 1 0 1 1 0\n2 2 1 0 1 1\n1 2 2 1 0 1\n0 1 2 2 1 2"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 7,
        ""matrix"": [
            [
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                0,
                1,
                0,
                1,
                0
            ],
            [
                1,
                1,
                0,
                1,
                1,
                0
            ],
            [
                1,
                1,
                1,
                0,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                0,
                1,
                1,
                1,
                1,
                1
            ]
        ],
        ""solution"": [
            [
                2,
                1,
                2,
                1,
                2,
                1
            ],
            [
                1,
                0,
                1,
                0,
                1,
                0
            ],
            [
                2,
                1,
                0,
                1,
                1,
                0
            ],
            [
                2,
                2,
                1,
                0,
                1,
                1
            ],
            [
                1,
                2,
                2,
                1,
                0,
                1
            ],
            [
                0,
                1,
                2,
                2,
                1,
                2
            ]
        ],
        ""n"": 6,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
8,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
0 1 1 0 1 1 1 1 0 0
1 1 1 1 1 1 0 1 0 0
1 0 1 0 0 1 0 1 1 1
1 1 0 1 1 1 0 1 1 1
1 1 1 1 1 1 1 1 0 1
1 1 1 0 1 1 1 1 1 0
1 1 0 1 0 1 1 1 1 1
0 1 0 0 1 1 0 1 1 1
1 0 0 1 1 1 0 1 1 1
1 1 0 1 1 1 1 0 1 1

Output final answer with the format <<<answer>>>","0 1 1 0 1 2 1 1 0 0
1 1 2 1 1 1 0 1 0 0
1 0 1 0 0 1 0 1 1 1
2 1 0 1 1 1 0 1 1 2
3 2 1 1 2 2 1 1 0 1
2 2 1 0 1 2 2 2 1 0
1 1 0 1 0 1 1 2 2 1
0 1 0 0 1 1 0 1 2 2
1 0 0 1 2 1 0 1 2 3
2 1 0 1 2 2 1 0 1 2","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n0 1 1 0 1 1 1 1 0 0\n1 1 1 1 1 1 0 1 0 0\n1 0 1 0 0 1 0 1 1 1\n1 1 0 1 1 1 0 1 1 1\n1 1 1 1 1 1 1 1 0 1\n1 1 1 0 1 1 1 1 1 0\n1 1 0 1 0 1 1 1 1 1\n0 1 0 0 1 1 0 1 1 1\n1 0 0 1 1 1 0 1 1 1\n1 1 0 1 1 1 1 0 1 1\n"",
    ""answer"": ""0 1 1 0 1 2 1 1 0 0\n1 1 2 1 1 1 0 1 0 0\n1 0 1 0 0 1 0 1 1 1\n2 1 0 1 1 1 0 1 1 2\n3 2 1 1 2 2 1 1 0 1\n2 2 1 0 1 2 2 2 1 0\n1 1 0 1 0 1 1 2 2 1\n0 1 0 0 1 1 0 1 2 2\n1 0 0 1 2 1 0 1 2 3\n2 1 0 1 2 2 1 0 1 2"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 8,
        ""matrix"": [
            [
                0,
                1,
                1,
                0,
                1,
                1,
                1,
                1,
                0,
                0
            ],
            [
                1,
                1,
                1,
                1,
                1,
                1,
                0,
                1,
                0,
                0
            ],
            [
                1,
                0,
                1,
                0,
                0,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                1,
                1,
                0,
                1,
                1,
                1,
                1,
                1,
                0
            ],
            [
                1,
                1,
                0,
                1,
                0,
                1,
                1,
                1,
                1,
                1
            ],
            [
                0,
                1,
                0,
                0,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                0,
                0,
                1,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                1,
                1,
                0,
                1,
                1
            ]
        ],
        ""solution"": [
            [
                0,
                1,
                1,
                0,
                1,
                2,
                1,
                1,
                0,
                0
            ],
            [
                1,
                1,
                2,
                1,
                1,
                1,
                0,
                1,
                0,
                0
            ],
            [
                1,
                0,
                1,
                0,
                0,
                1,
                0,
                1,
                1,
                1
            ],
            [
                2,
                1,
                0,
                1,
                1,
                1,
                0,
                1,
                1,
                2
            ],
            [
                3,
                2,
                1,
                1,
                2,
                2,
                1,
                1,
                0,
                1
            ],
            [
                2,
                2,
                1,
                0,
                1,
                2,
                2,
                2,
                1,
                0
            ],
            [
                1,
                1,
                0,
                1,
                0,
                1,
                1,
                2,
                2,
                1
            ],
            [
                0,
                1,
                0,
                0,
                1,
                1,
                0,
                1,
                2,
                2
            ],
            [
                1,
                0,
                0,
                1,
                2,
                1,
                0,
                1,
                2,
                3
            ],
            [
                2,
                1,
                0,
                1,
                2,
                2,
                1,
                0,
                1,
                2
            ]
        ],
        ""n"": 10,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
9,binary_matrix,"Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.

The output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.

Find the distance to the nearest 0 for each cell in the matrix below:
1 1 0 0 1 1 0 0 1
1 1 0 1 1 1 1 1 1
0 0 0 1 1 0 1 1 1
1 1 1 1 0 1 0 0 0
0 1 1 1 1 1 1 0 1
1 1 1 1 0 1 1 1 1
1 1 1 0 1 1 1 1 1
1 1 1 1 1 0 1 0 0
0 0 0 0 0 0 1 1 1

Output final answer with the format <<<answer>>>","2 1 0 0 1 1 0 0 1
1 1 0 1 2 1 1 1 2
0 0 0 1 1 0 1 1 1
1 1 1 1 0 1 0 0 0
0 1 2 2 1 2 1 0 1
1 2 2 1 0 1 2 1 2
2 2 1 0 1 1 2 1 1
1 1 1 1 1 0 1 0 0
0 0 0 0 0 0 1 1 1","{
    ""question"": ""Given a square matrix, your job is to find the taxicab (Manhattan) distance of the nearest 0 for each cell.\n\nThe output should be a matrix of the same size as the input matrix, where each cell contains the distance to the nearest 0.\n\nFind the distance to the nearest 0 for each cell in the matrix below:\n1 1 0 0 1 1 0 0 1\n1 1 0 1 1 1 1 1 1\n0 0 0 1 1 0 1 1 1\n1 1 1 1 0 1 0 0 0\n0 1 1 1 1 1 1 0 1\n1 1 1 1 0 1 1 1 1\n1 1 1 0 1 1 1 1 1\n1 1 1 1 1 0 1 0 0\n0 0 0 0 0 0 1 1 1\n"",
    ""answer"": ""2 1 0 0 1 1 0 0 1\n1 1 0 1 2 1 1 1 2\n0 0 0 1 1 0 1 1 1\n1 1 1 1 0 1 0 0 0\n0 1 2 2 1 2 1 0 1\n1 2 2 1 0 1 2 1 2\n2 2 1 0 1 1 2 1 1\n1 1 1 1 1 0 1 0 0\n0 0 0 0 0 0 1 1 1"",
    ""metadata"": {
        ""source_dataset"": ""binary_matrix"",
        ""source_index"": 9,
        ""matrix"": [
            [
                1,
                1,
                0,
                0,
                1,
                1,
                0,
                0,
                1
            ],
            [
                1,
                1,
                0,
                1,
                1,
                1,
                1,
                1,
                1
            ],
            [
                0,
                0,
                0,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1,
                0,
                0,
                0
            ],
            [
                0,
                1,
                1,
                1,
                1,
                1,
                1,
                0,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                0,
                1,
                1,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                0,
                1,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                1,
                1,
                1
            ]
        ],
        ""solution"": [
            [
                2,
                1,
                0,
                0,
                1,
                1,
                0,
                0,
                1
            ],
            [
                1,
                1,
                0,
                1,
                2,
                1,
                1,
                1,
                2
            ],
            [
                0,
                0,
                0,
                1,
                1,
                0,
                1,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                0,
                1,
                0,
                0,
                0
            ],
            [
                0,
                1,
                2,
                2,
                1,
                2,
                1,
                0,
                1
            ],
            [
                1,
                2,
                2,
                1,
                0,
                1,
                2,
                1,
                2
            ],
            [
                2,
                2,
                1,
                0,
                1,
                1,
                2,
                1,
                1
            ],
            [
                1,
                1,
                1,
                1,
                1,
                0,
                1,
                0,
                0
            ],
            [
                0,
                0,
                0,
                0,
                0,
                0,
                1,
                1,
                1
            ]
        ],
        ""n"": 9,
        ""difficulty"": {
            ""n"": [
                3,
                10
            ],
            ""p_zero"": 0.25
        }
    }
}"
