ID,dataset,question,answer,full_data
0,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 9
Buttons:
A: Add 1 (when any)
B: Add 2 (when any)
C: Subtract 1 (when any)",A → B → B → B → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 9\nButtons:\nA: Add 1 (when any)\nB: Add 2 (when any)\nC: Subtract 1 (when any)"",
    ""answer"": ""A → B → B → B → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 0,
        ""solution_path"": [
            ""A"",
            ""B"",
            ""B"",
            ""B"",
            ""B""
        ],
        ""target_value"": 9,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""add"",
                ""value"": 1,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""add"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""subtract"",
                ""value"": 1,
                ""active_state"": ""any""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 2
        }
    }
}"
1,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 46
Buttons:
A: Multiply 3 (when any)
B: Subtract 2 (when green)
C: Add 3 (when red)",C → B → C → A → C → A → C → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 46\nButtons:\nA: Multiply 3 (when any)\nB: Subtract 2 (when green)\nC: Add 3 (when red)"",
    ""answer"": ""C → B → C → A → C → A → C → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 1,
        ""solution_path"": [
            ""C"",
            ""B"",
            ""C"",
            ""A"",
            ""C"",
            ""A"",
            ""C"",
            ""B""
        ],
        ""target_value"": 46,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""multiply"",
                ""value"": 3,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""green""
            },
            {
                ""name"": ""C"",
                ""type"": ""add"",
                ""value"": 3,
                ""active_state"": ""red""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 10
        }
    }
}"
2,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 36
Buttons:
A: Subtract 2 (when green)
B: Add 3 (when any)
C: Add 3 (when red)",B → B → B → B → B → B → B → B → B → B → B → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 36\nButtons:\nA: Subtract 2 (when green)\nB: Add 3 (when any)\nC: Add 3 (when red)"",
    ""answer"": ""B → B → B → B → B → B → B → B → B → B → B → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 2,
        ""solution_path"": [
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B""
        ],
        ""target_value"": 36,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""green""
            },
            {
                ""name"": ""B"",
                ""type"": ""add"",
                ""value"": 3,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""add"",
                ""value"": 3,
                ""active_state"": ""red""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 9
        }
    }
}"
3,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 29
Buttons:
A: Subtract 2 (when green)
B: Add 3 (when any)
C: Subtract 3 (when green)",B → A → B → A → B → B → B → B → B → B → B → B → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 29\nButtons:\nA: Subtract 2 (when green)\nB: Add 3 (when any)\nC: Subtract 3 (when green)"",
    ""answer"": ""B → A → B → A → B → B → B → B → B → B → B → B → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 3,
        ""solution_path"": [
            ""B"",
            ""A"",
            ""B"",
            ""A"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B""
        ],
        ""target_value"": 29,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""green""
            },
            {
                ""name"": ""B"",
                ""type"": ""add"",
                ""value"": 3,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""subtract"",
                ""value"": 3,
                ""active_state"": ""green""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 9
        }
    }
}"
4,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 22
Buttons:
A: Add 2 (when red)
B: Subtract 2 (when any)
C: Multiply 2 (when any)",A → C → A → C → C → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 22\nButtons:\nA: Add 2 (when red)\nB: Subtract 2 (when any)\nC: Multiply 2 (when any)"",
    ""answer"": ""A → C → A → C → C → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 4,
        ""solution_path"": [
            ""A"",
            ""C"",
            ""A"",
            ""C"",
            ""C"",
            ""B""
        ],
        ""target_value"": 22,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""add"",
                ""value"": 2,
                ""active_state"": ""red""
            },
            {
                ""name"": ""B"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""multiply"",
                ""value"": 2,
                ""active_state"": ""any""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 6
        }
    }
}"
5,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 42
Buttons:
A: Subtract 3 (when any)
B: Add 2 (when any)
C: Multiply 3 (when red)",B → B → C → B → C,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 42\nButtons:\nA: Subtract 3 (when any)\nB: Add 2 (when any)\nC: Multiply 3 (when red)"",
    ""answer"": ""B → B → C → B → C"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 5,
        ""solution_path"": [
            ""B"",
            ""B"",
            ""C"",
            ""B"",
            ""C""
        ],
        ""target_value"": 42,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""subtract"",
                ""value"": 3,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""add"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""multiply"",
                ""value"": 3,
                ""active_state"": ""red""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 10
        }
    }
}"
6,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 20
Buttons:
A: Add 3 (when any)
B: Multiply 2 (when any)
C: Subtract 2 (when any)",A → A → B → C → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 20\nButtons:\nA: Add 3 (when any)\nB: Multiply 2 (when any)\nC: Subtract 2 (when any)"",
    ""answer"": ""A → A → B → C → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 6,
        ""solution_path"": [
            ""A"",
            ""A"",
            ""B"",
            ""C"",
            ""B""
        ],
        ""target_value"": 20,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""add"",
                ""value"": 3,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""multiply"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""any""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 7
        }
    }
}"
7,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 14
Buttons:
A: Subtract 1 (when any)
B: Add 2 (when any)
C: Subtract 2 (when green)",B → B → B → B → B → B → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 14\nButtons:\nA: Subtract 1 (when any)\nB: Add 2 (when any)\nC: Subtract 2 (when green)"",
    ""answer"": ""B → B → B → B → B → B → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 7,
        ""solution_path"": [
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B"",
            ""B""
        ],
        ""target_value"": 14,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""subtract"",
                ""value"": 1,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""add"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""green""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 4
        }
    }
}"
8,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 26
Buttons:
A: Add 2 (when any)
B: Add 3 (when green)
C: Subtract 2 (when green)",A → A → A → B → A → B → A → B → A → B → A,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 26\nButtons:\nA: Add 2 (when any)\nB: Add 3 (when green)\nC: Subtract 2 (when green)"",
    ""answer"": ""A → A → A → B → A → B → A → B → A → B → A"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 8,
        ""solution_path"": [
            ""A"",
            ""A"",
            ""A"",
            ""B"",
            ""A"",
            ""B"",
            ""A"",
            ""B"",
            ""A"",
            ""B"",
            ""A""
        ],
        ""target_value"": 26,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""add"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""add"",
                ""value"": 3,
                ""active_state"": ""green""
            },
            {
                ""name"": ""C"",
                ""type"": ""subtract"",
                ""value"": 2,
                ""active_state"": ""green""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 8
        }
    }
}"
9,quantum_lock,"In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.
You must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→' enclosed within triple angle brackets, for example: <<<A → B → C>>>

Start: 0 (red)
Target: 19
Buttons:
A: Add 2 (when any)
B: Subtract 3 (when any)
C: Multiply 3 (when any)",A → C → C → A → A → B,"{
    ""question"": ""In front of you are some buttons, a light, and a number. The light will toggle between red and green whenever you press a button. Each button performs a mathematical operation to the number, but the operation may depend on the state of the light.\nYou must press the shortest correct sequence of buttons to reach the target value. Your answer should be a sequence of buttons separated by '→', for example: A → B → C\n\nStart: 0 (red)\nTarget: 19\nButtons:\nA: Add 2 (when any)\nB: Subtract 3 (when any)\nC: Multiply 3 (when any)"",
    ""answer"": ""A → C → C → A → A → B"",
    ""metadata"": {
        ""source_dataset"": ""quantum_lock"",
        ""source_index"": 9,
        ""solution_path"": [
            ""A"",
            ""C"",
            ""C"",
            ""A"",
            ""A"",
            ""B""
        ],
        ""target_value"": 19,
        ""buttons"": [
            {
                ""name"": ""A"",
                ""type"": ""add"",
                ""value"": 2,
                ""active_state"": ""any""
            },
            {
                ""name"": ""B"",
                ""type"": ""subtract"",
                ""value"": 3,
                ""active_state"": ""any""
            },
            {
                ""name"": ""C"",
                ""type"": ""multiply"",
                ""value"": 3,
                ""active_state"": ""any""
            }
        ],
        ""initial_state"": ""red"",
        ""initial_value"": 0,
        ""difficulty"": {
            ""difficulty"": 7
        }
    }
}"
