ID,dataset,question,answer,full_data
0,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
X O X X X X
X X O O O O
O O O O O X
X # * X X O
O O O O O X
",left,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nX O X X X X\nX X O O O O\nO O O O O X\nX # * X X O\nO O O O O X\n"",
    ""answer"": ""left"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 0,
        ""matrix"": [
            [
                ""X"",
                ""O"",
                ""X"",
                ""X"",
                ""X"",
                ""X""
            ],
            [
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""X"",
                ""#"",
                ""*"",
                ""X"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ]
        ],
        ""solution"": [
            ""left""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
1,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
O X * O O X
O O O O O O
O O X X O X
O O O O O O
O X X O X #
O O X X X X
",right right down down down right down,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nO X * O O X\nO O O O O O\nO O X X O X\nO O O O O O\nO X X O X #\nO O X X X X\n"",
    ""answer"": ""right right down down down right down"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 1,
        ""matrix"": [
            [
                ""O"",
                ""X"",
                ""*"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""X"",
                ""#""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""X"",
                ""X""
            ]
        ],
        ""solution"": [
            ""right"",
            ""right"",
            ""down"",
            ""down"",
            ""down"",
            ""right"",
            ""down""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
2,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
O O O X O
O X X O X
X O O # X
X X O O O
O O O X X
X O O O X
O X O * O
",left up up up right up,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nO O O X O\nO X X O X\nX O O # X\nX X O O O\nO O O X X\nX O O O X\nO X O * O\n"",
    ""answer"": ""left up up up right up"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 2,
        ""matrix"": [
            [
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""X""
            ],
            [
                ""X"",
                ""O"",
                ""O"",
                ""#"",
                ""X""
            ],
            [
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""X"",
                ""O"",
                ""*"",
                ""O""
            ]
        ],
        ""solution"": [
            ""left"",
            ""up"",
            ""up"",
            ""up"",
            ""right"",
            ""up""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
3,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
O O X O O O
O O X X O O
O X O X O X
X O X X X X
X X O X X X
O O # O O X
* X O O O O
",up right right,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nO O X O O O\nO O X X O O\nO X O X O X\nX O X X X X\nX X O X X X\nO O # O O X\n* X O O O O\n"",
    ""answer"": ""up right right"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 3,
        ""matrix"": [
            [
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""O"",
                ""X"",
                ""O"",
                ""X""
            ],
            [
                ""X"",
                ""O"",
                ""X"",
                ""X"",
                ""X"",
                ""X""
            ],
            [
                ""X"",
                ""X"",
                ""O"",
                ""X"",
                ""X"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""#"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""*"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ]
        ],
        ""solution"": [
            ""up"",
            ""right"",
            ""right""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
4,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
O O O O O
X O X * O
O O O O O
X O O X X
O O O X O
X O # O X
O X O O X
",down left down down down,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nO O O O O\nX O X * O\nO O O O O\nX O O X X\nO O O X O\nX O # O X\nO X O O X\n"",
    ""answer"": ""down left down down down"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 4,
        ""matrix"": [
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""X"",
                ""O"",
                ""X"",
                ""*"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""X"",
                ""O"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""O""
            ],
            [
                ""X"",
                ""O"",
                ""#"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""X""
            ]
        ],
        ""solution"": [
            ""down"",
            ""left"",
            ""down"",
            ""down"",
            ""down""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
5,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
# X O X O
O X X O O
O O O X X
* X O O O
O O X O X
",up up up,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\n# X O X O\nO X X O O\nO O O X X\n* X O O O\nO O X O X\n"",
    ""answer"": ""up up up"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 5,
        ""matrix"": [
            [
                ""#"",
                ""X"",
                ""O"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""*"",
                ""X"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""X""
            ]
        ],
        ""solution"": [
            ""up"",
            ""up"",
            ""up""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
6,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
O X # O X O O *
O O X O O O O X
O O X X O O O O
O X X X X O X X
O X O O O X X O
O X O O X O X O
O X X X O O O O
O O O X X O O X
",left down left left left up left,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nO X # O X O O *\nO O X O O O O X\nO O X X O O O O\nO X X X X O X X\nO X O O O X X O\nO X O O X O X O\nO X X X O O O O\nO O O X X O O X\n"",
    ""answer"": ""left down left left left up left"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 6,
        ""matrix"": [
            [
                ""O"",
                ""X"",
                ""#"",
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""*""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""X"",
                ""X"",
                ""X"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""X"",
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""X""
            ]
        ],
        ""solution"": [
            ""left"",
            ""down"",
            ""left"",
            ""left"",
            ""left"",
            ""up"",
            ""left""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
7,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
X X X O O X X
X O X O X X O
O O O O X O O
X X X O X X O
O O O O O O X
X X O X O * #
",right,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nX X X O O X X\nX O X O X X O\nO O O O X O O\nX X X O X X O\nO O O O O O X\nX X O X O * #\n"",
    ""answer"": ""right"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 7,
        ""matrix"": [
            [
                ""X"",
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""X"",
                ""O"",
                ""X"",
                ""O"",
                ""X"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""O""
            ],
            [
                ""X"",
                ""X"",
                ""X"",
                ""O"",
                ""X"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""X"",
                ""X"",
                ""O"",
                ""X"",
                ""O"",
                ""*"",
                ""#""
            ]
        ],
        ""solution"": [
            ""right""
        ],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
8,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
* O O X O
X O O O O
X X O O X
O X X X O
O O O O X
O O X O X
O O X O X
O O O X #
",infeasible,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\n* O O X O\nX O O O O\nX X O O X\nO X X X O\nO O O O X\nO O X O X\nO O X O X\nO O O X #\n"",
    ""answer"": ""infeasible"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 8,
        ""matrix"": [
            [
                ""*"",
                ""O"",
                ""O"",
                ""X"",
                ""O""
            ],
            [
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ],
            [
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""X"",
                ""X"",
                ""X"",
                ""O""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""#""
            ]
        ],
        ""solution"": [],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
9,shortest_path,"Your task is to find the shortest path from the start to the destination point in a grid.

The grid is represented as a matrix with the following types of cells:
- *: your starting point
- #: your destination point
- O: an open cell
- X: a blocked cell

Therefore, you need to find the shortest path from * to #, moving only through open cells.

You may only move in four directions: up, down, left, and right.

If there is no path from * to #, simply write ""infeasible"" (without quotes).

Your output should be a sequence of directions that leads from * to #, enclosed within triple angle brackets, e.g. <<<right right down down up left>>>

Now, find the length of the shortest path from * to # in the following grid:
X X O O O O X
O O O O O O X
X O X O O X #
X O O X O O X
O X O O O X X
O * X O O X X
O O O O X X X
O O O O O O O
",infeasible,"{
    ""question"": ""Your task is to find the shortest path from the start to the destination point in a grid.\n\nThe grid is represented as a matrix with the following types of cells:\n- *: your starting point\n- #: your destination point\n- O: an open cell\n- X: a blocked cell\n\nTherefore, you need to find the shortest path from * to #, moving only through open cells.\n\nYou may only move in four directions: up, down, left, and right.\n\nIf there is no path from * to #, simply write \""infeasible\"" (without quotes).\n\nYour output should be a sequence of directions that leads from * to #, e.g. right right down down up left\n\nNow, find the length of the shortest path from * to # in the following grid:\nX X O O O O X\nO O O O O O X\nX O X O O X #\nX O O X O O X\nO X O O O X X\nO * X O O X X\nO O O O X X X\nO O O O O O O\n"",
    ""answer"": ""infeasible"",
    ""metadata"": {
        ""source_dataset"": ""shortest_path"",
        ""source_index"": 9,
        ""matrix"": [
            [
                ""X"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""X"",
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""X"",
                ""#""
            ],
            [
                ""X"",
                ""O"",
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""X""
            ],
            [
                ""O"",
                ""X"",
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""O"",
                ""*"",
                ""X"",
                ""O"",
                ""O"",
                ""X"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""X"",
                ""X"",
                ""X""
            ],
            [
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O"",
                ""O""
            ]
        ],
        ""solution"": [],
        ""difficulty"": {
            ""rows"": [
                5,
                8
            ],
            ""cols"": [
                5,
                8
            ]
        }
    }
}"
