ID,dataset,question,answer,full_data
0,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. Q
.2. ((P → P) ∨ (Q ∧ Q))
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. Q\n.2. ((P → P) ∨ (Q ∧ Q))\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 0,
        ""premises"": [
            ""Q"",
            ""((P → P) ∨ (Q ∧ Q))""
        ],
        ""variables"": [
            ""P"",
            ""Q""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(Q ∧ Q)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
1,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. (¬S ∨ (Q ↔ R))
.2. ((S → R) ↔ (R ∧ S))
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. (¬S ∨ (Q ↔ R))\n.2. ((S → R) ↔ (R ∧ S))\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 1,
        ""premises"": [
            ""(¬S ∨ (Q ↔ R))"",
            ""((S → R) ↔ (R ∧ S))""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R"",
            ""S""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(S ∨ S)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
2,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. ((P ∨ S) ∧ ¬P)
.2. ¬R
.3. Q
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. ((P ∨ S) ∧ ¬P)\n.2. ¬R\n.3. Q\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 2,
        ""premises"": [
            ""((P ∨ S) ∧ ¬P)"",
            ""¬R"",
            ""Q""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R"",
            ""S""
        ],
        ""complexity"": 2,
        ""example_answer"": ""¬R"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
3,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. R
.2. R
.3. ¬P
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. R\n.2. R\n.3. ¬P\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 3,
        ""premises"": [
            ""R"",
            ""R"",
            ""¬P""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R"",
            ""S""
        ],
        ""complexity"": 2,
        ""example_answer"": ""¬P"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
4,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. Q
.2. P
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. Q\n.2. P\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 4,
        ""premises"": [
            ""Q"",
            ""P""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(Q ∨ R)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
5,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. P
.2. ¬(P → S)
.3. ¬(S → S)
.4. P
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. P\n.2. ¬(P → S)\n.3. ¬(S → S)\n.4. P\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 5,
        ""premises"": [
            ""P"",
            ""¬(P → S)"",
            ""¬(S → S)"",
            ""P""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R"",
            ""S""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(S ∧ P)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
6,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. (P ∧ R)
.2. (¬P → (Q ↔ R))
.3. ¬R
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. (P ∧ R)\n.2. (¬P → (Q ↔ R))\n.3. ¬R\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 6,
        ""premises"": [
            ""(P ∧ R)"",
            ""(¬P → (Q ↔ R))"",
            ""¬R""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R"",
            ""S""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(R ↔ S)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
7,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. (P ∧ P)
.2. (P ↔ Q)
.3. ¬(P ∨ Q)
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. (P ∧ P)\n.2. (P ↔ Q)\n.3. ¬(P ∨ Q)\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 7,
        ""premises"": [
            ""(P ∧ P)"",
            ""(P ↔ Q)"",
            ""¬(P ∨ Q)""
        ],
        ""variables"": [
            ""P"",
            ""Q""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(Q ∧ P)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
8,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. ((Q ∨ R) ∧ (P ∨ Q))
.2. (P → R)
.3. ((R ∧ P) ∨ (R ↔ Q))
.4. P
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. ((Q ∨ R) ∧ (P ∨ Q))\n.2. (P → R)\n.3. ((R ∧ P) ∨ (R ↔ Q))\n.4. P\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 8,
        ""premises"": [
            ""((Q ∨ R) ∧ (P ∨ Q))"",
            ""(P → R)"",
            ""((R ∧ P) ∨ (R ↔ Q))"",
            ""P""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(R ∨ R)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
9,propositional_logic,"The following question is a propositional logic reasoning question.

In the question we provide a list of premises. The task is to infer a correct conclusion from the premise.

FORMAT INSTRUCTIONS:
- Return the conclusion logic statement enclosed within triple angle brackets, as your final answer, like <<<the conclusion logic statement>>>.
- Use the following notation to denote symbols
    - OR = ∨
    - AND = ∧
    - IMPLIES = →
    - IFF = ↔
    - NOT = ¬

Here is the question:
Given:
1. P
.2. (R ↔ Q)
.3. ¬(R → R)
.What can we conclude from the above statements?",,"{
    ""question"": ""The following question is a propositional logic reasoning question.\n\nIn the question we provide a list of premises. The task is to infer a correct conclusion from the premise.\n\nFORMAT INSTRUCTIONS:\n- Return the conclusion logic statement, as your final answer.\n- Use the following notation to denote symbols\n    - OR = ∨\n    - AND = ∧\n    - IMPLIES = →\n    - IFF = ↔\n    - NOT = ¬\n\nHere is the question:\nGiven:\n1. P\n.2. (R ↔ Q)\n.3. ¬(R → R)\n.What can we conclude from the above statements?"",
    ""answer"": null,
    ""metadata"": {
        ""source_dataset"": ""propositional_logic"",
        ""source_index"": 9,
        ""premises"": [
            ""P"",
            ""(R ↔ Q)"",
            ""¬(R → R)""
        ],
        ""variables"": [
            ""P"",
            ""Q"",
            ""R""
        ],
        ""complexity"": 3,
        ""example_answer"": ""(P ∧ R)"",
        ""difficulty"": {
            ""vars"": [
                2,
                4
            ],
            ""statements"": [
                2,
                4
            ],
            ""complexity"": [
                1,
                3
            ]
        }
    }
}"
