ID,dataset,question,answer,full_data
0,number_sequence,"6, 13, 26, 46, 79, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",132,"{
    ""question"": ""6, 13, 26, 46, 79, ?"",
    ""answer"": ""132"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 0,
        ""rule"": ""add previous then add 7"",
        ""complexity"": 1,
        ""sequence"": [
            6,
            13,
            26,
            46,
            79,
            132
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
1,number_sequence,"-1, -1, -2, -3, -5, -8, -13, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",-21,"{
    ""question"": ""-1, -1, -2, -3, -5, -8, -13, ?"",
    ""answer"": ""-21"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 1,
        ""rule"": ""add previous"",
        ""complexity"": 3,
        ""sequence"": [
            -1,
            -1,
            -2,
            -3,
            -5,
            -8,
            -13,
            -21
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
2,number_sequence,"3, 2, 4, 5, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",8,"{
    ""question"": ""3, 2, 4, 5, ?"",
    ""answer"": ""8"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 2,
        ""rule"": ""add -3 then add 2 then add previous"",
        ""complexity"": 3,
        ""sequence"": [
            3,
            2,
            4,
            5,
            8
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
3,number_sequence,"-7, -1, -5, -1, -3, 0, 0, 3, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",4,"{
    ""question"": ""-7, -1, -5, -1, -3, 0, 0, 3, ?"",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 3,
        ""rule"": ""add 6 then halve then add previous"",
        ""complexity"": 3,
        ""sequence"": [
            -7,
            -1,
            -5,
            -1,
            -3,
            0,
            0,
            3,
            4
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
4,number_sequence,"-5, -10, -20, -40, -80, -160, -320, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",-640,"{
    ""question"": ""-5, -10, -20, -40, -80, -160, -320, ?"",
    ""answer"": ""-640"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 4,
        ""rule"": ""double"",
        ""complexity"": 2,
        ""sequence"": [
            -5,
            -10,
            -20,
            -40,
            -80,
            -160,
            -320,
            -640
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
5,number_sequence,"-7, 0, 4, 6, 7, 7, 7, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",7,"{
    ""question"": ""-7, 0, 4, 6, 7, 7, 7, ?"",
    ""answer"": ""7"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 5,
        ""rule"": ""halve then add 4"",
        ""complexity"": 3,
        ""sequence"": [
            -7,
            0,
            4,
            6,
            7,
            7,
            7,
            7
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
6,number_sequence,"5, 5, 10, 15, 25, 40, 65, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",105,"{
    ""question"": ""5, 5, 10, 15, 25, 40, 65, ?"",
    ""answer"": ""105"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 6,
        ""rule"": ""add previous"",
        ""complexity"": 3,
        ""sequence"": [
            5,
            5,
            10,
            15,
            25,
            40,
            65,
            105
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
7,number_sequence,"2, -2, -6, -10, -14, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",-18,"{
    ""question"": ""2, -2, -6, -10, -14, ?"",
    ""answer"": ""-18"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 7,
        ""rule"": ""add -4"",
        ""complexity"": 1,
        ""sequence"": [
            2,
            -2,
            -6,
            -10,
            -14,
            -18
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
8,number_sequence,"1, -2, -6, -10, -14, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",-18,"{
    ""question"": ""1, -2, -6, -10, -14, ?"",
    ""answer"": ""-18"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 8,
        ""rule"": ""add -3 then halve then double"",
        ""complexity"": 2,
        ""sequence"": [
            1,
            -2,
            -6,
            -10,
            -14,
            -18
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
9,number_sequence,"-10, -3, -1, -1, -1, -1, -1, -1, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",-1,"{
    ""question"": ""-10, -3, -1, -1, -1, -1, -1, -1, ?"",
    ""answer"": ""-1"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 9,
        ""rule"": ""halve then halve"",
        ""complexity"": 2,
        ""sequence"": [
            -10,
            -3,
            -1,
            -1,
            -1,
            -1,
            -1,
            -1,
            -1
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
10,number_sequence,"3, 6, 12, 24, 48, 96, 192, 384, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",768,"{
    ""question"": ""3, 6, 12, 24, 48, 96, 192, 384, ?"",
    ""answer"": ""768"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 10,
        ""rule"": ""double"",
        ""complexity"": 3,
        ""sequence"": [
            3,
            6,
            12,
            24,
            48,
            96,
            192,
            384,
            768
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
11,number_sequence,"8, 14, 20, 26, 32, 38, 44, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",50,"{
    ""question"": ""8, 14, 20, 26, 32, 38, 44, ?"",
    ""answer"": ""50"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 11,
        ""rule"": ""add 6"",
        ""complexity"": 1,
        ""sequence"": [
            8,
            14,
            20,
            26,
            32,
            38,
            44,
            50
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
12,number_sequence,"8, 4, 2, 1, 0, 0, 0, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",0,"{
    ""question"": ""8, 4, 2, 1, 0, 0, 0, ?"",
    ""answer"": ""0"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 12,
        ""rule"": ""halve"",
        ""complexity"": 2,
        ""sequence"": [
            8,
            4,
            2,
            1,
            0,
            0,
            0,
            0
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
13,number_sequence,"-6, 15, -6, 15, ?
Output the value of ""?"" enclosed within triple angle brackets, like <<<the value of ""?"">>>.",-6,"{
    ""question"": ""-6, 15, -6, 15, ?"",
    ""answer"": ""-6"",
    ""metadata"": {
        ""source_dataset"": ""number_sequence"",
        ""source_index"": 13,
        ""rule"": ""multiply by -1 then add 9"",
        ""complexity"": 2,
        ""sequence"": [
            -6,
            15,
            -6,
            15,
            -6
        ],
        ""difficulty"": {
            ""max_complexity"": 3
        }
    }
}"
