ID,dataset,question,answer,full_data
0,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 949, 219. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",73,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 949, 219. Give only the GCD as your final answer."",
    ""answer"": ""73"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 0,
        ""numbers"": [
            949,
            219
        ],
        ""result"": 73,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
1,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 668, 927. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",1,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 668, 927. Give only the GCD as your final answer."",
    ""answer"": ""1"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 1,
        ""numbers"": [
            668,
            927
        ],
        ""result"": 1,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
2,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 374, 978. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",2,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 374, 978. Give only the GCD as your final answer."",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 2,
        ""numbers"": [
            374,
            978
        ],
        ""result"": 2,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
3,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 886, 158. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",2,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 886, 158. Give only the GCD as your final answer."",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 3,
        ""numbers"": [
            886,
            158
        ],
        ""result"": 2,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
4,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 60, 22. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",2,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 60, 22. Give only the GCD as your final answer."",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 4,
        ""numbers"": [
            60,
            22
        ],
        ""result"": 2,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
5,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 541, 809. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",1,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 541, 809. Give only the GCD as your final answer."",
    ""answer"": ""1"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 5,
        ""numbers"": [
            541,
            809
        ],
        ""result"": 1,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
6,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 68, 376. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",4,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 68, 376. Give only the GCD as your final answer."",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 6,
        ""numbers"": [
            68,
            376
        ],
        ""result"": 4,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
7,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 200, 226. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",2,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 200, 226. Give only the GCD as your final answer."",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 7,
        ""numbers"": [
            200,
            226
        ],
        ""result"": 2,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
8,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 252, 290. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",2,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 252, 290. Give only the GCD as your final answer."",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 8,
        ""numbers"": [
            252,
            290
        ],
        ""result"": 2,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
9,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 924, 936. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",12,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 924, 936. Give only the GCD as your final answer."",
    ""answer"": ""12"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 9,
        ""numbers"": [
            924,
            936
        ],
        ""result"": 12,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
10,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 26, 760. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",2,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 26, 760. Give only the GCD as your final answer."",
    ""answer"": ""2"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 10,
        ""numbers"": [
            26,
            760
        ],
        ""result"": 2,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
11,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 688, 716. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",4,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 688, 716. Give only the GCD as your final answer."",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 11,
        ""numbers"": [
            688,
            716
        ],
        ""result"": 4,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
12,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 297, 30. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",3,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 297, 30. Give only the GCD as your final answer."",
    ""answer"": ""3"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 12,
        ""numbers"": [
            297,
            30
        ],
        ""result"": 3,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
13,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 428, 500. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",4,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 428, 500. Give only the GCD as your final answer."",
    ""answer"": ""4"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 13,
        ""numbers"": [
            428,
            500
        ],
        ""result"": 4,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
14,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 410, 41. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",41,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 410, 41. Give only the GCD as your final answer."",
    ""answer"": ""41"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 14,
        ""numbers"": [
            410,
            41
        ],
        ""result"": 41,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
15,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 525, 396. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",3,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 525, 396. Give only the GCD as your final answer."",
    ""answer"": ""3"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 15,
        ""numbers"": [
            525,
            396
        ],
        ""result"": 3,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
16,gcd,"Find the Greatest Common Divisor (GCD) of these numbers: 732, 781. Give only the GCD enclosed in triple angle brackets as your final answer, like <<<GCD>>>.",1,"{
    ""question"": ""Find the Greatest Common Divisor (GCD) of these numbers: 732, 781. Give only the GCD as your final answer."",
    ""answer"": ""1"",
    ""metadata"": {
        ""source_dataset"": ""gcd"",
        ""source_index"": 16,
        ""numbers"": [
            732,
            781
        ],
        ""result"": 1,
        ""num_terms"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""max_value"": [
                1,
                1000
            ]
        }
    }
}"
