ID,dataset,question,answer,full_data
0,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + +  
+ % @ X + +  
+ @ @ - X +  
+ - @ - + +  
+ - - - - +  
+ - - X - +  
+ + + + + +  

",RLDRRLDDLUURDDLDR,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + +  \n+ % @ X + +  \n+ @ @ - X +  \n+ - @ - + +  \n+ - - - - +  \n+ - - X - +  \n+ + + + + +  \n\n"",
    ""answer"": ""RLDRRLDDLUURDDLDR"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + +  \n+ % @ X + +  \n+ @ @ - X +  \n+ - @ - + +  \n+ - - - - +  \n+ - - X - +  \n+ + + + + +  \n\n"",
        ""width"": 6,
        ""height"": 7,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 0,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
1,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + + + +  
+ X - - + - - - $ +  
+ - @ - - - - - + +  
+ - - X - - X % + +  
+ - @ - - $ @ @ $ +  
+ - - - - - - - - +  
+ + + + + + + + + +  

",LLLULLDLURDLDRDRURDRRUDRU,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + + + +  \n+ X - - + - - - $ +  \n+ - @ - - - - - + +  \n+ - - X - - X % + +  \n+ - @ - - $ @ @ $ +  \n+ - - - - - - - - +  \n+ + + + + + + + + +  \n\n"",
    ""answer"": ""LLLULLDLURDLDRDRURDRRUDRU"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + + + +  \n+ X - - + - - - $ +  \n+ - @ - - - - - + +  \n+ - - X - - X % + +  \n+ - @ - - $ @ @ $ +  \n+ - - - - - - - - +  \n+ + + + + + + + + +  \n\n"",
        ""width"": 10,
        ""height"": 7,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 1,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
2,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + + + +  
+ * @ - - X X X - +  
+ @ $ @ - @ - @ - +  
+ X X - - - - @ - +  
+ + + @ - X + - - +  
+ + + X - - - - - +  
+ + + + + + + + + +  
+ + + + + + + + + +  

",DURDURRRDDRULLLDDURDDRRRURULUDLLULLDDRUULUR,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + + + +  \n+ * @ - - X X X - +  \n+ @ $ @ - @ - @ - +  \n+ X X - - - - @ - +  \n+ + + @ - X + - - +  \n+ + + X - - - - - +  \n+ + + + + + + + + +  \n+ + + + + + + + + +  \n\n"",
    ""answer"": ""DURDURRRDDRULLLDDURDDRRRURULUDLLULLDDRUULUR"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + + + +  \n+ * @ - - X X X - +  \n+ @ $ @ - @ - @ - +  \n+ X X - - - - @ - +  \n+ + + @ - X + - - +  \n+ + + X - - - - - +  \n+ + + + + + + + + +  \n+ + + + + + + + + +  \n\n"",
        ""width"": 10,
        ""height"": 8,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 2,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
3,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + + + +  
+ + - - - - - + $ +  
+ - - - - - - + + +  
+ X - X - - - $ + +  
+ - @ - - - - + + +  
+ X - @ @ @ + + + +  
+ + X - @ % $ + + +  
+ + + + + + + + + +  

",LLUULULDRRRRDLDLURULDLULUURRDLDDRU,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + + + +  \n+ + - - - - - + $ +  \n+ - - - - - - + + +  \n+ X - X - - - $ + +  \n+ - @ - - - - + + +  \n+ X - @ @ @ + + + +  \n+ + X - @ % $ + + +  \n+ + + + + + + + + +  \n\n"",
    ""answer"": ""LLUULULDRRRRDLDLURULDLULUURRDLDDRU"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + + + +  \n+ + - - - - - + $ +  \n+ - - - - - - + + +  \n+ X - X - - - $ + +  \n+ - @ - - - - + + +  \n+ X - @ @ @ + + + +  \n+ + X - @ % $ + + +  \n+ + + + + + + + + +  \n\n"",
        ""width"": 10,
        ""height"": 8,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 3,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
4,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + +  
+ X + - - - - +  
+ * $ - - @ @ +  
+ - @ @ + X X +  
+ - - X + + + +  
+ + + + + + + +  

",RRDUURRDLLDLDLUUDRRURRURD,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + +  \n+ X + - - - - +  \n+ * $ - - @ @ +  \n+ - @ @ + X X +  \n+ - - X + + + +  \n+ + + + + + + +  \n\n"",
    ""answer"": ""RRDUURRDLLDLDLUUDRRURRURD"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + +  \n+ X + - - - - +  \n+ * $ - - @ @ +  \n+ - @ @ + X X +  \n+ - - X + + + +  \n+ + + + + + + +  \n\n"",
        ""width"": 8,
        ""height"": 6,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 4,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
5,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + + + +  
+ - X - - - - * - +  
+ - @ - @ - - @ - +  
+ - - - - @ X - - +  
+ - $ X - X + $ - +  
+ + + + + + + + + +  

",DLLDULULDDLURRRRRRDL,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + + + +  \n+ - X - - - - * - +  \n+ - @ - @ - - @ - +  \n+ - - - - @ X - - +  \n+ - $ X - X + $ - +  \n+ + + + + + + + + +  \n\n"",
    ""answer"": ""DLLDULULDDLURRRRRRDL"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + + + +  \n+ - X - - - - * - +  \n+ - @ - @ - - @ - +  \n+ - - - - @ X - - +  \n+ - $ X - X + $ - +  \n+ + + + + + + + + +  \n\n"",
        ""width"": 10,
        ""height"": 6,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 5,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
6,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + + +  
+ $ + + - X - * +  
+ + + + - - - - +  
+ - - X - @ X - +  
+ - - X - @ @ - +  
+ - - $ - - - - +  
+ - $ $ - @ - - +  
+ - - - - - - - +  
+ + + + + + + + +  

",LLDLDRLDDRUUUDDDRDLRURULLLDRDDLUUURUL,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + + +  \n+ $ + + - X - * +  \n+ + + + - - - - +  \n+ - - X - @ X - +  \n+ - - X - @ @ - +  \n+ - - $ - - - - +  \n+ - $ $ - @ - - +  \n+ - - - - - - - +  \n+ + + + + + + + +  \n\n"",
    ""answer"": ""LLDLDRLDDRUUUDDDRDLRURULLLDRDDLUUURUL"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + + +  \n+ $ + + - X - * +  \n+ + + + - - - - +  \n+ - - X - @ X - +  \n+ - - X - @ @ - +  \n+ - - $ - - - - +  \n+ - $ $ - @ - - +  \n+ - - - - - - - +  \n+ + + + + + + + +  \n\n"",
        ""width"": 9,
        ""height"": 9,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 6,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
7,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + +  
+ - - % - - +  
+ - X @ @ - +  
+ - - - - - +  
+ - - - @ X +  
+ + + - @ - +  
+ + X $ - - +  
+ + + + + + +  

",RDLDDDRDRULLUUURRDLLDLLURDRUURDLDDRDLUUURDDRDL,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + +  \n+ - - % - - +  \n+ - X @ @ - +  \n+ - - - - - +  \n+ - - - @ X +  \n+ + + - @ - +  \n+ + X $ - - +  \n+ + + + + + +  \n\n"",
    ""answer"": ""RDLDDDRDRULLUUURRDLLDLLURDRUURDLDDRDLUUURDDRDL"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + +  \n+ - - % - - +  \n+ - X @ @ - +  \n+ - - - - - +  \n+ - - - @ X +  \n+ + + - @ - +  \n+ + X $ - - +  \n+ + + + + + +  \n\n"",
        ""width"": 7,
        ""height"": 8,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 7,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
8,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + + + + +  
+ * $ - - - + + +  
+ @ - - - - + + +  
+ X @ @ - - - + +  
+ + X $ - X - + +  
+ + + X - @ @ + +  
+ $ + X - - - - +  
+ + - @ - - - - +  
+ + - - - - - X +  
+ + + + + + + + +  

",DRDRRURDRDDDDUULLDDDLURRDR,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + + + + +  \n+ * $ - - - + + +  \n+ @ - - - - + + +  \n+ X @ @ - - - + +  \n+ + X $ - X - + +  \n+ + + X - @ @ + +  \n+ $ + X - - - - +  \n+ + - @ - - - - +  \n+ + - - - - - X +  \n+ + + + + + + + +  \n\n"",
    ""answer"": ""DRDRRURDRDDDDUULLDDDLURRDR"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + + + + +  \n+ * $ - - - + + +  \n+ @ - - - - + + +  \n+ X @ @ - - - + +  \n+ + X $ - X - + +  \n+ + + X - @ @ + +  \n+ $ + X - - - - +  \n+ + - @ - - - - +  \n+ + - - - - - X +  \n+ + + + + + + + +  \n\n"",
        ""width"": 9,
        ""height"": 10,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 8,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
9,sokoban,"You are going to solve a 'sokoban' puzzle.

* - The player
% - The player on a goal
@ - A box
X - A goal
$ - A box on a goal
+ - A wall
- - An empty position

Your solution must be a string of characters enclosed within triple angle brackets, like <<<a string of characters>>>., ex: LDURRUDL.

Here is your puzzle:
+ + + + + +  
+ - - - - +  
+ - X - - +  
+ @ @ - - +  
+ % @ X $ +  
+ + + + + +  

",RURUULLDD,"{
    ""question"": ""You are going to solve a 'sokoban' puzzle.\n\n* - The player\n% - The player on a goal\n@ - A box\nX - A goal\n$ - A box on a goal\n+ - A wall\n- - An empty position\n\nYour solution must be a string of characters, ex: LDURRUDL.\n\nHere is your puzzle:\n+ + + + + +  \n+ - - - - +  \n+ - X - - +  \n+ @ @ - - +  \n+ % @ X $ +  \n+ + + + + +  \n\n"",
    ""answer"": ""RURUULLDD"",
    ""metadata"": {
        ""gamestr"": ""+ + + + + +  \n+ - - - - +  \n+ - X - - +  \n+ @ @ - - +  \n+ % @ X $ +  \n+ + + + + +  \n\n"",
        ""width"": 6,
        ""height"": 6,
        ""difficulty"": {
            ""source_dataset"": ""sokoban"",
            ""source_index"": 9,
            ""width"": [
                6,
                10
            ],
            ""height"": [
                6,
                10
            ]
        }
    }
}"
