ID,dataset,question,answer,full_data
0,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: mofr uecyrrM eunVs and raMs
",from Mercury Venus and Mars,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: mofr uecyrrM eunVs and raMs\n"",
    ""answer"": ""from Mercury Venus and Mars"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 0,
        ""num_words"": 5,
        ""corruption_level"": 0.8411980522490549,
        ""scrambled_words"": [
            ""mofr"",
            ""uecyrrM"",
            ""eunVs"",
            ""and"",
            ""raMs""
        ],
        ""original_words"": [
            ""from"",
            ""Mercury"",
            ""Venus"",
            ""and"",
            ""Mars""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
1,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: hWy nto rM imSth adncvade ot hte yuong
",Why not Mr Smith advanced to the young,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: hWy nto rM imSth adncvade ot hte yuong\n"",
    ""answer"": ""Why not Mr Smith advanced to the young"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 1,
        ""num_words"": 8,
        ""corruption_level"": 0.6057863964630228,
        ""scrambled_words"": [
            ""hWy"",
            ""nto"",
            ""rM"",
            ""imSth"",
            ""adncvade"",
            ""ot"",
            ""hte"",
            ""yuong""
        ],
        ""original_words"": [
            ""Why"",
            ""not"",
            ""Mr"",
            ""Smith"",
            ""advanced"",
            ""to"",
            ""the"",
            ""young""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
2,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: dna psihacyl efrcos penedd no eht omde fo viirnbtoa fo hte erheitc ptrlicsea whcih si fro aech sceciiafplly difrnfeet
",and physical forces depend on the mode of vibration of the etheric particles which is for each specifically different,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: dna psihacyl efrcos penedd no eht omde fo viirnbtoa fo hte erheitc ptrlicsea whcih si fro aech sceciiafplly difrnfeet\n"",
    ""answer"": ""and physical forces depend on the mode of vibration of the etheric particles which is for each specifically different"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 2,
        ""num_words"": 19,
        ""corruption_level"": 0.38565768352596075,
        ""scrambled_words"": [
            ""dna"",
            ""psihacyl"",
            ""efrcos"",
            ""penedd"",
            ""no"",
            ""eht"",
            ""omde"",
            ""fo"",
            ""viirnbtoa"",
            ""fo"",
            ""hte"",
            ""erheitc"",
            ""ptrlicsea"",
            ""whcih"",
            ""si"",
            ""fro"",
            ""aech"",
            ""sceciiafplly"",
            ""difrnfeet""
        ],
        ""original_words"": [
            ""and"",
            ""physical"",
            ""forces"",
            ""depend"",
            ""on"",
            ""the"",
            ""mode"",
            ""of"",
            ""vibration"",
            ""of"",
            ""the"",
            ""etheric"",
            ""particles"",
            ""which"",
            ""is"",
            ""for"",
            ""each"",
            ""specifically"",
            ""different""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
3,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: rM Smtih inntsouec ihs dounr nad tneers eht rpotreers ahll reHe rreoptesr ni theri eesprcteiv slpcea gacnif na eauql buenmr
",Mr Smith continues his round and enters the reporters hall Here reporters in their respective places facing an equal number,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: rM Smtih inntsouec ihs dounr nad tneers eht rpotreers ahll reHe rreoptesr ni theri eesprcteiv slpcea gacnif na eauql buenmr\n"",
    ""answer"": ""Mr Smith continues his round and enters the reporters hall Here reporters in their respective places facing an equal number"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 3,
        ""num_words"": 20,
        ""corruption_level"": 0.3682958409222421,
        ""scrambled_words"": [
            ""rM"",
            ""Smtih"",
            ""inntsouec"",
            ""ihs"",
            ""dounr"",
            ""nad"",
            ""tneers"",
            ""eht"",
            ""rpotreers"",
            ""ahll"",
            ""reHe"",
            ""rreoptesr"",
            ""ni"",
            ""theri"",
            ""eesprcteiv"",
            ""slpcea"",
            ""gacnif"",
            ""na"",
            ""eauql"",
            ""buenmr""
        ],
        ""original_words"": [
            ""Mr"",
            ""Smith"",
            ""continues"",
            ""his"",
            ""round"",
            ""and"",
            ""enters"",
            ""the"",
            ""reporters"",
            ""hall"",
            ""Here"",
            ""reporters"",
            ""in"",
            ""their"",
            ""respective"",
            ""places"",
            ""facing"",
            ""an"",
            ""equal"",
            ""number""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
4,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: rohses rewe eht oyln menas fo conveyenca Thikn fo hte rialroads fo teh
",horses were the only means of conveyance Think of the railroads of the,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: rohses rewe eht oyln menas fo conveyenca Thikn fo hte rialroads fo teh\n"",
    ""answer"": ""horses were the only means of conveyance Think of the railroads of the"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 4,
        ""num_words"": 13,
        ""corruption_level"": 0.1466958104563589,
        ""scrambled_words"": [
            ""rohses"",
            ""rewe"",
            ""eht"",
            ""oyln"",
            ""menas"",
            ""fo"",
            ""conveyenca"",
            ""Thikn"",
            ""fo"",
            ""hte"",
            ""rialroads"",
            ""fo"",
            ""teh""
        ],
        ""original_words"": [
            ""horses"",
            ""were"",
            ""the"",
            ""only"",
            ""means"",
            ""of"",
            ""conveyance"",
            ""Think"",
            ""of"",
            ""the"",
            ""railroads"",
            ""of"",
            ""the""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
5,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: nstaodino ni olcatosni eehrw ew
",donations in locations where we,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: nstaodino ni olcatosni eehrw ew\n"",
    ""answer"": ""donations in locations where we"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 5,
        ""num_words"": 5,
        ""corruption_level"": 0.848250810014107,
        ""scrambled_words"": [
            ""nstaodino"",
            ""ni"",
            ""olcatosni"",
            ""eehrw"",
            ""ew""
        ],
        ""original_words"": [
            ""donations"",
            ""in"",
            ""locations"",
            ""where"",
            ""we""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
6,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: ubt fo seytyedar A vulalbae enointivn ineedd dna rM miSth shit nnomirg wsa nto nggiard fo
",but of yesterday A valuable invention indeed and Mr Smith this morning was not niggard of,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: ubt fo seytyedar A vulalbae enointivn ineedd dna rM miSth shit nnomirg wsa nto nggiard fo\n"",
    ""answer"": ""but of yesterday A valuable invention indeed and Mr Smith this morning was not niggard of"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 6,
        ""num_words"": 16,
        ""corruption_level"": 0.4432167873055245,
        ""scrambled_words"": [
            ""ubt"",
            ""fo"",
            ""seytyedar"",
            ""A"",
            ""vulalbae"",
            ""enointivn"",
            ""ineedd"",
            ""dna"",
            ""rM"",
            ""miSth"",
            ""shit"",
            ""nnomirg"",
            ""wsa"",
            ""nto"",
            ""nggiard"",
            ""fo""
        ],
        ""original_words"": [
            ""but"",
            ""of"",
            ""yesterday"",
            ""A"",
            ""valuable"",
            ""invention"",
            ""indeed"",
            ""and"",
            ""Mr"",
            ""Smith"",
            ""this"",
            ""morning"",
            ""was"",
            ""not"",
            ""niggard"",
            ""of""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
7,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: sa amn himself rtecleicity aws knwon reays aog nad
",as man himself electricity was known years ago and,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: sa amn himself rtecleicity aws knwon reays aog nad\n"",
    ""answer"": ""as man himself electricity was known years ago and"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 7,
        ""num_words"": 9,
        ""corruption_level"": 0.30773101082681364,
        ""scrambled_words"": [
            ""sa"",
            ""amn"",
            ""himself"",
            ""rtecleicity"",
            ""aws"",
            ""knwon"",
            ""reays"",
            ""aog"",
            ""nad""
        ],
        ""original_words"": [
            ""as"",
            ""man"",
            ""himself"",
            ""electricity"",
            ""was"",
            ""known"",
            ""years"",
            ""ago"",
            ""and""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
8,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: iMehalc S arHt wsa eht iigortaron fo eht jrcPeto Gutnrbege ecntopc fo a iralbry fo eneriloctc skrow
",Michael S Hart was the originator of the Project Gutenberg concept of a library of electronic works,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: iMehalc S arHt wsa eht iigortaron fo eht jrcPeto Gutnrbege ecntopc fo a iralbry fo eneriloctc skrow\n"",
    ""answer"": ""Michael S Hart was the originator of the Project Gutenberg concept of a library of electronic works"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 8,
        ""num_words"": 17,
        ""corruption_level"": 0.5635901265017265,
        ""scrambled_words"": [
            ""iMehalc"",
            ""S"",
            ""arHt"",
            ""wsa"",
            ""eht"",
            ""iigortaron"",
            ""fo"",
            ""eht"",
            ""jrcPeto"",
            ""Gutnrbege"",
            ""ecntopc"",
            ""fo"",
            ""a"",
            ""iralbry"",
            ""fo"",
            ""eneriloctc"",
            ""skrow""
        ],
        ""original_words"": [
            ""Michael"",
            ""S"",
            ""Hart"",
            ""was"",
            ""the"",
            ""originator"",
            ""of"",
            ""the"",
            ""Project"",
            ""Gutenberg"",
            ""concept"",
            ""of"",
            ""a"",
            ""library"",
            ""of"",
            ""electronic"",
            ""works""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
9,letter_jumble,"Your task is to unsramble words in a sentence.

For each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.

The order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).

Your output should be a sentence with the words unscrambled, and enclose the sentence in triple angle brackets, like <<<sentence>>>.

Now, unscramble these words: fo sntreeit ot ady Indeed ew ahve wnsaered Coyoel ehT lenmeets fo Opsmluy era tleidinivefy
",of interest to day Indeed we have answered Cooley The elements of Olympus are definitively,"{
    ""question"": ""Your task is to unsramble words in a sentence.\n\nFor each word in a sentence, the letter may have been randomly shuffled. Your task is to unscramble the words.\n\nThe order of the words in the sentence is preserved. Moreover, the style of the sentence is preserved (i.e. punctuation, capitalization, new lines, etc.).\n\nYour output should be a sentence with the words unscrambled.\n\nNow, unscramble these words: fo sntreeit ot ady Indeed ew ahve wnsaered Coyoel ehT lenmeets fo Opsmluy era tleidinivefy\n"",
    ""answer"": ""of interest to day Indeed we have answered Cooley The elements of Olympus are definitively"",
    ""metadata"": {
        ""source_dataset"": ""letter_jumble"",
        ""source_index"": 9,
        ""num_words"": 15,
        ""corruption_level"": 0.36577982443999757,
        ""scrambled_words"": [
            ""fo"",
            ""sntreeit"",
            ""ot"",
            ""ady"",
            ""Indeed"",
            ""ew"",
            ""ahve"",
            ""wnsaered"",
            ""Coyoel"",
            ""ehT"",
            ""lenmeets"",
            ""fo"",
            ""Opsmluy"",
            ""era"",
            ""tleidinivefy""
        ],
        ""original_words"": [
            ""of"",
            ""interest"",
            ""to"",
            ""day"",
            ""Indeed"",
            ""we"",
            ""have"",
            ""answered"",
            ""Cooley"",
            ""The"",
            ""elements"",
            ""of"",
            ""Olympus"",
            ""are"",
            ""definitively""
        ],
        ""difficulty"": {
            ""word_len"": [
                1,
                64
            ],
            ""words"": [
                3,
                20
            ],
            ""corruption_level"": [
                0.1,
                0.9
            ]
        }
    }
}"
