ID,dataset,question,answer,full_data
0,basic_arithmetic,"Calculate -22 - -93.
Output final answer with the format <<<answer>>>",71,"{
    ""question"": ""Calculate -22 - -93."",
    ""answer"": ""71"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 0,
        ""expression"": ""-22 - -93"",
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
1,basic_arithmetic,"Calculate -29 - 67 * 36 + 67 * 29 - 76.
Output final answer with the format <<<answer>>>",-574,"{
    ""question"": ""Calculate -29 - 67 * 36 + 67 * 29 - 76."",
    ""answer"": ""-574"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 1,
        ""expression"": ""-29 - 67 * 36 + 67 * 29 - 76"",
        ""num_terms"": 6,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
2,basic_arithmetic,"Calculate -530 + 807 - -253 + -131 - -301 + -802.
Output final answer with the format <<<answer>>>",-102,"{
    ""question"": ""Calculate -530 + 807 - -253 + -131 - -301 + -802."",
    ""answer"": ""-102"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 2,
        ""expression"": ""-530 + 807 - -253 + -131 - -301 + -802"",
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
3,basic_arithmetic,"Calculate -( -483 * -873 ) * -( -253 + -802 / 2 ) + 383.
Output final answer with the format <<<answer>>>",-275764603,"{
    ""question"": ""Calculate -( -483 * -873 ) * -( -253 + -802 / 2 ) + 383."",
    ""answer"": ""-275764603"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 3,
        ""expression"": ""-( -483 * -873 ) * -( -253 + -802 / 2 ) + 383"",
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
4,basic_arithmetic,"Calculate 0 + 7 - -1 / 1.
Output final answer with the format <<<answer>>>",8,"{
    ""question"": ""Calculate 0 + 7 - -1 / 1."",
    ""answer"": ""8"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 4,
        ""expression"": ""0 + 7 - -1 / 1"",
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
5,basic_arithmetic,"Calculate -( 2 - 7 + 5 * 0 - 4 ) / 1.
Output final answer with the format <<<answer>>>",9,"{
    ""question"": ""Calculate -( 2 - 7 + 5 * 0 - 4 ) / 1."",
    ""answer"": ""9"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 5,
        ""expression"": ""-( 2 - 7 + 5 * 0 - 4 ) / 1"",
        ""num_terms"": 6,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
6,basic_arithmetic,"Calculate -7829 * 9925 * -4426 * 1291 - -1252.
Output final answer with the format <<<answer>>>",443991300155202,"{
    ""question"": ""Calculate -7829 * 9925 * -4426 * 1291 - -1252."",
    ""answer"": ""443991300155202"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 6,
        ""expression"": ""-7829 * 9925 * -4426 * 1291 - -1252"",
        ""num_terms"": 5,
        ""num_digits"": 4,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
7,basic_arithmetic,"Calculate -548 - 493 + 386.
Output final answer with the format <<<answer>>>",-655,"{
    ""question"": ""Calculate -548 - 493 + 386."",
    ""answer"": ""-655"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 7,
        ""expression"": ""-548 - 493 + 386"",
        ""num_terms"": 3,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
8,basic_arithmetic,"Calculate -3 + 2 * -9 * -5 + -3.
Output final answer with the format <<<answer>>>",84,"{
    ""question"": ""Calculate -3 + 2 * -9 * -5 + -3."",
    ""answer"": ""84"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 8,
        ""expression"": ""-3 + 2 * -9 * -5 + -3"",
        ""num_terms"": 5,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
9,basic_arithmetic,"Calculate -( -( 499 * -980 ) ) - ( -693 * -472 + 607 ).
Output final answer with the format <<<answer>>>",-816723,"{
    ""question"": ""Calculate -( -( 499 * -980 ) ) - ( -693 * -472 + 607 )."",
    ""answer"": ""-816723"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 9,
        ""expression"": ""-( -( 499 * -980 ) ) - ( -693 * -472 + 607 )"",
        ""num_terms"": 5,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
10,basic_arithmetic,"Calculate -5 * -6.
Output final answer with the format <<<answer>>>",30,"{
    ""question"": ""Calculate -5 * -6."",
    ""answer"": ""30"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 10,
        ""expression"": ""-5 * -6"",
        ""num_terms"": 2,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
11,basic_arithmetic,"Calculate 965 / 5.
Output final answer with the format <<<answer>>>",193,"{
    ""question"": ""Calculate 965 / 5."",
    ""answer"": ""193"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 11,
        ""expression"": ""965 / 5"",
        ""num_terms"": 2,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
12,basic_arithmetic,"Calculate 0 + -2 + -4 * 0 * 3.
Output final answer with the format <<<answer>>>",-2,"{
    ""question"": ""Calculate 0 + -2 + -4 * 0 * 3."",
    ""answer"": ""-2"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 12,
        ""expression"": ""0 + -2 + -4 * 0 * 3"",
        ""num_terms"": 5,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
13,basic_arithmetic,"Calculate -65 - -9292 + 5869 + -6236.
Output final answer with the format <<<answer>>>",8860,"{
    ""question"": ""Calculate -65 - -9292 + 5869 + -6236."",
    ""answer"": ""8860"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 13,
        ""expression"": ""-65 - -9292 + 5869 + -6236"",
        ""num_terms"": 4,
        ""num_digits"": 4,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
14,basic_arithmetic,"Calculate 9288 - 9128.
Output final answer with the format <<<answer>>>",160,"{
    ""question"": ""Calculate 9288 - 9128."",
    ""answer"": ""160"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 14,
        ""expression"": ""9288 - 9128"",
        ""num_terms"": 2,
        ""num_digits"": 4,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
15,basic_arithmetic,"Calculate -( ( 4 + -9 * 8 ) + 9 ).
Output final answer with the format <<<answer>>>",59,"{
    ""question"": ""Calculate -( ( 4 + -9 * 8 ) + 9 )."",
    ""answer"": ""59"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 15,
        ""expression"": ""-( ( 4 + -9 * 8 ) + 9 )"",
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
16,basic_arithmetic,"Calculate -( 463 / 1 ) - 10 - 562 - -849 - -869.
Output final answer with the format <<<answer>>>",683,"{
    ""question"": ""Calculate -( 463 / 1 ) - 10 - 562 - -849 - -869."",
    ""answer"": ""683"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 16,
        ""expression"": ""-( 463 / 1 ) - 10 - 562 - -849 - -869"",
        ""num_terms"": 6,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
17,basic_arithmetic,"Calculate ( 393 + -683 ).
Output final answer with the format <<<answer>>>",-290,"{
    ""question"": ""Calculate ( 393 + -683 )."",
    ""answer"": ""-290"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 17,
        ""expression"": ""( 393 + -683 )"",
        ""num_terms"": 2,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
18,basic_arithmetic,"Calculate ( ( 141 + 906 ) - 691 ) + -612 + 992.
Output final answer with the format <<<answer>>>",736,"{
    ""question"": ""Calculate ( ( 141 + 906 ) - 691 ) + -612 + 992."",
    ""answer"": ""736"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 18,
        ""expression"": ""( ( 141 + 906 ) - 691 ) + -612 + 992"",
        ""num_terms"": 5,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
19,basic_arithmetic,"Calculate -40 * ( ( -98 + -92 ) ).
Output final answer with the format <<<answer>>>",7600,"{
    ""question"": ""Calculate -40 * ( ( -98 + -92 ) )."",
    ""answer"": ""7600"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 19,
        ""expression"": ""-40 * ( ( -98 + -92 ) )"",
        ""num_terms"": 3,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
20,basic_arithmetic,"Calculate ( -5 - -( ( -2 + -4 ) ) - -2 ).
Output final answer with the format <<<answer>>>",-9,"{
    ""question"": ""Calculate ( -5 - -( ( -2 + -4 ) ) - -2 )."",
    ""answer"": ""-9"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 20,
        ""expression"": ""( -5 - -( ( -2 + -4 ) ) - -2 )"",
        ""num_terms"": 4,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
21,basic_arithmetic,"Calculate ( -( -56 * -33 + -87 ) * 13 ) - -67 - 30.
Output final answer with the format <<<answer>>>",-22856,"{
    ""question"": ""Calculate ( -( -56 * -33 + -87 ) * 13 ) - -67 - 30."",
    ""answer"": ""-22856"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 21,
        ""expression"": ""( -( -56 * -33 + -87 ) * 13 ) - -67 - 30"",
        ""num_terms"": 6,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
22,basic_arithmetic,"Calculate 5976 - -2823 - 816.
Output final answer with the format <<<answer>>>",7983,"{
    ""question"": ""Calculate 5976 - -2823 - 816."",
    ""answer"": ""7983"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 22,
        ""expression"": ""5976 - -2823 - 816"",
        ""num_terms"": 3,
        ""num_digits"": 4,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
23,basic_arithmetic,"Calculate 90 * 92.
Output final answer with the format <<<answer>>>",8280,"{
    ""question"": ""Calculate 90 * 92."",
    ""answer"": ""8280"",
    ""metadata"": {
        ""source_dataset"": ""basic_arithmetic"",
        ""source_index"": 23,
        ""expression"": ""90 * 92"",
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                6
            ],
            ""num_digits"": [
                1,
                4
            ]
        }
    }
}"
