ID,dataset,question,answer,full_data
0,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
(2.370*8.131) = ?
Output final answer with the format <<<answer>>>.",19.27047,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n(2.370*8.131) = ?"",
    ""answer"": ""19.27047"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 0,
        ""decimal_places"": 3,
        ""num_terms"": 2,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
1,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
((3.822*8.728)-(8.656/4.624)+6.780*0.862) = ?
Output final answer with the format <<<answer>>>.",37.3308036817,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n((3.822*8.728)-(8.656/4.624)+6.780*0.862) = ?"",
    ""answer"": ""37.3308036817"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 1,
        ""decimal_places"": 3,
        ""num_terms"": 6,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
2,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
(9.597+0.491)/(1.058/5.590)+(1.581*0.025) = ?
Output final answer with the format <<<answer>>>.",53.3400164934,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n(9.597+0.491)/(1.058/5.590)+(1.581*0.025) = ?"",
    ""answer"": ""53.3400164934"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 2,
        ""decimal_places"": 3,
        ""num_terms"": 6,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
3,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
((2.159*4.685/9.286)+(6.007+0.142+8.115)) = ?
Output final answer with the format <<<answer>>>.",15.3532650226,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n((2.159*4.685/9.286)+(6.007+0.142+8.115)) = ?"",
    ""answer"": ""15.3532650226"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 3,
        ""decimal_places"": 3,
        ""num_terms"": 6,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
4,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
0.342*0.007-4.415/9.177 = ?
Output final answer with the format <<<answer>>>.",-0.478700039446,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n0.342*0.007-4.415/9.177 = ?"",
    ""answer"": ""-0.478700039446"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 4,
        ""decimal_places"": 3,
        ""num_terms"": 4,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
5,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
(((8.439+7.172+9.842)*6.935/0.812)+1.232) = ?
Output final answer with the format <<<answer>>>.",218.616919951,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n(((8.439+7.172+9.842)*6.935/0.812)+1.232) = ?"",
    ""answer"": ""218.616919951"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 5,
        ""decimal_places"": 3,
        ""num_terms"": 6,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
6,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
((1.665+7.592)*9.963-5.375)*5.044 = ?
Output final answer with the format <<<answer>>>.",438.083964604,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n((1.665+7.592)*9.963-5.375)*5.044 = ?"",
    ""answer"": ""438.083964604"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 6,
        ""decimal_places"": 3,
        ""num_terms"": 5,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
7,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
(6.315+3.614)/4.173 = ?
Output final answer with the format <<<answer>>>.",2.37934339803,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n(6.315+3.614)/4.173 = ?"",
    ""answer"": ""2.37934339803"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 7,
        ""decimal_places"": 3,
        ""num_terms"": 3,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
8,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
(4.019*2.104)*((7.222+0.972)-0.872) = ?
Output final answer with the format <<<answer>>>.",61.914656272,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n(4.019*2.104)*((7.222+0.972)-0.872) = ?"",
    ""answer"": ""61.914656272"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 8,
        ""decimal_places"": 3,
        ""num_terms"": 5,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
9,decimal_arithmetic,"Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.
(3.781-(9.469*6.284))+0.301/2.455 = ?
Output final answer with the format <<<answer>>>.",-55.5995890754,"{
    ""question"": ""Please solve this problem to a maximum of 12 significant digits, rounding up from the half. Only reply with the final value.\n(3.781-(9.469*6.284))+0.301/2.455 = ?"",
    ""answer"": ""-55.5995890754"",
    ""metadata"": {
        ""source_dataset"": ""decimal_arithmetic"",
        ""source_index"": 9,
        ""decimal_places"": 3,
        ""num_terms"": 5,
        ""difficulty"": {
            ""decimal_places"": [
                3,
                3
            ],
            ""num_terms"": [
                2,
                6
            ]
        }
    }
}"
