ID,dataset,question,answer,full_data
0,products,"Solve the following multiplication: 28 * 48. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",1344,"{
    ""question"": ""Solve the following multiplication: 28 * 48. Give only the result as your final answer."",
    ""answer"": ""1344"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 0,
        ""expression"": ""28 * 48"",
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
1,products,"Solve the following multiplication: 45 * 71. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",3195,"{
    ""question"": ""Solve the following multiplication: 45 * 71. Give only the result as your final answer."",
    ""answer"": ""3195"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 1,
        ""expression"": ""45 * 71"",
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
2,products,"Solve the following multiplication: 13627 * 40056. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",545843112,"{
    ""question"": ""Solve the following multiplication: 13627 * 40056. Give only the result as your final answer."",
    ""answer"": ""545843112"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 2,
        ""expression"": ""13627 * 40056"",
        ""num_terms"": 2,
        ""num_digits"": 5,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
3,products,"Solve the following multiplication: 53 * 29. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",1537,"{
    ""question"": ""Solve the following multiplication: 53 * 29. Give only the result as your final answer."",
    ""answer"": ""1537"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 3,
        ""expression"": ""53 * 29"",
        ""num_terms"": 2,
        ""num_digits"": 2,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
4,products,"Solve the following multiplication: 0 * 4. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",0,"{
    ""question"": ""Solve the following multiplication: 0 * 4. Give only the result as your final answer."",
    ""answer"": ""0"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 4,
        ""expression"": ""0 * 4"",
        ""num_terms"": 2,
        ""num_digits"": 1,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
5,products,"Solve the following multiplication: 97219 * 93155. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",9056435945,"{
    ""question"": ""Solve the following multiplication: 97219 * 93155. Give only the result as your final answer."",
    ""answer"": ""9056435945"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 5,
        ""expression"": ""97219 * 93155"",
        ""num_terms"": 2,
        ""num_digits"": 5,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
6,products,"Solve the following multiplication: 2664 * 2085. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",5554440,"{
    ""question"": ""Solve the following multiplication: 2664 * 2085. Give only the result as your final answer."",
    ""answer"": ""5554440"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 6,
        ""expression"": ""2664 * 2085"",
        ""num_terms"": 2,
        ""num_digits"": 4,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
7,products,"Solve the following multiplication: 494 * 126. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",62244,"{
    ""question"": ""Solve the following multiplication: 494 * 126. Give only the result as your final answer."",
    ""answer"": ""62244"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 7,
        ""expression"": ""494 * 126"",
        ""num_terms"": 2,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
8,products,"Solve the following multiplication: 78678 * 14174. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",1115181972,"{
    ""question"": ""Solve the following multiplication: 78678 * 14174. Give only the result as your final answer."",
    ""answer"": ""1115181972"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 8,
        ""expression"": ""78678 * 14174"",
        ""num_terms"": 2,
        ""num_digits"": 5,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
9,products,"Solve the following multiplication: 336 * 270. Give the result enclosed within triple angle brackets as your final answer, like <<<result>>>..",90720,"{
    ""question"": ""Solve the following multiplication: 336 * 270. Give only the result as your final answer."",
    ""answer"": ""90720"",
    ""metadata"": {
        ""source_dataset"": ""products"",
        ""source_index"": 9,
        ""expression"": ""336 * 270"",
        ""num_terms"": 2,
        ""num_digits"": 3,
        ""difficulty"": {
            ""num_terms"": [
                2,
                2
            ],
            ""num_digits"": [
                1,
                5
            ]
        }
    }
}"
