ID,dataset,question,answer,full_data
0,time_intervals,"A meeting started at 06:09 and ended at 18:52. How long was the meeting? Answer in HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",12:43,"{
    ""question"": ""A meeting started at 06:09 and ended at 18:52. How long was the meeting? Answer in HH:MM."",
    ""answer"": ""12:43"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 0,
        ""task_type"": ""time"",
        ""start_time"": ""2025-05-01 06:09:00"",
        ""end_time"": ""2025-05-01 18:52:00"",
        ""format"": ""%H:%M"",
        ""expected_format"": ""HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
1,time_intervals,"A conference call began at 2298-01-14 15:41 -0700 and ended at 2298-03-24 10:53 +0800. How long was the conference? Answer in D days, HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","68 days, 04:12","{
    ""question"": ""A conference call began at 2298-01-14 15:41 -0700 and ended at 2298-03-24 10:53 +0800. How long was the conference? Answer in D days, HH:MM."",
    ""answer"": ""68 days, 04:12"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 1,
        ""task_type"": ""datetime"",
        ""start_time"": ""2298-01-14 15:41:00-07:00"",
        ""end_time"": ""2298-03-24 10:53:00+08:00"",
        ""format"": ""%Y-%m-%d %H:%M %z"",
        ""expected_format"": ""D days, HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
2,time_intervals,"A flight departed at Mon Mar 02 2229 00:56:24 and arrived at Fri Apr 17 2229 03:17:28. How long was the flight? Answer in D days, HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","46 days, 02:21","{
    ""question"": ""A flight departed at Mon Mar 02 2229 00:56:24 and arrived at Fri Apr 17 2229 03:17:28. How long was the flight? Answer in D days, HH:MM."",
    ""answer"": ""46 days, 02:21"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 2,
        ""task_type"": ""datetime"",
        ""start_time"": ""2229-03-02 00:56:24"",
        ""end_time"": ""2229-04-17 03:17:28"",
        ""format"": ""%a %b %d %Y %H:%M:%S"",
        ""expected_format"": ""D days, HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
3,time_intervals,"A system operation started at Sun Sep 20 2972 10:55:09 and completed at Tue Oct 27 2972 02:38:17. What was the operation duration? Answer in D days, HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","36 days, 15:43","{
    ""question"": ""A system operation started at Sun Sep 20 2972 10:55:09 and completed at Tue Oct 27 2972 02:38:17. What was the operation duration? Answer in D days, HH:MM."",
    ""answer"": ""36 days, 15:43"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 3,
        ""task_type"": ""datetime"",
        ""start_time"": ""2972-09-20 10:55:09"",
        ""end_time"": ""2972-10-27 02:38:17"",
        ""format"": ""%a %b %d %Y %H:%M:%S"",
        ""expected_format"": ""D days, HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
4,time_intervals,"What is the duration between 01:01:51.896 and 11:23:19.976? Please answer in HH:MM:SS.mmm.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",10:21:28.080,"{
    ""question"": ""What is the duration between 01:01:51.896 and 11:23:19.976? Please answer in HH:MM:SS.mmm."",
    ""answer"": ""10:21:28.080"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 4,
        ""task_type"": ""time_ms"",
        ""start_time"": ""2025-05-01 01:01:51.896000"",
        ""end_time"": ""2025-05-01 11:23:19.976000"",
        ""format"": ""%H:%M:%S.%f"",
        ""expected_format"": ""HH:MM:SS.mmm"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
5,time_intervals,"A conference call began at 2805-10-28 11:28:33 and ended at 2805-11-11 04:06:34. How long was the conference? Answer in D days, HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","13 days, 16:38","{
    ""question"": ""A conference call began at 2805-10-28 11:28:33 and ended at 2805-11-11 04:06:34. How long was the conference? Answer in D days, HH:MM."",
    ""answer"": ""13 days, 16:38"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 5,
        ""task_type"": ""datetime_tz"",
        ""start_time"": ""2805-10-28 11:28:33"",
        ""end_time"": ""2805-11-11 04:06:34"",
        ""format"": ""%Y-%m-%d %H:%M:%S"",
        ""expected_format"": ""D days, HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
6,time_intervals,"A database query started at 22 January 2983, 23:06 and ended at 10 March 2983, 15:58. How long did the query take? Answer in D days, HH:MM:SS.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","46 days, 16:52:00","{
    ""question"": ""A database query started at 22 January 2983, 23:06 and ended at 10 March 2983, 15:58. How long did the query take? Answer in D days, HH:MM:SS."",
    ""answer"": ""46 days, 16:52:00"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 6,
        ""task_type"": ""datetime_tz"",
        ""start_time"": ""2983-01-22 23:06:00"",
        ""end_time"": ""2983-03-10 15:58:00"",
        ""format"": ""%d %B %Y, %H:%M"",
        ""expected_format"": ""D days, HH:MM:SS"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
7,time_intervals,"A meeting started at 08:24:01 and ended at 11:57:05. How long was the meeting? Answer in HH:MM:SS.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",03:33:04,"{
    ""question"": ""A meeting started at 08:24:01 and ended at 11:57:05. How long was the meeting? Answer in HH:MM:SS."",
    ""answer"": ""03:33:04"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 7,
        ""task_type"": ""time_seconds"",
        ""start_time"": ""2025-05-01 08:24:01"",
        ""end_time"": ""2025-05-01 11:57:05"",
        ""format"": ""%H:%M:%S"",
        ""expected_format"": ""HH:MM:SS"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
8,time_intervals,"A meeting started at Fri Feb 20 2652 and ended at Tue Feb 24 2652. How long was the meeting? Answer in D days.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",4 days,"{
    ""question"": ""A meeting started at Fri Feb 20 2652 and ended at Tue Feb 24 2652. How long was the meeting? Answer in D days."",
    ""answer"": ""4 days"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 8,
        ""task_type"": ""date"",
        ""start_time"": ""2652-02-20 00:00:00"",
        ""end_time"": ""2652-02-24 00:00:00"",
        ""format"": ""%a %b %d %Y"",
        ""expected_format"": ""D days"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
9,time_intervals,"A flight departed at 03/10/2231 and arrived at 03/31/2231. How long was the flight? Answer in D days.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",21 days,"{
    ""question"": ""A flight departed at 03/10/2231 and arrived at 03/31/2231. How long was the flight? Answer in D days."",
    ""answer"": ""21 days"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 9,
        ""task_type"": ""date"",
        ""start_time"": ""2231-03-10 00:00:00"",
        ""end_time"": ""2231-03-31 00:00:00"",
        ""format"": ""%m/%d/%Y"",
        ""expected_format"": ""D days"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
10,time_intervals,"A system backup started at 2964-06-17 08:15:14 and completed at 2964-07-04 11:59:09. What was the total backup duration? Answer in D days, HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","17 days, 03:43","{
    ""question"": ""A system backup started at 2964-06-17 08:15:14 and completed at 2964-07-04 11:59:09. What was the total backup duration? Answer in D days, HH:MM."",
    ""answer"": ""17 days, 03:43"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 10,
        ""task_type"": ""datetime_tz"",
        ""start_time"": ""2964-06-17 08:15:14"",
        ""end_time"": ""2964-07-04 11:59:09"",
        ""format"": ""%Y-%m-%d %H:%M:%S"",
        ""expected_format"": ""D days, HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
11,time_intervals,"A video call started at 09:44 and ended at 12:22. How long was the call? Answer in HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",02:38,"{
    ""question"": ""A video call started at 09:44 and ended at 12:22. How long was the call? Answer in HH:MM."",
    ""answer"": ""02:38"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 11,
        ""task_type"": ""time"",
        ""start_time"": ""2025-05-01 09:44:00"",
        ""end_time"": ""2025-05-01 12:22:00"",
        ""format"": ""%H:%M"",
        ""expected_format"": ""HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
12,time_intervals,"Calculate the time difference between Sat Dec 22 2677 and Thu Mar 21 2678. Express the result in D days.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",89 days,"{
    ""question"": ""Calculate the time difference between Sat Dec 22 2677 and Thu Mar 21 2678. Express the result in D days."",
    ""answer"": ""89 days"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 12,
        ""task_type"": ""date"",
        ""start_time"": ""2677-12-22 00:00:00"",
        ""end_time"": ""2678-03-21 00:00:00"",
        ""format"": ""%a %b %d %Y"",
        ""expected_format"": ""D days"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
13,time_intervals,"What is the duration between 13:31:16.310 and 15:00:43.656? Please answer in HH:MM:SS.mmm.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",01:29:27.345,"{
    ""question"": ""What is the duration between 13:31:16.310 and 15:00:43.656? Please answer in HH:MM:SS.mmm."",
    ""answer"": ""01:29:27.345"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 13,
        ""task_type"": ""time_ms"",
        ""start_time"": ""2025-05-01 13:31:16.310000"",
        ""end_time"": ""2025-05-01 15:00:43.656000"",
        ""format"": ""%H:%M:%S.%f"",
        ""expected_format"": ""HH:MM:SS.mmm"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
14,time_intervals,"A meeting started at 12:02 and ended at 22:43. How long was the meeting? Answer in HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",10:41,"{
    ""question"": ""A meeting started at 12:02 and ended at 22:43. How long was the meeting? Answer in HH:MM."",
    ""answer"": ""10:41"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 14,
        ""task_type"": ""time"",
        ""start_time"": ""2025-05-01 12:02:00"",
        ""end_time"": ""2025-05-01 22:43:00"",
        ""format"": ""%H:%M"",
        ""expected_format"": ""HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
15,time_intervals,"A system operation started at 02:27:35.584 and completed at 18:58:39.935. What was the operation duration? Answer in HH:MM:SS.mmm.
Enclose final answer within triple angle brackets, like <<<the answer>>>.",16:31:04.351,"{
    ""question"": ""A system operation started at 02:27:35.584 and completed at 18:58:39.935. What was the operation duration? Answer in HH:MM:SS.mmm."",
    ""answer"": ""16:31:04.351"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 15,
        ""task_type"": ""time_ms"",
        ""start_time"": ""2025-05-01 02:27:35.584000"",
        ""end_time"": ""2025-05-01 18:58:39.935000"",
        ""format"": ""%H:%M:%S.%f"",
        ""expected_format"": ""HH:MM:SS.mmm"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
16,time_intervals,"A flight departed at Tue May 30 2699 22:34:19 and arrived at Thu Aug 03 2699 05:35:19. How long was the flight? Answer in D days, HH:MM.
Enclose final answer within triple angle brackets, like <<<the answer>>>.","64 days, 07:01","{
    ""question"": ""A flight departed at Tue May 30 2699 22:34:19 and arrived at Thu Aug 03 2699 05:35:19. How long was the flight? Answer in D days, HH:MM."",
    ""answer"": ""64 days, 07:01"",
    ""metadata"": {
        ""source_dataset"": ""time_intervals"",
        ""source_index"": 16,
        ""task_type"": ""datetime"",
        ""start_time"": ""2699-05-30 22:34:19"",
        ""end_time"": ""2699-08-03 05:35:19"",
        ""format"": ""%a %b %d %Y %H:%M:%S"",
        ""expected_format"": ""D days, HH:MM"",
        ""difficulty"": {
            ""max_time_difference_seconds"": 86400,
            ""max_date_difference_days"": 100
        }
    }
}"
