ID,dataset,question,answer,full_data
0,dice,"I have these dice: 1d20, 1d8, 1d6, 1d4. What are the odds of rolling 19 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",5/8,"{
    ""question"": ""I have these dice: 1d20, 1d8, 1d6, 1d4. What are the odds of rolling 19 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""5/8"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 0,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d8, 1d6, 1d4"",
            ""target"": 19,
            ""num"": 5,
            ""den"": 8,
            ""probability"": 0.625
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
1,dice,"I have these dice: 1d20, 1d10, 1d9, 1d7. What are the odds of rolling 25 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",6611/12600,"{
    ""question"": ""I have these dice: 1d20, 1d10, 1d9, 1d7. What are the odds of rolling 25 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""6611/12600"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 1,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d10, 1d9, 1d7"",
            ""target"": 25,
            ""num"": 6611,
            ""den"": 12600,
            ""probability"": 0.5246825396825396
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
2,dice,"I have these dice: 1d20, 1d18, 1d13, 1d2. What are the odds of rolling 27 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",61/104,"{
    ""question"": ""I have these dice: 1d20, 1d18, 1d13, 1d2. What are the odds of rolling 27 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""61/104"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 2,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d18, 1d13, 1d2"",
            ""target"": 27,
            ""num"": 61,
            ""den"": 104,
            ""probability"": 0.5865384615384616
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
3,dice,"I have these dice: 1d20, 1d19, 1d12, 1d6. What are the odds of rolling 31 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",1/2,"{
    ""question"": ""I have these dice: 1d20, 1d19, 1d12, 1d6. What are the odds of rolling 31 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""1/2"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 3,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d19, 1d12, 1d6"",
            ""target"": 31,
            ""num"": 1,
            ""den"": 2,
            ""probability"": 0.5
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
4,dice,"I have these dice: 1d20, 1d12, 1d3, 1d2. What are the odds of rolling 19 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",3/5,"{
    ""question"": ""I have these dice: 1d20, 1d12, 1d3, 1d2. What are the odds of rolling 19 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""3/5"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 4,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d12, 1d3, 1d2"",
            ""target"": 19,
            ""num"": 3,
            ""den"": 5,
            ""probability"": 0.6
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
5,dice,"I have these dice: 1d20, 1d18, 1d4, 1d3. What are the odds of rolling 27 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",581/1440,"{
    ""question"": ""I have these dice: 1d20, 1d18, 1d4, 1d3. What are the odds of rolling 27 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""581/1440"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 5,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d18, 1d4, 1d3"",
            ""target"": 27,
            ""num"": 581,
            ""den"": 1440,
            ""probability"": 0.40347222222222223
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
6,dice,"I have these dice: 1d20, 1d15, 1d15, 1d5. What are the odds of rolling 23 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",3527/4500,"{
    ""question"": ""I have these dice: 1d20, 1d15, 1d15, 1d5. What are the odds of rolling 23 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""3527/4500"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 6,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d15, 1d15, 1d5"",
            ""target"": 23,
            ""num"": 3527,
            ""den"": 4500,
            ""probability"": 0.7837777777777778
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
7,dice,"I have these dice: 1d20, 1d14, 1d10, 1d8. What are the odds of rolling 20 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",3797/4480,"{
    ""question"": ""I have these dice: 1d20, 1d14, 1d10, 1d8. What are the odds of rolling 20 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""3797/4480"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 7,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d14, 1d10, 1d8"",
            ""target"": 20,
            ""num"": 3797,
            ""den"": 4480,
            ""probability"": 0.8475446428571428
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
8,dice,"I have these dice: 1d20, 1d18, 1d16, 1d3. What are the odds of rolling 28 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",3587/5760,"{
    ""question"": ""I have these dice: 1d20, 1d18, 1d16, 1d3. What are the odds of rolling 28 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""3587/5760"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 8,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d18, 1d16, 1d3"",
            ""target"": 28,
            ""num"": 3587,
            ""den"": 5760,
            ""probability"": 0.6227430555555555
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
9,dice,"I have these dice: 1d20, 1d14, 1d12, 1d9. What are the odds of rolling 26 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60].
Output final answer with the format <<<answer>>>.",20459/30240,"{
    ""question"": ""I have these dice: 1d20, 1d14, 1d12, 1d9. What are the odds of rolling 26 or higher? (Assume that all dice are rolled at once, and that '1d6' represents one roll of a 6-sided dice.) Please respond with a reduced fraction representing the probability [ex., 1/60]."",
    ""answer"": ""20459/30240"",
    ""metadata"": {
        ""source_dataset"": ""dice"",
        ""source_index"": 9,
        ""puzzle"": {
            ""dice_str"": ""1d20, 1d14, 1d12, 1d9"",
            ""target"": 26,
            ""num"": 20459,
            ""den"": 30240,
            ""probability"": 0.6765542328042328
        },
        ""difficulty"": {
            ""num_dice"": 4,
            ""max_dice_size"": 20
        }
    }
}"
