ID,dataset,question,answer,full_data
0,family_relationships,"Christopher is married to Karen. They have a child called Alexander. Alexander is married to Sophia.

What relation is Sophia to Christopher? Answer with a single word.
Output final answer with the format <<<answer>>>.",father-in-law,"{
    ""question"": ""Christopher is married to Karen. They have a child called Alexander. Alexander is married to Sophia.\n\nWhat relation is Sophia to Christopher? Answer with a single word."",
    ""answer"": ""father-in-law"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 0,
        ""person1"": ""Sophia"",
        ""person2"": ""Christopher"",
        ""relationship"": ""father-in-law"",
        ""family_size"": 4,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
1,family_relationships,"Peter is married to Winter. They have a child called Owen. Owen is married to Aria. They have children called Finn and Sophie. George is married to Isabella. They have a child called Aria.

How is Finn related to Sophie? Provide the relationship in one word.
Output final answer with the format <<<answer>>>.",brother,"{
    ""question"": ""Peter is married to Winter. They have a child called Owen. Owen is married to Aria. They have children called Finn and Sophie. George is married to Isabella. They have a child called Aria.\n\nHow is Finn related to Sophie? Provide the relationship in one word."",
    ""answer"": ""brother"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 1,
        ""person1"": ""Finn"",
        ""person2"": ""Sophie"",
        ""relationship"": ""brother"",
        ""family_size"": 8,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
2,family_relationships,"Jack is married to Aurora. They have a child called Robert. Robert is married to Grace. They have children called Elizabeth and Amelia. John is married to Victoria. They have a child called Grace.

What relation is Robert to John? Answer with a single word.
Output final answer with the format <<<answer>>>.",father-in-law,"{
    ""question"": ""Jack is married to Aurora. They have a child called Robert. Robert is married to Grace. They have children called Elizabeth and Amelia. John is married to Victoria. They have a child called Grace.\n\nWhat relation is Robert to John? Answer with a single word."",
    ""answer"": ""father-in-law"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 2,
        ""person1"": ""Robert"",
        ""person2"": ""John"",
        ""relationship"": ""father-in-law"",
        ""family_size"": 8,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
3,family_relationships,"Oliver is married to Sarah. They have a child called Henry. Henry is married to Sophie. They have children called River and Grace. Jack is married to Emma. They have a child called Sophie.

What relation is Sophie to Oliver? Answer with a single word.
Output final answer with the format <<<answer>>>.",father-in-law,"{
    ""question"": ""Oliver is married to Sarah. They have a child called Henry. Henry is married to Sophie. They have children called River and Grace. Jack is married to Emma. They have a child called Sophie.\n\nWhat relation is Sophie to Oliver? Answer with a single word."",
    ""answer"": ""father-in-law"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 3,
        ""person1"": ""Sophie"",
        ""person2"": ""Oliver"",
        ""relationship"": ""father-in-law"",
        ""family_size"": 8,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
4,family_relationships,"Michael is married to Patricia. They have a child called Samuel. Samuel is married to Susan. They have children called Aiden and Henry.

How is Samuel related to Aiden? Provide the relationship in one word.
Output final answer with the format <<<answer>>>.",father,"{
    ""question"": ""Michael is married to Patricia. They have a child called Samuel. Samuel is married to Susan. They have children called Aiden and Henry.\n\nHow is Samuel related to Aiden? Provide the relationship in one word."",
    ""answer"": ""father"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 4,
        ""person1"": ""Samuel"",
        ""person2"": ""Aiden"",
        ""relationship"": ""father"",
        ""family_size"": 6,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
5,family_relationships,"David is married to River. They have a child called Robert. Robert is married to Rain. They have children called Chloe and Sky. Ryder is married to Zoe. They have a child called Rain.

How is Chloe related to Rain? Provide the relationship in one word.
Output final answer with the format <<<answer>>>.",daughter,"{
    ""question"": ""David is married to River. They have a child called Robert. Robert is married to Rain. They have children called Chloe and Sky. Ryder is married to Zoe. They have a child called Rain.\n\nHow is Chloe related to Rain? Provide the relationship in one word."",
    ""answer"": ""daughter"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 5,
        ""person1"": ""Chloe"",
        ""person2"": ""Rain"",
        ""relationship"": ""daughter"",
        ""family_size"": 8,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
6,family_relationships,"Lucas is married to Susan. They have a child called Theodore. Theodore is married to Grace. They have a child called Ryder. William is married to Eleanor. They have a child called Grace.

How is Theodore related to William? Provide the relationship in one word.
Output final answer with the format <<<answer>>>.",father-in-law,"{
    ""question"": ""Lucas is married to Susan. They have a child called Theodore. Theodore is married to Grace. They have a child called Ryder. William is married to Eleanor. They have a child called Grace.\n\nHow is Theodore related to William? Provide the relationship in one word."",
    ""answer"": ""father-in-law"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 6,
        ""person1"": ""Theodore"",
        ""person2"": ""William"",
        ""relationship"": ""father-in-law"",
        ""family_size"": 7,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
7,family_relationships,"Edward is married to Eleanor. They have a child called John. John is married to Anna. They have a child called Lucas.

What relation is John to Lucas? Answer with a single word.
Output final answer with the format <<<answer>>>.",father,"{
    ""question"": ""Edward is married to Eleanor. They have a child called John. John is married to Anna. They have a child called Lucas.\n\nWhat relation is John to Lucas? Answer with a single word."",
    ""answer"": ""father"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 7,
        ""person1"": ""John"",
        ""person2"": ""Lucas"",
        ""relationship"": ""father"",
        ""family_size"": 5,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
8,family_relationships,"Zion is married to Luna. They have a child called Samuel. Samuel is married to Rain. They have a child called Charles. Robert is married to Charlotte. They have a child called Rain.

How is Robert related to Rain? Provide the relationship in one word.
Output final answer with the format <<<answer>>>.",father,"{
    ""question"": ""Zion is married to Luna. They have a child called Samuel. Samuel is married to Rain. They have a child called Charles. Robert is married to Charlotte. They have a child called Rain.\n\nHow is Robert related to Rain? Provide the relationship in one word."",
    ""answer"": ""father"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 8,
        ""person1"": ""Robert"",
        ""person2"": ""Rain"",
        ""relationship"": ""father"",
        ""family_size"": 7,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
9,family_relationships,"Oliver is married to Victoria. They have a child called Phoenix. Phoenix is married to Ava. They have a child called Lucy. Peter is married to Grace. They have a child called Ava.

How is Ava related to Oliver? Provide the relationship in one word.
Output final answer with the format <<<answer>>>.",father-in-law,"{
    ""question"": ""Oliver is married to Victoria. They have a child called Phoenix. Phoenix is married to Ava. They have a child called Lucy. Peter is married to Grace. They have a child called Ava.\n\nHow is Ava related to Oliver? Provide the relationship in one word."",
    ""answer"": ""father-in-law"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 9,
        ""person1"": ""Ava"",
        ""person2"": ""Oliver"",
        ""relationship"": ""father-in-law"",
        ""family_size"": 7,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
10,family_relationships,"John is married to Isabella. They have a child called Edward. Edward is married to Victoria.

What is Isabella to Edward? Respond only with the word that describes their relationship.
Output final answer with the format <<<answer>>>.",mother,"{
    ""question"": ""John is married to Isabella. They have a child called Edward. Edward is married to Victoria.\n\nWhat is Isabella to Edward? Respond only with the word that describes their relationship."",
    ""answer"": ""mother"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 10,
        ""person1"": ""Isabella"",
        ""person2"": ""Edward"",
        ""relationship"": ""mother"",
        ""family_size"": 4,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
11,family_relationships,"Henry is married to Karen. They have a child called Sebastian. Sebastian is married to Eleanor.

What relation is Henry to Karen? Answer with a single word.
Output final answer with the format <<<answer>>>.",husband,"{
    ""question"": ""Henry is married to Karen. They have a child called Sebastian. Sebastian is married to Eleanor.\n\nWhat relation is Henry to Karen? Answer with a single word."",
    ""answer"": ""husband"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 11,
        ""person1"": ""Henry"",
        ""person2"": ""Karen"",
        ""relationship"": ""husband"",
        ""family_size"": 4,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
12,family_relationships,"Liam is married to Nova. They have a child called Noah. Noah is married to Charlotte. They have a child called Patricia. Joseph is married to Lisa. They have a child called Charlotte.

What is Liam to Noah? Respond only with the word that describes their relationship.
Output final answer with the format <<<answer>>>.",father,"{
    ""question"": ""Liam is married to Nova. They have a child called Noah. Noah is married to Charlotte. They have a child called Patricia. Joseph is married to Lisa. They have a child called Charlotte.\n\nWhat is Liam to Noah? Respond only with the word that describes their relationship."",
    ""answer"": ""father"",
    ""metadata"": {
        ""source_dataset"": ""family_relationships"",
        ""source_index"": 12,
        ""person1"": ""Liam"",
        ""person2"": ""Noah"",
        ""relationship"": ""father"",
        ""family_size"": 7,
        ""difficulty"": {
            ""family_size"": [
                4,
                8
            ]
        }
    }
}"
