ID,dataset,question,answer,full_data
0,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: silent, Mr, he
","he, Mr, silent","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: silent, Mr, he\n"",
    ""answer"": ""he, Mr, silent"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 0,
        ""num_words"": 3,
        ""words"": [
            ""silent"",
            ""Mr"",
            ""he""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
1,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: of, problem, Mr, it, card, where, in
","in, where, card, it, Mr, problem, of","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: of, problem, Mr, it, card, where, in\n"",
    ""answer"": ""in, where, card, it, Mr, problem, of"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 1,
        ""num_words"": 7,
        ""words"": [
            ""of"",
            ""problem"",
            ""Mr"",
            ""it"",
            ""card"",
            ""where"",
            ""in""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
2,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: of, 1100, us, specifically, can, Project, Fritz
","Fritz, Project, can, specifically, us, 1100, of","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: of, 1100, us, specifically, can, Project, Fritz\n"",
    ""answer"": ""Fritz, Project, can, specifically, us, 1100, of"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 2,
        ""num_words"": 7,
        ""words"": [
            ""of"",
            ""1100"",
            ""us"",
            ""specifically"",
            ""can"",
            ""Project"",
            ""Fritz""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
3,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: the, yourself, now, Come, and, displaying, little
","little, displaying, and, Come, now, yourself, the","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: the, yourself, now, Come, and, displaying, little\n"",
    ""answer"": ""little, displaying, and, Come, now, yourself, the"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 3,
        ""num_words"": 7,
        ""words"": [
            ""the"",
            ""yourself"",
            ""now"",
            ""Come"",
            ""and"",
            ""displaying"",
            ""little""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
4,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: anon, things, had, the, the
","the, the, had, things, anon","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: anon, things, had, the, the\n"",
    ""answer"": ""the, the, had, things, anon"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 4,
        ""num_words"": 5,
        ""words"": [
            ""anon"",
            ""things"",
            ""had"",
            ""the"",
            ""the""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
5,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: constitution, 1500, the, Project, cost, no, is, F
","F, is, no, cost, Project, the, 1500, constitution","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: constitution, 1500, the, Project, cost, no, is, F\n"",
    ""answer"": ""F, is, no, cost, Project, the, 1500, constitution"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 5,
        ""num_words"": 8,
        ""words"": [
            ""constitution"",
            ""1500"",
            ""the"",
            ""Project"",
            ""cost"",
            ""no"",
            ""is"",
            ""F""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
6,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: work, terms, The, every, royalties, Foundation, comply, or
","or, comply, Foundation, royalties, every, The, terms, work","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: work, terms, The, every, royalties, Foundation, comply, or\n"",
    ""answer"": ""or, comply, Foundation, royalties, every, The, terms, work"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 6,
        ""num_words"": 8,
        ""words"": [
            ""work"",
            ""terms"",
            ""The"",
            ""every"",
            ""royalties"",
            ""Foundation"",
            ""comply"",
            ""or""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
7,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: four, on, which, must
","must, which, on, four","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: four, on, which, must\n"",
    ""answer"": ""must, which, on, four"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 7,
        ""num_words"": 4,
        ""words"": [
            ""four"",
            ""on"",
            ""which"",
            ""must""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
8,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: paperwork, the, and, made, we, them
","them, we, made, and, the, paperwork","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: paperwork, the, and, made, we, them\n"",
    ""answer"": ""them, we, made, and, the, paperwork"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 8,
        ""num_words"": 6,
        ""words"": [
            ""paperwork"",
            ""the"",
            ""and"",
            ""made"",
            ""we"",
            ""them""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
9,word_sequence_reversal,"Solve the following problem.

Provide your answer as a comma-separated list of words with a space after the comma, enclosed within triple angle brackets, like <<<your answer>>>.

Reverse this list of words: In, was, men, any, of, my
","my, of, any, men, was, In","{
    ""question"": ""Solve the following problem.\n\nProvide you answer as a comma-separated list of words with a space after the comma.\n\nReverse this list of words: In, was, men, any, of, my\n"",
    ""answer"": ""my, of, any, men, was, In"",
    ""metadata"": {
        ""source_dataset"": ""word_sequence_reversal"",
        ""source_index"": 9,
        ""num_words"": 6,
        ""words"": [
            ""In"",
            ""was"",
            ""men"",
            ""any"",
            ""of"",
            ""my""
        ],
        ""difficulty"": {
            ""words"": [
                3,
                8
            ]
        }
    }
}"
