ID,dataset,question,answer,full_data
0,lcm,"Find the Least Common Multiple (LCM) of these numbers: 4, 93
Output final answer with the format <<<answer>>>.",372,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 4, 93"",
    ""answer"": ""372"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 0,
        ""numbers"": [
            4,
            93
        ],
        ""result"": 372,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
1,lcm,"Find the Least Common Multiple (LCM) of these numbers: 81, 30
Output final answer with the format <<<answer>>>.",810,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 81, 30"",
    ""answer"": ""810"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 1,
        ""numbers"": [
            81,
            30
        ],
        ""result"": 810,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
2,lcm,"Find the Least Common Multiple (LCM) of these numbers: 4, 50
Output final answer with the format <<<answer>>>.",100,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 4, 50"",
    ""answer"": ""100"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 2,
        ""numbers"": [
            4,
            50
        ],
        ""result"": 100,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
3,lcm,"Find the Least Common Multiple (LCM) of these numbers: 33, 73
Output final answer with the format <<<answer>>>.",2409,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 33, 73"",
    ""answer"": ""2409"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 3,
        ""numbers"": [
            33,
            73
        ],
        ""result"": 2409,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
4,lcm,"Find the Least Common Multiple (LCM) of these numbers: 32, 35
Output final answer with the format <<<answer>>>.",1120,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 32, 35"",
    ""answer"": ""1120"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 4,
        ""numbers"": [
            32,
            35
        ],
        ""result"": 1120,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
5,lcm,"Find the Least Common Multiple (LCM) of these numbers: 80, 86
Output final answer with the format <<<answer>>>.",3440,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 80, 86"",
    ""answer"": ""3440"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 5,
        ""numbers"": [
            80,
            86
        ],
        ""result"": 3440,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
6,lcm,"Find the Least Common Multiple (LCM) of these numbers: 48, 6
Output final answer with the format <<<answer>>>.",48,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 48, 6"",
    ""answer"": ""48"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 6,
        ""numbers"": [
            48,
            6
        ],
        ""result"": 48,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
7,lcm,"Find the Least Common Multiple (LCM) of these numbers: 34, 50
Output final answer with the format <<<answer>>>.",850,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 34, 50"",
    ""answer"": ""850"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 7,
        ""numbers"": [
            34,
            50
        ],
        ""result"": 850,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
8,lcm,"Find the Least Common Multiple (LCM) of these numbers: 17, 98
Output final answer with the format <<<answer>>>.",1666,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 17, 98"",
    ""answer"": ""1666"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 8,
        ""numbers"": [
            17,
            98
        ],
        ""result"": 1666,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
9,lcm,"Find the Least Common Multiple (LCM) of these numbers: 50, 74
Output final answer with the format <<<answer>>>.",1850,"{
    ""question"": ""Find the Least Common Multiple (LCM) of these numbers: 50, 74"",
    ""answer"": ""1850"",
    ""metadata"": {
        ""source_dataset"": ""lcm"",
        ""source_index"": 9,
        ""numbers"": [
            50,
            74
        ],
        ""result"": 1850,
        ""difficulty"": {
            ""numbers"": [
                2,
                2
            ],
            ""value"": [
                1,
                100
            ]
        }
    }
}"
