ID,dataset,question,answer,full_data
0,word_ladder,"Transform the word ladder 'GAVE' to 'DOSE' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","GAVE,GAZE,DAZE,DOZE,DOSE","{
    ""question"": ""Transform the word ladder 'GAVE' to 'DOSE' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""GAVE,GAZE,DAZE,DOZE,DOSE"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 0,
        ""start_word"": ""GAVE"",
        ""end_word"": ""DOSE"",
        ""word_length"": 4,
        ""chain_length"": 5,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
1,word_ladder,"Transform the word ladder 'WOLF' to 'GRAN' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","WOLF,WOLD,GOLD,GOAD,GRAD,GRAN","{
    ""question"": ""Transform the word ladder 'WOLF' to 'GRAN' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""WOLF,WOLD,GOLD,GOAD,GRAD,GRAN"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 1,
        ""start_word"": ""WOLF"",
        ""end_word"": ""GRAN"",
        ""word_length"": 4,
        ""chain_length"": 6,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
2,word_ladder,"Transform the word ladder 'TURD' to 'BABA' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","TURD,CURD,CARD,CARE,BARE,BABE,BABA","{
    ""question"": ""Transform the word ladder 'TURD' to 'BABA' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""TURD,CURD,CARD,CARE,BARE,BABE,BABA"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 2,
        ""start_word"": ""TURD"",
        ""end_word"": ""BABA"",
        ""word_length"": 4,
        ""chain_length"": 7,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
3,word_ladder,"Transform the word ladder 'DIBS' to 'LUMP' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","DIBS,DUBS,RUBS,RUMS,RUMP,LUMP","{
    ""question"": ""Transform the word ladder 'DIBS' to 'LUMP' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""DIBS,DUBS,RUBS,RUMS,RUMP,LUMP"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 3,
        ""start_word"": ""DIBS"",
        ""end_word"": ""LUMP"",
        ""word_length"": 4,
        ""chain_length"": 6,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
4,word_ladder,"Transform the word ladder 'BOON' to 'ARTY' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","BOON,BOOS,BROS,BRIS,IRIS,IRKS,ARKS,ARTS,ARTY","{
    ""question"": ""Transform the word ladder 'BOON' to 'ARTY' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""BOON,BOOS,BROS,BRIS,IRIS,IRKS,ARKS,ARTS,ARTY"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 4,
        ""start_word"": ""BOON"",
        ""end_word"": ""ARTY"",
        ""word_length"": 4,
        ""chain_length"": 9,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
5,word_ladder,"Transform the word ladder 'WEFT' to 'WOPS' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","WEFT,WENT,WONT,WOOT,WOOS,WOPS","{
    ""question"": ""Transform the word ladder 'WEFT' to 'WOPS' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""WEFT,WENT,WONT,WOOT,WOOS,WOPS"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 5,
        ""start_word"": ""WEFT"",
        ""end_word"": ""WOPS"",
        ""word_length"": 4,
        ""chain_length"": 6,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
6,word_ladder,"Transform the word ladder 'PLOY' to 'COMP' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","PLOY,CLOY,CLOP,COOP,COMP","{
    ""question"": ""Transform the word ladder 'PLOY' to 'COMP' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""PLOY,CLOY,CLOP,COOP,COMP"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 6,
        ""start_word"": ""PLOY"",
        ""end_word"": ""COMP"",
        ""word_length"": 4,
        ""chain_length"": 5,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
7,word_ladder,"Transform the word ladder 'HIYA' to 'NEED' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","HIYA,HOYA,SOYA,SODA,SODS,HODS,HOES,HOED,HEED,NEED","{
    ""question"": ""Transform the word ladder 'HIYA' to 'NEED' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""HIYA,HOYA,SOYA,SODA,SODS,HODS,HOES,HOED,HEED,NEED"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 7,
        ""start_word"": ""HIYA"",
        ""end_word"": ""NEED"",
        ""word_length"": 4,
        ""chain_length"": 10,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
8,word_ladder,"Transform the word ladder 'TOWS' to 'SOIL' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","TOWS,BOWS,BOWL,BOIL,SOIL","{
    ""question"": ""Transform the word ladder 'TOWS' to 'SOIL' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""TOWS,BOWS,BOWL,BOIL,SOIL"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 8,
        ""start_word"": ""TOWS"",
        ""end_word"": ""SOIL"",
        ""word_length"": 4,
        ""chain_length"": 5,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
9,word_ladder,"Transform the word ladder 'LOGS' to 'GORE' by changing one letter at a time.
Provide your answer as a comma-separated sequence of uppercase letters without spaces, enclosed within triple angle brackets, like <<<your answer>>>.
Each step must be a valid English word.","LOGS,LOGE,LORE,GORE","{
    ""question"": ""Transform the word ladder 'LOGS' to 'GORE' by changing one letter at a time.\nProvide your answer as a comma-separated sequence of uppercase letters without spaces.\nEach step must be a valid English word."",
    ""answer"": ""LOGS,LOGE,LORE,GORE"",
    ""metadata"": {
        ""source_dataset"": ""word_ladder"",
        ""source_index"": 9,
        ""start_word"": ""LOGS"",
        ""end_word"": ""GORE"",
        ""word_length"": 4,
        ""chain_length"": 4,
        ""difficulty"": {
            ""word_length"": [
                4,
                4
            ]
        }
    }
}"
