ID,dataset,question,answer,full_data
0,complex_arithmetic,"Add the complex numbers: (-4.0 - 6.0i) + (-1.0 - 3.0i)
Output final answer with the format <<<answer>>>.",-5.0 - 9.0i,"{
    ""question"": ""Add the complex numbers: (-4.0 - 6.0i) + (-1.0 - 3.0i)"",
    ""answer"": ""-5.0 - 9.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 0,
        ""num1"": [
            -4.0,
            -6.0
        ],
        ""num2"": [
            -1.0,
            -3.0
        ],
        ""operation"": ""+"",
        ""result"": [
            -5,
            -9
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
1,complex_arithmetic,"Subtract the complex numbers: (10.0 - 3.0i) - (-2.0 + 5.0i)
Output final answer with the format <<<answer>>>.",12.0 - 8.0i,"{
    ""question"": ""Subtract the complex numbers: (10.0 - 3.0i) - (-2.0 + 5.0i)"",
    ""answer"": ""12.0 - 8.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 1,
        ""num1"": [
            10.0,
            -3.0
        ],
        ""num2"": [
            -2.0,
            5.0
        ],
        ""operation"": ""-"",
        ""result"": [
            12,
            -8
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
2,complex_arithmetic,"Subtract the complex numbers: (8.0 - 10.0i) - (-3.0 - 10.0i)
Output final answer with the format <<<answer>>>.",11.00,"{
    ""question"": ""Subtract the complex numbers: (8.0 - 10.0i) - (-3.0 - 10.0i)"",
    ""answer"": ""11.00"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 2,
        ""num1"": [
            8.0,
            -10.0
        ],
        ""num2"": [
            -3.0,
            -10.0
        ],
        ""operation"": ""-"",
        ""result"": [
            11,
            0
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
3,complex_arithmetic,"Subtract the complex numbers: (-6.00) - (-6.0 - 1.0i)
Output final answer with the format <<<answer>>>.",1.00i,"{
    ""question"": ""Subtract the complex numbers: (-6.00) - (-6.0 - 1.0i)"",
    ""answer"": ""1.00i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 3,
        ""num1"": [
            -6.0,
            0.0
        ],
        ""num2"": [
            -6.0,
            -1.0
        ],
        ""operation"": ""-"",
        ""result"": [
            0,
            1
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
4,complex_arithmetic,"Add the complex numbers: (-10.0 - 1.0i) + (-8.0 - 10.0i)
Output final answer with the format <<<answer>>>.",-18.0 - 11.0i,"{
    ""question"": ""Add the complex numbers: (-10.0 - 1.0i) + (-8.0 - 10.0i)"",
    ""answer"": ""-18.0 - 11.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 4,
        ""num1"": [
            -10.0,
            -1.0
        ],
        ""num2"": [
            -8.0,
            -10.0
        ],
        ""operation"": ""+"",
        ""result"": [
            -18,
            -11
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
5,complex_arithmetic,"Subtract the complex numbers: (-8.0 + 9.0i) - (10.0 + 6.0i)
Output final answer with the format <<<answer>>>.",-18.0 + 3.0i,"{
    ""question"": ""Subtract the complex numbers: (-8.0 + 9.0i) - (10.0 + 6.0i)"",
    ""answer"": ""-18.0 + 3.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 5,
        ""num1"": [
            -8.0,
            9.0
        ],
        ""num2"": [
            10.0,
            6.0
        ],
        ""operation"": ""-"",
        ""result"": [
            -18,
            3
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
6,complex_arithmetic,"Subtract the complex numbers: (3.0 - 7.0i) - (-8.0 + 1.0i)
Output final answer with the format <<<answer>>>.",11.0 - 8.0i,"{
    ""question"": ""Subtract the complex numbers: (3.0 - 7.0i) - (-8.0 + 1.0i)"",
    ""answer"": ""11.0 - 8.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 6,
        ""num1"": [
            3.0,
            -7.0
        ],
        ""num2"": [
            -8.0,
            1.0
        ],
        ""operation"": ""-"",
        ""result"": [
            11,
            -8
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
7,complex_arithmetic,"Add the complex numbers: (2.0 - 10.0i) + (-4.0 - 3.0i)
Output final answer with the format <<<answer>>>.",-2.0 - 13.0i,"{
    ""question"": ""Add the complex numbers: (2.0 - 10.0i) + (-4.0 - 3.0i)"",
    ""answer"": ""-2.0 - 13.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 7,
        ""num1"": [
            2.0,
            -10.0
        ],
        ""num2"": [
            -4.0,
            -3.0
        ],
        ""operation"": ""+"",
        ""result"": [
            -2,
            -13
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
8,complex_arithmetic,"Subtract the complex numbers: (6.0 - 9.0i) - (-3.0 - 1.0i)
Output final answer with the format <<<answer>>>.",9.0 - 8.0i,"{
    ""question"": ""Subtract the complex numbers: (6.0 - 9.0i) - (-3.0 - 1.0i)"",
    ""answer"": ""9.0 - 8.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 8,
        ""num1"": [
            6.0,
            -9.0
        ],
        ""num2"": [
            -3.0,
            -1.0
        ],
        ""operation"": ""-"",
        ""result"": [
            9,
            -8
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
9,complex_arithmetic,"Add the complex numbers: (-3.0 - 5.0i) + (2.0 + 8.0i)
Output final answer with the format <<<answer>>>.",-1.0 + 3.0i,"{
    ""question"": ""Add the complex numbers: (-3.0 - 5.0i) + (2.0 + 8.0i)"",
    ""answer"": ""-1.0 + 3.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 9,
        ""num1"": [
            -3.0,
            -5.0
        ],
        ""num2"": [
            2.0,
            8.0
        ],
        ""operation"": ""+"",
        ""result"": [
            -1,
            3
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
10,complex_arithmetic,"Subtract the complex numbers: (-10.0 - 2.0i) - (-3.0 - 3.0i)
Output final answer with the format <<<answer>>>.",-7.0 + 1.0i,"{
    ""question"": ""Subtract the complex numbers: (-10.0 - 2.0i) - (-3.0 - 3.0i)"",
    ""answer"": ""-7.0 + 1.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 10,
        ""num1"": [
            -10.0,
            -2.0
        ],
        ""num2"": [
            -3.0,
            -3.0
        ],
        ""operation"": ""-"",
        ""result"": [
            -7,
            1
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
11,complex_arithmetic,"Add the complex numbers: (-6.0 + 4.0i) + (1.0 - 7.0i)
Output final answer with the format <<<answer>>>.",-5.0 - 3.0i,"{
    ""question"": ""Add the complex numbers: (-6.0 + 4.0i) + (1.0 - 7.0i)"",
    ""answer"": ""-5.0 - 3.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 11,
        ""num1"": [
            -6.0,
            4.0
        ],
        ""num2"": [
            1.0,
            -7.0
        ],
        ""operation"": ""+"",
        ""result"": [
            -5,
            -3
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
12,complex_arithmetic,"Subtract the complex numbers: (7.0 - 7.0i) - (-5.0 + 2.0i)
Output final answer with the format <<<answer>>>.",12.0 - 9.0i,"{
    ""question"": ""Subtract the complex numbers: (7.0 - 7.0i) - (-5.0 + 2.0i)"",
    ""answer"": ""12.0 - 9.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 12,
        ""num1"": [
            7.0,
            -7.0
        ],
        ""num2"": [
            -5.0,
            2.0
        ],
        ""operation"": ""-"",
        ""result"": [
            12,
            -9
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
13,complex_arithmetic,"Add the complex numbers: (5.0 - 2.0i) + (-8.0 - 1.0i)
Output final answer with the format <<<answer>>>.",-3.0 - 3.0i,"{
    ""question"": ""Add the complex numbers: (5.0 - 2.0i) + (-8.0 - 1.0i)"",
    ""answer"": ""-3.0 - 3.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 13,
        ""num1"": [
            5.0,
            -2.0
        ],
        ""num2"": [
            -8.0,
            -1.0
        ],
        ""operation"": ""+"",
        ""result"": [
            -3,
            -3
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
14,complex_arithmetic,"Multiply the complex numbers: (2.0 - 9.0i) × (8.0 + 8.0i)
Output final answer with the format <<<answer>>>.",88.0 - 56.0i,"{
    ""question"": ""Multiply the complex numbers: (2.0 - 9.0i) × (8.0 + 8.0i)"",
    ""answer"": ""88.0 - 56.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 14,
        ""num1"": [
            2.0,
            -9.0
        ],
        ""num2"": [
            8.0,
            8.0
        ],
        ""operation"": ""*"",
        ""result"": [
            88,
            -56
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
15,complex_arithmetic,"Add the complex numbers: (3.0 + 7.0i) + (4.0 + 8.0i)
Output final answer with the format <<<answer>>>.",7.0 + 15.0i,"{
    ""question"": ""Add the complex numbers: (3.0 + 7.0i) + (4.0 + 8.0i)"",
    ""answer"": ""7.0 + 15.0i"",
    ""metadata"": {
        ""source_dataset"": ""complex_arithmetic"",
        ""source_index"": 15,
        ""num1"": [
            3.0,
            7.0
        ],
        ""num2"": [
            4.0,
            8.0
        ],
        ""operation"": ""+"",
        ""result"": [
            7,
            15
        ],
        ""difficulty"": {
            ""min_real"": -10,
            ""max_real"": 10,
            ""min_imag"": -10,
            ""max_imag"": 10,
            ""operations_weights"": [
                0.4,
                0.4,
                0.1,
                0.1
            ]
        }
    }
}"
