ID,dataset,question,answer,full_data
0,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:13, B:4, C:13
And your target is: 7 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill B"", ""pour B->A"", ""fill B"", ""pour B->A"", ""fill B"", ""pour B->A"", ""fill B"", ""pour B->A"", ""pour B->C"", ""pour A->B"", ""pour B->C""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:13, B:4, C:13\nAnd your target is: 7 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""pour B->C\"", \""pour A->B\"", \""pour B->C\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 0,
        ""puzzle"": {
            ""jug_capacities"": [
                13,
                4,
                13
            ],
            ""target"": 7,
            ""min_moves"": 11
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
1,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:10, B:10, C:7
And your target is: 2 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill A"", ""pour A->C"", ""fill B"", ""empty C"", ""pour A->C"", ""fill A"", ""pour A->C"", ""empty C"", ""pour A->C"", ""pour B->C"", ""empty C"", ""pour B->C""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:10, B:10, C:7\nAnd your target is: 2 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill A\"", \""pour A->C\"", \""fill B\"", \""empty C\"", \""pour A->C\"", \""fill A\"", \""pour A->C\"", \""empty C\"", \""pour A->C\"", \""pour B->C\"", \""empty C\"", \""pour B->C\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 1,
        ""puzzle"": {
            ""jug_capacities"": [
                10,
                10,
                7
            ],
            ""target"": 2,
            ""min_moves"": 12
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
2,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:8, B:13, C:13
And your target is: 1 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill A"", ""pour A->B"", ""fill A"", ""pour A->B"", ""pour A->C"", ""fill A"", ""pour A->C"", ""fill A"", ""pour A->C"", ""empty B"", ""pour A->B"", ""fill A"", ""pour A->B""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:8, B:13, C:13\nAnd your target is: 1 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill A\"", \""pour A->B\"", \""fill A\"", \""pour A->B\"", \""pour A->C\"", \""fill A\"", \""pour A->C\"", \""fill A\"", \""pour A->C\"", \""empty B\"", \""pour A->B\"", \""fill A\"", \""pour A->B\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 2,
        ""puzzle"": {
            ""jug_capacities"": [
                8,
                13,
                13
            ],
            ""target"": 1,
            ""min_moves"": 13
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
3,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:4, B:4, C:9
And your target is: 7 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill A"", ""pour A->C"", ""fill A"", ""pour A->C"", ""fill A"", ""pour A->C"", ""fill B"", ""empty C"", ""pour A->C"", ""pour B->C""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:4, B:4, C:9\nAnd your target is: 7 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill A\"", \""pour A->C\"", \""fill A\"", \""pour A->C\"", \""fill A\"", \""pour A->C\"", \""fill B\"", \""empty C\"", \""pour A->C\"", \""pour B->C\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 3,
        ""puzzle"": {
            ""jug_capacities"": [
                4,
                4,
                9
            ],
            ""target"": 7,
            ""min_moves"": 10
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
4,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:9, B:10, C:9
And your target is: 6 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill A"", ""pour A->B"", ""fill A"", ""pour A->B"", ""empty B"", ""pour A->B"", ""fill A"", ""pour A->B"", ""empty B"", ""pour A->B"", ""fill A"", ""pour A->B""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:9, B:10, C:9\nAnd your target is: 6 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill A\"", \""pour A->B\"", \""fill A\"", \""pour A->B\"", \""empty B\"", \""pour A->B\"", \""fill A\"", \""pour A->B\"", \""empty B\"", \""pour A->B\"", \""fill A\"", \""pour A->B\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 4,
        ""puzzle"": {
            ""jug_capacities"": [
                9,
                10,
                9
            ],
            ""target"": 6,
            ""min_moves"": 12
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
5,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:13, B:13, C:11
And your target is: 1 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill C"", ""pour C->A"", ""fill C"", ""pour C->A"", ""empty A"", ""pour C->A"", ""fill C"", ""pour C->A"", ""empty A"", ""pour C->A"", ""fill C"", ""pour C->A"", ""empty A"", ""pour C->A"", ""fill C"", ""pour C->A"", ""pour C->B"", ""pour A->C"", ""pour C->B""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:13, B:13, C:11\nAnd your target is: 1 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill C\"", \""pour C->A\"", \""fill C\"", \""pour C->A\"", \""empty A\"", \""pour C->A\"", \""fill C\"", \""pour C->A\"", \""empty A\"", \""pour C->A\"", \""fill C\"", \""pour C->A\"", \""empty A\"", \""pour C->A\"", \""fill C\"", \""pour C->A\"", \""pour C->B\"", \""pour A->C\"", \""pour C->B\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 5,
        ""puzzle"": {
            ""jug_capacities"": [
                13,
                13,
                11
            ],
            ""target"": 1,
            ""min_moves"": 19
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
6,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:4, B:11, C:11
And your target is: 2 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill B"", ""pour B->A"", ""empty A"", ""pour B->A"", ""empty A"", ""pour B->A"", ""fill B"", ""pour B->A"", ""empty A"", ""pour B->A"", ""empty A"", ""pour B->A""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:4, B:11, C:11\nAnd your target is: 2 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill B\"", \""pour B->A\"", \""empty A\"", \""pour B->A\"", \""empty A\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""empty A\"", \""pour B->A\"", \""empty A\"", \""pour B->A\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 6,
        ""puzzle"": {
            ""jug_capacities"": [
                4,
                11,
                11
            ],
            ""target"": 2,
            ""min_moves"": 12
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
7,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:8, B:5, C:13
And your target is: 4 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill B"", ""pour B->A"", ""fill B"", ""pour B->A"", ""empty A"", ""pour B->A"", ""fill B"", ""pour B->A"", ""fill B"", ""pour B->A""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:8, B:5, C:13\nAnd your target is: 4 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""empty A\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 7,
        ""puzzle"": {
            ""jug_capacities"": [
                8,
                5,
                13
            ],
            ""target"": 4,
            ""min_moves"": 10
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
8,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:11, B:6, C:6
And your target is: 8 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill B"", ""pour B->A"", ""fill B"", ""pour B->A"", ""empty A"", ""pour B->A"", ""fill B"", ""pour B->A"", ""fill B"", ""pour B->A"", ""empty A"", ""pour B->A"", ""fill B"", ""pour B->A""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:11, B:6, C:6\nAnd your target is: 8 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""empty A\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""fill B\"", \""pour B->A\"", \""empty A\"", \""pour B->A\"", \""fill B\"", \""pour B->A\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 8,
        ""puzzle"": {
            ""jug_capacities"": [
                11,
                6,
                6
            ],
            ""target"": 8,
            ""min_moves"": 14
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
9,jugs,"You are a police officer. A maniac has planted a bomb next to a public fountain.

To defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.

You have three move types: 'fill', 'empty' and 'pour'.

To fill Jug A, you 'fill A'.
To empty Jug B, you 'empty B'.
To pour the contents of Jug A into Jug B, you 'pour A->B'.
All jugs are empty to begin with.

The empty jugs hold this many litres of water: A:4, B:13, C:4
And your target is: 7 litres.

How do you defuse the bomb?

Reply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount, and enclose the JSON-parsable list in triple angle brackets, like <<<JSON-parsable list>>>.
","[""fill A"", ""pour A->B"", ""fill A"", ""pour A->B"", ""fill A"", ""pour A->B"", ""fill A"", ""pour A->B"", ""empty B"", ""pour A->B"", ""fill A"", ""pour A->B""]","{
    ""question"": ""You are a police officer. A maniac has planted a bomb next to a public fountain.\n\nTo defuse the bomb, you must solve a puzzle. The puzzle is solved when you fill any of the available jugs with the target amount of water.\n\nYou have three move types: 'fill', 'empty' and 'pour'.\n\nTo fill Jug A, you 'fill A'.\nTo empty Jug B, you 'empty B'.\nTo pour the contents of Jug A into Jug B, you 'pour A->B'.\nAll jugs are empty to begin with.\n\nThe empty jugs hold this many litres of water: A:4, B:13, C:4\nAnd your target is: 7 litres.\n\nHow do you defuse the bomb?\n\nReply as a JSON-parsable list of moves which result in any of the jugs being filled with the target amount.\n"",
    ""answer"": ""[\""fill A\"", \""pour A->B\"", \""fill A\"", \""pour A->B\"", \""fill A\"", \""pour A->B\"", \""fill A\"", \""pour A->B\"", \""empty B\"", \""pour A->B\"", \""fill A\"", \""pour A->B\""]"",
    ""metadata"": {
        ""source_dataset"": ""jugs"",
        ""source_index"": 9,
        ""puzzle"": {
            ""jug_capacities"": [
                4,
                13,
                4
            ],
            ""target"": 7,
            ""min_moves"": 12
        },
        ""difficulty"": {
            ""num_jugs"": 3,
            ""difficulty"": 10
        }
    }
}"
