ID,dataset,question,answer,full_data
0,calendar_arithmetic,"Starting from Tuesday, April 5, 2022, which weekday was it 39 days before? Answer with the weekday's name (e.g., Monday, Tuesday, etc.).
Output final answer with the format <<<answer>>>",Friday,"{
    ""question"": ""Starting from Tuesday, April 5, 2022, which weekday was it 39 days before? Answer with the weekday's name (e.g., Monday, Tuesday, etc.)."",
    ""answer"": ""Friday"",
    ""metadata"": {
        ""task"": ""weekday_offset"",
        ""start_date"": ""2022-04-05"",
        ""offset_days"": -39,
        ""target_date"": ""2022-02-25"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 0,
        ""difficulty"": {
            ""task_complexity"": 0,
            ""date_range"": 100
        }
    }
}"
1,calendar_arithmetic,"Count the occurrences of Tuesday from Sunday, March 27 to Wednesday, June 15, 2022 (including both start and end dates). Express your answer as a number.
Output final answer with the format <<<answer>>>",12,"{
    ""question"": ""Count the occurrences of Tuesday from Sunday, March 27 to Wednesday, June 15, 2022 (including both start and end dates). Express your answer as a number."",
    ""answer"": ""12"",
    ""metadata"": {
        ""task"": ""count_days"",
        ""year"": 2022,
        ""start_date"": ""2022-03-27"",
        ""end_date"": ""2022-06-15"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 1,
        ""difficulty"": {
            ""task_complexity"": 4,
            ""date_range"": 100
        }
    }
}"
2,calendar_arithmetic,"How many Mondays are there from Saturday, July 2, 2022 to Wednesday, September 14, 2022 (inclusive of both dates)? Answer with a number.
Output final answer with the format <<<answer>>>",11,"{
    ""question"": ""How many Mondays are there from Saturday, July 2, 2022 to Wednesday, September 14, 2022 (inclusive of both dates)? Answer with a number."",
    ""answer"": ""11"",
    ""metadata"": {
        ""task"": ""count_days"",
        ""year"": 2022,
        ""start_date"": ""2022-07-02"",
        ""end_date"": ""2022-09-14"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 2,
        ""difficulty"": {
            ""task_complexity"": 4,
            ""date_range"": 100
        }
    }
}"
3,calendar_arithmetic,"Between Tuesday, June 21, 2022 and Sunday, September 25, 2022 (counting both dates), how many times does Tuesday occur? State the amount as a number.
Output final answer with the format <<<answer>>>",14,"{
    ""question"": ""Between Tuesday, June 21, 2022 and Sunday, September 25, 2022 (counting both dates), how many times does Tuesday occur? State the amount as a number."",
    ""answer"": ""14"",
    ""metadata"": {
        ""task"": ""count_days"",
        ""year"": 2022,
        ""start_date"": ""2022-06-21"",
        ""end_date"": ""2022-09-25"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 3,
        ""difficulty"": {
            ""task_complexity"": 4,
            ""date_range"": 100
        }
    }
}"
4,calendar_arithmetic,"Given that January 1 fell on a Monday, which weekday occurs on January 3? Provide the full name of the weekday.
Output final answer with the format <<<answer>>>",Wednesday,"{
    ""question"": ""Given that January 1 fell on a Monday, which weekday occurs on January 3? Provide the full name of the weekday."",
    ""answer"": ""Wednesday"",
    ""metadata"": {
        ""task"": ""weekday_of_date_from_first_date"",
        ""year"": 2022,
        ""first_day"": ""Monday"",
        ""target_date"": ""2022-01-03"",
        ""delta_days"": 2,
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 4,
        ""difficulty"": {
            ""task_complexity"": 2,
            ""date_range"": 100
        }
    }
}"
5,calendar_arithmetic,"Between Tuesday, November 8, 2022 and Saturday, November 19, 2022 (counting both dates), what's the total count of business days (Monday through Friday)? Answer with a number.
Output final answer with the format <<<answer>>>",9,"{
    ""question"": ""Between Tuesday, November 8, 2022 and Saturday, November 19, 2022 (counting both dates), what's the total count of business days (Monday through Friday)? Answer with a number."",
    ""answer"": ""9"",
    ""metadata"": {
        ""task"": ""count_business_days"",
        ""start_date"": ""2022-11-08"",
        ""end_date"": ""2022-11-19"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 5,
        ""difficulty"": {
            ""task_complexity"": 5,
            ""date_range"": 100
        }
    }
}"
6,calendar_arithmetic,"Between Thursday, August 4, 2022 and Tuesday, September 27, 2022 (counting both dates), what's the total count of business days (Monday through Friday)? Provide the count as a number.
Output final answer with the format <<<answer>>>",39,"{
    ""question"": ""Between Thursday, August 4, 2022 and Tuesday, September 27, 2022 (counting both dates), what's the total count of business days (Monday through Friday)? Provide the count as a number."",
    ""answer"": ""39"",
    ""metadata"": {
        ""task"": ""count_business_days"",
        ""start_date"": ""2022-08-04"",
        ""end_date"": ""2022-09-27"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 6,
        ""difficulty"": {
            ""task_complexity"": 5,
            ""date_range"": 100
        }
    }
}"
7,calendar_arithmetic,"What day of the week was May 13, 2022? Give the weekday name in full.
Output final answer with the format <<<answer>>>",Friday,"{
    ""question"": ""What day of the week was May 13, 2022? Give the weekday name in full."",
    ""answer"": ""Friday"",
    ""metadata"": {
        ""task"": ""weekday_of_date"",
        ""target_date"": ""2022-05-13"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 7,
        ""difficulty"": {
            ""task_complexity"": 1,
            ""date_range"": 100
        }
    }
}"
8,calendar_arithmetic,"If a meeting is scheduled on the last Monday of October 2022, on which day of the month does it occur? Give the count numerically. Answer with -1 if the ordinal does not exist in the month.
Output final answer with the format <<<answer>>>",31,"{
    ""question"": ""If a meeting is scheduled on the last Monday of October 2022, on which day of the month does it occur? Give the count numerically. Answer with -1 if the ordinal does not exist in the month."",
    ""answer"": ""31"",
    ""metadata"": {
        ""task"": ""recurring_event_day"",
        ""year"": 2022,
        ""month"": 10,
        ""ordinal"": ""last"",
        ""weekday"": ""Monday"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 8,
        ""difficulty"": {
            ""task_complexity"": 3,
            ""date_range"": 100
        }
    }
}"
9,calendar_arithmetic,"In June 2022, if an event recurs on the second Tuesday, what is the date (day of the month) of the event? Give the count numerically. Answer with -1 if the ordinal does not exist in the month.
Output final answer with the format <<<answer>>>",14,"{
    ""question"": ""In June 2022, if an event recurs on the second Tuesday, what is the date (day of the month) of the event? Give the count numerically. Answer with -1 if the ordinal does not exist in the month."",
    ""answer"": ""14"",
    ""metadata"": {
        ""task"": ""recurring_event_day"",
        ""year"": 2022,
        ""month"": 6,
        ""ordinal"": ""second"",
        ""weekday"": ""Tuesday"",
        ""source_dataset"": ""calendar_arithmetic"",
        ""source_index"": 9,
        ""difficulty"": {
            ""task_complexity"": 3,
            ""date_range"": 100
        }
    }
}"
